ds,chuva,vazao,temp_max,temp_min,temp_med,evap
1970-01-01,0,13.94,30.1,16.3,23.2,3.6
1970-01-02,0,12.79,30.6,17.6,24.1,2.8
1970-01-03,0,13.02,31.7,15.4,23.55,3.4
1970-01-04,1.2,12.56,30.4,17.1,23.75,2.6
1970-01-05,0,13.48,32.9,15.7,24.3,1.2
1970-01-06,0,12.56,32.4,18.3,25.35,2.9
1970-01-07,0,11.252,34.1,16.3,25.2,2.8
1970-01-08,0.8,11.464,35.5,18.9,27.2,3.5
1970-01-09,3,15.32,33.6,19.7,26.65,3.6
1970-01-10,26,23.26,25.7,18.7,22.2,2.5
1970-01-11,12.4,18.45,23,11.6,17.3,1.4
1970-01-12,0,17.95,22,10.6,16.3,0.8
1970-01-13,1.4,16.01,25.6,12.5,19.05,0.9
1970-01-14,0,14.63,31,14.9,22.95,1.3
1970-01-15,0,16.7,31.5,15.6,23.55,1.8
1970-01-16,0,15.55,27.9,16.4,22.15,2.2
1970-01-17,0,13.71,28.1,18.1,23.1,1.8
1970-01-18,0,15.55,30.6,14.9,22.75,0.8
1970-01-19,14.6,26.46,26.3,15.9,21.1,1.5
1970-01-20,9.8,19.45,27.6,16.9,22.25,0.9
1970-01-21,26.6,28.62,26.4,14.3,20.35,1
1970-01-22,11,45.74,29.6,14.1,21.85,0.8
1970-01-23,0,35.12,30.7,15.3,23,1.4
1970-01-24,0,34.84,28.4,16.5,22.45,1.7
1970-01-25,0,25.11,33.1,16.2,24.65,1.7
1970-01-26,6.4,27.54,31.6,18.6,25.1,1.5
1970-01-27,7.6,32.02,31.9,17.9,24.9,1.3
1970-01-28,2.4,28.35,29.8,16.9,23.35,2.2
1970-01-29,29.2,26.46,29.9,17,23.45,1.5
1970-01-30,7.4,19.2,32.1,18.3,25.2,1.6
1970-01-31,0,19.2,32.5,19.9,26.2,1.8
1970-02-01,0,16.7,33.4,16.3,24.85,1.8
1970-02-02,0,17.45,31.5,19.2,25.35,2.4
1970-02-03,0,16.01,31.8,15.9,23.85,3.1
1970-02-04,0,13.48,30.9,13.8,22.35,2.4
1970-02-05,0,13.25,32.3,15.6,23.95,2.8
1970-02-06,0,12.33,31.6,17.2,24.4,3.6
1970-02-07,0,12.79,32.3,15.4,23.85,3.2
