data,chuva,vazao,temp_max,temp_min,temp_med,evap
1970-01-01,0,"13,940","30,100","16,300","23,200","3,600"
1970-01-02,0,"12,790","30,600","17,600","24,100","2,800"
1970-01-03,0,"13,020","31,700","15,400","23,550","3,400"
1970-01-04,"1,200","12,560","30,400","17,100","23,750","2,600"
1970-01-05,0,"13,480","32,900","15,700","24,300","1,200"
1970-01-06,0,"12,560","32,400","18,300","25,350","2,900"
1970-01-07,0,"11,252","34,100","16,300","25,200","2,800"
1970-01-08,"0,800","11,464","35,500","18,900","27,200","3,500"
1970-01-09,3,"15,320","33,600","19,700","26,650","3,600"
1970-01-10,26,"23,260","25,700","18,700","22,200","2,500"
1970-01-11,"12,400","18,450",23,"11,600","17,300","1,400"
1970-01-12,0,"17,950",22,"10,600","16,300","0,800"
1970-01-13,"1,400","16,010","25,600","12,500","19,050","0,900"
1970-01-14,0,"14,630",31,"14,900","22,950","1,300"
1970-01-15,0,"16,700","31,500","15,600","23,550","1,800"
1970-01-16,0,"15,550","27,900","16,400","22,150","2,200"
1970-01-17,0,"13,710","28,100","18,100","23,100","1,800"
1970-01-18,0,"15,550","30,600","14,900","22,750","0,800"
1970-01-19,"14,600","26,460","26,300","15,900","21,100","1,500"
1970-01-20,"9,800","19,450","27,600","16,900","22,250","0,900"
1970-01-21,"26,600","28,620","26,400","14,300","20,350",1
1970-01-22,11,"45,740","29,600","14,100","21,850","0,800"
1970-01-23,0,"35,120","30,700","15,300",23,"1,400"
1970-01-24,0,"34,840","28,400","16,500","22,450","1,700"
1970-01-25,0,"25,110","33,100","16,200","24,650","1,700"
1970-01-26,"6,400","27,540","31,600","18,600","25,100","1,500"
1970-01-27,"7,600","32,020","31,900","17,900","24,900","1,300"
1970-01-28,"2,400","28,350","29,800","16,900","23,350","2,200"
1970-01-29,"29,200","26,460","29,900",17,"23,450","1,500"
1970-01-30,"7,400","19,200","32,100","18,300","25,200","1,600"
1970-01-31,0,"19,200","32,500","19,900","26,200","1,800"
1970-02-01,0,"16,700","33,400","16,300","24,850","1,800"
1970-02-02,0,"17,450","31,500","19,200","25,350","2,400"
1970-02-03,0,"16,010","31,800","15,900","23,850","3,100"
1970-02-04,0,"13,480","30,900","13,800","22,350","2,400"
1970-02-05,0,"13,250","32,300","15,600","23,950","2,800"
1970-02-06,0,"12,330","31,600","17,200","24,400","3,600"
1970-02-07,0,"12,790","32,300","15,400","23,850","3,200"
1970-02-08,0,"11,888","31,900","16,500","24,200","2,800"
1970-02-09,0,"13,020","33,100","15,800","24,450","2,300"
1970-02-10,0,"11,252","34,400","17,600",26,"3,200"
1970-02-11,0,"11,252","31,700","15,400","23,550","3,200"
1970-02-12,0,"12,560","30,900","16,800","23,850","3,100"
1970-02-13,0,"11,888","31,500","16,300","23,900","2,900"
1970-02-14,0,"11,464","31,200","16,300","23,750","3,100"
1970-02-15,0,"12,330","30,500","16,600","23,550","2,300"
1970-02-16,0,"11,040","27,900","16,800","22,350","2,200"
1970-02-17,0,"12,100","32,500","14,900","23,700","2,100"
1970-02-18,0,"11,676","31,900","17,300","24,600","3,200"
1970-02-19,"8,200","13,020","26,400","15,300","20,850","2,400"
1970-02-20,16,"15,090","25,100","16,300","20,700","0,800"
1970-02-21,"24,600",23,"28,900","15,400","22,150","0,700"
1970-02-22,"4,400","15,780","29,800","14,900","22,350",2
1970-02-23,0,"15,320","31,100","18,400","24,750","1,100"
1970-02-24,0,"13,940","27,600","14,800","21,200","2,400"
1970-02-25,0,"13,480","26,900","13,400","20,150","1,300"
1970-02-26,6,"13,480","27,900","12,600","20,250",1
1970-02-27,9,"19,450","27,900","13,100","20,500","1,300"
1970-02-28,0,"15,090","28,700","15,400","22,050","1,500"
1970-03-01,0,"13,480","27,200","16,400","21,800",2
1970-03-02,0,"12,330","29,500","14,400","21,950","1,900"
1970-03-03,"1,400","12,330","26,700","13,600","20,150","2,400"
1970-03-04,"1,800","12,560","30,200","14,700","22,450",1
1970-03-05,0,"12,560","30,500","15,900","23,200","2,600"
1970-03-06,0,"12,330","29,200","17,600","23,400","2,800"
1970-03-07,"10,400","13,710","30,100","16,400","23,250","2,300"
1970-03-08,"4,200","12,790","30,600","15,900","23,250","1,800"
1970-03-09,"1,400","12,560","30,900","16,600","23,750","1,400"
1970-03-10,0,"12,790","32,500","17,400","24,950","1,600"
1970-03-11,"2,800","13,710","33,300","16,900","25,100",2
