iter	Passed	Remaining
0	2	2020
1	3	1823
2	5	1697
3	5	1463
4	7	1429
5	8	1464
6	10	1487
7	11	1425
8	12	1425
9	14	1448
10	16	1462
11	17	1444
12	19	1457
13	20	1421
14	21	1389
15	22	1409
16	24	1424
17	26	1426
18	27	1440
19	29	1447
20	30	1444
21	32	1454
22	34	1460
23	36	1476
24	38	1482
25	39	1481
26	41	1486
27	43	1492
28	44	1475
29	45	1482
30	47	1482
31	49	1483
32	51	1495
33	52	1485
34	53	1462
35	54	1461
36	56	1462
37	57	1467
38	59	1473
39	60	1454
40	62	1458
41	64	1466
42	65	1467
43	67	1470
44	69	1480
45	71	1489
46	73	1495
47	75	1497
48	77	1496
49	78	1495
50	80	1494
51	81	1494
52	82	1481
53	84	1475
54	85	1471
55	87	1469
56	88	1471
57	90	1464
58	91	1462
59	93	1463
60	94	1461
61	96	1462
62	98	1463
63	99	1462
64	101	1462
65	103	1464
66	105	1464
67	106	1462
68	108	1462
69	109	1461
70	111	1460
71	113	1460
72	114	1458
73	116	1457
74	118	1457
75	119	1455
76	121	1453
77	122	1453
78	123	1442
79	125	1442
80	126	1440
81	128	1436
82	129	1434
83	131	1436
84	133	1434
85	134	1432
86	136	1432
87	138	1430
88	139	1429
89	140	1421
90	142	1419
91	143	1420
92	145	1419
93	147	1419
94	147	1408
95	148	1397
96	149	1396
97	151	1394
98	152	1384
99	153	1380
100	155	1379
101	156	1379
102	158	1377
103	159	1375
104	161	1373
105	162	1370
106	163	1367
107	165	1366
108	167	1366
109	168	1363
110	169	1361
111	170	1353
112	172	1350
113	173	1348
114	175	1347
115	176	1345
116	178	1344
117	179	1342
118	180	1339
119	182	1334
120	183	1333
121	185	1332
122	186	1330
123	187	1327
124	189	1324
125	190	1322
126	192	1322
127	193	1320
128	195	1318
129	196	1316
130	198	1314
131	199	1312
132	200	1305
133	201	1302
134	203	1301
135	203	1295
136	205	1293
137	206	1291
138	208	1289
139	209	1287
140	211	1286
141	212	1285
142	214	1283
143	215	1281
144	216	1279
145	218	1277
146	219	1275
147	221	1273
148	222	1271
149	223	1265
150	224	1264
151	226	1263
152	227	1260
153	229	1259
154	230	1258
155	232	1256
156	233	1255
157	235	1253
158	236	1252
159	238	1250
160	239	1248
161	241	1246
162	242	1243
163	243	1240
164	244	1239
165	246	1237
166	247	1236
167	249	1234
168	250	1232
169	252	1230
170	253	1228
171	254	1227
172	256	1226
173	257	1223
174	259	1221
175	260	1219
176	261	1218
177	263	1216
178	265	1217
179	267	1216
180	268	1214
181	269	1213
182	271	1211
183	273	1211
184	274	1209
185	275	1207
186	277	1205
187	278	1204
188	280	1202
189	281	1201
190	283	1199
191	284	1197
192	285	1195
193	287	1193
194	288	1192
195	290	1190
196	291	1188
197	293	1187
198	294	1186
199	296	1184
200	297	1182
201	298	1180
202	300	1181
203	302	1179
204	304	1179
205	305	1178
206	307	1176
207	308	1175
208	310	1175
209	312	1174
210	313	1173
211	315	1172
212	316	1170
213	318	1168
214	319	1166
215	320	1164
216	322	1164
217	324	1162
218	325	1161
219	327	1160
220	328	1158
221	329	1155
222	331	1153
223	332	1151
224	333	1149
225	335	1148
226	336	1146
227	337	1144
228	339	1142
229	340	1140
230	342	1138
231	343	1136
232	344	1134
233	345	1131
234	347	1130
235	348	1128
236	350	1126
237	351	1124
238	352	1122
239	353	1120
240	355	1119
241	356	1116
242	358	1115
243	359	1114
244	360	1112
245	362	1111
246	363	1109
247	365	1108
248	367	1107
249	368	1106
250	370	1104
251	371	1102
252	372	1100
253	373	1097
254	375	1096
255	376	1095
256	378	1092
257	379	1091
258	380	1089
259	382	1087
260	383	1086
261	385	1085
262	387	1085
263	388	1083
264	390	1082
265	391	1080
266	392	1078
267	394	1077
268	395	1074
269	396	1073
270	398	1070
271	399	1069
272	400	1067
273	402	1066
274	403	1064
275	405	1062
276	406	1061
277	408	1061
278	410	1059
279	411	1058
280	413	1057
281	414	1056
282	416	1055
283	418	1054
284	419	1052
285	420	1050
286	422	1049
287	423	1047
288	424	1045
289	426	1045
290	428	1043
291	429	1042
292	431	1040
293	432	1039
294	434	1037
295	435	1036
296	437	1035
297	439	1034
298	440	1033
299	442	1032
300	443	1031
301	445	1028
302	446	1026
303	448	1025
304	449	1023
305	450	1020
306	451	1018
307	452	1017
308	454	1016
309	455	1014
310	457	1013
311	459	1012
312	460	1010
313	462	1009
314	463	1008
315	464	1006
316	466	1004
317	467	1003
318	469	1001
319	470	999
320	471	998
321	473	996
322	474	995
323	476	993
324	477	992
325	479	990
326	480	989
327	481	987
328	483	985
329	484	983
330	485	981
331	487	980
332	488	978
333	489	976
334	490	974
335	492	972
336	493	971
337	495	970
338	496	968
339	498	967
340	499	966
341	501	964
342	503	963
343	504	962
344	506	961
345	508	960
346	509	958
347	510	957
348	512	955
349	514	954
350	515	952
351	516	951
352	517	949
353	519	947
354	520	945
355	522	944
356	523	942
357	524	940
358	525	937
359	526	936
360	528	935
361	529	933
362	530	931
363	532	930
364	533	928
365	534	926
366	536	924
367	537	922
368	538	921
369	540	919
370	541	918
371	543	917
372	544	915
373	545	913
374	547	912
375	548	910
376	550	909
377	551	907
378	553	906
379	554	904
380	555	902
381	557	901
382	558	900
383	560	898
384	561	896
385	562	895
386	564	893
387	565	892
388	566	890
389	568	889
390	569	887
391	570	885
392	572	883
393	573	881
394	574	880
395	576	878
396	577	876
397	578	875
398	579	873
399	581	872
400	582	870
401	584	869
402	585	867
403	587	865
404	588	864
405	589	862
406	590	860
407	592	859
408	593	857
409	595	856
410	596	854
411	598	853
412	599	851
413	600	849
414	601	848
415	603	847
416	604	845
417	606	844
418	607	842
419	609	841
420	610	839
421	611	838
422	613	836
423	614	835
424	616	833
425	617	831
426	618	830
427	620	829
428	621	827
429	623	826
430	624	825
431	626	823
432	628	822
433	629	821
434	631	819
435	632	818
436	634	817
437	635	815
438	637	814
439	638	813
440	640	811
441	642	810
442	643	809
443	645	807
444	646	806
445	647	804
446	649	803
447	651	802
448	652	801
449	654	799
450	655	797
451	656	796
452	658	795
453	660	793
454	661	792
455	663	791
456	664	789
457	666	788
458	667	786
459	668	784
460	669	783
461	671	781
462	672	780
463	674	778
464	675	777
465	677	776
466	678	774
467	680	773
468	682	772
469	683	771
470	685	769
471	686	768
472	688	766
473	689	765
474	691	764
475	693	763
476	694	761
477	695	760
478	697	758
479	698	757
480	699	755
481	701	753
482	702	751
483	703	750
484	705	748
485	706	747
486	707	745
487	709	744
488	711	743
489	712	741
490	714	740
491	715	739
492	717	737
493	718	736
494	720	734
495	722	733
496	723	732
497	725	730
498	726	729
499	727	727
500	729	726
501	730	724
502	732	723
503	733	721
504	735	720
505	736	718
506	737	717
507	739	716
508	741	714
509	742	713
510	744	712
511	745	710
512	747	709
513	748	708
514	750	706
515	751	705
516	753	703
517	754	702
518	756	700
519	757	699
520	758	697
521	760	696
522	762	695
523	763	693
524	764	691
525	766	690
526	767	688
527	768	687
528	770	685
529	771	684
530	773	682
531	774	681
