ano	mes	dia	cota
2014	12	31	196.0
2014	12	30	194.0
2014	12	29	197.0
2014	12	28	207.0
2014	12	27	246.0
2014	12	26	228.0
2014	12	25	234.0
2014	12	24	238.0
2014	12	23	266.0
2014	12	22	272.0
2014	12	21	286.0
2014	12	20	321.0
2014	12	19	358.0
2014	12	18	255.0
2014	12	17	240.0
2014	12	16	237.0
2014	12	15	242.0
2014	12	14	242.0
2014	12	13	240.0
2014	12	12	244.0
2014	12	11	248.0
2014	12	10	234.0
2014	12	9	236.0
2014	12	8	238.0
2014	12	7	244.0
2014	12	6	242.0
2014	12	5	250.0
2014	12	4	242.0
2014	12	3	240.0
2014	12	2	242.0
2014	12	1	244.0
2014	11	30	252.0
2014	11	29	247.0
2014	11	28	186.0
2014	11	27	186.0
2014	11	26	198.0
2014	11	25	211.0
2014	11	24	237.0
2014	11	23	242.0
2014	11	22	251.0
2014	11	21	269.0
2014	11	20	280.0
2014	11	19	284.0
2014	11	18	298.0
2014	11	17	288.0
2014	11	16	286.0
2014	11	15	275.0
2014	11	14	258.0
2014	11	13	298.0
2014	11	12	224.0
2014	11	11	220.0
2014	11	10	219.0
2014	11	9	219.0
2014	11	8	222.0
2014	11	7	224.0
2014	11	6	210.0
2014	11	5	224.0
2014	11	4	242.0
2014	11	3	246.0
2014	11	2	253.0
2014	11	1	210.0
2014	10	31	201.0
2014	10	30	200.0
2014	10	29	206.0
2014	10	28	208.0
2014	10	27	197.0
2014	10	26	204.0
2014	10	25	204.0
2014	10	24	178.0
2014	10	23	188.0
2014	10	22	199.0
2014	10	21	204.0
2014	10	20	208.0
2014	10	19	198.0
2014	10	18	193.0
2014	10	17	170.0
2014	10	16	184.0
2014	10	15	188.0
2014	10	14	196.0
2014	10	13	194.0
2014	10	12	195.0
2014	10	11	196.0
2014	10	10	172.0
2014	10	9	169.0
2014	10	8	187.0
2014	10	7	208.0
2014	10	6	204.0
2014	10	5	198.0
2014	10	4	204.0
2014	10	3	184.0
2014	10	2	189.0
2014	10	1	207.0
2014	9	30	207.0
2014	9	29	207.0
2014	9	28	194.0
2014	9	27	196.0
2014	9	26	196.0
2014	9	25	176.0
2014	9	24	194.0
2014	9	23	184.0
2014	9	22	194.0
2014	9	21	194.0
2014	9	20	192.0
2014	9	19	174.0
2014	9	18	174.0
2014	9	17	174.0
2014	9	16	180.0
2014	9	15	179.0
2014	9	14	176.0
2014	9	13	170.0
2014	9	12	176.0
2014	9	11	178.0
2014	9	10	176.0
2014	9	9	180.0
2014	9	8	176.0
2014	9	7	176.0
2014	9	6	174.0
2014	9	5	178.0
2014	9	4	180.0
2014	9	3	178.0
2014	9	2	178.0
2014	9	1	178.0
2014	8	31	180.0
2014	8	30	178.0
2014	8	29	179.0
2014	8	28	184.0
2014	8	27	184.0
2014	8	26	182.0
2014	8	25	180.0
2014	8	24	187.0
2014	8	23	180.0
2014	8	22	185.0
2014	8	21	188.0
2014	8	20	181.0
2014	8	19	182.0
2014	8	18	184.0
2014	8	17	182.0
2014	8	16	180.0
2014	8	15	172.0
2014	8	14	182.0
2014	8	13	180.0
2014	8	12	181.0
2014	8	11	182.0
2014	8	10	182.0
2014	8	9	182.0
2014	8	8	182.0
2014	8	7	184.0
2014	8	6	184.0
2014	8	5	188.0
2014	8	4	188.0
2014	8	3	188.0
2014	8	2	178.0
2014	8	1	180.0
2014	7	31	184.0
2014	7	30	186.0
2014	7	29	190.0
2014	7	28	188.0
2014	7	27	186.0
2014	7	26	190.0
2014	7	25	204.0
2014	7	24	190.0
2014	7	23	196.0
2014	7	22	184.0
2014	7	21	184.0
2014	7	20	186.0
2014	7	19	184.0
2014	7	18	177.0
2014	7	17	177.0
2014	7	16	182.0
2014	7	15	180.0
2014	7	14	182.0
2014	7	13	182.0
2014	7	12	182.0
2014	7	11	179.0
2014	7	10	175.0
2014	7	9	181.0
2014	7	8	182.0
2014	7	7	181.0
2014	7	6	180.0
2014	7	5	183.0
2014	7	4	179.0
2014	7	3	183.0
2014	7	2	183.0
2014	7	1	182.0
2014	6	30	184.0
2014	6	29	184.0
2014	6	28	185.0
2014	6	27	182.0
2014	6	26	178.0
2014	6	25	180.0
2014	6	24	182.0
2014	6	23	180.0
2014	6	22	188.0
2014	6	21	189.0
2014	6	20	185.0
2014	6	19	181.0
2014	6	18	188.0
2014	6	17	190.0
2014	6	16	190.0
2014	6	15	194.0
2014	6	14	187.0
2014	6	13	186.0
2014	6	12	186.0
2014	6	11	187.0
2014	6	10	187.0
2014	6	9	185.0
2014	6	8	192.0
2014	6	7	186.0
2014	6	6	185.0
2014	6	5	181.0
2014	6	4	180.0
2014	6	3	188.0
2014	6	2	190.0
2014	6	1	185.0
2014	5	31	183.0
2014	5	30	178.0
2014	5	29	174.0
2014	5	28	181.0
2014	5	27	187.0
2014	5	26	187.0
2014	5	25	187.0
2014	5	24	187.0
2014	5	23	181.0
2014	5	22	183.0
2014	5	21	186.0
2014	5	20	191.0
2014	5	19	191.0
2014	5	18	193.0
2014	5	17	209.0
2014	5	16	202.0
2014	5	15	202.0
2014	5	14	206.0
2014	5	13	211.0
2014	5	12	214.0
2014	5	11	216.0
2014	5	10	214.0
2014	5	9	211.0
2014	5	8	225.0
2014	5	7	229.0
2014	5	6	225.0
2014	5	5	216.0
2014	5	4	213.0
2014	5	3	228.0
2014	5	2	228.0
2014	5	1	218.0
2014	4	30	230.0
2014	4	29	230.0
2014	4	28	232.0
2014	4	27	234.0
2014	4	26	230.0
2014	4	25	211.0
2014	4	24	221.0
2014	4	23	226.0
2014	4	22	221.0
2014	4	21	236.0
2014	4	20	240.0
2014	4	19	242.0
2014	4	18	242.0
2014	4	17	238.0
2014	4	16	244.0
2014	4	15	245.0
2014	4	14	258.0
2014	4	13	255.0
