data	cota
2014-12-31	196.0
2014-12-30	194.0
2014-12-29	197.0
2014-12-28	207.0
2014-12-27	246.0
2014-12-26	228.0
2014-12-25	234.0
2014-12-24	238.0
2014-12-23	266.0
2014-12-22	272.0
2014-12-21	286.0
2014-12-20	321.0
2014-12-19	358.0
2014-12-18	255.0
2014-12-17	240.0
2014-12-16	237.0
2014-12-15	242.0
2014-12-14	242.0
2014-12-13	240.0
2014-12-12	244.0
2014-12-11	248.0
2014-12-10	234.0
2014-12-09	236.0
2014-12-08	238.0
2014-12-07	244.0
2014-12-06	242.0
2014-12-05	250.0
2014-12-04	242.0
2014-12-03	240.0
2014-12-02	242.0
2014-12-01	244.0
2014-11-30	252.0
2014-11-29	247.0
2014-11-28	186.0
2014-11-27	186.0
2014-11-26	198.0
2014-11-25	211.0
2014-11-24	237.0
2014-11-23	242.0
2014-11-22	251.0
2014-11-21	269.0
2014-11-20	280.0
2014-11-19	284.0
2014-11-18	298.0
2014-11-17	288.0
2014-11-16	286.0
2014-11-15	275.0
2014-11-14	258.0
2014-11-13	298.0
2014-11-12	224.0
2014-11-11	220.0
2014-11-10	219.0
2014-11-09	219.0
2014-11-08	222.0
2014-11-07	224.0
2014-11-06	210.0
2014-11-05	224.0
2014-11-04	242.0
2014-11-03	246.0
2014-11-02	253.0
2014-11-01	210.0
2014-10-31	201.0
2014-10-30	200.0
2014-10-29	206.0
2014-10-28	208.0
2014-10-27	197.0
2014-10-26	204.0
2014-10-25	204.0
2014-10-24	178.0
2014-10-23	188.0
2014-10-22	199.0
2014-10-21	204.0
2014-10-20	208.0
2014-10-19	198.0
2014-10-18	193.0
2014-10-17	170.0
2014-10-16	184.0
2014-10-15	188.0
2014-10-14	196.0
2014-10-13	194.0
2014-10-12	195.0
2014-10-11	196.0
2014-10-10	172.0
2014-10-09	169.0
2014-10-08	187.0
2014-10-07	208.0
2014-10-06	204.0
2014-10-05	198.0
2014-10-04	204.0
2014-10-03	184.0
2014-10-02	189.0
2014-10-01	207.0
2014-09-30	207.0
2014-09-29	207.0
2014-09-28	194.0
2014-09-27	196.0
2014-09-26	196.0
2014-09-25	176.0
2014-09-24	194.0
2014-09-23	184.0
2014-09-22	194.0
2014-09-21	194.0
2014-09-20	192.0
2014-09-19	174.0
2014-09-18	174.0
2014-09-17	174.0
2014-09-16	180.0
2014-09-15	179.0
2014-09-14	176.0
2014-09-13	170.0
2014-09-12	176.0
2014-09-11	178.0
2014-09-10	176.0
2014-09-09	180.0
2014-09-08	176.0
2014-09-07	176.0
2014-09-06	174.0
2014-09-05	178.0
2014-09-04	180.0
2014-09-03	178.0
2014-09-02	178.0
2014-09-01	178.0
2014-08-31	180.0
2014-08-30	178.0
2014-08-29	179.0
2014-08-28	184.0
2014-08-27	184.0
2014-08-26	182.0
2014-08-25	180.0
2014-08-24	187.0
2014-08-23	180.0
2014-08-22	185.0
2014-08-21	188.0
2014-08-20	181.0
2014-08-19	182.0
2014-08-18	184.0
2014-08-17	182.0
2014-08-16	180.0
2014-08-15	172.0
2014-08-14	182.0
2014-08-13	180.0
2014-08-12	181.0
2014-08-11	182.0
2014-08-10	182.0
2014-08-09	182.0
2014-08-08	182.0
2014-08-07	184.0
2014-08-06	184.0
2014-08-05	188.0
2014-08-04	188.0
2014-08-03	188.0
2014-08-02	178.0
2014-08-01	180.0
2014-07-31	184.0
2014-07-30	186.0
2014-07-29	190.0
2014-07-28	188.0
2014-07-27	186.0
2014-07-26	190.0
2014-07-25	204.0
2014-07-24	190.0
2014-07-23	196.0
2014-07-22	184.0
2014-07-21	184.0
2014-07-20	186.0
2014-07-19	184.0
2014-07-18	177.0
2014-07-17	177.0
2014-07-16	182.0
2014-07-15	180.0
2014-07-14	182.0
2014-07-13	182.0
2014-07-12	182.0
2014-07-11	179.0
2014-07-10	175.0
2014-07-09	181.0
2014-07-08	182.0
2014-07-07	181.0
2014-07-06	180.0
2014-07-05	183.0
2014-07-04	179.0
2014-07-03	183.0
2014-07-02	183.0
2014-07-01	182.0
2014-06-30	184.0
2014-06-29	184.0
2014-06-28	185.0
2014-06-27	182.0
2014-06-26	178.0
2014-06-25	180.0
2014-06-24	182.0
2014-06-23	180.0
2014-06-22	188.0
2014-06-21	189.0
2014-06-20	185.0
2014-06-19	181.0
2014-06-18	188.0
2014-06-17	190.0
2014-06-16	190.0
2014-06-15	194.0
2014-06-14	187.0
2014-06-13	186.0
2014-06-12	186.0
2014-06-11	187.0
2014-06-10	187.0
2014-06-09	185.0
2014-06-08	192.0
2014-06-07	186.0
2014-06-06	185.0
2014-06-05	181.0
2014-06-04	180.0
2014-06-03	188.0
2014-06-02	190.0
2014-06-01	185.0
2014-05-31	183.0
2014-05-30	178.0
2014-05-29	174.0
2014-05-28	181.0
2014-05-27	187.0
2014-05-26	187.0
2014-05-25	187.0
2014-05-24	187.0
2014-05-23	181.0
2014-05-22	183.0
2014-05-21	186.0
2014-05-20	191.0
2014-05-19	191.0
2014-05-18	193.0
2014-05-17	209.0
2014-05-16	202.0
2014-05-15	202.0
2014-05-14	206.0
2014-05-13	211.0
2014-05-12	214.0
2014-05-11	216.0
2014-05-10	214.0
2014-05-09	211.0
2014-05-08	225.0
2014-05-07	229.0
2014-05-06	225.0
2014-05-05	216.0
2014-05-04	213.0
2014-05-03	228.0
2014-05-02	228.0
2014-05-01	218.0
2014-04-30	230.0
2014-04-29	230.0
2014-04-28	232.0
2014-04-27	234.0
2014-04-26	230.0
2014-04-25	211.0
2014-04-24	221.0
2014-04-23	226.0
2014-04-22	221.0
2014-04-21	236.0
2014-04-20	240.0
2014-04-19	242.0
2014-04-18	242.0
2014-04-17	238.0
2014-04-16	244.0
2014-04-15	245.0
2014-04-14	258.0
2014-04-13	255.0
2014-04-12	254.0
