data	vazao
2022-03-31	
2022-03-30	
2022-03-29	
2022-03-28	
2022-03-27	
2022-03-26	
2022-03-25	
2022-03-24	
2022-03-23	145.207
2022-03-22	
2022-03-21	
2022-03-20	
2022-03-19	
2022-03-18	
2022-03-17	
2022-03-16	
2022-03-15	
2022-03-14	
2022-03-13	
2022-03-12	
2022-03-11	
2022-03-10	
2022-03-09	
2022-03-08	
2022-03-07	
2022-03-06	
2022-03-05	
2022-03-04	
2022-03-03	
2022-03-02	
2022-03-01	
2021-03-31	37.9247
2021-03-30	34.5625
2021-03-29	37.0643
2021-03-28	39.2405
2021-03-27	41.5016
2021-03-26	44.8131
2021-03-25	48.2991
2021-03-24	52.5027
2021-03-23	56.9474
2021-03-22	62.2446
2021-03-21	67.225
2021-03-20	73.8213
2021-03-19	77.9822
2021-03-18	84.517
2021-03-17	95.4039
2021-03-16	94.5964
2021-03-15	88.3029
2021-03-14	83.7733
2021-03-13	76.5781
2021-03-12	69.1601
2021-03-11	62.853
2021-03-10	57.5203
2021-03-09	53.591
2021-03-08	58.6778
2021-03-07	67.8659
2021-03-06	69.1601
2021-03-05	64.0819
2021-03-04	58.6778
2021-03-03	
2021-03-02	
2021-03-01	
2021-02-28	703.134
2021-02-27	732.14
2021-02-26	765.418
2021-02-25	798.828
2021-02-24	891.352
2021-02-23	828.167
2021-02-22	727.99
2021-02-21	278.851
2021-02-20	292.463
2021-02-19	304.737
2021-02-18	315.532
2021-02-17	328.449
2021-02-16	347.517
2021-02-15	365.307
2021-02-14	527.783
2021-02-13	182.488
2021-02-12	170.215
2021-02-11	156.241
2021-02-10	103.737
2021-02-09	88.3029
2021-02-08	44.3294
2021-02-07	49.8476
2021-02-06	56.3784
2021-02-05	56.3784
2021-02-04	63.4655
2021-02-03	67.8659
2021-02-02	74.5041
2021-02-01	78.6908
2021-01-31	203.349
2021-01-30	217.175
2021-01-29	234.589
2021-01-28	264.057
2021-01-27	278.851
2021-01-26	301.195
2021-01-25	322.87
2021-01-24	313.715
2021-01-23	301.195
2021-01-22	285.602
2021-01-21	273.859
2021-01-20	262.447
2021-01-19	265.674
2021-01-18	280.528
2021-01-17	295.935
2021-01-16	313.715
2021-01-15	328.449
2021-01-14	347.517
2021-01-13	347.517
2021-01-12	328.449
2021-01-11	295.935
2021-01-10	277.18
2021-01-09	268.927
2021-01-08	257.656
2021-01-07	245.171
2021-01-06	234.589
2021-01-05	199.321
2021-01-04	210.185
2021-01-03	248.253
2021-01-02	239.085
2021-01-01	212.962
2020-12-31	46.2854
2020-12-30	51.9642
2020-12-29	56.9474
2020-12-28	207.432
2020-12-27	217.175
2020-12-26	248.253
2020-12-25	228.683
2020-12-24	240.597
2020-12-23	251.361
2020-12-22	259.246
2020-12-21	248.253
2020-12-20	231.623
2020-12-19	204.704
2020-12-18	185.013
2020-12-17	179.987
2020-12-16	191.427
2020-12-15	204.704
2020-12-14	220.014
2020-12-13	245.171
2020-12-12	257.656
2020-12-11	273.859
2020-12-10	292.463
2020-12-09	311.905
2020-12-08	302.963
2020-12-07	299.435
2020-12-06	283.904
2020-12-05	268.927
2020-12-04	259.246
2020-12-03	299.435
2020-12-02	317.356
2020-12-01	
2020-11-30	116.211
2020-11-29	138.846
2020-11-28	148.46
2020-11-27	160.809
2020-11-26	170.215
2020-11-25	181.235
2020-11-24	194.034
2020-11-23	208.805
2020-11-22	221.443
2020-11-21	228.683
2020-11-20	239.085
2020-11-19	252.925
2020-11-18	267.297
