ano	mes	dia	vazao
2022	3	31	
2022	3	30	
2022	3	29	
2022	3	28	
2022	3	27	
2022	3	26	
2022	3	25	
2022	3	24	
2022	3	23	145.207
2022	3	22	
2022	3	21	
2022	3	20	
2022	3	19	
2022	3	18	
2022	3	17	
2022	3	16	
2022	3	15	
2022	3	14	
2022	3	13	
2022	3	12	
2022	3	11	
2022	3	10	
2022	3	9	
2022	3	8	
2022	3	7	
2022	3	6	
2022	3	5	
2022	3	4	
2022	3	3	
2022	3	2	
2022	3	1	
2021	3	31	37.9247
2021	3	30	34.5625
2021	3	29	37.0643
2021	3	28	39.2405
2021	3	27	41.5016
2021	3	26	44.8131
2021	3	25	48.2991
2021	3	24	52.5027
2021	3	23	56.9474
2021	3	22	62.2446
2021	3	21	67.225
2021	3	20	73.8213
2021	3	19	77.9822
2021	3	18	84.517
2021	3	17	95.4039
2021	3	16	94.5964
2021	3	15	88.3029
2021	3	14	83.7733
2021	3	13	76.5781
2021	3	12	69.1601
2021	3	11	62.853
2021	3	10	57.5203
2021	3	9	53.591
2021	3	8	58.6778
2021	3	7	67.8659
2021	3	6	69.1601
2021	3	5	64.0819
2021	3	4	58.6778
2021	3	3	
2021	3	2	
2021	3	1	
2021	2	28	703.134
2021	2	27	732.14
2021	2	26	765.418
2021	2	25	798.828
2021	2	24	891.352
2021	2	23	828.167
2021	2	22	727.99
2021	2	21	278.851
2021	2	20	292.463
2021	2	19	304.737
2021	2	18	315.532
2021	2	17	328.449
2021	2	16	347.517
2021	2	15	365.307
2021	2	14	527.783
2021	2	13	182.488
2021	2	12	170.215
2021	2	11	156.241
2021	2	10	103.737
2021	2	9	88.3029
2021	2	8	44.3294
2021	2	7	49.8476
2021	2	6	56.3784
2021	2	5	56.3784
2021	2	4	63.4655
2021	2	3	67.8659
2021	2	2	74.5041
2021	2	1	78.6908
2021	1	31	203.349
2021	1	30	217.175
2021	1	29	234.589
2021	1	28	264.057
2021	1	27	278.851
2021	1	26	301.195
2021	1	25	322.87
2021	1	24	313.715
2021	1	23	301.195
2021	1	22	285.602
2021	1	21	273.859
2021	1	20	262.447
2021	1	19	265.674
2021	1	18	280.528
2021	1	17	295.935
2021	1	16	313.715
2021	1	15	328.449
2021	1	14	347.517
2021	1	13	347.517
2021	1	12	328.449
2021	1	11	295.935
2021	1	10	277.18
2021	1	9	268.927
2021	1	8	257.656
2021	1	7	245.171
2021	1	6	234.589
2021	1	5	199.321
2021	1	4	210.185
2021	1	3	248.253
2021	1	2	239.085
2021	1	1	212.962
2020	12	31	46.2854
2020	12	30	51.9642
2020	12	29	56.9474
2020	12	28	207.432
2020	12	27	217.175
2020	12	26	248.253
2020	12	25	228.683
2020	12	24	240.597
2020	12	23	251.361
2020	12	22	259.246
2020	12	21	248.253
2020	12	20	231.623
2020	12	19	204.704
2020	12	18	185.013
2020	12	17	179.987
2020	12	16	191.427
2020	12	15	204.704
2020	12	14	220.014
2020	12	13	245.171
2020	12	12	257.656
2020	12	11	273.859
2020	12	10	292.463
2020	12	9	311.905
2020	12	8	302.963
2020	12	7	299.435
2020	12	6	283.904
2020	12	5	268.927
2020	12	4	259.246
2020	12	3	299.435
2020	12	2	317.356
2020	12	1	
2020	11	30	116.211
2020	11	29	138.846
2020	11	28	148.46
2020	11	27	160.809
2020	11	26	170.215
2020	11	25	181.235
2020	11	24	194.034
2020	11	23	208.805
2020	11	22	221.443
2020	11	21	228.683
2020	11	20	239.085
2020	11	19	252.925
2020	11	18	267.297
2020	11	17	302.963
2020	11	16	337.892
2020	11	15	357.326
2020	11	14	440.355
2020	11	13	538.167
2020	11	12	564.732
2020	11	11	589.387
2020	11	10	637.247
2020	11	9	678.357
2020	11	8	719.696
2020	11	7	765.418
2020	11	6	790.464
2020	11	5	832.366
2020	11	4	866.027
2020	11	3	916.742
2020	11	2	963.455
2020	11	1	1014.65
2020	10	31	178.746
2020	10	30	163.127
2020	10	29	152.873
2020	10	28	143.065
2020	10	27	107.203
2020	10	26	112.549
2020	10	25	119.953
2020	10	24	130.663
2020	10	23	145.207
2020	10	22	156.241
2020	10	21	164.294
2020	10	20	173.837
2020	10	19	185.013
2020	10	18	196.665
2020	10	17	146.286
2020	10	16	68.5109
2020	10	15	73.8213
2020	10	14	79.4037
2020	10	13	88.3029
2020	10	12	97.0327
2020	10	11	104.596
2020	10	10	111.645
2020	10	9	118.072
2020	10	8	116.211
2020	10	7	147.37
2020	10	6	50.8985
2020	10	5	45.3003
2020	10	4	40.5868
2020	10	3	37.4928
2020	10	2	41.9641
2020	10	1	
2020	9	30	54.1409
2020	9	29	59.2624
2020	9	28	57.5203
2020	9	27	48.8116
2020	9	26	54.1409
2020	9	25	63.4655
2020	9	24	69.1601
2020	9	23	75.8825
2020	9	22	82.2991
2020	9	21	90.6286
2020	9	20	97.8542
2020	9	19	106.329
2020	9	18	123.776
2020	9	17	145.207
2020	9	16	157.375
2020	9	15	167.83
2020	9	14	173.837
2020	9	13	161.965
2020	9	12	43.8493
2020	9	11	48.2991
2020	9	10	51.9642
2020	9	9	56.9474
2020	9	8	61.0398
2020	9	7	56.3784
2020	9	6	49.8476
2020	9	5	41.9641
2020	9	4	41.9641
2020	9	3	46.7834
2020	9	2	51.4295
2020	9	1	56.3784
2020	8	31	54.1409
2020	8	30	57.5203
2020	8	29	58.6778
2020	8	28	61.6402
2020	8	27	62.853
2020	8	26	55.252
2020	8	25	53.045
2020	8	24	57.5203
2020	8	23	63.4655
2020	8	22	69.8134
2020	8	21	77.278
2020	8	20	84.517
2020	8	19	92.9955
2020	8	18	101.187
2020	8	17	134.712
2020	8	16	161.965
2020	8	15	179.987
2020	8	14	190.132
2020	8	13	202.0
2020	8	12	202.0
2020	8	11	49.8476
2020	8	10	56.3784
2020	8	9	61.0398
2020	8	8	62.853
2020	8	7	54.6945
2020	8	6	48.8116
2020	8	5	43.8493
2020	8	4	47.7902
2020	8	3	51.9642
2020	8	2	56.9474
2020	8	1	62.853
2020	7	31	59.8509
2020	7	30	65.9555
2020	7	29	72.4685
2020	7	28	78.6908
2020	7	27	83.7733
2020	7	26	92.2019
2020	7	25	99.5111
2020	7	24	135.738
2020	7	23	182.488
2020	7	22	194.034
2020	7	21	207.432
2020	7	20	40.1346
2020	7	19	43.8493
2020	7	18	47.285
2020	7	17	49.8476
2020	7	16	58.0971
2020	7	15	156.241
2020	7	14	170.215
2020	7	13	188.844
2020	7	12	58.0971
2020	7	11	63.4655
2020	7	10	68.5109
2020	7	9	74.5041
2020	7	8	63.4655
2020	7	7	59.2624
2020	7	6	60.4434
2020	7	5	65.9555
2020	7	4	63.4655
2020	7	3	58.6778
2020	7	2	54.1409
2020	7	1	
2020	6	30	41.9641
2020	6	29	45.7911
2020	6	28	49.3278
2020	6	27	45.3003
2020	6	26	39.6858
2020	6	25	33.3557
2020	6	24	36.6391
2020	6	23	41.9641
2020	6	22	46.2854
2020	6	21	50.8985
2020	6	20	54.1409
2020	6	19	59.2624
2020	6	18	65.9555
2020	6	17	67.8659
2020	6	16	61.0398
2020	6	15	55.8133
2020	6	14	47.7902
2020	6	13	51.4295
2020	6	12	54.1409
2020	6	11	61.0398
2020	6	10	67.8659
2020	6	9	72.4685
2020	6	8	80.8426
2020	6	7	88.3029
2020	6	6	94.5964
2020	6	5	97.8542
2020	6	4	88.3029
2020	6	3	56.3784
2020	6	2	71.7984
2020	6	1	49.3278
2020	5	31	41.5016
2020	5	30	45.7911
2020	5	29	49.8476
2020	5	28	54.1409
2020	5	27	60.4434
2020	5	26	59.2624
2020	5	25	55.252
2020	5	24	50.3712
2020	5	23	54.6945
2020	5	22	61.0398
2020	5	21	62.2446
2020	5	20	46.7834
2020	5	19	42.8997
2020	5	18	47.285
2020	5	17	51.4295
2020	5	16	56.3784
2020	5	15	61.0398
2020	5	14	65.3269
2020	5	13	66.5882
2020	5	12	58.6778
2020	5	11	53.045
2020	5	10	49.8476
2020	5	9	55.252
2020	5	8	60.4434
2020	5	7	61.0398
2020	5	6	62.853
2020	5	5	58.6778
2020	5	4	53.045
2020	5	3	55.252
2020	5	2	61.0398
2020	5	1	
2020	4	30	58.0971
2020	4	29	64.0819
2020	4	28	67.225
2020	4	27	56.3784
2020	4	26	64.7024
2020	4	25	73.1428
2020	4	24	83.7733
2020	4	23	92.9955
2020	4	22	102.882
2020	4	21	120.901
2020	4	20	152.873
2020	4	19	171.417
2020	4	18	153.99
2020	4	17	68.5109
2020	4	16	77.278
2020	4	15	85.2652
2020	4	14	91.413
2020	4	13	99.5111
2020	4	12	91.413
2020	4	11	80.8426
2020	4	10	82.2991
2020	4	9	83.7733
2020	4	8	77.278
2020	4	7	80.8426
2020	4	6	90.6286
2020	4	5	99.5111
2020	4	4	146.286
2020	4	3	163.127
2020	4	2	191.427
2020	4	1	208.805
2020	3	31	197.99
2020	3	30	212.962
2020	3	29	221.443
2020	3	28	197.99
2020	3	27	108.965
2020	3	26	115.288
2020	3	25	91.413
2020	3	24	103.737
2020	3	23	169.02
2020	3	22	187.561
2020	3	21	206.065
2020	3	20	357.326
2020	3	19	383.703
2020	3	18	540.785
