ano	mes	dia	chuva
2023	1	31	0.0
2023	1	30	0.0
2023	1	29	0.0
2023	1	28	0.0
2023	1	27	12.9
2023	1	26	1.9
2023	1	25	10.6
2023	1	24	0.0
2023	1	23	0.0
2023	1	22	25.6
2023	1	21	20.0
2023	1	20	99.6
2023	1	19	4.3
2023	1	18	0.0
2023	1	17	0.0
2023	1	16	0.0
2023	1	15	0.0
2023	1	14	0.0
2023	1	13	0.0
2023	1	12	0.0
2023	1	11	0.0
2023	1	10	0.0
2023	1	9	0.0
2023	1	8	0.0
2023	1	7	0.2
2023	1	6	10.1
2023	1	5	9.6
2023	1	4	15.3
2023	1	3	12.0
2023	1	2	0.0
2023	1	1	0.0
2022	12	31	0.0
2022	12	30	0.0
2022	12	29	0.0
2022	12	28	0.0
2022	12	27	0.0
2022	12	26	9.0
2022	12	25	1.9
2022	12	24	8.7
2022	12	23	31.1
2022	12	22	29.9
2022	12	21	29.6
2022	12	20	1.3
2022	12	19	1.5
2022	12	18	17.2
2022	12	17	20.0
2022	12	16	21.0
2022	12	15	107.8
2022	12	14	2.1
2022	12	13	0.0
2022	12	12	0.0
2022	12	11	17.6
2022	12	10	0.5
2022	12	9	62.1
2022	12	8	0.0
2022	12	7	0.0
2022	12	6	0.0
2022	12	5	3.1
2022	12	4	0.3
2022	12	3	33.5
2022	12	2	1.0
2022	12	1	11.3
2022	11	30	48.6
2022	11	29	10.9
2022	11	28	0.6
2022	11	27	20.0
2022	11	26	14.6
2022	11	25	9.8
2022	11	24	19.0
2022	11	23	0.3
2022	11	22	1.0
2022	11	21	0.6
2022	11	20	0.0
2022	11	19	0.0
2022	11	18	0.0
2022	11	17	24.7
2022	11	16	15.8
2022	11	15	6.1
2022	11	14	0.2
2022	11	13	0.0
2022	11	12	0.0
2022	11	11	0.0
2022	11	10	0.0
2022	11	9	0.0
2022	11	8	0.0
2022	11	7	0.0
2022	11	6	0.0
2022	11	5	0.0
2022	11	4	10.7
2022	11	3	34.3
2022	11	2	19.6
2022	11	1	0.0
2022	10	31	0.0
2022	10	30	0.0
2022	10	29	0.0
2022	10	28	0.0
2022	10	27	0.0
2022	10	26	0.0
2022	10	25	0.0
2022	10	24	11.7
2022	10	23	0.0
2022	10	22	0.0
2022	10	21	0.0
2022	10	20	0.0
2022	10	19	0.0
2022	10	18	0.0
2022	10	17	0.0
2022	10	16	0.0
2022	10	15	0.0
2022	10	14	0.0
2022	10	13	0.0
2022	10	12	0.0
2022	10	11	0.0
2022	10	10	0.0
2022	10	9	0.0
2022	10	8	0.0
2022	10	7	0.0
2022	10	6	0.0
2022	10	5	0.0
2022	10	4	1.8
2022	10	3	0.0
2022	10	2	0.0
2022	10	1	0.0
2022	9	30	0.0
2022	9	29	0.0
2022	9	28	0.0
2022	9	27	0.0
2022	9	26	0.0
2022	9	25	0.0
