ano	mes	dia	cota
2023	1	31	479.0
2023	1	30	479.0
2023	1	29	479.0
2023	1	28	481.0
2023	1	27	481.0
2023	1	26	481.0
2023	1	25	481.0
2023	1	24	489.0
2023	1	23	489.0
2023	1	22	489.0
2023	1	21	492.0
2023	1	20	492.0
2023	1	19	492.0
2023	1	18	492.0
2023	1	17	492.0
2023	1	16	492.0
2023	1	15	492.0
2023	1	14	512.0
2023	1	13	512.0
2023	1	12	512.0
2023	1	11	512.0
2023	1	10	444.0
2023	1	9	310.0
2023	1	8	310.0
2023	1	7	310.0
2023	1	6	310.0
2023	1	5	310.0
2023	1	4	344.0
2023	1	3	344.0
2023	1	2	344.0
2023	1	1	344.0
2022	12	31	344.0
2022	12	30	344.0
2022	12	29	344.0
2022	12	28	344.0
2022	12	27	312.0
2022	12	26	312.0
2022	12	25	310.0
2022	12	24	310.0
2022	12	23	310.0
2022	12	22	308.0
2022	12	21	308.0
2022	12	20	308.0
2022	12	19	308.0
2022	12	18	308.0
2022	12	17	308.0
2022	12	16	308.0
2022	12	15	308.0
2022	12	14	312.0
2022	12	13	448.0
2022	12	12	380.0
2022	12	11	380.0
2022	12	10	310.0
2022	12	9	310.0
2022	12	8	310.0
2022	12	7	298.0
2022	12	6	298.0
2022	12	5	298.0
2022	12	4	298.0
2022	12	3	298.0
2022	12	2	298.0
2022	12	1	298.0
2022	11	30	448.0
2022	11	29	448.0
2022	11	28	448.0
2022	11	27	448.0
2022	11	26	448.0
2022	11	25	448.0
2022	11	24	448.0
2022	11	23	298.0
2022	11	22	298.0
2022	11	21	298.0
2022	11	20	298.0
2022	11	19	298.0
2022	11	18	298.0
2022	11	17	298.0
2022	11	16	298.0
2022	11	15	298.0
2022	11	14	298.0
2022	11	13	298.0
2022	11	12	298.0
2022	11	11	298.0
2022	11	10	298.0
2022	11	9	298.0
2022	11	8	298.0
2022	11	7	298.0
2022	11	6	438.0
2022	11	5	438.0
2022	11	4	438.0
2022	11	3	438.0
2022	11	2	438.0
2022	11	1	438.0
2022	10	31	398.0
2022	10	30	398.0
2022	10	29	398.0
2022	10	28	398.0
2022	10	27	398.0
2022	10	26	398.0
2022	10	25	390.0
2022	10	24	398.0
2022	10	23	398.0
2022	10	22	446.0
2022	10	21	446.0
2022	10	20	446.0
2022	10	19	446.0
2022	10	18	446.0
2022	10	17	446.0
2022	10	16	446.0
2022	10	15	306.0
2022	10	14	306.0
2022	10	13	306.0
2022	10	12	306.0
2022	10	11	441.0
2022	10	10	441.0
2022	10	9	398.0
2022	10	8	398.0
2022	10	7	398.0
2022	10	6	398.0
2022	10	5	398.0
2022	10	4	398.0
2022	10	3	398.0
2022	10	2	398.0
2022	10	1	398.0
2022	9	30	438.0
2022	9	29	438.0
2022	9	28	438.0
2022	9	27	438.0
2022	9	26	438.0
2022	9	25	438.0
2022	9	24	438.0
2022	9	23	438.0
2022	9	22	438.0
2022	9	21	438.0
2022	9	20	438.0
2022	9	19	438.0
2022	9	18	438.0
2022	9	17	438.0
2022	9	16	438.0
2022	9	15	308.0
2022	9	14	308.0
2022	9	13	308.0
2022	9	12	308.0
2022	9	11	308.0
2022	9	10	316.0
2022	9	9	316.0
2022	9	8	316.0
2022	9	7	438.0
2022	9	6	438.0
2022	9	5	438.0
2022	9	4	438.0
2022	9	3	438.0
2022	9	2	438.0
2022	9	1	438.0
2022	8	31	369.0
2022	8	30	369.0
2022	8	29	369.0
2022	8	28	369.0
2022	8	27	369.0
2022	8	26	368.0
2022	8	25	368.0
2022	8	24	370.0
2022	8	23	370.0
2022	8	22	370.0
2022	8	21	373.0
2022	8	20	373.0
2022	8	19	373.0
2022	8	18	373.0
2022	8	17	373.0
2022	8	16	417.0
2022	8	15	442.0
2022	8	14	442.0
2022	8	13	442.0
2022	8	12	442.0
2022	8	11	442.0
2022	8	10	442.0
2022	8	9	442.0
2022	8	8	442.0
2022	8	7	442.0
2022	8	6	442.0
2022	8	5	442.0
2022	8	4	442.0
2022	8	3	442.0
2022	8	2	442.0
2022	8	1	442.0
2022	7	31	439.0
2022	7	30	439.0
2022	7	29	439.0
2022	7	28	439.0
2022	7	27	439.0
2022	7	26	439.0
2022	7	25	439.0
2022	7	24	439.0
2022	7	23	439.0
2022	7	22	439.0
2022	7	21	430.0
2022	7	20	430.0
2022	7	19	430.0
2022	7	18	430.0
2022	7	17	430.0
2022	7	16	430.0
2022	7	15	430.0
2022	7	14	430.0
2022	7	13	295.0
2022	7	12	295.0
2022	7	11	295.0
2022	7	10	295.0
2022	7	9	295.0
2022	7	8	295.0
2022	7	7	295.0
2022	7	6	295.0
2022	7	5	295.0
2022	7	4	295.0
2022	7	3	295.0
2022	7	2	295.0
2022	7	1	295.0
2022	6	30	295.0
2022	6	29	295.0
2022	6	28	295.0
2022	6	27	295.0
2022	6	26	295.0
2022	6	25	295.0
2022	6	24	295.0
2022	6	23	295.0
2022	6	22	295.0
2022	6	21	295.0
2022	6	20	295.0
2022	6	19	295.0
2022	6	18	295.0
2022	6	17	295.0
2022	6	16	295.0
2022	6	15	295.0
2022	6	14	295.0
2022	6	13	295.0
2022	6	12	295.0
2022	6	11	295.0
2022	6	10	295.0
2022	6	9	295.0
2022	6	8	295.0
2022	6	7	295.0
2022	6	6	295.0
2022	6	5	295.0
2022	6	4	295.0
2022	6	3	295.0
2022	6	2	295.0
2022	6	1	295.0
2022	5	31	295.0
2022	5	30	295.0
2022	5	29	295.0
2022	5	28	295.0
2022	5	27	295.0
2022	5	26	295.0
2022	5	25	295.0
2022	5	24	295.0
2022	5	23	295.0
2022	5	22	295.0
2022	5	21	295.0
2022	5	20	295.0
2022	5	19	295.0
2022	5	18	295.0
2022	5	17	295.0
2022	5	16	295.0
2022	5	15	295.0
2022	5	14	295.0
2022	5	13	295.0
2022	5	12	295.0
2022	5	11	295.0
2022	5	10	295.0
2022	5	9	295.0
2022	5	8	295.0
2022	5	7	295.0
2022	5	6	295.0
2022	5	5	295.0
2022	5	4	295.0
2022	5	3	295.0
2022	5	2	295.0
2022	5	1	295.0
2022	4	30	295.0
2022	4	29	295.0
2022	4	28	295.0
2022	4	27	295.0
2022	4	26	295.0
2022	4	25	295.0
2022	4	24	295.0
2022	4	23	295.0
2022	4	22	295.0
2022	4	21	295.0
2022	4	20	295.0
2022	4	19	295.0
2022	4	18	295.0
2022	4	17	295.0
2022	4	16	295.0
2022	4	15	295.0
2022	4	14	295.0
2022	4	13	295.0
2022	4	12	295.0
2022	4	11	295.0
2022	4	10	295.0
2022	4	9	295.0
2022	4	8	295.0
2022	4	7	295.0
2022	4	6	295.0
2022	4	5	295.0
2022	4	4	295.0
2022	4	3	295.0
2022	4	2	295.0
2022	4	1	295.0
2022	3	31	294.0
2022	3	30	294.0
2022	3	29	294.0
2022	3	28	294.0
2022	3	27	294.0
2022	3	26	294.0
2022	3	25	291.0
2022	3	24	291.0
2022	3	23	291.0
2022	3	22	291.0
2022	3	21	291.0
2022	3	20	291.0
2022	3	19	291.0
2022	3	18	291.0
2022	3	17	291.0
2022	3	16	291.0
2022	3	15	291.0
2022	3	14	291.0
2022	3	13	291.0
2022	3	12	291.0
2022	3	11	291.0
2022	3	10	291.0
2022	3	9	291.0
2022	3	8	291.0
2022	3	7	291.0
2022	3	6	291.0
2022	3	5	438.0
2022	3	4	438.0
2022	3	3	438.0
2022	3	2	438.0
2022	3	1	438.0
2022	2	28	438.0
2022	2	27	438.0
2022	2	26	438.0
2022	2	25	596.0
2022	2	24	597.0
2022	2	23	600.0
2022	2	22	600.0
2022	2	21	600.0
2022	2	20	600.0
2022	2	19	298.0
2022	2	18	298.0
2022	2	17	298.0
2022	2	16	298.0
2022	2	15	451.0
2022	2	14	298.0
2022	2	13	298.0
2022	2	12	298.0
2022	2	11	298.0
2022	2	10	298.0
2022	2	9	298.0
2022	2	8	298.0
2022	2	7	298.0
2022	2	6	298.0
2022	2	5	298.0
2022	2	4	298.0
2022	2	3	298.0
2022	2	2	298.0
2022	2	1	298.0
2022	1	31	298.0
2022	1	30	298.0
2022	1	29	298.0
2022	1	28	298.0
2022	1	27	298.0
2022	1	26	300.0
2022	1	25	450.0
2022	1	24	300.0
2022	1	23	300.0
2022	1	22	300.0
2022	1	21	300.0
2022	1	20	300.0
2022	1	19	300.0
2022	1	18	300.0
2022	1	17	300.0
2022	1	16	300.0
2022	1	15	300.0
2022	1	14	300.0
2022	1	13	300.0
2022	1	12	300.0
2022	1	11	300.0
2022	1	10	300.0
2022	1	9	300.0
2022	1	8	300.0
2022	1	7	300.0
2022	1	6	300.0
2022	1	5	300.0
2022	1	4	300.0
2022	1	3	300.0
2022	1	2	300.0
2022	1	1	300.0
2021	12	31	300.0
2021	12	30	300.0
2021	12	29	444.0
2021	12	28	444.0
2021	12	27	444.0
2021	12	26	444.0
2021	12	25	444.0
2021	12	24	444.0
2021	12	23	448.0
2021	12	22	460.0
2021	12	21	460.0
2021	12	20	520.0
2021	12	19	304.0
2021	12	18	304.0
2021	12	17	304.0
2021	12	16	304.0
2021	12	15	304.0
2021	12	14	304.0
2021	12	13	304.0
2021	12	12	304.0
2021	12	11	376.0
2021	12	10	306.0
2021	12	9	314.0
2021	12	8	314.0
2021	12	7	314.0
2021	12	6	397.0
2021	12	5	397.0
2021	12	4	397.0
2021	12	3	397.0
2021	12	2	397.0
2021	12	1	397.0
2021	11	30	354.0
2021	11	29	354.0
2021	11	28	397.0
2021	11	27	397.0
2021	11	26	390.0
2021	11	25	354.0
2021	11	24	448.0
2021	11	23	448.0
2021	11	22	354.0
2021	11	21	354.0
2021	11	20	354.0
2021	11	19	354.0
2021	11	18	354.0
2021	11	17	454.0
2021	11	16	354.0
2021	11	15	354.0
2021	11	14	334.0
2021	11	13	354.0
2021	11	12	354.0
2021	11	11	354.0
2021	11	10	354.0
2021	11	9	354.0
2021	11	8	354.0
2021	11	7	354.0
2021	11	6	354.0
2021	11	5	354.0
2021	11	4	354.0
2021	11	3	354.0
2021	11	2	354.0
2021	11	1	354.0
2021	10	31	354.0
2021	10	30	354.0
2021	10	29	354.0
2021	10	28	333.0
2021	10	27	333.0
2021	10	26	333.0
2021	10	25	333.0
2021	10	24	333.0
2021	10	23	344.0
2021	10	22	332.0
2021	10	21	332.0
2021	10	20	342.0
2021	10	19	342.0
2021	10	18	342.0
2021	10	17	342.0
2021	10	16	342.0
2021	10	15	284.0
2021	10	14	284.0
2021	10	13	284.0
2021	10	12	284.0
2021	10	11	284.0
2021	10	10	284.0
2021	10	9	284.0
2021	10	8	284.0
2021	10	7	284.0
2021	10	6	304.0
2021	10	5	304.0
2021	10	4	304.0
2021	10	3	304.0
2021	10	2	304.0
2021	10	1	304.0
2021	9	30	396.0
2021	9	29	396.0
2021	9	28	396.0
2021	9	27	396.0
2021	9	26	300.0
2021	9	25	300.0
2021	9	24	300.0
2021	9	23	300.0
2021	9	22	448.0
2021	9	21	448.0
2021	9	20	448.0
2021	9	19	300.0
2021	9	18	448.0
2021	9	17	448.0
2021	9	16	448.0
2021	9	15	448.0
2021	9	14	448.0
2021	9	13	448.0
2021	9	12	300.0
2021	9	11	448.0
2021	9	10	448.0
2021	9	9	423.0
2021	9	8	446.0
2021	9	7	300.0
2021	9	6	300.0
2021	9	5	300.0
2021	9	4	300.0
2021	9	3	447.0
2021	9	2	447.0
2021	9	1	447.0
2021	8	31	445.0
2021	8	30	445.0
2021	8	29	300.0
2021	8	28	300.0
2021	8	27	445.0
2021	8	26	445.0
2021	8	25	445.0
2021	8	24	445.0
2021	8	23	445.0
2021	8	22	300.0
2021	8	21	445.0
2021	8	20	437.0
2021	8	19	437.0
2021	8	18	437.0
2021	8	17	437.0
2021	8	16	437.0
2021	8	15	437.0
2021	8	14	437.0
2021	8	13	444.0
2021	8	12	444.0
2021	8	11	444.0
2021	8	10	444.0
2021	8	9	444.0
2021	8	8	444.0
2021	8	7	444.0
2021	8	6	444.0
2021	8	5	444.0
2021	8	4	444.0
2021	8	3	444.0
2021	8	2	444.0
2021	8	1	300.0
2021	7	31	441.0
2021	7	30	441.0
2021	7	29	441.0
2021	7	28	441.0
2021	7	27	441.0
2021	7	26	441.0
2021	7	25	447.0
2021	7	24	447.0
2021	7	23	447.0
2021	7	22	447.0
2021	7	21	447.0
2021	7	20	447.0
2021	7	19	447.0
2021	7	18	300.0
2021	7	17	300.0
2021	7	16	300.0
2021	7	15	300.0
2021	7	14	300.0
2021	7	13	300.0
2021	7	12	300.0
2021	7	11	300.0
2021	7	10	300.0
2021	7	9	300.0
2021	7	8	300.0
2021	7	7	300.0
2021	7	6	300.0
2021	7	5	300.0
2021	7	4	300.0
2021	7	3	300.0
2021	7	2	300.0
2021	7	1	300.0
2021	6	30	300.0
2021	6	29	300.0
2021	6	28	300.0
2021	6	27	300.0
2021	6	26	300.0
2021	6	25	300.0
2021	6	24	300.0
2021	6	23	300.0
2021	6	22	300.0
2021	6	21	300.0
2021	6	20	300.0
2021	6	19	300.0
2021	6	18	300.0
2021	6	17	300.0
2021	6	16	300.0
2021	6	15	300.0
2021	6	14	300.0
2021	6	13	300.0
2021	6	12	300.0
2021	6	11	300.0
2021	6	10	300.0
2021	6	9	300.0
2021	6	8	300.0
2021	6	7	300.0
2021	6	6	300.0
2021	6	5	300.0
2021	6	4	300.0
2021	6	3	300.0
2021	6	2	300.0
2021	6	1	300.0
2021	5	31	300.0
2021	5	30	300.0
2021	5	29	300.0
2021	5	28	300.0
2021	5	27	300.0
2021	5	26	300.0
2021	5	25	300.0
2021	5	24	300.0
2021	5	23	300.0
2021	5	22	300.0
2021	5	21	300.0
2021	5	20	300.0
2021	5	19	300.0
