data	cota
2023-01-31	362.0
2023-01-30	368.0
2023-01-29	310.0
2023-01-28	356.0
2023-01-27	358.0
2023-01-26	345.0
2023-01-25	348.0
2023-01-24	286.0
2023-01-23	281.0
2023-01-22	282.0
2023-01-21	240.0
2023-01-20	240.0
2023-01-19	290.0
2023-01-18	314.0
2023-01-17	364.0
2023-01-16	345.0
2023-01-15	400.0
2023-01-14	404.0
2023-01-13	418.0
2023-01-12	500.0
2023-01-11	404.0
2023-01-10	220.0
2023-01-09	232.0
2023-01-08	270.0
2023-01-07	222.0
2023-01-06	228.0
2023-01-05	334.0
2023-01-04	235.0
2023-01-03	174.0
2023-01-02	168.0
2023-01-01	171.0
2022-01-31	248.0
2022-01-30	205.0
2022-01-29	236.0
2022-01-28	323.0
2022-01-27	322.0
2022-01-26	321.0
2022-01-25	244.0
2022-01-24	182.0
2022-01-23	182.0
2022-01-22	184.0
2022-01-21	184.0
2022-01-20	186.0
2022-01-19	187.0
2022-01-18	189.0
2022-01-17	193.0
2022-01-16	193.0
2022-01-15	196.0
2022-01-14	201.0
2022-01-13	212.0
2022-01-12	226.0
2022-01-11	231.0
2022-01-10	263.0
2022-01-09	305.0
2022-01-08	300.0
2022-01-07	224.0
2022-01-06	218.0
2022-01-05	240.0
2022-01-04	258.0
2022-01-03	247.0
2022-01-02	261.0
2022-01-01	283.0
2021-12-31	354.0
2021-12-30	486.0
2021-12-29	759.0
2021-12-28	703.0
2021-12-27	377.0
2021-12-26	342.0
2021-12-25	380.0
2021-12-24	310.0
2021-12-23	275.0
2021-12-22	339.0
2021-12-21	357.0
2021-12-20	524.0
2021-12-19	445.0
2021-12-18	173.0
2021-12-17	188.0
2021-12-16	184.0
2021-12-15	192.0
2021-12-14	203.0
2021-12-13	247.0
2021-12-12	391.0
2021-12-11	254.0
2021-12-10	238.0
2021-12-09	258.0
2021-12-08	310.0
2021-12-07	193.0
2021-12-06	186.0
2021-12-05	197.0
2021-12-04	217.0
2021-12-03	230.0
2021-12-02	251.0
2021-12-01	252.0
2021-11-30	256.0
2021-11-29	260.0
2021-11-28	170.0
2021-11-27	208.0
2021-11-26	256.0
2021-11-25	260.0
2021-11-24	230.0
2021-11-23	288.0
2021-11-22	176.0
2021-11-21	162.0
2021-11-20	178.0
2021-11-19	190.0
2021-11-18	250.0
2021-11-17	304.0
2021-11-16	258.0
2021-11-15	258.0
2021-11-14	259.0
2021-11-13	316.0
2021-11-12	354.0
2021-11-11	247.0
2021-11-10	221.0
2021-11-09	226.0
2021-11-08	216.0
2021-11-07	160.0
2021-11-06	165.0
2021-11-05	274.0
2021-11-04	200.0
2021-11-03	188.0
