data	vazao
2021-12-31	594.555
2021-12-30	674.776
2021-12-29	674.776
2021-12-28	674.776
2021-12-27	674.776
2021-12-26	674.776
2021-12-25	674.776
2021-12-24	674.776
2021-12-23	674.776
2021-12-22	648.218
2021-12-21	344.605
2021-12-20	547.752
2021-12-19	21.338
2021-12-18	33.287
2021-12-17	41.603
2021-12-16	44.332
2021-12-15	47.156
2021-12-14	51.872
2021-12-13	68.904
2021-12-12	655.404
2021-12-11	431.151
2021-12-10	255.358
2021-12-09	358.3
2021-12-08	41.068
2021-12-07	44.332
2021-12-06	49.484
2021-12-05	52.479
2021-12-04	64.74
2021-12-03	73.21
2021-12-02	7.101
2021-12-01	7.911
2021-11-30	9.004
2021-11-29	10.189
2021-11-28	11.206
2021-11-27	12.285
2021-11-26	13.429
2021-11-25	14.026
2021-11-24	14.952
2021-11-23	15.917
2021-11-22	17.964
2021-11-21	16.92
2021-11-20	2.483
2021-11-19	1.011
2021-11-18	1.444
2021-11-17	3.911
2021-11-16	7.703
2021-11-15	12.285
2021-11-14	14.952
2021-11-13	18.681
2021-11-12	22.959
2021-11-11	28.765
2021-11-10	56.834
2021-11-09	110.999
2021-10-09	0.001
2021-10-08	0.001
2021-10-07	0.001
2021-10-06	0.003
2021-10-05	0.003
2021-10-04	0.019
2021-10-03	0.036
2021-10-02	0.051
2021-10-01	0.07
2021-09-30	0.08
2021-09-29	0.131
2021-09-28	0.178
2021-09-27	0.233
2021-09-26	0.321
2021-09-25	0.397
2021-09-24	0.453
2021-09-23	0.513
2021-09-22	0.577
2021-09-21	0.646
2021-09-20	0.72
2021-09-19	0.72
2021-09-18	0.797
2021-09-17	0.879
2021-09-16	0.966
2021-09-15	1.058
2021-09-14	1.154
2021-09-13	1.255
2021-09-12	1.444
2021-09-11	1.624
2021-09-10	1.817
2021-09-09	0.131
2021-09-08	
2021-09-07	
2021-09-06	
2021-09-05	
2021-09-04	
2021-09-03	
2021-09-02	
2021-09-01	
2021-08-28	0.001
2021-08-27	0.003
2021-08-26	0.003
2021-08-25	0.003
2021-08-24	0.007
2021-08-23	0.007
2021-08-22	0.014
2021-08-21	0.014
2021-08-20	0.024
2021-08-19	0.036
2021-08-18	0.036
2021-08-17	0.07
2021-08-16	0.051
2021-08-15	0.051
2021-08-14	0.051
2021-08-13	0.07
2021-08-12	0.07
2021-08-11	0.07
2021-08-10	0.092
2021-08-09	0.117
2021-08-08	0.117
2021-08-07	0.146
2021-08-06	0.178
2021-08-05	0.178
2021-08-04	0.178
2021-08-03	0.178
2021-08-02	0.001
2021-08-01	0.001
2021-07-31	0.001
2021-07-30	0.003
2021-07-29	0.003
2021-07-28	0.003
2021-07-27	0.003
2021-07-26	0.003
2021-07-25	0.007
2021-07-24	0.007
2021-07-23	0.014
2021-07-22	0.014
2021-07-21	0.024
2021-07-20	0.024
2021-07-19	0.014
2021-07-18	0.024
2021-07-17	0.036
2021-07-16	0.036
2021-07-15	0.051
2021-07-14	0.051
2021-07-13	0.051
2021-07-12	0.07
2021-07-11	0.07
2021-07-10	0.092
2021-07-09	0.117
2021-07-08	0.117
2021-07-07	0.146
2021-07-06	0.178
2021-07-05	0.178
2021-07-04	0.178
2021-07-03	0.178
2021-07-02	0.178
2021-07-01	0.214
2021-06-30	0.214
2021-06-29	0.214
2021-06-28	0.214
2021-06-27	0.254
2021-06-26	0.254
2021-06-25	0.298
2021-06-24	0.298
2021-06-23	0.345
2021-06-22	0.345
2021-06-21	0.345
2021-06-20	0.397
2021-06-19	0.397
2021-06-18	0.453
2021-06-17	0.453
2021-06-16	0.453
2021-06-15	0.513
2021-06-14	0.577
2021-06-13	0.577
2021-06-12	0.577
2021-05-01	
2021-04-30	
2021-04-29	
2021-04-28	
2021-04-27	
2021-04-26	0.001
2021-04-25	0.003
2021-04-24	0.003
2021-04-23	0.007
2021-04-22	0.019
2021-04-21	0.024
2021-04-20	0.043
2021-04-19	0.051
2021-04-18	0.07
