ano	mes	dia	vazao
2023	1	31	412.661
2023	1	30	394.987
2023	1	29	327.618
2023	1	28	398.089
2023	1	27	401.198
2023	1	26	519.977
2023	1	25	379.583
2023	1	24	297.719
2023	1	23	247.85
2023	1	22	245.724
2023	1	21	143.636
2023	1	20	136.949
2023	1	19	227.971
2023	1	18	302.339
2023	1	17	394.987
2023	1	16	406.397
2023	1	15	489.987
2023	1	14	507.695
2023	1	13	516.619
2023	1	12	709.222
2023	1	11	489.987
2023	1	10	297.719
2023	1	9	141.113
2023	1	8	169.909
2023	1	7	122.402
2023	1	6	186.564
2023	1	5	230.03
2023	1	4	149.598
2023	1	3	99.72
2023	1	2	64.598
2023	1	1	58.707
2022	12	31	75.8
2022	12	30	125.575
2022	12	29	235.212
2022	12	28	379.583
2022	12	27	374.489
2022	12	26	278.423
2022	12	25	102.63
2022	12	24	349.327
2022	12	23	359.33
2022	12	22	355.319
2022	12	21	300.025
2022	12	20	339.409
2022	12	19	279.543
2022	12	18	203.878
2022	12	17	353.318
2022	12	16	515.501
2022	12	15	646.219
2022	12	14	169.909
2022	12	13	228.999
2022	12	12	69.483
2022	12	11	84.359
2022	12	10	162.72
2022	12	9	343.366
2022	12	8	73.88
2022	12	7	53.611
2022	12	6	55.852
2022	12	5	72.612
2022	12	4	88.44
2022	12	3	259.68
2022	12	2	345.349
2022	12	1	352.319
2022	11	30	429.503
2022	11	29	402.237
2022	11	28	232.097
2022	11	27	143.636
2022	11	26	271.745
2022	11	25	217.793
2022	11	24	121.615
2022	11	23	104.098
2022	11	22	62.806
2022	11	21	52.506
2022	11	20	55.852
2022	11	19	56.987
2022	11	18	62.806
2022	11	17	85.71
2022	11	16	109.307
2022	11	15	51.41
2022	11	14	51.41
2022	11	13	53.611
2022	11	12	55.852
2022	11	11	80.36
2022	11	10	127.174
2022	11	9	132.023
2022	11	8	136.123
2022	11	7	138.608
2022	11	6	80.36
2022	11	5	68.864
2022	11	4	87.754
2022	11	3	141.952
2022	11	2	59.285
2022	11	1	144.482
2022	10	31	227.971
2022	10	30	171.727
2022	10	29	119.264
2022	10	28	125.575
2022	10	27	94.008
2022	10	26	106.317
2022	10	25	146.179
2022	10	24	61.623
2022	10	23	51.41
2022	10	22	51.41
2022	10	21	75.158
2022	10	20	200.947
2022	10	19	188.456
2022	10	18	121.615
2022	10	17	51.41
2022	10	16	79.046
2022	10	15	62.806
2022	10	14	141.113
2022	10	13	141.952
2022	10	12	54.727
2022	10	11	53.611
2022	10	10	84.359
2022	10	9	66.412
2022	10	8	97.562
2022	10	7	135.299
2022	10	6	53.611
2022	10	5	68.864
2022	10	4	111.572
2022	10	3	130.398
2022	10	2	51.41
2022	10	1	81.021
2022	9	30	169.909
2022	9	29	196.102
2022	9	28	184.681
2022	9	27	169.909
2022	9	26	201.922
2022	9	25	51.41
2022	9	24	87.071
2022	9	23	244.664
2022	9	22	255.351
2022	9	21	164.505
2022	9	20	180.939
2022	9	19	116.161
2022	9	18	51.41
2022	9	17	111.572
2022	9	16	138.608
2022	9	15	54.727
2022	9	14	49.248
2022	9	13	49.248
2022	9	12	49.248
2022	9	11	63.998
2022	9	10	51.41
2022	9	9	48.181
2022	9	8	47.125
2022	9	7	71.353
2022	9	6	145.329
2022	9	5	157.415
2022	9	4	153.92
2022	9	3	135.299
2022	9	2	101.171
2022	9	1	102.63
2022	8	31	143.636
2022	8	30	141.113
2022	8	29	85.033
2022	8	28	48.713
2022	8	27	49.248
2022	8	26	59.866
2022	8	25	51.41
2022	8	24	51.41
2022	8	23	51.41
2022	8	22	51.41
2022	8	21	65.201
2022	8	20	51.41
2022	8	19	54.727
2022	8	18	67.022
2022	8	17	132.839
2022	8	16	252.125
2022	8	15	125.575
2022	8	14	62.806
2022	8	13	104.836
2022	8	12	216.786
2022	8	11	268.431
2022	8	10	268.431
2022	8	9	266.232
2022	8	8	136.123
2022	8	7	47.125
2022	8	6	76.444
2022	8	5	271.745
2022	8	4	269.534
2022	8	3	256.431
2022	8	2	273.963
2022	8	1	138.608
2022	7	31	266.232
2022	7	30	206.827
2022	7	29	216.786
2022	7	28	268.431
2022	7	27	268.431
2022	7	26	222.857
2022	7	25	129.589
