ds	y	chuva1	chuva2	chuva3	cota1	cota2	cota3	chuva4	cota4	vazao1	chuva5	cota5	vazao2	vazao3	vazao4	vazao5
2023-01-31	412.661	0.0	0.0	0.0	479.0		362.0	0.0	50832.16666666666	339.43458333333336	0.0	488.1666666666667	326.47208333333333		541.65	
2023-01-30	394.987	0.0	0.0	0.0	479.0		368.0	0.0	50834.086956521736	309.0782608695652	0.0	473.9565217391304	296.34521739130435		541.65	
2023-01-29	327.618	0.0	0.0	0.0	479.0		310.0	0.0	50823.69565217391	255.84608695652173	0.0	444.6521739130435	239.67826086956524		541.65	
2023-01-28	398.089	0.0	0.0	0.0	481.0		356.0	0.0	50802.66666666666	273.3533333333333	0.0	457.625	263.9216666666667		549.169	
2023-01-27	401.198	0.0	22.3	12.9	481.0		358.0	0.0	50790.5	291.22208333333333	0.0	469.0833333333333	286.1525		549.169	
2023-01-26	519.977	18.4	12.8	1.9	481.0		345.0	3.0	50789.208333333336	303.4925	1.0	471.8333333333333	291.7020833333333		549.169	
2023-01-25	379.583	38.2	0.0	10.6	481.0		348.0	0.0	50790.54166666666	301.6116666666667	16.599999999999998	471.5833333333333	291.1875		549.169	
2023-01-24	297.719	0.0	0.0	0.0	489.0		286.0	0.0	50793.125	212.19416666666663	2.6	404.5	184.45791666666665		579.633	
2023-01-23	247.85	10.4	0.0	0.0	489.0		281.0	0.0	50783.25	52.98708333333334	0.2	326.8333333333333	70.43416666666667		579.633	
2023-01-22	245.724	16.2	40.1	25.6	489.0		282.0	6.0	50770.583333333336	62.95708333333334	22.6	330.75	73.60291666666667		579.633	
2023-01-21	143.636	25.4	17.2	20.0	492.0		240.0	16.0	50754.208333333336	47.43	40.4	325.9166666666667	69.58833333333332		591.216	
2023-01-20	136.949	0.0	37.1	99.6	492.0		240.0	67.5	50734.708333333336	47.67041666666666	48.6	321.0833333333333	65.70958333333333		591.216	
2023-01-19	227.971	0.0	0.0	4.3	492.0		290.0	3.0	50720.333333333336	80.27	0.0	349.75	99.705		129.113	
2023-01-18	302.339	0.0	0.0	0.0	492.0		314.0	0.0	50715.625	202.58041666666668	0.0	421.0833333333333	196.06708333333333		591.216	
2023-01-17	394.987	18.2	0.0	0.0	492.0		364.0	0.0	50713.16666666666	342.06166666666667	0.0	490.4166666666667	331.935		591.216	
2023-01-16	406.397	0.0	0.0	0.0	492.0		345.0	0.0	50711.75	348.7270833333334	0.0	489.2916666666667	329.415		591.216	
2023-01-15	489.987	16.4	0.0	0.0	492.0		400.0	0.0	50706.25	380.5758333333333	0.0	506.8333333333333	368.85125		591.216	
2023-01-14	507.695	10.8	8.1	0.0	512.0		404.0	0.0	50700.25	404.3475	0.2	514.1666666666666	385.21875		670.622	
2023-01-13	516.619	0.0	4.3	0.0	512.0		418.0	0.0	50694.25	485.7708333333333	0.0	547.2083333333334	466.49916666666667		670.622	
2023-01-12	709.222	11.4	0.0	0.0	512.0		500.0	0.0	50677.79166666666	506.3420833333333	0.2	555.2916666666666	486.9125		670.622	
2023-01-11	489.987	40.0	0.0	0.0	512.0		404.0	0.0	50650.875	390.12375	0.4	506.75	368.6429166666667		670.622	
2023-01-10	297.719	0.0	28.2	0.0	444.0		220.0	0.0	50618.54166666666	249.1925	38.2	441.5	233.56916666666663		416.541	
2023-01-09	141.113	0.0	10.2	0.0	310.0		232.0	8.5	50587.29166666666	104.6175	0.0	333.1666666666667	87.89958333333334		66.755	
2023-01-08	169.909	0.0	5.1	0.0	310.0		270.0	0.0	50563.625	47.48916666666667	0.0	301.4166666666667	50.83916666666666		66.755	
2023-01-07	122.402	0.0	6.2	0.2	310.0		222.0	0.5	50547.04166666666	47.4	0.4	308.0833333333333	55.759166666666665		66.755	
2023-01-06	186.564	0.0	42.7	10.1	310.0		228.0	17.0	50531.54166666666	47.520833333333336	12.6	316.4583333333333	62.08833333333333		66.755	
2023-01-05	230.03	2.5	36.9	9.6	310.0		334.0	3.0	50516.04166666666	103.0625	3.0	365.375	125.3275		66.755	
2023-01-04	149.598	0.0	2.8	15.3	344.0		235.0	6.5	50511.41666666666	161.08916666666667	1.8	393.9583333333333	156.05458333333334		133.506	
2023-01-03	99.72	10.2	3.2	12.0	344.0		174.0	0.0	50511.125	159.31041666666667	17.6	392.4583333333333	153.10958333333335		133.506	
2023-01-02	64.598	0.0	0.0	0.0	344.0		168.0	0.0	50512.333333333336	91.86625	0.0	319.5	72.16166666666668		133.506	
2023-01-01	58.707	0.0	0.0	0.0	344.0		171.0	0.0	50506.29166666666	46.82583333333333	0.0	299.2916666666667	49.3175		133.506	
2022-12-31	75.8	0.0	0.0	0.0	344.0			0.0	50497.75	46.57583333333333	0.0	304.3333333333333	52.96416666666667		133.506	
2022-12-30	125.575	0.0	0.0	0.0	344.0			0.0	50485.66666666666	101.0575	0.0	360.5416666666667	120.58875		133.506	
2022-12-29	235.212	0.0	0.0	0.0	344.0			0.0	50475.583333333336	249.88041666666663	0.0	445.0833333333333	238.57		133.506	
2022-12-28	379.583	0.0	0.0	0.0	344.0			0.0	50465.5	249.7541666666667	0.0	445.2916666666667	238.96416666666667		133.506	
2022-12-27	374.489	9.0	0.0	0.0	312.0			0.0	50454.17647058824	251.54647058823528	0.7999999999999999	442.4117647058824	234.4705882352941		70.191	
2022-12-26	278.423	11.7	8.7	9.0	312.0			2.5	50440.208333333336	102.73958333333331	4.4	337.0	83.24166666666666		70.191	
2022-12-25	102.63	18.8	18.2	1.9	310.0			2.5	50410.208333333336	48.17583333333334	1.4	309.2083333333333	56.56583333333333		66.755	
2022-12-24	349.327	21.2	36.1	8.7	310.0			4.0	50370.958333333336	48.50458333333333	1.0	312.9166666666667	59.35833333333333		66.755	
2022-12-23	359.33	17.3	38.0	31.1	310.0			39.0	50321.708333333336	48.73208333333333	22.0	322.125	66.60333333333334		66.755	
2022-12-22	355.319	12.5	70.3	29.9	308.0			44.0	50269.65217391304	48.64913043478261	8.2	322.4347826086956	67.35826086956521		63.385	
2022-12-21	300.025	10.8	69.8	29.6	308.0			895.5	50224.21739130434	48.74652173913044	15.8	314.0434782608696	60.22130434782608		63.385	
2022-12-20	339.409	32.6	66.5	1.3	308.0			7.0	50183.79166666666	48.876666666666665	23.6	316.0416666666667	61.751666666666665		63.385	
2022-12-19	279.543	22.4	28.9	1.5	308.0			35.0	50129.79166666666	48.995000000000005	21.2	318.375	63.605		63.385	
2022-12-18	203.878	16.6	46.7	17.2	308.0			0.0	50075.91666666666	49.02125	1.0	315.6666666666667	61.470416666666665		63.385	
2022-12-17	353.318	28.2	32.8	20.0	308.0			1.0	50023.13043478261	49.45	6.4	318.1304347826087	63.361304347826085		63.385	
2022-12-16	515.501	42.8	86.2	21.0	308.0			1.0	49970.25	49.64166666666667	1.6	319.75	64.62083333333332		63.385	
2022-12-15	646.219	20.4	98.2	107.8	308.0			33.0	49929.125	49.78833333333333	43.8	347.7916666666667	93.45958333333334		63.385	
2022-12-14	169.909	10.8	10.4	2.1	312.0			43.0	49883.0	92.33125	100.2	375.2608695652174	133.8408695652174		70.191	
2022-12-13	228.999	18.2	0.0	0.0	448.0			1.0	49875.458333333336	202.45791666666665	9.6	399.60869565217394	179.15304347826086		430.208	
2022-12-12	69.483	0.0	4.1	0.0	380.0			0.0	49867.16666666666	48.595	0.0	308.6521739130435	56.15304347826087		221.641	
2022-12-11	84.359	0.0	5.3	17.6	380.0			3.0	49851.79166666666	48.68125	5.4	319.60869565217394	64.59		221.641	
2022-12-10	162.72	0.0	13.8	0.5	310.0			9.0	49829.77272727273	90.50727272727272	13.8	357.5	112.7075		66.755	
2022-12-09	343.366	16.2	10.1	62.1	310.0			21.0	49821.458333333336	117.78	36.4	365.2608695652174	113.54652173913044		66.755	
2022-12-08	73.88	32.5	14.8	0.0	310.0			3.0	49807.54166666666	49.180416666666666	11.4	314.375	60.59875		66.755	
2022-12-07	53.611	28.6	0.0	0.0	298.0			0.0	49790.260869565216	55.52608695652174	0.2	307.2608695652174	55.13130434782609		47.545	
2022-12-06	55.852	36.2	0.0	0.0	298.0			0.0	49771.66666666666	49.36000000000001	0.0	305.2083333333333	53.59291666666667		47.545	
2022-12-05	72.612	45.0	3.2	3.1	298.0			0.0	49752.75	48.876666666666665	1.4	308.39130434782606	55.95173913043477		47.545	
2022-12-04	88.44	12.2	5.4	0.3	298.0			0.0	49735.75	49.75083333333333	2.6	313.0416666666667	59.46375		47.545	
2022-12-03	259.68	22.8	4.2	33.5	298.0			1.0	49717.833333333336	106.60208333333334	2.8000000000000003	367.7083333333333	130.43666666666667		47.545	
2022-12-02	345.349	41.2	6.3	1.0	298.0			0.0	49708.41666666666	263.90541666666667	3.2	459.0	265.62375000000003		47.545	
2022-12-01	352.319	12.8	8.2	11.3	298.0			2.0	49698.0	263.81958333333336	14.6	458.4166666666667	264.46250000000003		47.545	
2022-11-30	429.503	48.6	12.4	48.6	448.0			21.0	49677.66666666666	262.8575	50.8	461.5	270.7490909090909		430.208	
2022-11-29	402.237	38.4	40.3	10.9	448.0			0.0	49662.708333333336	259.90958333333333	2.2	455.39130434782606	258.51260869565215		430.208	
2022-11-28	232.097	13.7	4.2	0.6	448.0			0.0	49660.79166666666	157.73749999999998	11.8	379.1739130434783	148.06478260869565		430.208	
2022-11-27	143.636	0.0	9.6	20.0	448.0			0.0	49644.875	50.01958333333334	5.4	313.2083333333333	59.59041666666667		430.208	
2022-11-26	271.745	0.0	43.2	14.6	448.0			4.0	49624.875	104.27541666666669	26.6	369.0	130.4575		430.208	
2022-11-25	217.793	40.4	32.1	9.8	448.0			0.0	49618.625	143.80083333333334	5.0	376.9166666666667	139.2525		430.208	
2022-11-24	121.615	15.2	82.3	19.0	448.0			4.0	49606.66666666666	95.44583333333333	40.2	353.0	103.39545454545454		430.208	
2022-11-23	104.098	0.0	0.0	0.3	298.0			6.0	49600.75	95.92875	3.0	342.1666666666667	92.13041666666668		47.545	
2022-11-22	62.806	0.0	0.0	1.0	298.0			0.0	49599.04166666666	95.75541666666668	0.0	340.2916666666667	89.12416666666667		47.545	
2022-11-21	52.506	0.0	10.1	0.6	298.0			1.0	49599.16666666666	81.68083333333333	0.6000000000000001	314.875	63.654583333333335		47.545	
2022-11-20	55.852	0.0	8.2	0.0	298.0			0.0	49594.5	50.23833333333334	0.0	301.5416666666667	50.923750000000005		47.545	
2022-11-19	56.987	0.0	0.0	0.0	298.0			0.0	49584.708333333336	55.05875	0.0	316.75	64.32041666666667		47.545	
2022-11-18	62.806	0.0	0.0	0.0	298.0			0.0	49569.375	68.03625	0.0	318.7916666666667	65.76541666666667		47.545	
2022-11-17	85.71	0.0	10.2	24.7	298.0			2.0	49548.125	68.83083333333333	0.0	320.1666666666667	66.94375000000001		47.545	
2022-11-16	109.307	78.2	95.0	15.8	298.0			35.0	49526.66666666666	64.39125	67.4	326.125	71.10708333333334		47.545	
2022-11-15	51.41	25.2	7.0	6.1	298.0			12.0	49509.833333333336	51.17958333333333	23.6	307.5833333333333	55.37125		47.545	
2022-11-14	51.41	0.0	0.2	0.2	298.0			0.0	49502.04166666666	51.1775	0.0	302.0	51.25625		47.545	
2022-11-13	53.611	0.0	0.5	0.0	298.0			0.0	49500.79166666666	51.048750000000005	0.0	303.125	52.07458333333333		47.545	
2022-11-12	55.852	0.0	0.0	0.0	298.0			0.0	49502.79166666666	69.73958333333333	0.0	333.375	84.61583333333333		47.545	
2022-11-11	80.36	0.0	0.0	0.0	298.0			0.0	49507.91666666666	93.39208333333332	0.0	339.375	90.94208333333334		47.545	
2022-11-10	127.174	0.0	0.0	0.0	298.0			0.0	49512.833333333336	94.13583333333334	0.0	339.7916666666667	91.105		47.545	
2022-11-09	132.023	0.0	0.0	0.0	298.0			0.0	49517.454545454544	87.68571428571428	0.0	337.8636363636364	86.99909090909091		47.545	
2022-11-08	136.123	0.0	0.0	0.0	298.0			0.0	49521.458333333336	84.59583333333333	0.0	318.2083333333333	67.12375		47.545	
2022-11-07	138.608	0.0	0.0	0.0	298.0			0.0	49520.91666666666	51.82041666666667	0.0	301.8333333333333	51.142500000000005		47.545	
2022-11-06	80.36	0.0	0.0	0.0	438.0			0.0	49517.625	50.87375	0.0	302.2916666666667	51.47166666666666		190.414	
2022-11-05	68.864	0.0	0.0	0.0	438.0			0.0	49511.208333333336	64.00875	1.2	327.0833333333333	75.28875000000001		190.414	
2022-11-04	87.754	14.6	14.6	10.7	438.0			10.0	49505.66666666666	102.97125	3.6	353.1666666666667	108.74875		200.624	
2022-11-03	141.952	72.8	12.2	34.3	438.0			20.0	49500.04166666666	119.39083333333332	11.2	358.4166666666667	109.36958333333332		200.624	
2022-11-02	59.285	14.8	15.4	19.6	438.0			30.0	49490.125	93.99	59.400000000000006	352.5416666666667	105.64458333333332		200.624	
2022-11-01	144.482	0.0	0.0	0.0	438.0			1.0	49495.79166666666	153.01375	3.4	384.0	144.51375		200.624	
2022-10-31	227.971	0.0	0.0	0.0	398.0			0.0	49505.875	138.81458333333333	0.2	367.9583333333333	122.50375		151.626	
2022-10-30	171.727	0.0	0.0	0.0	398.0			0.0	49512.625	79.66416666666667	0.0	328.8333333333333	76.715		151.626	
