dia	mes	ano	vazao
31	3	2022	
30	3	2022	
29	3	2022	
28	3	2022	
27	3	2022	
26	3	2022	
25	3	2022	
24	3	2022	
23	3	2022	145.207
22	3	2022	
21	3	2022	
20	3	2022	
19	3	2022	
18	3	2022	
17	3	2022	
16	3	2022	
15	3	2022	
14	3	2022	
13	3	2022	
12	3	2022	
11	3	2022	
10	3	2022	
9	3	2022	
8	3	2022	
7	3	2022	
6	3	2022	
5	3	2022	
4	3	2022	
3	3	2022	
2	3	2022	
1	3	2022	
31	3	2021	37.9247
30	3	2021	34.5625
29	3	2021	37.0643
28	3	2021	39.2405
27	3	2021	41.5016
26	3	2021	44.8131
25	3	2021	48.2991
24	3	2021	52.5027
23	3	2021	56.9474
22	3	2021	62.2446
21	3	2021	67.225
20	3	2021	73.8213
19	3	2021	77.9822
18	3	2021	84.517
17	3	2021	95.4039
16	3	2021	94.5964
15	3	2021	88.3029
14	3	2021	83.7733
13	3	2021	76.5781
12	3	2021	69.1601
11	3	2021	62.853
10	3	2021	57.5203
9	3	2021	53.591
8	3	2021	58.6778
7	3	2021	67.8659
6	3	2021	69.1601
5	3	2021	64.0819
4	3	2021	58.6778
3	3	2021	
2	3	2021	
1	3	2021	
28	2	2021	703.134
27	2	2021	732.14
26	2	2021	765.418
25	2	2021	798.828
24	2	2021	891.352
23	2	2021	828.167
22	2	2021	727.99
21	2	2021	278.851
20	2	2021	292.463
19	2	2021	304.737
18	2	2021	315.532
17	2	2021	328.449
16	2	2021	347.517
15	2	2021	365.307
14	2	2021	527.783
13	2	2021	182.488
12	2	2021	170.215
11	2	2021	156.241
10	2	2021	103.737
9	2	2021	88.3029
8	2	2021	44.3294
7	2	2021	49.8476
6	2	2021	56.3784
5	2	2021	56.3784
4	2	2021	63.4655
3	2	2021	67.8659
2	2	2021	74.5041
1	2	2021	78.6908
31	1	2021	203.349
30	1	2021	217.175
29	1	2021	234.589
28	1	2021	264.057
27	1	2021	278.851
26	1	2021	301.195
25	1	2021	322.87
24	1	2021	313.715
23	1	2021	301.195
22	1	2021	285.602
21	1	2021	273.859
20	1	2021	262.447
19	1	2021	265.674
18	1	2021	280.528
17	1	2021	295.935
16	1	2021	313.715
15	1	2021	328.449
14	1	2021	347.517
13	1	2021	347.517
12	1	2021	328.449
11	1	2021	295.935
10	1	2021	277.18
9	1	2021	268.927
8	1	2021	257.656
7	1	2021	245.171
6	1	2021	234.589
5	1	2021	199.321
4	1	2021	210.185
3	1	2021	248.253
2	1	2021	239.085
1	1	2021	212.962
31	12	2020	46.2854
30	12	2020	51.9642
29	12	2020	56.9474
28	12	2020	207.432
27	12	2020	217.175
26	12	2020	248.253
25	12	2020	228.683
24	12	2020	240.597
23	12	2020	251.361
22	12	2020	259.246
21	12	2020	248.253
20	12	2020	231.623
19	12	2020	204.704
18	12	2020	185.013
17	12	2020	179.987
16	12	2020	191.427
15	12	2020	204.704
14	12	2020	220.014
13	12	2020	245.171
12	12	2020	257.656
11	12	2020	273.859
10	12	2020	292.463
9	12	2020	311.905
8	12	2020	302.963
7	12	2020	299.435
6	12	2020	283.904
5	12	2020	268.927
4	12	2020	259.246
3	12	2020	299.435
2	12	2020	317.356
1	12	2020	
30	11	2020	116.211
29	11	2020	138.846
28	11	2020	148.46
27	11	2020	160.809
26	11	2020	170.215
25	11	2020	181.235
24	11	2020	194.034
23	11	2020	208.805
22	11	2020	221.443
21	11	2020	228.683
20	11	2020	239.085
19	11	2020	252.925
18	11	2020	267.297
17	11	2020	302.963
16	11	2020	337.892
15	11	2020	357.326
14	11	2020	440.355
13	11	2020	538.167
12	11	2020	564.732
11	11	2020	589.387
10	11	2020	637.247
9	11	2020	678.357
8	11	2020	719.696
7	11	2020	765.418
6	11	2020	790.464
5	11	2020	832.366
4	11	2020	866.027
3	11	2020	916.742
2	11	2020	963.455
1	11	2020	1014.65
31	10	2020	178.746
30	10	2020	163.127
29	10	2020	152.873
28	10	2020	143.065
27	10	2020	107.203
26	10	2020	112.549
25	10	2020	119.953
24	10	2020	130.663
23	10	2020	145.207
22	10	2020	156.241
21	10	2020	164.294
20	10	2020	173.837
19	10	2020	185.013
18	10	2020	196.665
17	10	2020	146.286
16	10	2020	68.5109
15	10	2020	73.8213
14	10	2020	79.4037
13	10	2020	88.3029
12	10	2020	97.0327
11	10	2020	104.596
10	10	2020	111.645
9	10	2020	118.072
8	10	2020	116.211
7	10	2020	147.37
6	10	2020	50.8985
5	10	2020	45.3003
4	10	2020	40.5868
3	10	2020	37.4928
2	10	2020	41.9641
1	10	2020	
30	9	2020	54.1409
29	9	2020	59.2624
28	9	2020	57.5203
27	9	2020	48.8116
26	9	2020	54.1409
25	9	2020	63.4655
24	9	2020	69.1601
23	9	2020	75.8825
22	9	2020	82.2991
21	9	2020	90.6286
20	9	2020	97.8542
19	9	2020	106.329
18	9	2020	123.776
17	9	2020	145.207
16	9	2020	157.375
15	9	2020	167.83
14	9	2020	173.837
13	9	2020	161.965
12	9	2020	43.8493
11	9	2020	48.2991
10	9	2020	51.9642
9	9	2020	56.9474
8	9	2020	61.0398
7	9	2020	56.3784
6	9	2020	49.8476
5	9	2020	41.9641
4	9	2020	41.9641
3	9	2020	46.7834
2	9	2020	51.4295
1	9	2020	56.3784
31	8	2020	54.1409
30	8	2020	57.5203
29	8	2020	58.6778
28	8	2020	61.6402
27	8	2020	62.853
26	8	2020	55.252
25	8	2020	53.045
24	8	2020	57.5203
23	8	2020	63.4655
22	8	2020	69.8134
21	8	2020	77.278
20	8	2020	84.517
19	8	2020	92.9955
18	8	2020	101.187
17	8	2020	134.712
16	8	2020	161.965
15	8	2020	179.987
14	8	2020	190.132
13	8	2020	202.0
12	8	2020	202.0
11	8	2020	49.8476
10	8	2020	56.3784
9	8	2020	61.0398
8	8	2020	62.853
7	8	2020	54.6945
6	8	2020	48.8116
5	8	2020	43.8493
4	8	2020	47.7902
3	8	2020	51.9642
2	8	2020	56.9474
1	8	2020	62.853
31	7	2020	59.8509
30	7	2020	65.9555
29	7	2020	72.4685
28	7	2020	78.6908
27	7	2020	83.7733
26	7	2020	92.2019
25	7	2020	99.5111
24	7	2020	135.738
23	7	2020	182.488
22	7	2020	194.034
21	7	2020	207.432
20	7	2020	40.1346
19	7	2020	43.8493
18	7	2020	47.285
17	7	2020	49.8476
16	7	2020	58.0971
15	7	2020	156.241
14	7	2020	170.215
13	7	2020	188.844
12	7	2020	58.0971
11	7	2020	63.4655
10	7	2020	68.5109
9	7	2020	74.5041
8	7	2020	63.4655
7	7	2020	59.2624
6	7	2020	60.4434
5	7	2020	65.9555
4	7	2020	63.4655
3	7	2020	58.6778
2	7	2020	54.1409
1	7	2020	
30	6	2020	41.9641
29	6	2020	45.7911
28	6	2020	49.3278
27	6	2020	45.3003
26	6	2020	39.6858
25	6	2020	33.3557
24	6	2020	36.6391
23	6	2020	41.9641
22	6	2020	46.2854
21	6	2020	50.8985
20	6	2020	54.1409
19	6	2020	59.2624
18	6	2020	65.9555
17	6	2020	67.8659
16	6	2020	61.0398
15	6	2020	55.8133
14	6	2020	47.7902
13	6	2020	51.4295
12	6	2020	54.1409
11	6	2020	61.0398
10	6	2020	67.8659
9	6	2020	72.4685
8	6	2020	80.8426
7	6	2020	88.3029
6	6	2020	94.5964
5	6	2020	97.8542
4	6	2020	88.3029
3	6	2020	56.3784
2	6	2020	71.7984
1	6	2020	49.3278
31	5	2020	41.5016
30	5	2020	45.7911
29	5	2020	49.8476
28	5	2020	54.1409
27	5	2020	60.4434
26	5	2020	59.2624
25	5	2020	55.252
24	5	2020	50.3712
23	5	2020	54.6945
22	5	2020	61.0398
21	5	2020	62.2446
20	5	2020	46.7834
19	5	2020	42.8997
18	5	2020	47.285
17	5	2020	51.4295
16	5	2020	56.3784
15	5	2020	61.0398
14	5	2020	65.3269
13	5	2020	66.5882
12	5	2020	58.6778
11	5	2020	53.045
10	5	2020	49.8476
9	5	2020	55.252
8	5	2020	60.4434
7	5	2020	61.0398
6	5	2020	62.853
5	5	2020	58.6778
4	5	2020	53.045
3	5	2020	55.252
2	5	2020	61.0398
1	5	2020	
30	4	2020	58.0971
29	4	2020	64.0819
28	4	2020	67.225
27	4	2020	56.3784
26	4	2020	64.7024
25	4	2020	73.1428
24	4	2020	83.7733
23	4	2020	92.9955
22	4	2020	102.882
21	4	2020	120.901
20	4	2020	152.873
19	4	2020	171.417
18	4	2020	153.99
17	4	2020	68.5109
16	4	2020	77.278
15	4	2020	85.2652
14	4	2020	91.413
13	4	2020	99.5111
12	4	2020	91.413
11	4	2020	80.8426
10	4	2020	82.2991
9	4	2020	83.7733
8	4	2020	77.278
7	4	2020	80.8426
6	4	2020	90.6286
5	4	2020	99.5111
4	4	2020	146.286
3	4	2020	163.127
2	4	2020	191.427
1	4	2020	208.805
31	3	2020	197.99
30	3	2020	212.962
29	3	2020	221.443
28	3	2020	197.99
27	3	2020	108.965
26	3	2020	115.288
25	3	2020	91.413
24	3	2020	103.737
23	3	2020	169.02
22	3	2020	187.561
21	3	2020	206.065
20	3	2020	357.326
19	3	2020	383.703
18	3	2020	540.785
17	3	2020	633.149
16	3	2020	904.038
15	3	2020	1143.65
14	3	2020	1001.83
13	3	2020	1061.79
12	3	2020	1339.79
11	3	2020	1479.02
10	3	2020	2064.28
9	3	2020	249.804
8	3	2020	243.64
7	3	2020	236.081
6	3	2020	339.802
5	3	2020	357.326
4	3	2020	377.503
3	3	2020	379.562
2	3	2020	
1	3	2020	
29	2	2020	102.882
28	2	2020	111.645
27	2	2020	142.002
26	2	2020	185.013
25	2	2020	172.624
24	2	2020	156.241
23	2	2020	83.7733
22	2	2020	91.413
21	2	2020	102.882
20	2	2020	116.211
19	2	2020	138.846
18	2	2020	148.46
17	2	2020	108.082
16	2	2020	113.457
15	2	2020	120.901
14	2	2020	143.065
13	2	2020	175.055
12	2	2020	259.246
11	2	2020	272.208
10	2	2020	164.294
9	2	2020	181.235
8	2	2020	197.99
7	2	2020	190.132
6	2	2020	208.805
5	2	2020	332.204
4	2	2020	343.645
3	2	2020	379.562
2	2	2020	473.084
1	2	2020	950.694
31	12	2019	53.045
30	12	2019	56.9474
29	12	2019	54.1409
28	12	2019	49.8476
27	12	2019	42.4302
26	12	2019	47.7902
25	12	2019	50.8985
24	12	2019	58.6778
23	12	2019	55.8133
22	12	2019	59.8509
21	12	2019	63.4655
20	12	2019	71.1326
19	12	2019	81.5687
18	12	2019	121.854
17	12	2019	137.805
16	12	2019	153.99
15	12	2019	182.488
14	12	2019	173.837
13	12	2019	262.447
12	12	2019	204.704
11	12	2019	246.709
10	12	2019	310.103
9	12	2019	322.87
8	12	2019	341.72
7	12	2019	145.207
6	12	2019	152.873
5	12	2019	136.769
4	12	2019	68.5109
3	12	2019	65.3269
2	12	2019	68.5109
1	12	2019	
30	11	2019	95.4039
29	11	2019	71.1326
28	11	2019	51.4295
27	11	2019	54.1409
26	11	2019	52.5027
25	11	2019	56.3784
24	11	2019	61.0398
23	11	2019	67.8659
22	11	2019	67.225
21	11	2019	46.7834
20	11	2019	40.1346
19	11	2019	43.3728
18	11	2019	39.6858
17	11	2019	38.7985
16	11	2019	41.5016
15	11	2019	42.4302
14	11	2019	40.5868
13	11	2019	42.8997
12	11	2019	42.4302
11	11	2019	38.7985
10	11	2019	41.9641
9	11	2019	44.3294
8	11	2019	45.7911
7	11	2019	53.045
6	11	2019	107.203
5	11	2019	121.854
4	11	2019	95.4039
3	11	2019	55.8133
2	11	2019	58.0971
1	11	2019	56.3784
31	10	2019	59.8509
30	10	2019	71.7984
29	10	2019	89.8488
28	10	2019	117.139
27	10	2019	104.596
26	10	2019	93.7937
25	10	2019	45.7911
24	10	2019	46.7834
23	10	2019	44.3294
22	10	2019	43.3728
21	10	2019	38.7985
20	10	2019	38.3599
19	10	2019	39.2405
18	10	2019	38.3599
17	10	2019	41.9641
16	10	2019	39.6858
15	10	2019	40.5868
14	10	2019	40.1346
13	10	2019	44.8131
12	10	2019	41.9641
11	10	2019	40.1346
10	10	2019	49.3278
9	10	2019	103.737
8	10	2019	119.01
7	10	2019	46.7834
6	10	2019	42.8997
5	10	2019	40.5868
4	10	2019	40.1346
3	10	2019	41.9641
2	10	2019	43.8493
1	10	2019	
30	9	2019	71.7984
29	9	2019	129.663
28	9	2019	47.285
27	9	2019	49.3278
26	9	2019	79.4037
25	9	2019	147.37
24	9	2019	73.1428
23	9	2019	82.2991
22	9	2019	61.0398
21	9	2019	43.3728
20	9	2019	41.5016
19	9	2019	54.1409
18	9	2019	69.1601
17	9	2019	81.5687
16	9	2019	43.3728
15	9	2019	39.6858
14	9	2019	37.9247
13	9	2019	40.1346
12	9	2019	41.5016
11	9	2019	40.5868
10	9	2019	44.3294
9	9	2019	47.285
8	9	2019	48.2991
7	9	2019	45.7911
6	9	2019	41.9641
5	9	2019	27.0515
4	9	2019	38.7985
3	9	2019	41.5016
2	9	2019	41.9641
1	9	2019	47.285
31	8	2019	47.7902
30	8	2019	44.3294
29	8	2019	48.2991
28	8	2019	50.3712
27	8	2019	47.7902
26	8	2019	44.8131
25	8	2019	47.7902
24	8	2019	50.8985
23	8	2019	54.6945
22	8	2019	51.9642
21	8	2019	45.3003
20	8	2019	41.5016
19	8	2019	41.5016
18	8	2019	44.3294
17	8	2019	45.7911
16	8	2019	42.8997
15	8	2019	40.5868
14	8	2019	43.3728
13	8	2019	46.2854
12	8	2019	49.3278
11	8	2019	48.8116
10	8	2019	51.9642
9	8	2019	56.3784
8	8	2019	60.4434
7	8	2019	58.0971
6	8	2019	53.591
5	8	2019	54.6945
4	8	2019	51.9642
3	8	2019	46.7834
2	8	2019	45.7911
1	8	2019	49.3278
31	7	2019	47.7902
30	7	2019	45.3003
29	7	2019	48.2991
28	7	2019	50.3712
27	7	2019	47.285
26	7	2019	43.8493
25	7	2019	41.5016
24	7	2019	46.7834
23	7	2019	46.2854
22	7	2019	43.8493
21	7	2019	40.5868
20	7	2019	39.6858
19	7	2019	37.9247
18	7	2019	39.6858
17	7	2019	41.9641
16	7	2019	44.8131
15	7	2019	46.7834
14	7	2019	57.5203
13	7	2019	71.1326
12	7	2019	55.8133
11	7	2019	53.045
10	7	2019	58.6778
9	7	2019	62.2446
8	7	2019	67.8659
7	7	2019	49.8476
6	7	2019	53.591
5	7	2019	57.5203
4	7	2019	64.0819
3	7	2019	75.8825
2	7	2019	43.8493
1	7	2019	
30	6	2019	44.8131
29	6	2019	49.3278
28	6	2019	47.7902
27	6	2019	43.3728
26	6	2019	40.5868
25	6	2019	43.3728
24	6	2019	43.8493
23	6	2019	44.3294
22	6	2019	45.7911
21	6	2019	42.4302
20	6	2019	43.8493
19	6	2019	46.7834
18	6	2019	49.3278
17	6	2019	45.3003
16	6	2019	44.3294
15	6	2019	40.5868
14	6	2019	43.3728
13	6	2019	46.2854
12	6	2019	44.3294
11	6	2019	43.8493
10	6	2019	47.7902
9	6	2019	50.3712
8	6	2019	48.2991
7	6	2019	53.045
6	6	2019	58.6778
5	6	2019	59.8509
4	6	2019	55.8133
3	6	2019	51.4295
2	6	2019	48.2991
1	6	2019	46.7834
31	5	2019	54.1409
30	5	2019	55.8133
29	5	2019	51.9642
28	5	2019	49.3278
27	5	2019	52.5027
26	5	2019	50.8985
25	5	2019	57.5203
24	5	2019	54.6945
23	5	2019	47.7902
22	5	2019	42.8997
21	5	2019	38.7985
20	5	2019	40.5868
19	5	2019	43.3728
18	5	2019	40.5868
17	5	2019	37.4928
16	5	2019	34.9713
15	5	2019	38.3599
14	5	2019	41.9641
13	5	2019	47.285
12	5	2019	59.2624
11	5	2019	61.6402
10	5	2019	58.6778
9	5	2019	54.1409
8	5	2019	51.4295
7	5	2019	56.9474
6	5	2019	61.0398
5	5	2019	56.9474
4	5	2019	54.6945
3	5	2019	56.9474
2	5	2019	59.8509
1	5	2019	
30	4	2019	73.1428
29	4	2019	68.5109
28	4	2019	73.8213
27	4	2019	76.5781
26	4	2019	71.7984
25	4	2019	67.225
24	4	2019	66.5882
23	4	2019	68.5109
22	4	2019	70.4709
21	4	2019	65.9555
20	4	2019	61.0398
19	4	2019	59.8509
18	4	2019	50.8985
17	4	2019	51.9642
16	4	2019	54.6945
15	4	2019	53.045
14	4	2019	61.6402
13	4	2019	55.252
12	4	2019	48.2991
