ds	y	chuva1	chuva2	chuva3	chuva4	vazao1	chuva5	vazao2	chuva6	vazao3	vazao4	vazao5
2023-01-31	2216.75		0.0		0.0	202.3534782608696	0.0	1786.0608333333332	0.0			
2023-01-30	2713.995		0.0		0.0	227.72727272727272	0.0	2210.8300000000004	0.0			
2023-01-29	3098.139		0.0		0.0	282.28	0.0	2570.1604347826087	0.0			
2023-01-28	3213.664		0.0		0.0	311.3673913043478	0.0	2547.3995833333333	0.2			
2023-01-27	2848.022		0.6		0.0	308.83521739130435	6.2	2178.4904166666665	0.2			
2023-01-26	2785.262		21.0		2.0	291.5368181818182	0.2	2066.85125	0.2			
2023-01-25	2464.183		30.0		14.4	261.65956521739133	12.0	1957.9858333333332	20.4			
2023-01-24	2485.837		0.0		32.4	241.01727272727277	10.4	1940.88375	5.6000000000000005			
2023-01-23	2314.033		0.0		6.4	254.3491304347826	0.8	1858.90375	5.2			
2023-01-22	2000.996		11.0		4.8	235.4204347826087	3.6	1688.6333333333332	2.2			
2023-01-21	1559.9		10.0		6.0	227.50739130434783	2.4	1244.47	0.8			
2023-01-20	1402.484		16.0		8.4	181.76913043478265	4.2	1150.8895833333331	39.2			
2023-01-19	1547.907		0.0		0.4	166.40826086956525	2.4	1297.70625	1.8			
2023-01-18	1735.046		0.0		0.0	175.70095238095237	0.0	1297.1229166666667	3.6			
2023-01-17	1799.234		0.0		0.0	188.3269565217391	0.0	1427.0200000000002	2.2			
2023-01-16	2162.261		0.0		0.0	201.68863636363636	0.0	1714.0575	0.0			
2023-01-15	2749.567		0.0		0.0	223.08869565217395	0.0	2346.6366666666668	0.0			
2023-01-14	3306.889		0.2		0.0	249.58739130434785	0.0	2800.88625	0.0			
2023-01-13	3725.358		20.0		1.4	292.46826086956526	0.4	3079.824583333333	0.0			
2023-01-12	4294.503		0.0		7.2	304.4077272727273	3.0	3686.6725	3.6			
2023-01-11	4434.094		0.0		0.2	309.4034782608696	0.2	3954.346666666667	0.4			
2023-01-10	4077.252		0.0		2.2	430.5447826086956	1.6	3502.607083333334	3.0			
2023-01-09	3433.864		0.0		0.0	458.8263636363636	1.2	2687.991666666667	0.0			
2023-01-08	2608.028		26.0		1.0	293.86434782608694	2.4	1950.02	0.0			
2023-01-07	2103.988		32.0		48.4	197.59652173913045	0.0	1699.274583333333	43.0			
2023-01-06	1527.985		0.5		0.0	143.08045454545456	0.0	1364.16875	5.2			
2023-01-05	1306.888		0.0		0.0	139.65695652173912	0.0	1116.23375	0.6000000000000001			
2023-01-04	1144.044		0.0		0.0	121.0308695652174	0.0	926.5379166666668	0.0			
2023-01-03	1061.755		0.0		0.0	110.1308695652174	0.0	902.3070833333333	0.0			
2023-01-02	1288.032		0.0		0.0	111.34	0.0	1041.4916666666666	0.0			
2023-01-01	1325.832		0.0		0.0	115.83869565217393	0.0	1070.7483333333332	0.0			
2022-12-31	1441.328				0.0	124.43652173913044	0.0	1066.0104347826089	0.2	40.47		
2022-12-30	1697.891				0.0	137.01739130434785	0.0	1378.8379166666666	0.0	44.334		
2022-12-29	1811.177				0.0	150.03434782608696	0.0	1472.9625	0.0	52.627		
2022-12-28	1787.312				0.0	160.37391304347827	0.0	1400.6625	0.0	62.358		
2022-12-27	1964.259				0.0	181.46	0.0	1585.6588235294118	0.7999999999999999	78.249		
2022-12-26	2141.401				6.8	170.30304347826086	2.6	1689.3025	5.2	89.517		
