iter	Passed	Remaining
0	22	22792
1	39	19739
2	54	18031
3	79	19824
4	107	21434
5	131	21853
6	156	22136
7	181	22446
8	209	23032
9	233	23147
10	255	22963
11	277	22838
12	302	22948
13	325	22935
14	353	23227
15	376	23128
16	396	22951
17	417	22758
18	433	22378
19	455	22325
20	476	22224
21	491	21860
22	516	21925
23	539	21927
24	561	21886
25	584	21898
26	607	21894
27	628	21809
28	652	21840
29	674	21810
30	696	21765
31	715	21651
32	737	21601
33	759	21591
34	781	21557
35	797	21351
36	821	21373
37	839	21243
38	860	21211
39	884	21227
40	909	21262
41	931	21256
42	966	21503
43	987	21444
44	1007	21371
45	1027	21312
46	1050	21309
47	1074	21308
48	1099	21333
49	1125	21383
50	1151	21428
51	1172	21382
52	1187	21217
53	1207	21157
54	1230	21145
55	1246	21008
56	1281	21208
57	1305	21198
58	1337	21339
59	1365	21394
60	1390	21409
61	1413	21391
62	1431	21295
63	1452	21236
64	1474	21214
65	1496	21178
66	1521	21194
67	1538	21079
68	1560	21058
69	1584	21047
70	1605	21011
71	1626	20969
72	1649	20950
73	1671	20912
74	1691	20863
75	1705	20729
76	1728	20725
77	1753	20730
78	1779	20742
79	1803	20738
80	1825	20714
81	1847	20680
82	1863	20587
83	1870	20398
84	1891	20356
85	1906	20259
86	1931	20273
87	1957	20282
88	1965	20120
89	1993	20151
90	2014	20123
91	2037	20107
92	2057	20065
93	2089	20141
94	2110	20103
95	2121	19981
96	2147	19987
97	2172	19995
98	2195	19979
99	2215	19935
100	2235	19900
101	2257	19876
102	2277	19838
103	2285	19690
104	2299	19597
105	2324	19607
106	2351	19625
107	2376	19631
108	2400	19624
109	2420	19588
110	2442	19558
111	2461	19520
112	2479	19460
113	2499	19425
114	2520	19400
115	2527	19262
116	2548	19232
117	2572	19228
118	2599	19242
119	2619	19212
120	2641	19187
121	2663	19165
122	2684	19139
123	2701	19086
124	2721	19053
125	2738	18994
126	2759	18968
127	2782	18957
128	2807	18953
129	2829	18938
130	2850	18906
131	2869	18868
132	2890	18840
133	2910	18811
134	2931	18781
135	2951	18749
136	2971	18718
137	2992	18695
138	3020	18710
139	3045	18705
140	3066	18681
141	3086	18651
142	3108	18630
143	3129	18604
144	3150	18574
145	3157	18466
146	3176	18432
147	3186	18346
148	3208	18327
149	3236	18339
150	3280	18446
151	3302	18427
152	3327	18423
153	3339	18345
154	3368	18364
155	3390	18343
156	3397	18244
157	3418	18219
158	3442	18209
159	3466	18201
160	3489	18182
161	3510	18160
162	3532	18136
163	3554	18117
164	3575	18095
165	3598	18079
166	3618	18049
167	3640	18031
168	3665	18022
169	3690	18019
170	3711	17991
171	3732	17970
172	3753	17942
173	3775	17924
174	3798	17906
175	3822	17894
176	3846	17885
177	3870	17872
178	3896	17873
179	3923	17874
180	3947	17859
181	3968	17836
182	3989	17812
183	4010	17785
184	4032	17764
185	4053	17737
186	4073	17711
187	4096	17692
188	4120	17679
189	4144	17669
190	4164	17640
191	4185	17615
192	4207	17591
193	4229	17570
194	4249	17543
195	4271	17521
196	4291	17494
197	4318	17491
198	4344	17487
199	4368	17472
200	4389	17447
201	4411	17425
202	4432	17402
203	4453	17376
204	4472	17344
205	4492	17315
206	4513	17289
207	4538	17281
208	4563	17269
209	4585	17248
210	4605	17220
211	4625	17192
212	4645	17164
213	4667	17143
214	4687	17114
215	4708	17090
216	4729	17064
217	4754	17054
218	4779	17043
219	4800	17021
220	4821	16993
221	4841	16967
222	4875	16988
223	4895	16961
224	4918	16942
225	4939	16915
226	4960	16892
227	4985	16879
228	5009	16864
229	5030	16839
230	5051	16815
231	5072	16792
232	5092	16764
233	5113	16737
234	5133	16711
235	5154	16687
236	5175	16661
237	5201	16652
238	5227	16645
239	5250	16625
240	5270	16597
241	5292	16576
242	5315	16559
243	5339	16542
244	5363	16527
245	5383	16501
246	5406	16481
247	5430	16465
248	5454	16450
249	5476	16430
250	5496	16401
251	5516	16375
252	5536	16347
253	5555	16316
254	5576	16290
255	5597	16268
256	5622	16256
257	5646	16240
258	5668	16216
259	5689	16192
260	5709	16165
261	5730	16142
262	5750	16113
263	5769	16084
264	5790	16060
265	5810	16033
266	5845	16048
267	5872	16040
268	5895	16019
269	5920	16007
270	5941	15982
271	5962	15959
272	5984	15936
273	6006	15916
274	6030	15898
275	6056	15886
276	6081	15873
277	6104	15853
278	6124	15827
279	6146	15804
280	6167	15779
281	6189	15758
282	6210	15734
283	6231	15711
284	6255	15692
285	6278	15674
286	6304	15662
287	6329	15648
288	6354	15633
289	6377	15614
290	6399	15591
291	6419	15564
292	6438	15536
293	6463	15521
294	6488	15506
295	6513	15491
296	6538	15475
297	6558	15449
298	6577	15419
299	6597	15393
300	6618	15369
301	6640	15347
302	6663	15328
303	6689	15315
304	6714	15299
305	6735	15274
306	6754	15248
307	6774	15221
308	6794	15195
309	6820	15180
310	6841	15156
311	6869	15148
312	6895	15134
313	6920	15118
314	6940	15091
315	6960	15065
316	6979	15038
317	6999	15012
318	7020	14987
319	7041	14962
320	7060	14935
321	7081	14911
322	7103	14889
323	7128	14872
324	7152	14854
325	7172	14830
326	7192	14803
327	7213	14779
328	7235	14755
329	7255	14731
330	7277	14709
331	7302	14692
332	7328	14679
333	7357	14671
334	7381	14652
335	7402	14627
336	7423	14604
337	7443	14579
338	7464	14554
339	7489	14539
340	7512	14519
341	7537	14501
342	7560	14481
343	7583	14461
344	7602	14434
345	7622	14408
346	7642	14382
347	7662	14356
348	7681	14328
349	7703	14306
350	7724	14282
351	7748	14263
352	7773	14247
353	7795	14225
354	7816	14202
355	7839	14181
356	7860	14157
357	7883	14136
358	7906	14116
359	7930	14097
360	7953	14078
361	7979	14063
362	8004	14047
363	8027	14025
364	8049	14003
365	8069	13978
366	8089	13952
367	8111	13931
368	8133	13908
369	8155	13886
370	8177	13864
371	8216	13870
372	8240	13851
373	8260	13826
374	8283	13806
375	8306	13784
376	8327	13760
377	8349	13739
378	8372	13717
379	8396	13699
380	8420	13680
381	8444	13661
382	8464	13636
383	8486	13613
384	8505	13587
385	8525	13561
386	8545	13535
387	8565	13510
388	8585	13485
389	8610	13467
390	8633	13447
391	8657	13428
392	8677	13403
393	8697	13378
394	8718	13353
395	8738	13328
396	8760	13305
397	8780	13280
398	8800	13255
399	8824	13236
