dia	mes	ano	cota
11	1	2023	315.0
10	1	2023	308.0
9	1	2023	302.0
8	1	2023	269.0
7	1	2023	244.0
6	1	2023	162.0
5	1	2023	146.0
4	1	2023	148.0
3	1	2023	159.0
2	1	2023	159.0
1	1	2023	160.0
31	12	2022	160.0
30	12	2022	161.0
29	12	2022	163.0
28	12	2022	165.0
27	12	2022	168.0
26	12	2022	173.0
25	12	2022	180.0
24	12	2022	191.0
23	12	2022	174.0
22	12	2022	166.0
21	12	2022	161.0
20	12	2022	167.0
19	12	2022	157.0
18	12	2022	158.0
17	12	2022	164.0
16	12	2022	169.0
15	12	2022	173.0
14	12	2022	165.0
13	12	2022	156.0
12	12	2022	155.0
11	12	2022	156.0
10	12	2022	158.0
9	12	2022	161.0
8	12	2022	157.0
7	12	2022	154.0
6	12	2022	155.0
5	12	2022	156.0
4	12	2022	157.0
3	12	2022	158.0
2	12	2022	159.0
1	12	2022	164.0
30	11	2022	175.0
29	11	2022	191.0
28	11	2022	255.0
27	11	2022	231.0
26	11	2022	194.0
25	11	2022	182.0
24	11	2022	170.0
23	11	2022	152.0
22	11	2022	152.0
21	11	2022	161.0
20	11	2022	171.0
19	11	2022	179.0
18	11	2022	187.0
17	11	2022	190.0
16	11	2022	173.0
15	11	2022	162.0
14	11	2022	169.0
13	11	2022	180.0
12	11	2022	129.0
11	11	2022	126.0
10	11	2022	126.0
9	11	2022	127.0
8	11	2022	128.0
7	11	2022	130.0
6	11	2022	134.0
5	11	2022	139.0
4	11	2022	145.0
3	11	2022	143.0
2	11	2022	124.0
1	11	2022	117.0
31	10	2022	117.0
30	10	2022	117.0
29	10	2022	117.0
28	10	2022	117.0
27	10	2022	117.0
26	10	2022	118.0
25	10	2022	118.0
24	10	2022	118.0
23	10	2022	119.0
22	10	2022	119.0
21	10	2022	120.0
20	10	2022	120.0
19	10	2022	121.0
18	10	2022	121.0
17	10	2022	122.0
16	10	2022	123.0
15	10	2022	124.0
14	10	2022	126.0
13	10	2022	128.0
12	10	2022	130.0
11	10	2022	134.0
10	10	2022	138.0
9	10	2022	143.0
8	10	2022	146.0
7	10	2022	157.0
6	10	2022	152.0
5	10	2022	147.0
4	10	2022	139.0
3	10	2022	141.0
2	10	2022	144.0
1	10	2022	147.0
30	9	2022	152.0
29	9	2022	128.0
28	9	2022	118.0
27	9	2022	119.0
26	9	2022	119.0
25	9	2022	120.0
24	9	2022	121.0
23	9	2022	122.0
22	9	2022	123.0
21	9	2022	124.0
20	9	2022	126.0
19	9	2022	128.0
18	9	2022	124.0
17	9	2022	117.0
16	9	2022	115.0
15	9	2022	116.0
14	9	2022	116.0
13	9	2022	116.0
12	9	2022	116.0
11	9	2022	116.0
10	9	2022	117.0
9	9	2022	117.0
8	9	2022	117.0
7	9	2022	118.0
6	9	2022	118.0
5	9	2022	118.0
4	9	2022	118.0
3	9	2022	118.0
2	9	2022	118.0
1	9	2022	119.0
31	8	2022	119.0
30	8	2022	119.0
29	8	2022	119.0
28	8	2022	120.0
27	8	2022	120.0
26	8	2022	120.0
25	8	2022	120.0
24	8	2022	120.0
23	8	2022	121.0
22	8	2022	121.0
21	8	2022	121.0
20	8	2022	121.0
19	8	2022	122.0
18	8	2022	122.0
17	8	2022	122.0
16	8	2022	123.0
15	8	2022	123.0
14	8	2022	124.0
13	8	2022	124.0
12	8	2022	124.0
11	8	2022	125.0
10	8	2022	125.0
9	8	2022	126.0
8	8	2022	126.0
7	8	2022	127.0
6	8	2022	128.0
5	8	2022	128.0
4	8	2022	129.0
3	8	2022	130.0
2	8	2022	130.0
1	8	2022	130.0
31	7	2022	130.0
30	7	2022	130.0
29	7	2022	131.0
28	7	2022	131.0
27	7	2022	131.0
26	7	2022	131.0
25	7	2022	131.0
24	7	2022	131.0
23	7	2022	131.0
22	7	2022	131.0
21	7	2022	131.0
20	7	2022	131.0
19	7	2022	131.0
18	7	2022	131.0
17	7	2022	131.0
16	7	2022	131.0
15	7	2022	131.0
14	7	2022	131.0
1	7	2022	132.0
30	6	2022	132.0
29	6	2022	132.0
28	6	2022	132.0
27	6	2022	132.0
26	6	2022	132.0
25	6	2022	132.0
24	6	2022	132.0
23	6	2022	132.0
22	6	2022	132.0
21	6	2022	132.0
20	6	2022	132.0
19	6	2022	132.0
18	6	2022	132.0
17	6	2022	132.0
16	6	2022	132.0
15	6	2022	132.0
14	6	2022	132.0
13	6	2022	132.0
12	6	2022	132.0
11	6	2022	132.0
10	6	2022	132.0
9	6	2022	132.0
8	6	2022	132.0
7	6	2022	132.0
6	6	2022	132.0
5	6	2022	132.0
4	6	2022	132.0
3	6	2022	132.0
2	6	2022	132.0
1	6	2022	132.0
31	5	2022	133.0
30	5	2022	133.0
29	5	2022	133.0
28	5	2022	134.0
27	5	2022	134.0
26	5	2022	134.0
25	5	2022	135.0
24	5	2022	136.0
23	5	2022	136.0
22	5	2022	136.0
21	5	2022	136.0
20	5	2022	136.0
19	5	2022	137.0
18	5	2022	137.0
17	5	2022	137.0
16	5	2022	137.0
15	5	2022	138.0
14	5	2022	138.0
13	5	2022	138.0
12	5	2022	139.0
11	5	2022	139.0
10	5	2022	139.0
9	5	2022	140.0
8	5	2022	140.0
7	5	2022	140.0
6	5	2022	141.0
5	5	2022	141.0
4	5	2022	141.0
3	5	2022	142.0
2	5	2022	142.0
1	5	2022	142.0
30	4	2022	142.0
29	4	2022	143.0
28	4	2022	143.0
27	4	2022	144.0
26	4	2022	144.0
25	4	2022	144.0
24	4	2022	145.0
23	4	2022	146.0
22	4	2022	147.0
21	4	2022	148.0
20	4	2022	149.0
