ano	mes	dia	cota
2022	2	28	206.0
2022	2	27	226.0
2022	2	26	224.0
2022	2	25	214.0
2022	2	24	234.0
2022	2	23	266.0
2022	2	22	318.0
2022	2	21	348.0
2022	2	20	316.0
2022	2	19	250.0
2022	2	18	256.0
2022	2	17	310.0
2022	2	16	354.0
2022	2	15	258.0
2022	2	14	240.0
2022	2	13	300.0
2022	2	12	292.0
2022	2	11	330.0
2022	2	10	274.0
2022	2	9	230.0
2022	2	8	244.0
2022	2	7	242.0
2022	2	6	212.0
2022	2	5	210.0
2022	2	4	212.0
2022	2	3	208.0
2022	2	2	192.0
2022	2	1	178.0
2022	1	31	174.0
2022	1	30	170.0
2022	1	29	164.0
2022	1	28	168.0
2022	1	27	168.0
2022	1	26	172.0
2022	1	25	168.0
2022	1	24	166.0
2022	1	23	188.0
2022	1	22	194.0
2022	1	21	192.0
2022	1	20	200.0
2022	1	19	214.0
2022	1	18	214.0
2022	1	17	226.0
2022	1	16	244.0
2022	1	15	264.0
2022	1	14	328.0
2022	1	13	434.0
2022	1	12	478.0
2022	1	11	492.0
2022	1	10	426.0
2022	1	9	364.0
2022	1	8	280.0
2022	1	7	212.0
2022	1	6	230.0
2022	1	5	254.0
2022	1	4	240.0
2022	1	3	262.0
2022	1	2	260.0
2022	1	1	246.0
2021	12	31	244.0
2021	12	30	270.0
2021	12	29	169.0
2021	12	28	148.0
2021	12	27	142.0
2021	12	26	148.0
2021	12	25	156.0
2021	12	24	154.0
2021	12	23	150.0
2021	12	22	160.0
2021	12	21	169.0
2021	12	20	180.0
2021	12	19	210.0
2021	12	18	194.0
2021	12	17	204.0
2021	12	16	214.0
2021	12	15	212.0
2021	12	14	240.0
2021	12	13	148.0
2021	12	12	157.0
2021	12	11	171.0
2021	12	10	194.0
2021	12	9	148.0
2021	12	8	157.0
2021	12	7	158.0
2021	12	6	158.0
2021	12	5	190.0
2021	12	4	188.0
2021	12	3	168.0
2021	12	2	168.0
2021	12	1	158.0
2021	11	30	165.0
2021	11	29	179.0
2021	11	28	211.0
2021	11	27	131.0
2021	11	26	118.0
2021	11	25	123.0
2021	11	24	132.0
2021	11	23	151.0
2021	11	22	166.0
2021	11	21	145.0
2021	11	20	125.0
2021	11	19	123.0
2021	11	18	129.0
2021	11	17	133.0
2021	11	16	143.0
2021	11	15	163.0
2021	11	14	173.0
2021	11	13	180.0
2021	11	12	185.0
2021	11	11	184.0
2021	11	10	162.0
2021	11	9	124.0
2021	11	8	132.0
2021	11	7	127.0
2021	11	6	143.0
2021	11	5	163.0
2021	11	4	212.0
2021	11	3	234.0
2021	11	2	192.0
2021	11	1	129.0
2021	10	31	120.0
2021	10	30	130.0
2021	10	29	148.0
2021	10	28	118.0
2021	10	27	128.0
2021	10	26	128.0
2021	10	25	132.0
2021	10	24	138.0
2021	10	23	158.0
2021	10	22	156.0
2021	10	21	158.0
2021	10	20	179.0
2021	10	19	140.0
2021	10	18	123.0
2021	10	17	133.0
2021	10	16	144.0
2021	10	15	160.0
2021	10	14	184.0
2021	10	13	245.0
2021	10	12	244.0
2021	10	11	150.0
2021	10	10	124.0
2021	10	9	120.0
2021	10	8	114.0
2021	10	7	136.0
2021	10	6	154.0
2021	10	5	144.0
2021	10	4	154.0
2021	10	3	99.0
2021	10	2	81.0
2021	10	1	70.0
2021	9	30	78.0
2021	9	29	76.0
2021	9	28	73.0
2021	9	27	66.0
2021	9	26	64.0
2021	9	25	64.0
2021	9	24	65.0
2021	9	23	69.0
2021	9	22	72.0
2021	9	21	67.0
2021	9	20	70.0
2021	9	19	78.0
2021	9	18	72.0
2021	9	17	78.0
2021	9	16	69.0
2021	9	15	82.0
2021	9	14	81.0
2021	9	13	74.0
2021	9	12	74.0
2021	9	11	74.0
2021	9	10	74.0
2021	9	9	77.0
2021	9	8	77.0
2021	9	7	78.0
2021	9	6	78.0
2021	9	5	80.0
2021	9	4	80.0
2021	9	3	77.0
2021	9	2	77.0
2021	9	1	81.0
2021	8	31	77.0
2021	8	30	78.0
2021	8	29	77.0
2021	8	28	75.0
2021	8	27	80.0
2021	8	26	88.0
2021	8	25	79.0
2021	8	24	76.0
2021	8	23	84.0
2021	8	22	90.0
2021	8	21	92.0
2021	8	20	96.0
2021	8	19	94.0
2021	8	18	87.0
2021	8	17	82.0
2021	8	16	82.0
2021	8	15	84.0
2021	8	14	78.0
2021	8	13	81.0
2021	8	12	79.0
2021	8	11	79.0
2021	8	10	80.0
2021	8	9	82.0
2021	8	8	80.0
2021	8	7	81.0
2021	8	6	82.0
2021	8	5	81.0
2021	8	4	81.0
2021	8	3	80.0
2021	8	2	80.0
2021	8	1	78.0
2021	7	31	81.0
2021	7	30	80.0
2021	7	29	82.0
2021	7	28	83.0
2021	7	27	82.0
2021	7	26	82.0
2021	7	25	85.0
2021	7	24	84.0
2021	7	23	84.0
2021	7	22	83.0
2021	7	21	85.0
2021	7	20	85.0
2021	7	19	85.0
2021	7	18	88.0
2021	7	17	88.0
2021	7	16	88.0
2021	7	15	87.0
2021	7	14	89.0
2021	7	13	88.0
2021	7	12	88.0
2021	7	11	87.0
2021	7	10	87.0
2021	7	9	89.0
2021	7	8	90.0
2021	7	7	89.0
2021	7	6	90.0
2021	7	5	91.0
2021	7	4	91.0
2021	7	3	92.0
2021	7	2	89.0
2021	7	1	91.0
2021	6	30	90.0
2021	6	29	91.0
2021	6	28	90.0
2021	6	27	90.0
2021	6	26	92.0
2021	6	25	92.0
2021	6	24	92.0
2021	6	23	95.0
2021	6	22	94.0
2021	6	21	95.0
2021	6	20	96.0
2021	6	19	96.0
2021	6	18	96.0
2021	6	17	97.0
2021	6	16	98.0
2021	6	15	98.0
2021	6	14	99.0
2021	6	13	100.0
2021	6	12	100.0
2021	6	11	99.0
2021	6	10	98.0
2021	6	9	100.0
2021	6	8	101.0
2021	6	7	101.0
2021	6	6	106.0
2021	6	5	100.0
2021	6	4	108.0
2021	6	3	124.0
2021	6	2	117.0
2021	6	1	111.0
2021	5	31	97.0
2021	5	30	97.0
2021	5	29	97.0
2021	5	28	95.0
2021	5	27	96.0
2021	5	26	97.0
2021	5	25	97.0
2021	5	24	96.0
2021	5	23	99.0
2021	5	22	100.0
2021	5	21	98.0
2021	5	20	99.0
2021	5	19	99.0
2021	5	18	100.0
2021	5	17	107.0
2021	5	16	100.0
2021	5	15	99.0
2021	5	14	100.0
2021	5	13	98.0
2021	5	12	99.0
2021	5	11	100.0
2021	5	10	100.0
