data	cota
2022-02-28	206.0
2022-02-27	226.0
2022-02-26	224.0
2022-02-25	214.0
2022-02-24	234.0
2022-02-23	266.0
2022-02-22	318.0
2022-02-21	348.0
2022-02-20	316.0
2022-02-19	250.0
2022-02-18	256.0
2022-02-17	310.0
2022-02-16	354.0
2022-02-15	258.0
2022-02-14	240.0
2022-02-13	300.0
2022-02-12	292.0
2022-02-11	330.0
2022-02-10	274.0
2022-02-09	230.0
2022-02-08	244.0
2022-02-07	242.0
2022-02-06	212.0
2022-02-05	210.0
2022-02-04	212.0
2022-02-03	208.0
2022-02-02	192.0
2022-02-01	178.0
2022-01-31	174.0
2022-01-30	170.0
2022-01-29	164.0
2022-01-28	168.0
2022-01-27	168.0
2022-01-26	172.0
2022-01-25	168.0
2022-01-24	166.0
2022-01-23	188.0
2022-01-22	194.0
2022-01-21	192.0
2022-01-20	200.0
2022-01-19	214.0
2022-01-18	214.0
2022-01-17	226.0
2022-01-16	244.0
2022-01-15	264.0
2022-01-14	328.0
2022-01-13	434.0
2022-01-12	478.0
2022-01-11	492.0
2022-01-10	426.0
2022-01-09	364.0
2022-01-08	280.0
2022-01-07	212.0
2022-01-06	230.0
2022-01-05	254.0
2022-01-04	240.0
2022-01-03	262.0
2022-01-02	260.0
2022-01-01	246.0
2021-12-31	244.0
2021-12-30	270.0
2021-12-29	169.0
2021-12-28	148.0
2021-12-27	142.0
2021-12-26	148.0
2021-12-25	156.0
2021-12-24	154.0
2021-12-23	150.0
2021-12-22	160.0
2021-12-21	169.0
2021-12-20	180.0
2021-12-19	210.0
2021-12-18	194.0
2021-12-17	204.0
2021-12-16	214.0
2021-12-15	212.0
2021-12-14	240.0
2021-12-13	148.0
2021-12-12	157.0
2021-12-11	171.0
2021-12-10	194.0
2021-12-09	148.0
2021-12-08	157.0
2021-12-07	158.0
2021-12-06	158.0
2021-12-05	190.0
2021-12-04	188.0
2021-12-03	168.0
2021-12-02	168.0
2021-12-01	158.0
2021-11-30	165.0
2021-11-29	179.0
2021-11-28	211.0
2021-11-27	131.0
2021-11-26	118.0
2021-11-25	123.0
2021-11-24	132.0
2021-11-23	151.0
2021-11-22	166.0
2021-11-21	145.0
2021-11-20	125.0
2021-11-19	123.0
2021-11-18	129.0
2021-11-17	133.0
2021-11-16	143.0
2021-11-15	163.0
2021-11-14	173.0
