data	ct_56425000
2023-01-31	282.0
2023-01-30	306.0
2023-01-29	336.0
2023-01-28	370.0
2023-01-27	438.0
2023-01-26	498.0
2023-01-25	410.0
2023-01-24	316.0
2023-01-23	348.0
2023-01-22	315.0
2023-01-21	328.0
2023-01-20	330.0
2023-01-19	298.0
2023-01-18	266.0
2023-01-17	272.0
2023-01-16	288.0
2023-01-15	328.0
2023-01-14	392.0
2023-01-13	438.0
2023-01-12	530.0
2023-01-11	588.0
2023-01-10	598.0
2023-01-09	624.0
2023-01-08	640.0
2023-01-07	538.0
2023-01-06	372.0
2023-01-05	315.0
2023-01-04	384.0
2023-01-03	350.0
2023-01-02	250.0
2023-01-01	248.0
2022-12-31	240.0
2022-12-30	259.0
2022-12-29	274.0
2022-12-28	259.0
2022-12-27	290.0
2022-12-26	245.0
2022-12-25	325.0
2022-12-24	368.0
2022-12-23	417.0
2022-12-22	458.0
2022-12-21	332.0
2022-12-20	193.0
2022-12-19	191.0
2022-12-18	188.0
2022-12-17	197.0
2022-12-16	214.0
2022-12-15	227.0
2022-12-14	253.0
2022-12-13	268.0
2022-12-12	204.0
2022-12-11	235.0
2022-12-10	257.0
2022-12-09	250.0
2022-12-08	251.0
2022-12-07	186.0
2022-12-06	196.0
2022-12-05	208.0
2022-12-04	212.0
2022-12-03	255.0
2022-12-02	262.0
2022-12-01	270.0
2022-10-31	163.0
2022-10-30	156.0
2022-10-29	166.0
2022-10-28	179.0
2022-10-27	199.0
2022-10-26	225.0
2022-10-25	212.0
2022-10-24	164.0
2022-10-23	145.0
2022-10-22	138.0
2022-10-21	135.0
2022-10-20	132.0
2022-10-19	131.0
2022-10-18	131.0
2022-10-17	133.0
2022-10-16	134.0
2022-10-15	136.0
2022-10-14	138.0
2022-10-13	139.0
2022-10-12	141.0
2022-10-11	148.0
2022-10-10	158.0
2022-10-09	188.0
2022-10-08	207.0
2022-10-07	220.0
2022-10-06	240.0
2022-10-05	217.0
2022-10-04	169.0
2022-10-03	158.0
2022-10-02	157.0
2022-10-01	157.0
2022-09-30	143.0
2022-09-29	141.0
2022-09-28	138.0
2022-09-27	145.0
2022-09-26	139.0
2022-09-25	133.0
2022-09-24	128.0
2022-09-23	132.0
2022-09-22	130.0
2022-09-21	126.0
2022-09-20	125.0
2022-09-19	125.0
2022-09-18	135.0
2022-09-17	129.0
2022-09-16	127.0
2022-09-15	126.0
2022-09-14	125.0
2022-09-13	126.0
2022-09-12	126.0
2022-09-11	124.0
2022-09-10	126.0
2022-09-09	126.0
2022-09-08	126.0
2022-09-07	126.0
2022-09-06	126.0
2022-09-05	127.0
2022-09-04	128.0
2022-09-03	128.0
2022-09-02	129.0
2022-09-01	129.0
2022-08-31	129.0
2022-08-30	130.0
2022-08-29	131.0
2022-08-28	135.0
2022-08-27	146.0
2022-08-26	144.0
2022-08-25	133.0
2022-08-24	129.0
2022-08-23	128.0
2022-08-22	129.0
2022-08-21	130.0
2022-08-20	131.0
2022-08-19	132.0
2022-08-18	133.0
2022-08-17	133.0
2022-08-16	135.0
2022-08-15	135.0
2022-08-14	136.0
2022-08-13	137.0
2022-08-12	137.0
2022-08-11	138.0
2022-08-10	139.0
2022-08-09	141.0
2022-08-08	140.0
2022-08-07	140.0
2022-08-06	141.0
2022-08-05	141.0
2022-08-04	141.0
2022-08-03	142.0
2022-08-02	142.0
2022-08-01	142.0
2022-07-31	143.0
2022-07-30	144.0
2022-07-29	144.0
2022-07-28	144.0
2022-07-27	144.0
2022-07-26	144.0
2022-07-25	145.0
2022-07-24	146.0
2022-07-23	146.0
2022-07-22	145.0
2022-07-21	145.0
2022-07-20	146.0
2022-07-19	147.0
2022-07-18	146.0
2022-07-17	147.0
2022-07-16	147.0
2022-07-15	148.0
2022-07-14	148.0
2022-07-13	149.0
2022-07-12	150.0
2022-07-11	152.0
2022-07-10	151.0
2022-07-09	151.0
2022-07-08	151.0
2022-07-07	152.0
2022-07-06	150.0
2022-07-05	150.0
2022-07-04	151.0
2022-07-03	147.0
2022-07-02	145.0
2022-07-01	145.0
2022-06-30	142.0
2022-06-29	144.0
2022-06-28	144.0
2022-06-27	146.0
2022-06-26	146.0
2022-06-25	148.0
2022-06-24	150.0
2022-06-23	148.0
2022-06-22	152.0
2022-06-21	150.0
2022-06-20	152.0
2022-06-19	150.0
2022-06-18	154.0
2022-06-17	154.0
2022-06-16	155.0
2022-06-15	155.0
2022-06-14	156.0
2022-06-13	158.0
2022-06-12	158.0
2022-06-11	160.0
2022-06-10	160.0
2022-06-09	164.0
2022-06-08	162.0
2022-06-07	166.0
2022-06-06	168.0
2022-06-05	166.0
2022-06-04	170.0
2022-06-03	174.0
2022-06-02	170.0
2022-06-01	170.0
2022-05-31	171.0
2022-05-30	170.0
2022-05-29	171.0
2022-05-28	171.0
2022-05-27	173.0
2022-05-26	175.0
2022-05-25	173.0
2022-05-24	175.0
2022-05-23	173.0
2022-05-22	172.0
2022-05-21	176.0
2022-05-20	182.0
2022-05-19	189.0
2022-05-18	190.0
2022-05-17	182.0
2022-05-16	180.0
2022-05-15	179.0
2022-05-14	177.0
2022-05-13	178.0
2022-05-12	180.0
2022-05-11	182.0
2022-05-10	195.0
2022-05-09	213.0
2022-05-08	234.0
2022-05-07	238.0
2022-05-06	218.0
2022-05-05	187.0
2022-05-04	187.0
