dataHora	chuva	nivel	vazao
2023-12-31 00:00:00	0.0	73.0	73.17
2023-12-30 23:00:00	0.0	75.0	75.1
2023-12-30 22:00:00	0.0	78.0	78.03
2023-12-30 21:00:00	0.0	77.0	77.05
2023-12-30 20:00:00	0.0	84.0	84.04
2023-12-30 19:00:00	0.0	86.0	86.09
2023-12-30 18:00:00	0.2	80.0	80.01
2023-12-30 17:00:00	1.8	69.0	69.38
2023-12-30 16:00:00	1.2	62.0	62.97
2023-12-30 15:00:00	0.2	62.0	62.97
2023-12-30 14:00:00	0.0	63.0	63.87
2023-12-30 13:00:00	0.0	62.0	62.97
2023-12-30 12:00:00	0.0	62.0	62.97
2023-12-30 11:00:00	0.0	62.0	62.97
2023-12-30 10:00:00	0.0	63.0	63.87
2023-12-30 09:00:00	0.0	66.0	66.6
2023-12-30 08:00:00	0.0	68.0	68.45
2023-12-30 07:00:00	0.0	67.0	67.52
2023-12-30 06:00:00	0.0	67.0	67.52
2023-12-30 05:00:00	0.0	68.0	68.45
2023-12-30 03:00:00	0.0	68.0	68.45
2023-12-30 01:00:00	0.0	72.0	72.22
2023-12-30 00:00:00	0.0	72.0	72.22
2023-12-29 23:00:00	0.0	72.0	72.22
2023-12-29 22:00:00	0.0	78.0	78.03
2023-12-29 21:00:00	0.0	78.0	78.03
2023-12-29 20:00:00	0.0	78.0	78.03
2023-12-29 19:00:00	0.0	78.0	78.03
2023-12-29 18:00:00	0.0	78.0	78.03
2023-12-29 17:00:00	0.0	78.0	78.03
2023-12-29 16:00:00	0.0	78.0	78.03
2023-12-29 15:00:00	0.0	79.0	79.02
2023-12-29 14:00:00	0.0	78.0	78.03
2023-12-29 13:00:00	0.0	79.0	79.02
2023-12-29 12:00:00	0.0	79.0	79.02
2023-12-29 11:00:00	0.0	79.0	79.02
2023-12-29 10:00:00	0.0	79.0	79.02
2023-12-29 09:00:00	0.0	79.0	79.02
2023-12-29 08:00:00	0.0	78.0	78.03
2023-12-29 07:00:00	0.0	79.0	79.02
2023-12-29 06:00:00	0.0	79.0	79.02
2023-12-29 05:00:00	0.0	79.0	79.02
2023-12-29 04:00:00	0.0	79.0	79.02
2023-12-29 03:00:00	0.0	79.0	79.02
2023-12-29 02:00:00	0.0	78.0	78.03
2023-12-29 01:00:00	0.0	88.0	88.15
2023-12-29 00:00:00	0.0	90.0	90.24
2023-12-28 23:00:00	0.0	89.0	89.2
2023-12-28 22:00:00	0.0	90.0	90.24
2023-12-28 21:00:00	0.0	89.0	89.2
2023-12-28 20:00:00	0.0	87.0	87.12
2023-12-28 19:00:00	0.0	89.0	89.2
2023-12-28 18:00:00	0.0	87.0	87.12
2023-12-28 17:00:00	0.0	87.0	87.12
2023-12-28 16:00:00	0.0	89.0	89.2
2023-12-28 15:00:00	0.0	89.0	89.2
2023-12-28 14:00:00	0.0	98.0	98.81
2023-12-28 13:00:00	0.0	99.0	99.91
2023-12-28 12:00:00	0.2	98.0	98.81
2023-12-28 11:00:00	0.2	98.0	98.81
2023-12-28 10:00:00	0.2	98.0	98.81
2023-12-28 09:00:00	0.2	98.0	98.81
2023-12-28 08:00:00	0.2	99.0	99.91
2023-12-28 07:00:00	0.2	99.0	99.91
2023-12-28 06:00:00	0.0	98.0	98.81
2023-12-28 05:00:00	0.0	98.0	98.81
2023-12-28 04:00:00	0.0	99.0	99.91
2023-12-28 03:00:00	0.0	99.0	99.91
2023-12-28 02:00:00	0.0	98.0	98.81
2023-12-28 01:00:00	0.0	99.0	99.91
2023-12-28 00:00:00	0.0	98.0	98.81
2023-12-27 23:00:00	0.0	98.0	98.81
2023-12-27 22:00:00	0.0	98.0	98.81
2023-12-27 21:00:00	0.0	98.0	98.81
2023-12-27 20:00:00	0.0	98.0	98.81
2023-12-27 19:00:00	0.0	98.0	98.81
2023-12-27 18:00:00	0.0	98.0	98.81
2023-12-27 17:00:00	0.0	98.0	98.81
2023-12-27 16:00:00	0.0	99.0	99.91
2023-12-27 15:00:00	0.2	99.0	99.91
2023-12-27 14:00:00	0.0	99.0	99.91
2023-12-27 13:00:00	0.0	98.0	98.81
2023-12-27 12:00:00	0.0	99.0	99.91
2023-12-27 11:00:00	0.0	99.0	99.91
2023-12-27 10:00:00	0.0	98.0	98.81
2023-12-27 09:00:00	0.0	99.0	99.91
2023-12-27 08:00:00	0.0	99.0	99.91
2023-12-27 07:00:00	0.0	98.0	98.81
2023-12-27 06:00:00	0.0	100.0	101.01
2023-12-27 05:00:00	0.0	99.0	99.91
2023-12-27 04:00:00	0.0	100.0	101.01
2023-12-27 03:00:00	0.0	99.0	99.91
2023-12-27 02:00:00	0.0	99.0	99.91
2023-12-27 01:00:00	0.0	99.0	99.91
2023-12-27 00:00:00	0.0	99.0	99.91
2023-12-26 23:00:00	0.0	99.0	99.91
2023-12-26 22:00:00	0.0	99.0	99.91
2023-12-26 21:00:00	0.4	99.0	99.91
2023-12-26 20:00:00	0.6	99.0	99.91
2023-12-26 19:00:00	0.2	97.0	97.72
2023-12-26 18:00:00	0.0	98.0	98.81
2023-12-26 17:00:00	0.0	97.0	97.72
2023-12-26 16:00:00	0.0	97.0	97.72
2023-12-26 15:00:00	0.0	98.0	98.81
2023-12-26 14:00:00	0.0	99.0	99.91
2023-12-26 13:00:00	0.0	98.0	98.81
2023-12-26 12:00:00	0.0	99.0	99.91
2023-12-26 11:00:00	0.0	98.0	98.81
2023-12-26 10:00:00	0.0	99.0	99.91
2023-12-26 09:00:00	0.0	99.0	99.91
2023-12-26 08:00:00	0.0	98.0	98.81
2023-12-26 07:00:00	0.0	99.0	99.91
2023-12-26 06:00:00	0.6	99.0	99.91
2023-12-26 05:00:00	0.0	99.0	99.91
2023-12-26 04:00:00	0.0	99.0	99.91
2023-12-26 03:00:00	0.0	92.0	92.35
2023-12-26 02:00:00	0.0	88.0	88.15
2023-12-26 01:00:00	0.0	83.0	83.02
2023-12-26 00:00:00	0.4	74.0	74.13
2023-12-25 23:00:00	1.0	70.0	70.32
2023-12-25 22:00:00	0.4	74.0	74.13
2023-12-25 21:00:00	0.0	74.0	74.13
2023-12-25 20:00:00	0.6	73.0	73.17
2023-12-25 19:00:00	0.8	73.0	73.17
2023-12-25 18:00:00	0.0	73.0	73.17
2023-12-25 17:00:00	0.0	73.0	73.17
2023-12-25 16:00:00	0.0	73.0	73.17
2023-12-25 15:00:00	0.0	74.0	74.13
2023-12-25 14:00:00	0.0	73.0	73.17
2023-12-25 13:00:00	0.0	72.0	72.22
2023-12-25 12:00:00	0.0	73.0	73.17
2023-12-25 11:00:00	0.0	74.0	74.13
2023-12-25 10:00:00	0.0	74.0	74.13
2023-12-25 09:00:00	0.0	67.0	67.52
2023-12-25 08:00:00	0.0	67.0	67.52
2023-12-25 07:00:00	0.0	67.0	67.52
2023-12-25 06:00:00	0.0	66.0	66.6
2023-12-25 05:00:00	0.0	66.0	66.6
2023-12-25 04:00:00	0.0	67.0	67.52
2023-12-25 03:00:00	0.0	67.0	67.52
2023-12-25 02:00:00	0.0	66.0	66.6
2023-12-25 01:00:00	0.0	66.0	66.6
2023-12-25 00:00:00	0.0	66.0	66.6
2023-12-24 23:00:00	0.0	59.0	60.3
2023-12-24 22:00:00	0.0	59.0	60.3
2023-12-24 21:00:00	0.0	60.0	61.19
2023-12-24 20:00:00	0.0	58.0	59.43
2023-12-24 19:00:00	0.0	58.0	59.43
2023-12-24 18:00:00	0.0	59.0	60.3
