ano	mes	dia	vazao
2023	1	31	316.521
2023	1	30	362.965
2023	1	29	424.853
2023	1	28	520.591
2023	1	27	648.94
2023	1	26	749.032
2023	1	25	472.934
2023	1	24	376.64
2023	1	23	422.803
2023	1	22	370.758
2023	1	21	376.64
2023	1	20	445.536
2023	1	19	295.5
2023	1	18	277.636
2023	1	17	281.178
2023	1	16	334.265
2023	1	15	407.545
2023	1	14	547.255
2023	1	13	668.073
2023	1	12	867.187
2023	1	11	1066.792
2023	1	10	1019.022
2023	1	9	1177.956
2023	1	8	1100.972
2023	1	7	754.042
2023	1	6	414.641
2023	1	5	388.502
2023	1	4	494.398
2023	1	3	382.555
2023	1	2	244.788
2023	1	1	244.788
2022	12	31	230.568
2022	12	30	262.762
2022	12	29	290.1
2022	12	28	263.629
2022	12	27	319.3
2022	12	26	239.735
2022	12	25	386.516
2022	12	24	475.066
2022	12	23	583.527
2022	12	22	680.13
2022	12	21	399.488
2022	12	20	158.262
2022	12	19	155.37
2022	12	18	151.067
2022	12	17	164.102
2022	12	16	188.964
2022	12	15	210.204
2022	12	14	253.291
2022	12	13	278.52
2022	12	12	173.749
2022	12	11	223.161
2022	12	10	260.167
2022	12	9	248.177
2022	12	8	249.878
2022	12	7	148.222
2022	12	6	162.635
2022	12	5	179.782
2022	12	4	186.654
2022	12	3	256.721
2022	12	2	268.852
2022	12	1	282.066
2022	10	31	116.9
2022	10	30	107.261
2022	10	29	120.837
2022	10	28	138.415
2022	10	27	167.05
2022	10	26	207.008
2022	10	25	186.654
2022	10	24	118.207
2022	10	23	94.263
2022	10	22	85.929
2022	10	21	82.441
2022	10	20	79.005
2022	10	19	77.305
2022	10	18	77.87
2022	10	17	79.574
2022	10	16	81.29
2022	10	15	83.019
2022	10	14	85.344
2022	10	13	87.103
2022	10	12	89.468
2022	10	11	97.916
2022	10	10	110.441
2022	10	9	151.067
2022	10	8	179.024
2022	10	7	198.307
2022	10	6	230.568
2022	10	5	194.395
2022	10	4	124.818
2022	10	3	110.441
2022	10	2	108.529
2022	10	1	109.165
2022	9	30	91.256
2022	9	29	88.874
2022	9	28	85.344
2022	9	27	94.263
2022	9	26	87.103
2022	9	25	79.574
2022	9	24	73.946
2022	9	23	79.005
2022	9	22	76.742
2022	9	21	72.286
2022	9	20	70.64
2022	9	19	71.187
2022	9	18	82.441
2022	9	17	75.06
2022	9	16	73.391
2022	9	15	72.286
2022	9	14	71.187
2022	9	13	71.736
2022	9	12	71.736
2022	9	11	70.094
2022	9	10	72.286
2022	9	9	71.736
2022	9	8	71.736
2022	9	7	71.736
2022	9	6	71.736
2022	9	5	72.838
2022	9	4	73.946
2022	9	3	74.502
2022	9	2	75.06
2022	9	1	75.619
2022	8	31	75.06
2022	8	30	76.18
2022	8	29	77.87
2022	8	28	82.441
2022	8	27	95.475
2022	8	26	92.454
2022	8	25	80.144
2022	8	24	75.06
2022	8	23	73.946
2022	8	22	75.619
2022	8	21	76.18
2022	8	20	77.305
2022	8	19	78.437
2022	8	18	80.144
2022	8	17	80.144
2022	8	16	81.865
2022	8	15	82.441
2022	8	14	83.019
2022	8	13	84.179
2022	8	12	84.761
2022	8	11	85.344
2022	8	10	87.103
2022	8	9	88.874
2022	8	8	87.692
2022	8	7	88.283
2022	8	6	88.874
2022	8	5	89.468
2022	8	4	88.874
2022	8	3	90.062
2022	8	2	90.658
2022	8	1	90.658
2022	7	31	91.256
2022	7	30	92.454
2022	7	29	92.454
2022	7	28	92.454
2022	7	27	92.454
2022	7	26	93.056
2022	7	25	93.659
2022	7	24	94.868
2022	7	23	95.475
2022	7	22	93.659
2022	7	21	94.263
2022	7	20	94.868
2022	7	19	96.083
2022	7	18	94.868
2022	7	17	96.083
2022	7	16	96.083
2022	7	15	97.916
2022	7	14	97.916
2022	7	13	99.145
2022	7	12	99.761
2022	7	11	102.24
2022	7	10	100.998
2022	7	9	101.618
2022	7	8	101.618
2022	7	7	102.24
2022	7	6	100.379
2022	7	5	100.379
2022	7	4	100.998
2022	7	3	96.693
2022	7	2	94.263
2022	7	1	94.263
2022	6	30	91.854
2022	6	29	94.263
2022	6	28	93.659
2022	6	27	94.263
2022	6	26	95.475
2022	6	25	100.379
2022	6	24	101.618
2022	6	23	99.145
2022	6	22	102.863
2022	6	21	101.618
2022	6	20	102.863
2022	6	19	101.618
2022	6	18	105.368
2022	6	17	105.998
2022	6	16	105.998
2022	6	15	106.629
2022	6	14	109.165
2022	6	13	111.723
2022	6	12	111.723
2022	6	11	114.301
2022	6	10	115.598
2022	6	9	118.207
2022	6	8	118.207
2022	6	7	122.159
2022	6	6	122.159
2022	6	5	122.159
2022	6	4	128.846
2022	6	3	130.198
2022	6	2	126.156
2022	6	1	127.498
2022	5	31	127.498
2022	5	30	126.156
2022	5	29	127.498
2022	5	28	127.498
2022	5	27	130.198
2022	5	26	132.917
2022	5	25	130.198
2022	5	24	132.917
2022	5	23	130.198
2022	5	22	128.846
2022	5	21	134.284
2022	5	20	142.589
2022	5	19	152.497
2022	5	18	153.931
2022	5	17	142.589
2022	5	16	139.801
2022	5	15	138.415
2022	5	14	135.656
2022	5	13	136.344
2022	5	12	139.801
2022	5	11	142.589
2022	5	10	161.173
2022	5	9	187.423
2022	5	8	220.711
2022	5	7	228.089
2022	5	6	195.956
2022	5	5	149.642
2022	5	4	149.642
2022	5	3	152.497
2022	5	2	153.931
2022	5	1	156.091
2022	4	30	178.267
2022	4	29	176.003
2022	4	28	176.757
2022	4	27	173.001
2022	4	26	175.251
2022	4	25	176.003
2022	4	24	179.024
2022	4	23	183.588
2022	4	22	184.353
2022	4	21	189.737
2022	4	20	200.667
2022	4	19	205.416
2022	4	18	223.161
2022	4	17	265.366
2022	4	16	249.027
2022	4	15	213.418
2022	4	14	186.654
2022	4	13	188.964
2022	4	12	194.395
2022	4	11	210.204
2022	4	10	218.27
2022	4	9	189.737
2022	4	8	186.654
2022	4	7	200.667
2022	4	6	228.089
2022	4	5	210.204
2022	4	4	207.008
2022	4	3	199.092
2022	4	2	200.667
2022	4	1	185.886
2022	3	31	184.353
2022	3	30	181.301
2022	3	29	179.024
2022	3	28	183.588
2022	3	27	185.886
