ano	mes	dia	chuva
2023	4	30	1.0
2023	4	29	36.0
2023	4	28	0.0
2023	4	27	0.0
2023	4	26	0.0
2023	4	25	0.0
2023	4	24	0.0
2023	4	23	0.0
2023	4	22	0.0
2023	4	21	0.0
2023	4	20	0.0
2023	4	19	0.0
2023	4	18	0.0
2023	4	17	0.0
2023	4	16	0.0
2023	4	15	2.0
2023	4	14	0.0
2023	4	13	0.0
2023	4	12	0.0
2023	4	11	0.0
2023	4	10	0.0
2023	4	9	1.0
2023	4	8	0.0
2023	4	7	0.0
2023	4	6	0.0
2023	4	5	0.0
2023	4	4	0.0
2023	4	3	0.0
2023	4	2	0.0
2023	4	1	0.0
2023	3	31	0.0
2023	3	30	0.0
2023	3	29	0.0
2023	3	28	0.0
2023	3	27	0.0
2023	3	26	0.0
2023	3	25	0.0
2023	3	24	0.0
2023	3	23	0.0
2023	3	22	0.0
2023	3	21	0.0
2023	3	20	0.0
2023	3	19	0.0
2023	3	18	10.0
2023	3	17	0.8
2023	3	16	0.6
2023	3	15	0.0
2023	3	14	0.0
2023	3	13	0.0
2023	3	12	0.0
2023	3	11	0.0
2023	3	10	0.0
2023	3	9	0.0
2023	3	8	0.0
2023	3	7	0.0
2023	3	6	0.0
2023	3	5	0.0
2023	3	4	0.0
2023	3	3	0.0
2023	3	2	0.0
2023	3	1	0.0
2023	1	31	0.0
2023	1	30	0.0
2023	1	29	0.0
2023	1	28	0.0
2023	1	27	0.6
2023	1	26	21.0
2023	1	25	30.0
2023	1	24	0.0
2023	1	23	0.0
2023	1	22	11.0
2023	1	21	10.0
2023	1	20	16.0
2023	1	19	0.0
2023	1	18	0.0
2023	1	17	0.0
2023	1	16	0.0
2023	1	15	0.0
2023	1	14	0.2
2023	1	13	20.0
2023	1	12	0.0
2023	1	11	0.0
2023	1	10	0.0
2023	1	9	0.0
2023	1	8	26.0
2023	1	7	32.0
2023	1	6	0.5
2023	1	5	0.0
2023	1	4	0.0
2023	1	3	0.0
2023	1	2	0.0
2023	1	1	0.0
2020	10	1	
2020	9	30	0.0
2020	9	29	0.0
2020	9	28	0.0
2020	9	27	0.0
2020	9	26	0.0
2020	9	25	0.0
2020	9	24	0.0
2020	9	23	0.0
2020	9	22	0.0
2020	9	21	0.0
2020	9	20	0.0
2020	9	19	0.0
2020	9	18	0.0
2020	9	17	0.0
2020	9	16	0.0
2020	9	15	0.0
2020	9	14	0.0
2020	9	13	0.0
2020	9	12	0.0
2020	9	11	0.0
2020	9	10	0.0
2020	9	9	0.0
2020	9	8	0.0
2020	9	7	0.0
2020	9	6	0.0
2020	9	5	0.0
2020	9	4	0.0
2020	9	3	0.0
2020	9	2	0.0
2020	9	1	0.0
2020	8	31	0.0
2020	8	30	0.0
2020	8	29	0.0
2020	8	28	0.0
2020	8	27	0.0
2020	8	26	0.0
2020	8	25	0.0
2020	8	24	0.0
2020	8	23	2.3
2020	8	22	0.0
2020	8	21	0.0
2020	8	20	0.0
2020	8	19	0.0
2020	8	18	0.0
