ano	mes	dia	cota
2023	1	31	421.0
2023	1	30	480.0
2023	1	29	521.0
2023	1	28	506.0
2023	1	27	486.0
2023	1	26	466.0
2023	1	25	421.0
2023	1	24	436.0
2023	1	23	412.0
2023	1	22	350.0
2023	1	21	338.0
2023	1	20	312.0
2023	1	19	326.0
2023	1	18	357.0
2023	1	17	383.0
2023	1	16	434.0
2023	1	15	480.0
2023	1	14	532.0
2023	1	13	580.0
2023	1	12	642.0
2023	1	11	650.0
2023	1	10	596.0
2023	1	9	511.0
2023	1	8	428.0
2023	1	7	384.0
2023	1	6	322.0
2023	1	5	281.0
2023	1	4	276.0
2023	1	3	274.0
2023	1	2	298.0
2023	1	1	338.0
2022	12	31	312.0
2022	12	30	344.0
2022	12	29	358.0
2022	12	28	355.0
2022	12	27	377.0
2022	12	26	399.0
2022	12	25	483.0
2022	12	24	552.0
2022	12	23	529.0
2022	12	22	463.0
2022	12	21	384.0
2022	12	20	312.0
2022	12	19	298.0
2022	12	18	323.0
2022	12	17	324.0
2022	12	16	363.0
2022	12	15	322.0
2022	12	14	324.0
2022	12	13	282.0
2022	12	12	275.0
2022	12	11	314.0
2022	12	10	303.0
2022	12	9	293.0
2022	12	8	290.0
2022	12	7	298.0
2022	12	6	322.0
2022	12	5	346.0
2022	12	4	353.0
2022	12	3	348.0
2022	12	2	302.0
2022	12	1	283.0
2022	11	30	280.0
2022	11	29	322.0
2022	11	28	249.0
2022	11	27	242.0
2022	11	26	251.0
2022	11	25	212.0
2022	11	24	190.0
2022	11	23	190.0
2022	11	22	230.0
2022	11	21	230.0
2022	11	20	276.0
2022	11	19	310.0
2022	11	18	302.0
2022	11	17	261.0
2022	11	16	248.0
2022	11	15	216.0
2022	11	14	201.0
2022	11	13	200.0
2022	11	12	178.0
2022	11	11	143.0
2022	11	10	151.0
2022	11	9	184.0
2022	11	8	174.0
2022	11	7	198.0
2022	11	6	182.0
2022	11	5	182.0
2022	11	4	180.0
2022	11	3	185.0
2022	11	2	146.0
2022	11	1	140.0
2022	10	31	145.0
2022	10	30	149.0
2022	10	29	153.0
2022	10	28	146.0
2022	10	27	144.0
2022	10	26	143.0
2022	10	25	129.0
2022	10	24	123.0
2022	10	23	126.0
2022	10	22	128.0
2022	10	21	130.0
2022	10	20	130.0
2022	10	19	135.0
2022	10	18	136.0
2022	10	17	140.0
2022	10	16	140.0
2022	10	15	146.0
2022	10	14	155.0
2022	10	13	163.0
2022	10	12	168.0
2022	10	11	170.0
2022	10	10	192.0
2022	10	9	191.0
2022	10	8	187.0
2022	10	7	172.0
2022	10	6	166.0
2022	10	5	151.0
2022	10	4	152.0
2022	10	3	147.0
2022	10	2	148.0
2022	10	1	141.0
2022	9	30	136.0
2022	9	29	135.0
2022	9	28	131.0
2022	9	27	127.0
2022	9	26	133.0
2022	9	25	128.0
2022	9	24	129.0
2022	9	23	127.0
2022	9	22	130.0
2022	9	21	147.0
2022	9	20	128.0
2022	9	19	130.0
2022	9	18	122.0
2022	9	17	119.0
2022	9	16	122.0
2022	9	15	124.0
2022	9	14	128.0
2022	9	13	120.0
2022	9	12	125.0
2022	9	11	123.0
2022	9	10	124.0
2022	9	9	124.0
2022	9	8	125.0
2022	9	7	127.0
2022	9	6	131.0
2022	9	5	124.0
2022	9	4	127.0
2022	9	3	124.0
2022	9	2	126.0
2022	9	1	122.0
2022	8	31	142.0
2022	8	30	131.0
2022	8	29	134.0
2022	8	28	129.0
2022	8	27	126.0
2022	8	26	126.0
2022	8	25	128.0
2022	8	24	136.0
2022	8	23	122.0
2022	8	22	132.0
2022	8	21	136.0
2022	8	20	126.0
2022	8	19	136.0
2022	8	18	126.0
2022	8	17	135.0
2022	8	16	136.0
2022	8	15	132.0
2022	8	14	126.0
2022	8	13	140.0
2022	8	12	130.0
2022	8	11	136.0
2022	8	10	128.0
2022	8	9	132.0
2022	8	8	134.0
2022	8	7	140.0
2022	8	6	140.0
2022	8	5	141.0
2022	8	4	138.0
2022	8	3	145.0
2022	8	2	142.0
2022	8	1	140.0
2022	7	31	136.0
2022	7	30	147.0
2022	7	29	146.0
2022	7	28	145.0
2022	7	27	143.0
2022	7	26	146.0
2022	7	25	154.0
2022	7	24	145.0
2022	7	23	144.0
2022	7	22	147.0
2022	7	21	148.0
2022	7	20	148.0
2022	7	19	151.0
2022	7	18	152.0
2022	7	17	154.0
2022	7	16	145.0
2022	7	15	155.0
2022	7	14	149.0
2022	7	13	147.0
2022	7	12	152.0
2022	7	11	152.0
2022	7	10	152.0
2022	7	9	153.0
2022	7	8	152.0
2022	7	7	152.0
2022	7	6	155.0
2022	7	5	162.0
2022	7	4	156.0
2022	7	3	156.0
2022	7	2	155.0
2022	7	1	153.0
2022	6	30	152.0
2022	6	29	153.0
2022	6	28	158.0
2022	6	27	156.0
2022	6	26	158.0
2022	6	25	166.0
2022	6	24	162.0
2022	6	23	165.0
2022	6	22	154.0
2022	6	21	154.0
2022	6	20	158.0
2022	6	19	162.0
2022	6	18	163.0
2022	6	17	162.0
2022	6	16	161.0
2022	6	15	172.0
2022	6	14	161.0
2022	6	13	160.0
2022	6	12	160.0
2022	6	11	160.0
2022	6	10	160.0
2022	6	9	158.0
2022	6	8	163.0
2022	6	7	164.0
2022	6	6	164.0
2022	6	5	172.0
2022	6	4	169.0
2022	6	3	171.0
2022	6	2	168.0
2022	6	1	172.0
2022	5	31	169.0
2022	5	30	177.0
2022	5	29	165.0
2022	5	28	172.0
2022	5	27	169.0
2022	5	26	169.0
2022	5	25	169.0
2022	5	24	173.0
2022	5	23	169.0
2022	5	22	174.0
2022	5	21	163.0
2022	5	20	176.0
2022	5	19	176.0
2022	5	18	178.0
2022	5	17	177.0
2022	5	16	180.0
2022	5	15	180.0
2022	5	14	177.0
2022	5	13	178.0
2022	5	12	183.0
2022	5	11	191.0
2022	5	10	193.0
2022	5	9	189.0
2022	5	8	181.0
2022	5	7	174.0
2022	5	6	180.0
2022	5	5	179.0
2022	5	4	182.0
2022	5	3	185.0
2022	5	2	186.0
2022	5	1	185.0
2022	4	30	181.0
2022	4	29	183.0
2022	4	28	190.0
2022	4	27	195.0
2022	4	26	194.0
2022	4	25	195.0
2022	4	24	201.0
2022	4	23	194.0
2022	4	22	199.0
2022	4	21	203.0
2022	4	20	200.0
2022	4	19	212.0
2022	4	18	223.0
2022	4	17	227.0
2022	4	16	222.0
2022	4	15	208.0
2022	4	14	201.0
2022	4	13	208.0
2022	4	12	204.0
2022	4	11	210.0
2022	4	10	208.0
2022	4	9	208.0
2022	4	8	208.0
2022	4	7	212.0
2022	4	6	184.0
2022	4	5	204.0
2022	4	4	202.0
2022	4	3	202.0
2022	4	2	206.0
2022	4	1	216.0
2022	3	31	203.0
2022	3	30	214.0
2022	3	29	211.0
2022	3	28	211.0
2022	3	27	219.0
2022	3	26	227.0
2022	3	25	216.0
2022	3	24	215.0
2022	3	23	234.0
2022	3	22	210.0
2022	3	21	223.0
2022	3	20	221.0
2022	3	19	235.0
2022	3	18	231.0
2022	3	17	241.0
2022	3	16	240.0
2022	3	15	245.0
2022	3	14	245.0
2022	3	13	246.0
2022	3	12	258.0
2022	3	11	262.0
2022	3	10	265.0
2022	3	9	258.0
2022	3	8	276.0
2022	3	7	275.0
2022	3	6	283.0
2022	3	5	291.0
2022	3	4	306.0
2022	3	3	305.0
2022	3	2	322.0
2022	3	1	336.0
2022	2	28	341.0
2022	2	27	366.0
2022	2	26	396.0
2022	2	25	426.0
2022	2	24	434.0
2022	2	23	478.0
2022	2	22	551.0
2022	2	21	590.0
2022	2	20	624.0
2022	2	19	566.0
2022	2	18	488.0
2022	2	17	474.0
2022	2	16	520.0
2022	2	15	505.0
2022	2	14	566.0
2022	2	13	606.0
2022	2	12	624.0
2022	2	11	494.0
2022	2	10	457.0
2022	2	9	418.0
2022	2	8	354.0
2022	2	7	334.0
2022	2	6	354.0
2022	2	5	354.0
2022	2	4	311.0
2022	2	3	281.0
2022	2	2	264.0
2022	2	1	246.0
2022	1	31	238.0
2022	1	30	235.0
2022	1	29	230.0
2022	1	28	240.0
2022	1	27	254.0
2022	1	26	258.0
2022	1	25	262.0
2022	1	24	254.0
2022	1	23	278.0
2022	1	22	286.0
2022	1	21	288.0
2022	1	20	308.0
2022	1	19	308.0
2022	1	18	330.0
2022	1	17	392.0
2022	1	16	482.0
2022	1	15	588.0
2022	1	14	652.0
2022	1	13	736.0
2022	1	12	775.0
2022	1	11	690.0
2022	1	10	544.0
2022	1	9	424.0
2022	1	8	380.0
2022	1	7	382.0
2022	1	6	392.0
2022	1	5	376.0
2022	1	4	386.0
2022	1	3	352.0
2022	1	2	338.0
2022	1	1	287.0
2021	12	31	264.0
2021	12	30	274.0
2021	12	29	280.0
2021	12	28	291.0
2021	12	27	345.0
2021	12	26	335.0
2021	12	25	334.0
2021	12	24	328.0
2021	12	23	338.0
2021	12	22	383.0
2021	12	21	352.0
2021	12	20	291.0
2021	12	19	320.0
2021	12	18	300.0
2021	12	17	288.0
2021	12	16	261.0
2021	12	15	244.0
2021	12	14	267.0
2021	12	13	283.0
2021	12	12	315.0
2021	12	11	331.0
2021	12	10	309.0
2021	12	9	327.0
2021	12	8	314.0
2021	12	7	285.0
2021	12	6	262.0
2021	12	5	273.0
2021	12	4	290.0
2021	12	3	281.0
2021	12	2	300.0
2021	12	1	272.0
2021	11	30	237.0
2021	11	29	209.0
2021	11	28	220.0
2021	11	27	230.0
2021	11	26	238.0
2021	11	25	278.0
2021	11	24	296.0
2021	11	23	346.0
2021	11	22	266.0
2021	11	21	218.0
2021	11	20	212.0
2021	11	19	219.0
2021	11	18	252.0
2021	11	17	256.0
2021	11	16	276.0
2021	11	15	352.0
2021	11	14	342.0
2021	11	13	353.0
2021	11	12	324.0
2021	11	11	227.0
2021	11	10	208.0
2021	11	9	206.0
2021	11	8	251.0
2021	11	7	282.0
2021	11	6	334.0
2021	11	5	372.0
2021	11	4	254.0
2021	11	3	222.0
2021	11	2	192.0
2021	11	1	151.0
2021	10	31	154.0
2021	10	30	148.0
2021	10	29	164.0
2021	10	28	172.0
2021	10	27	182.0
2021	10	26	184.0
2021	10	25	200.0
2021	10	24	238.0
2021	10	23	274.0
2021	10	22	262.0
2021	10	21	198.0
2021	10	20	191.0
2021	10	19	152.0
2021	10	18	166.0
2021	10	17	180.0
2021	10	16	206.0
2021	10	15	216.0
2021	10	14	157.0
2021	10	13	162.0
2021	10	12	146.0
2021	10	11	134.0
2021	10	10	118.0
2021	10	9	115.0
2021	10	8	117.0
2021	10	7	94.0
2021	10	6	89.0
2021	10	5	90.0
2021	10	4	90.0
2021	10	3	92.0
2021	10	2	90.0
2021	10	1	93.0
2021	9	30	100.0
2021	9	29	104.0
2021	9	28	105.0
2021	9	27	102.0
2021	9	26	102.0
2021	9	25	103.0
2021	9	24	103.0
2021	9	23	101.0
2021	9	22	100.0
2021	9	21	98.0
2021	9	20	106.0
2021	9	19	101.0
2021	9	18	96.0
2021	9	17	111.0
2021	9	16	99.0
2021	9	15	107.0
2021	9	14	98.0
2021	9	13	110.0
2021	9	12	110.0
2021	9	11	110.0
2021	9	10	110.0
2021	9	9	112.0
2021	9	8	114.0
2021	9	7	114.0
2021	9	6	115.0
2021	9	5	118.0
2021	9	4	113.0
2021	9	3	110.0
2021	9	2	117.0
2021	9	1	109.0
2021	8	31	110.0
2021	8	30	114.0
2021	8	29	111.0
2021	8	28	113.0
2021	8	27	112.0
2021	8	26	113.0
2021	8	25	115.0
2021	8	24	115.0
2021	8	23	114.0
2021	8	22	117.0
2021	8	21	118.0
2021	8	20	117.0
2021	8	19	119.0
2021	8	18	112.0
2021	8	17	113.0
2021	8	16	116.0
2021	8	15	111.0
2021	8	14	110.0
2021	8	13	109.0
2021	8	12	113.0
2021	8	11	108.0
2021	8	10	111.0
2021	8	9	111.0
2021	8	8	110.0
2021	8	7	111.0
2021	8	6	118.0
2021	8	5	119.0
2021	8	4	109.0
2021	8	3	110.0
2021	8	2	113.0
2021	8	1	111.0
2021	7	31	110.0
2021	7	30	108.0
2021	7	29	106.0
2021	7	28	111.0
2021	7	27	116.0
2021	7	26	113.0
2021	7	25	119.0
2021	7	24	117.0
2021	7	23	117.0
2021	7	22	117.0
2021	7	21	110.0
2021	7	20	116.0
2021	7	19	117.0
2021	7	18	114.0
2021	7	17	106.0
2021	7	16	113.0
2021	7	15	114.0
2021	7	14	124.0
2021	7	13	115.0
2021	7	12	116.0
2021	7	11	128.0
2021	7	10	121.0
2021	7	9	121.0
2021	7	8	114.0
2021	7	7	117.0
2021	7	6	124.0
2021	7	5	125.0
2021	7	4	124.0
2021	7	3	125.0
2021	7	2	124.0
2021	7	1	116.0
2021	4	30	142.0
2021	4	29	158.0
2021	4	28	154.0
2021	4	27	144.0
2021	4	26	163.0
2021	4	25	160.0
2021	4	24	158.0
2021	4	23	158.0
2021	4	22	159.0
2021	4	21	157.0
2021	4	20	158.0
2021	4	19	157.0
2021	4	18	157.0
2021	4	17	159.0
2021	4	16	156.0
2021	4	15	159.0
2021	4	14	162.0
2021	4	13	165.0
2021	4	12	171.0
2021	4	11	172.0
2021	4	10	193.0
2021	4	9	191.0
2021	4	8	191.0
2021	4	7	203.0
2021	4	6	202.0
2021	4	5	189.0
2021	4	4	181.0
2021	4	3	166.0
2021	4	2	167.0
2021	4	1	179.0
2021	3	31	164.0
2021	3	30	171.0
2021	3	29	167.0
2021	3	28	172.0
2021	3	27	173.0
2021	3	26	172.0
2021	3	25	184.0
2021	3	24	178.0
2021	3	23	178.0
2021	3	22	190.0
2021	3	21	194.0
2021	3	20	203.0
2021	3	19	224.0
2021	3	18	224.0
2021	3	17	213.0
2021	3	16	236.0
2021	3	15	264.0
2021	3	14	287.0
2021	3	13	275.0
2021	3	12	272.0
2021	3	11	282.0
2021	3	10	258.0
2021	3	9	226.0
2021	3	8	206.0
2021	3	7	212.0
2021	3	6	237.0
2021	3	5	225.0
2021	3	4	253.0
2021	3	3	268.0
2021	3	2	276.0
2021	3	1	286.0
2021	2	28	286.0
2021	2	27	270.0
2021	2	26	314.0
2021	2	25	358.0
2021	2	24	429.0
2021	2	23	448.0
2021	2	22	486.0
2021	2	21	482.0
2021	2	20	274.0
2021	2	19	320.0
2021	2	18	247.0
2021	2	17	203.0
2021	2	16	206.0
2021	2	15	240.0
2021	2	14	254.0
2021	2	13	266.0
2021	2	12	288.0
2021	2	11	318.0
2021	2	10	374.0
2021	2	9	274.0
2021	2	8	187.0
2021	2	7	165.0
2021	2	6	133.0
2021	2	5	138.0
2021	2	4	136.0
2021	2	3	132.0
2021	2	2	140.0
2021	2	1	150.0
2021	1	31	145.0
2021	1	30	140.0
2021	1	29	142.0
2021	1	28	144.0
2021	1	27	140.0
2021	1	26	158.0
2021	1	25	167.0
2021	1	24	176.0
2021	1	23	178.0
2021	1	22	160.0
2021	1	21	178.0
2021	1	20	184.0
2021	1	19	206.0
2021	1	18	189.0
2021	1	17	192.0
2021	1	16	190.0
2021	1	15	206.0
2021	1	14	240.0
2021	1	13	228.0
2021	1	12	237.0
2021	1	11	242.0
2021	1	10	252.0
2021	1	9	257.0
2021	1	8	262.0
2021	1	7	351.0
2021	1	6	344.0
2021	1	5	230.0
2021	1	4	193.0
2021	1	3	180.0
2021	1	2	191.0
2021	1	1	200.0
2020	12	31	232.0
2020	12	30	246.0
2020	12	29	273.0
2020	12	28	310.0
2020	12	27	325.0
2020	12	26	308.0
2020	12	25	293.0
2020	12	24	238.0
2020	12	23	218.0
2020	12	22	175.0
2020	12	21	163.0
2020	12	20	191.0
2020	12	19	186.0
2020	12	18	194.0
2020	12	17	230.0
2020	12	16	256.0
2020	12	15	262.0
2020	12	14	316.0
2020	12	13	328.0
2020	12	12	272.0
2020	12	11	239.0
2020	12	10	222.0
2020	12	9	223.0
2020	12	8	210.0
2020	12	7	188.0
2020	12	6	171.0
2020	12	5	147.0
2020	12	4	146.0
2020	12	3	156.0
2020	12	2	153.0
2020	12	1	161.0
2020	11	30	159.0
2020	11	29	174.0
2020	11	28	176.0
2020	11	27	177.0
2020	11	26	191.0
2020	11	25	185.0
2020	11	24	206.0
2020	11	23	193.0
2020	11	22	205.0
2020	11	21	218.0
2020	11	20	222.0
2020	11	19	227.0
2020	11	18	230.0
2020	11	17	220.0
2020	11	16	169.0
