data	cota
2023-01-31	421.0
2023-01-30	480.0
2023-01-29	521.0
2023-01-28	506.0
2023-01-27	486.0
2023-01-26	466.0
2023-01-25	421.0
2023-01-24	436.0
2023-01-23	412.0
2023-01-22	350.0
2023-01-21	338.0
2023-01-20	312.0
2023-01-19	326.0
2023-01-18	357.0
2023-01-17	383.0
2023-01-16	434.0
2023-01-15	480.0
2023-01-14	532.0
2023-01-13	580.0
2023-01-12	642.0
2023-01-11	650.0
2023-01-10	596.0
2023-01-09	511.0
2023-01-08	428.0
2023-01-07	384.0
2023-01-06	322.0
2023-01-05	281.0
2023-01-04	276.0
2023-01-03	274.0
2023-01-02	298.0
2023-01-01	338.0
2022-12-31	312.0
2022-12-30	344.0
2022-12-29	358.0
2022-12-28	355.0
2022-12-27	377.0
2022-12-26	399.0
2022-12-25	483.0
2022-12-24	552.0
2022-12-23	529.0
2022-12-22	463.0
2022-12-21	384.0
2022-12-20	312.0
2022-12-19	298.0
2022-12-18	323.0
2022-12-17	324.0
2022-12-16	363.0
2022-12-15	322.0
2022-12-14	324.0
2022-12-13	282.0
2022-12-12	275.0
2022-12-11	314.0
2022-12-10	303.0
2022-12-09	293.0
2022-12-08	290.0
2022-12-07	298.0
2022-12-06	322.0
2022-12-05	346.0
2022-12-04	353.0
2022-12-03	348.0
2022-12-02	302.0
2022-12-01	283.0
2022-11-30	280.0
2022-11-29	322.0
2022-11-28	249.0
2022-11-27	242.0
2022-11-26	251.0
2022-11-25	212.0
2022-11-24	190.0
2022-11-23	190.0
2022-11-22	230.0
2022-11-21	230.0
2022-11-20	276.0
2022-11-19	310.0
2022-11-18	302.0
2022-11-17	261.0
2022-11-16	248.0
2022-11-15	216.0
2022-11-14	201.0
2022-11-13	200.0
2022-11-12	178.0
2022-11-11	143.0
2022-11-10	151.0
2022-11-09	184.0
2022-11-08	174.0
2022-11-07	198.0
2022-11-06	182.0
2022-11-05	182.0
2022-11-04	180.0
2022-11-03	185.0
2022-11-02	146.0
2022-11-01	140.0
2022-10-31	145.0
2022-10-30	149.0
2022-10-29	153.0
2022-10-28	146.0
2022-10-27	144.0
2022-10-26	143.0
2022-10-25	129.0
2022-10-24	123.0
2022-10-23	126.0
2022-10-22	128.0
2022-10-21	130.0
2022-10-20	130.0
2022-10-19	135.0
2022-10-18	136.0
2022-10-17	140.0
2022-10-16	140.0
2022-10-15	146.0
2022-10-14	155.0
2022-10-13	163.0
2022-10-12	168.0
2022-10-11	170.0
2022-10-10	192.0
2022-10-09	191.0
2022-10-08	187.0
2022-10-07	172.0
2022-10-06	166.0
2022-10-05	151.0
