data	vazao
2023-01-31	2216.75
2023-01-30	2713.995
2023-01-29	3098.139
2023-01-28	3213.664
2023-01-27	2848.022
2023-01-26	2785.262
2023-01-25	2464.183
2023-01-24	2485.837
2023-01-23	2314.033
2023-01-22	2000.996
2023-01-21	1559.9
2023-01-20	1402.484
2023-01-19	1547.907
2023-01-18	1735.046
2023-01-17	1799.234
2023-01-16	2162.261
2023-01-15	2749.567
2023-01-14	3306.889
2023-01-13	3725.358
2023-01-12	4294.503
2023-01-11	4434.094
2023-01-10	4077.252
2023-01-09	3433.864
2023-01-08	2608.028
2023-01-07	2103.988
2023-01-06	1527.985
2023-01-05	1306.888
2023-01-04	1144.044
2023-01-03	1061.755
2023-01-02	1288.032
2023-01-01	1325.832
2022-12-31	1441.328
2022-12-30	1697.891
2022-12-29	1811.177
2022-12-28	1787.312
2022-12-27	1964.259
2022-12-26	2141.401
2022-12-25	2870.527
2022-12-24	3514.461
2022-12-23	3297.535
2022-12-22	2696.256
2022-12-21	2021.484
2022-12-20	1437.429
2022-12-19	1329.631
2022-12-18	1527.985
2022-12-17	1535.944
2022-12-16	1851.139
2022-12-15	1520.04
2022-12-14	1531.963
2022-12-13	1213.502
2022-12-12	1158.556
2022-12-11	1456.962
2022-12-10	1371.656
2022-12-09	1291.796
2022-12-08	1269.265
2022-12-07	1333.434
2022-12-06	1520.04
2022-12-05	1710.247
2022-12-04	1767.488
2022-12-03	1726.767
2022-12-02	1363.984
2022-12-01	1217.195
2022-11-30	1402.484
2022-11-29	1394.756
2022-11-28	988.378
2022-11-27	950.627
2022-11-26	860.009
2022-11-25	678.662
2022-11-24	609.519
2022-11-23	612.475
2022-11-22	889.889
2022-11-21	950.627
2022-11-20	1198.77
2022-11-19	1379.342
2022-11-18	1356.325
2022-11-17	1051.169
2022-11-16	930.237
2022-11-15	747.007
2022-11-14	750.164
2022-11-13	618.401
2022-11-12	486.902
2022-11-11	406.802
2022-11-10	446.271
2022-11-09	580.215
2022-11-08	559.982
2022-11-07	624.345
2022-11-06	554.244
2022-11-05	565.74
2022-11-04	565.74
2022-11-03	523.029
2022-11-02	371.049
2022-11-01	331.514
2022-10-31	356.055
2022-10-30	373.567
2022-10-29	396.479
2022-10-28	361.03
2022-10-27	351.101
2022-10-26	346.17
2022-10-25	279.566
2022-10-24	252.464
2022-10-23	263.648
2022-10-22	272.707
2022-10-21	281.865
2022-10-20	284.17
2022-10-19	307.547
2022-10-18	309.917
2022-10-17	331.514
2022-10-16	329.091
2022-10-15	358.54
2022-10-14	406.802
2022-10-13	448.944
2022-10-12	473.231
2022-10-11	486.902
2022-10-10	609.519
2022-10-09	606.568
2022-10-08	580.215
2022-10-07	495.165
2022-10-06	465.089
2022-10-05	386.241
2022-10-04	391.349
2022-10-03	366.029
2022-10-02	371.049
2022-10-01	333.942
2022-09-30	309.917
2022-09-29	305.182
2022-09-28	288.797
2022-09-27	268.165
2022-09-26	298.124
2022-09-25	274.987
2022-09-24	279.566
2022-09-23	268.165
2022-09-22	284.17
2022-09-21	366.029
2022-09-20	274.987
2022-09-19	284.17
2022-09-18	245.829
2022-09-17	232.733
2022-09-16	245.829
2022-09-15	254.688
2022-09-14	272.707
2022-09-13	239.252
2022-09-12	261.399
2022-09-11	252.464
2022-09-10	256.919
2022-09-09	254.688
2022-09-08	261.399
2022-09-07	268.165
2022-09-06	288.797
2022-09-05	254.688
2022-09-04	270.433
2022-09-03	254.688
2022-09-02	265.904
2022-09-01	248.034
2022-08-31	341.262
2022-08-30	295.784
2022-08-29	295.784
2022-08-28	277.274
2022-08-27	270.433
2022-08-26	270.433
2022-08-25	286.48
2022-08-24	321.857
2022-08-23	274.987
2022-08-22	298.124
2022-08-21	331.514
2022-08-20	305.182
2022-08-19	307.547
2022-08-18	279.566
2022-08-17	302.824
2022-08-16	312.294
2022-08-15	307.547
2022-08-14	259.155
2022-08-13	329.091
2022-08-12	277.274
2022-08-11	312.294
