ano	mes	dia	vazao
2020	12	31	211.724
2020	12	30	240.314
2020	12	29	260.038
2020	12	28	280.278
2020	12	27	243.565
2020	12	26	202.467
2020	12	25	184.221
2020	12	24	166.846
2020	12	23	119.302
2020	12	22	97.2925
2020	12	21	70.6672
2020	12	20	79.6255
2020	12	19	94.2086
2020	12	18	104.708
2020	12	17	89.1933
2020	12	16	76.8744
2020	12	15	75.0707
2020	12	14	61.5056
2020	12	13	51.5962
2020	12	12	48.7439
2020	12	11	54.5406
2020	12	10	66.4136
2020	12	9	65.5808
2020	12	8	59.1313
2020	12	7	41.3695
2020	12	6	43.313
2020	12	5	48.7439
2020	12	4	53.7958
2020	12	3	55.2911
2020	12	2	61.5056
2020	12	1	68.0971
2020	11	30	63.1179
2020	11	29	60.7083
2020	11	28	54.5406
2020	11	27	53.0568
2020	11	26	58.3516
2020	11	25	65.5808
2020	11	24	77.7854
2020	11	23	75.0707
2020	11	22	85.2924
2020	11	21	88.2088
2020	11	20	103.629
2020	11	19	88.2088
2020	11	18	98.3329
2020	11	17	93.1931
2020	11	16	86.2584
2020	11	15	71.5359
2020	11	14	68.0971
2020	11	13	57.5777
2020	11	12	59.1313
2020	11	11	63.1179
2020	11	10	60.7083
2020	11	9	76.8744
2020	11	8	75.9696
2020	11	7	80.5547
2020	11	6	90.1839
2020	11	5	106.883
2020	11	4	151.768
2020	11	3	201.01
2020	11	2	248.469
2020	11	1	334.863
2020	10	31	84.3326
2020	10	30	81.49
2020	10	29	89.1933
2020	10	28	116.987
2020	10	27	120.47
2020	10	26	103.629
2020	10	25	53.0568
2020	10	24	56.8097
2020	10	23	56.0475
2020	10	22	38.8564
2020	10	21	37.6332
2020	10	20	37.6332
2020	10	19	36.4321
2020	10	18	38.8564
2020	10	17	34.1925
2020	10	16	39.4763
2020	10	15	38.8564
2020	10	14	29.7313
2020	10	13	30.5893
2020	10	12	28.4759
2020	10	11	24.9299
2020	10	10	20.6934
2020	10	9	17.5665
2020	10	8	20.3647
2020	10	7	21.3619
2020	10	6	23.0983
2020	10	5	25.3079
2020	10	4	24.1856
2020	10	3	27.2575
2020	10	2	26.0758
2020	10	1	29.3087
2020	8	31	39.4763
2020	8	30	43.972
2020	8	29	39.4763
2020	8	28	39.4763
2020	8	27	37.6332
2020	8	26	36.4321
2020	8	25	46.6648
2020	8	24	35.1372
2020	8	23	38.242
2020	8	22	40.7329
2020	8	21	42.6595
2020	8	20	42.0117
2020	8	19	48.7439
2020	8	18	50.1586
2020	8	17	45.3071
2020	8	16	50.1586
2020	8	15	48.7439
2020	8	14	50.1586
2020	8	13	50.1586
2020	8	12	48.7439
2020	8	11	50.8745
2020	8	10	48.7439
2020	8	9	50.8745
2020	8	8	50.8745
2020	8	7	54.5406
2020	8	6	46.6648
2020	8	5	59.9168
2020	8	4	55.2911
2020	8	3	45.9831
2020	8	2	59.9168
2020	8	1	56.8097
2020	7	31	60.7083
2020	7	30	53.7958
2020	7	29	54.5406
2020	7	28	59.1313
2020	7	27	59.9168
2020	7	26	57.5777
2020	7	25	55.2911
2020	7	24	61.5056
2020	7	23	59.1313
2020	7	22	55.2911
2020	7	21	56.8097
2020	7	20	53.0568
2020	7	19	49.4484
2020	7	18	53.0568
2020	7	17	54.5406
2020	7	16	59.1313
2020	7	15	59.1313
2020	7	14	56.0475
2020	7	13	57.5777
2020	7	12	59.1313
2020	7	11	64.7539
2020	7	10	64.7539
2020	7	9	72.4105
2020	7	8	77.7854
2020	7	7	78.7024
2020	7	6	60.7083
2020	7	5	59.1313
2020	7	4	62.3088
2020	7	3	67.2524
2020	7	2	60.7083
2020	7	1	62.3088
2020	6	30	59.1313
2020	6	29	61.5056
2020	6	28	57.5777
2020	6	27	62.3088
2020	6	26	61.5056
2020	6	25	61.5056
2020	6	24	67.2524
2020	6	23	64.7539
2020	6	22	60.7083
2020	6	21	70.6672
2020	6	20	68.9478
2020	6	19	67.2524
2020	6	18	68.9478
2020	6	17	68.0971
2020	6	16	67.2524
2020	6	15	68.9478
2020	6	14	70.6672
2020	6	13	74.178
2020	6	12	69.8045
2020	6	11	70.6672
2020	6	10	69.8045
2020	6	9	72.4105
2020	6	8	73.2912
2020	6	7	73.2912
2020	6	6	72.4105
2020	6	5	72.4105
2020	6	4	73.2912
2020	6	3	75.0707
2020	6	2	75.9696
2020	6	1	77.7854
2020	5	31	79.6255
2020	5	30	85.2924
2020	5	29	94.2086
2020	5	28	97.2925
2020	5	27	106.883
2020	5	26	126.404
2020	5	25	89.1933
2020	5	24	82.4314
2020	5	23	81.49
2020	5	22	81.49
2020	5	21	81.49
2020	5	20	84.3326
2020	5	19	91.1808
2020	5	18	96.2583
2020	5	17	84.3326
2020	5	16	84.3326
2020	5	15	80.5547
2020	5	14	80.5547
2020	5	13	81.49
2020	5	12	78.7024
2020	5	11	90.1839
2020	5	10	91.1808
2020	5	9	93.1931
2020	5	8	88.2088
2020	5	7	88.2088
2020	5	6	83.379
2020	5	5	83.379
2020	5	4	89.1933
2020	5	3	89.1933
2020	5	2	85.2924
2020	5	1	
2020	4	30	71.7869
2020	4	29	71.0545
2020	4	28	73.2641
2020	4	27	76.2691
2020	4	26	91.1659
2020	4	25	89.9942
2020	4	24	87.6663
2020	4	23	88.8276
2020	4	22	93.5249
2020	4	21	94.7121
2020	4	20	104.392
2020	4	19	108.105
2020	4	18	132.622
2020	4	17	157.384
2020	4	16	157.384
2020	4	15	168.846
2020	4	14	161.65
2020	4	13	144.822
2020	4	12	155.97
2020	4	11	163.08
2020	4	10	215.788
2020	4	9	290.613
2020	4	8	127.319
2020	4	7	123.391
2020	4	6	128.638
2020	4	5	132.622
2020	4	4	118.219
2020	4	3	99.5119
2020	4	2	88.8276
2020	4	1	93.5249
2020	3	31	95.9044
2020	3	30	99.5119
2020	3	29	104.392
2020	3	28	113.123
2020	3	27	116.938
2020	3	26	126.005
2020	3	25	153.157
2020	3	24	171.755
2020	3	23	183.557
2020	3	22	150.361
2020	3	21	135.301
2020	3	20	132.622
2020	3	19	128.638
2020	3	18	132.622
2020	3	17	136.648
2020	3	16	147.582
2020	3	15	155.97
2020	3	14	171.755
2020	3	13	176.149
2020	3	12	177.622
2020	3	11	191.069
2020	3	10	191.069
2020	3	9	228.529
2020	3	8	281.928
2020	3	7	339.041
2020	3	6	238.247
2020	3	5	241.518
2020	3	4	306.471
2020	3	3	331.706
2020	3	2	391.894
2020	3	1	335.367
2020	2	29	278.479
2020	2	28	241.518
2020	2	27	167.398
2020	2	26	148.969
2020	2	25	212.642
2020	2	24	256.421
2020	2	23	244.803
2020	2	22	103.165
2020	2	21	98.3044
2020	2	20	108.105
2020	2	19	118.219
2020	2	18	131.29
2020	2	17	164.515
2020	2	16	246.451
2020	2	15	139.355
2020	2	14	126.005
2020	2	13	142.079
2020	2	12	168.846
2020	2	11	118.219
2020	2	10	135.301
2020	2	9	128.638
2020	2	8	118.219
2020	2	7	110.604
2020	2	6	115.661
2020	2	5	129.962
2020	2	4	133.96
2020	2	3	144.822
2020	2	2	158.801
2020	2	1	185.051
2020	1	31	218.95
2020	1	30	287.128
2020	1	29	405.512
2020	1	28	655.401
2020	1	27	828.45
2020	1	26	513.642
2020	1	25	306.471
2020	1	24	163.08
2020	1	23	165.955
2020	1	22	165.955
2020	1	21	101.942
