ano	mes	dia	cota
2013	9	30	63.0
2013	9	29	64.0
2013	9	28	64.0
2013	9	27	64.0
2013	9	26	64.0
2013	9	25	65.0
2013	9	24	65.0
2013	9	23	66.0
2013	9	22	66.0
2013	9	21	66.0
2013	9	20	66.0
2013	9	19	66.0
2013	9	18	66.0
2013	9	17	66.0
2013	9	16	67.0
2013	9	15	67.0
2013	9	14	67.0
2013	9	13	68.0
2013	9	12	68.0
2013	9	11	68.0
2013	9	10	68.0
2013	9	9	68.0
2013	9	8	68.0
2013	9	7	68.0
2013	9	6	68.0
2013	9	5	69.0
2013	9	4	69.0
2013	9	3	69.0
2013	9	2	69.0
2013	9	1	69.0
2013	8	31	70.0
2013	8	30	71.0
2013	8	29	72.0
2013	8	28	72.0
2013	8	27	73.0
2013	8	26	74.0
2013	8	25	74.0
2013	8	24	73.0
2013	8	23	73.0
2013	8	22	74.0
2013	8	21	74.0
2013	8	20	74.0
2013	8	19	75.0
2013	8	18	76.0
2013	8	17	76.0
2013	8	16	75.0
2013	8	15	75.0
2013	8	14	75.0
2013	8	13	75.0
2013	8	12	75.0
2013	8	11	76.0
2013	8	10	76.0
2013	8	9	77.0
2013	8	8	78.0
2013	8	7	78.0
2013	8	6	78.0
2013	8	5	79.0
2013	8	4	80.0
2013	8	3	80.0
2013	8	2	79.0
2013	8	1	79.0
