data	vazao
2020-12-31	502.314
2020-12-30	629.244
2020-12-29	810.313
2020-12-28	1050.634
2020-12-27	1271.468
2020-12-26	1338.817
2020-12-25	1234.675
2020-12-24	1078.145
2020-12-23	720.336
2020-12-22	580.262
2020-12-21	369.516
2020-12-20	273.346
2020-12-19	330.461
2020-12-18	369.516
2020-12-17	429.077
2020-12-16	527.779
2020-12-15	732.079
2020-12-14	904.627
2020-12-13	1057.484
2020-12-12	1241.998
2020-12-11	749.841
2020-12-10	645.935
2020-12-09	612.734
2020-12-08	634.787
2020-12-07	559.022
2020-12-06	462.66
2020-12-05	277.276
2020-12-04	239.026
2020-12-03	231.66
2020-12-02	213.663
2020-12-01	246.488
2020-11-30	242.745
2020-11-29	289.206
2020-11-28	301.343
2020-11-27	338.984
2020-11-26	343.279
2020-11-25	382.933
2020-11-24	415.006
2020-11-23	457.798
2020-11-22	564.301
2020-11-21	502.314
2020-11-20	564.301
2020-11-19	591.005
2020-11-18	612.734
2020-11-17	791.968
2020-11-16	755.801
2020-11-15	433.81
2020-11-14	301.343
2020-11-13	250.254
2020-11-12	242.745
2020-11-11	269.439
2020-11-10	297.275
2020-11-09	365.088
2020-11-08	334.711
2020-11-07	382.933
2020-11-06	433.81
2020-11-05	585.623
2020-11-04	674.153
2020-11-03	755.801
2020-11-02	891.804
2020-11-01	591.005
2020-10-31	457.798
2020-10-30	522.644
2020-10-29	580.262
2020-10-28	743.901
2020-10-27	569.601
2020-10-26	532.935
2020-10-25	347.596
2020-10-24	235.331
2020-10-23	186.134
2020-10-22	169.733
2020-10-21	166.529
2020-10-20	176.218
2020-10-19	182.804
2020-10-18	166.529
2020-10-17	157.066
2020-10-16	144.809
2020-10-15	118.757
2020-10-14	97.423
2020-10-13	110.552
2020-10-12	110.552
2020-10-11	105.218
2020-10-10	105.218
2020-10-09	94.88
2020-10-08	102.592
2020-10-07	130.072
2020-10-06	147.835
2020-10-05	141.809
2020-10-04	132.967
2020-10-03	135.888
2020-10-02	153.964
2020-10-01	138.836
2020-09-30	163.349
2020-09-29	203.156
2020-09-28	153.964
2020-09-27	160.195
2020-09-26	172.963
2020-09-25	132.967
2020-09-24	141.809
2020-09-23	135.888
2020-09-22	163.349
2020-09-21	163.349
2020-09-20	163.349
2020-09-19	153.964
2020-09-18	157.066
2020-09-17	166.529
2020-09-16	169.733
2020-09-15	153.964
2020-09-14	163.349
2020-09-13	169.733
2020-09-12	169.733
2020-09-11	176.218
2020-09-10	172.963
2020-09-09	141.809
2020-09-08	138.836
2020-09-07	147.835
2020-09-06	153.964
2020-09-05	186.134
2020-09-04	224.389
2020-09-03	189.489
2020-09-02	189.489
2020-09-01	210.136
2020-08-31	203.156
2020-08-30	220.789
2020-08-29	220.789
2020-08-28	250.254
2020-08-27	231.66
2020-08-26	224.389
2020-08-25	235.331
2020-08-24	217.214
2020-08-23	192.869
2020-08-22	199.702
2020-08-21	166.529
2020-08-20	189.489
2020-08-19	182.804
2020-08-18	160.195
2020-08-17	176.218
2020-08-16	210.136
2020-08-15	213.663
2020-08-14	231.66
2020-08-13	239.026
2020-08-12	217.214
2020-08-11	220.789
2020-08-10	231.66
2020-08-09	228.012
2020-08-08	213.663
2020-08-07	235.331
2020-08-06	220.789
2020-08-05	228.012
2020-08-04	228.012
2020-08-03	228.012
2020-08-02	231.66
2020-08-01	242.745
2020-07-31	228.012
2020-07-30	239.026
2020-07-29	231.66
2020-07-28	228.012
2020-07-27	213.663
2020-07-26	231.66
2020-07-25	231.66
2020-07-24	242.745
2020-07-23	257.858
2020-07-22	257.858
2020-07-21	257.858
2020-07-20	217.214
2020-07-19	250.254
2020-07-18	239.026
2020-07-17	228.012
2020-07-16	242.745
2020-07-15	239.026
2020-07-14	246.488
2020-07-13	239.026
2020-07-12	250.254
2020-07-11	246.488
2020-07-10	246.488
2020-07-09	246.488
2020-07-08	277.276
2020-07-07	285.206
2020-07-06	281.23
2020-07-05	277.276
2020-07-04	254.044
2020-07-03	265.555
2020-07-02	289.206
2020-07-01	277.276
2020-06-30	273.346
2020-06-29	285.206
2020-06-28	309.549
2020-06-27	277.276
2020-06-26	273.346
2020-06-25	281.23
2020-06-24	277.276
2020-06-23	277.276
2020-06-22	293.229
2020-06-21	293.229
2020-06-20	281.23
2020-06-19	297.275
2020-06-18	285.206
