ds	y	chuva1	chuva2	chuva3	chuva4	vazao1	chuva5	vazao2	chuva6	vazao3	chuva7	vazao4	vazao5	vazao6	vazao7	vazao8
2021-12-31	871.337	0.0	0.2	0.0	0.0		0.0	799.5527272727272	0.0	766.7953125	0.0	100.57478260869564		36.492		882.936
2021-12-30	794.898	0.0	5.7	16.1	1.0		5.25	615.0111111111111	6.6000000000000005	625.7497916666667	0.2	106.40869565217392		33.751		658.355
2021-12-29	908.965	3.8	0.2	3.0	0.0		0.25	632.6534285714285	0.2	677.7495833333334	3.6	113.85304347826086		29.379		642.74
2021-12-28	953.622	7.8	2.8	0.0	1.0		0.0	673.0678947368422	0.8	692.5315625	7.0	125.40363636363637		28.301		696.346
2021-12-27	1192.34	0.0	0.0	0.0	0.0		0.0	758.2795	0.4	797.1887499999999	0.8	137.6178260869565		19.916		735.055
2021-12-26	1435.66	0.0	0.0	0.0	0.0		0.0	1015.9456666666666	1.8	1004.9752083333332	0.0	144.9582608695652		20.448		1017.87
2021-12-25	1295.55	3.7	0.2	0.0	0.0		0.0	954.0845	28.6	917.7267708333334	0.2	155.20869565217393		20.717		907.3
2021-12-24	1361.24	10.5	41.0	30.6	2.0		4.0	846.6095833333334	0.8	884.1858333333333	6.6	157.39869565217393		21.666		896.831
2021-12-23	1241.76	0.0	0.0	0.0	42.0		39.0	909.0683720930232	0.0	946.37	32.4	134.1969565217391		22.078		938.955
2021-12-22	1588.95	0.0	0.4	0.0	1.0		2.0	1189.29075	0.0	1193.8678125	3.4000000000000004	122.96565217391304		22.355		1102.589
2021-12-21	1896.13	1.9	1.8	0.0	3.0		2.25	1651.4864583333335	0.2	1619.235625	10.0	142.34304347826085		22.632		1625.868
2021-12-20	1299.17	1.9	15.4	30.0	15.0		7.0	1319.478085106383	17.0	1198.0772916666667	11.0	147.0533333333333		22.771		1399.05
2021-12-19	1018.82	29.3	2.7	0.0	4.0		6.25	814.1731249999999	4.4	806.6687499999999	3.0	135.12478260869565		23.051		814.578
2021-12-18	1154.04	0.0	0.0	0.0	13.0		6.0	932.9228571428572	0.0	928.6151041666668	22.6	122.2475		23.756		924.841
2021-12-17	1266.75	0.0	1.8	0.0	0.0		0.0	1097.8341176470587	0.0	1050.1598958333334	0.0	128.84458333333333		24.325		1032.449
2021-12-16	1025.42	0.0	0.0	0.0	3.0		19.0	957.2347368421052	0.6000000000000001	879.6731249999999	0.0	149.49458333333334		24.899		910.799
2021-12-15	788.898	0.0	0.0	0.0	0.0		0.0	649.5305405405405	0.0	647.0467708333333	0.0	183.72333333333333		25.479		683.602
2021-12-14	800.915	0.0	0.7	0.0	0.0		1.0	521.1491666666667	0.6000000000000001	573.6633333333333	0.2	231.43625		26.064		596.667
2021-12-13	963.297	0.0	98.3	0.0	0.0		0.0	566.2708333333334	0.0	630.1164583333333	0.0	303.6504166666667		26.358		627.253
2021-12-12	1126.48	0.0		0.0	0.0		0.0	675.3879545454546	0.0	714.3378124999999	0.0	380.4491666666667		26.95		725.311
2021-12-11	1259.59	0.0		0.0	0.0		0.0	736.4347916666667	0.2	783.9548958333334	0.0	409.6233333333334		27.248		781.106
2021-12-10	1227.56	0.0		0.0	0.0		0.0	861.8586363636364	0.2	874.7872916666666	0.0	309.3334782608696		27.398		931.889
2021-12-09	1042.02	23.0		0.0	11.0		3.75	758.1404166666666	7.4	793.2463541666666	20.2	199.5021739130435		27.848		851.943
2021-12-08	973.009	33.5		80.2	1.0		1.0	670.8425000000001	13.4	728.4502083333333	0.4	166.53791666666666		28.453		741.576
2021-12-07	1035.37	13.1		9.0	39.0		40.75	713.4760416666667	34.2	751.5733333333333	43.4	164.97791666666666		28.913		774.47
2021-12-06	1038.69	0.0		0.0	2.0		4.75	780.5058139534884	14.6	805.4678125	0.6000000000000001	188.05625		29.692		814.578
2021-12-05	800.915	0.0		0.0	0.0		0.0	634.040625	5.4	670.1094791666667	0.0	175.54250000000002		30.962		699.545
2021-12-04	825.154	0.0		0.0	0.0		0.0	610.5	0.0	664.3039583333333	0.0	141.00583333333333		31.932		705.957
2021-12-03	886.942	10.5		18.0	14.0		14.5	623.77	1.0	706.1281250000001	10.4	113.58291666666666		34.766		715.612
2021-12-02	831.257	9.8		31.3	23.0		45.0	631.9483333333334	10.6	685.3872916666668	11.6	79.36708333333333		35.623		712.388
2021-12-01		29.3		17.7	22.0		44.0	675.30125	0.0	726.5383333333333	7.199999999999999	61.82608695652174		36.317		735.055
2021-11-30	837.376	0.0		0.0	0.0		0.0	746.7410416666667	0.0	771.3894791666667	4.2	75.36375		38.083		804.486
2021-11-29	547.668	1.3	16.0	0.0	13.0		0.0	553.9559999999999	0.0	556.6123809523809	0.0	83.18478260869566		38.083		581.57
2021-11-28	547.668	12.1		0.0	0.0		0.0	435.163125	0.2	493.6490625	0.0	86.29		37.548		499.496
2021-11-27	630.775	0.0		0.0	19.0		15.5	497.8189583333333	0.0	551.2720833333334	9.4	99.06105263157896		36.667		566.604
2021-11-26	803.93	0.0		0.0	0.0		0.0	589.8532558139534	0.0	636.2852272727273	0.0	112.102		40.628		648.971
2021-11-25	1005.65	0.0		0.0	0.0		6.5	777.6472916666667	0.0	791.0464583333334	0.0	149.4231818181818		41.371		811.209
2021-11-24	1188.83	0.0		0.0	0.0		0.0	933.2375	0.0	919.6904166666668	0.2	150.17000000000002		43.26		893.35
2021-11-23	1133.35	0.6	0.1	4.0	0.0		0.0	936.29125	0.2	904.4452083333334	0.0	113.2625		44.608		924.841
2021-11-22	1099.18	7.8	11.9	6.8	0.0		5.5	940.7579166666666	0.2	908.2371875	0.2	128.12166666666667		42.499		924.841
2021-11-21	600.777	5.3	9.5	19.7	0.0		30.5	637.4695833333334	0.2	617.4542708333333	0.0	55.06504373286262		42.121		683.602
2021-11-20	617.071	3.8	9.8	15.8	0.0		10.75	473.9297916666667	0.0	529.7609375000001	0.0	55.06504373286262		42.499		551.772
2021-11-19	628.025	0.0	0.0	10.5	0.0		33.5	476.8986956521739	0.0	531.2317045454546	0.0	97.5776923076923		40.628		531.233
2021-11-18	735.68	0.0	0.0	0.0	0.0		0.0	539.5197826086957	0.2	592.4483333333334	0.2	103.72791666666666		40.628		593.637
2021-11-17	915.295	0.0	0.0	0.0	1.0		0.0	675.4022916666667	2.0	705.8084090909091	0.8	128.22833333333332		42.31		702.748
2021-11-16	1099.18	0.0	0.0	0.0	0.0		0.0	802.6875	1.2000000000000002	824.0348958333334	0.8	145.89391304347825		40.999		855.368
2021-11-15	1342.87	0.0	0.0	7.8	0.0		0.0	1044.37875	0.2	1025.0205208333334	1.2000000000000002	146.4358333333333		40.813		996.134
2021-11-14	1496.27	1.5	2.1	10.2	0.0		0.0	1281.009375	0.4	1235.9257291666663	1.2000000000000002	132.44625		36.667		1278.016
2021-11-13	1446.95	16.3	13.8	38.6	1.0		0.0	1225.7407894736843	0.4	1150.3676041666663	2.0	112.88416666666669		35.969		1131.902
2021-11-12	1224.02	81.7	13.1	12.0	15.0		12.5	991.4989130434782	3.4000000000000004	947.0279166666668	6.2	94.21608695652174		35.623		1054.45
2021-11-11	979.503	32.5	92.9	16.8	91.0		73.75	631.5036170212766	111.2	726.1991666666667	58.6	91.03791666666666		36.492		754.675
2021-11-10	587.326	0.0	0.0	25.6	2.0		9.0	542.7270833333333	0.0	559.0717708333333	6.4	85.31375		34.256		575.568
2021-11-09	603.481	0.0	0.0	42.0	0.0		0.0	408.3263636363636	0.0	477.13520833333337	0.0	120.535		30.323		465.64
2021-11-08	678.215	0.0	0.0	55.2	0.0		0.25	499.3675	0.0	569.3803125000001	0.0	149.565		26.95		560.655
2021-11-07	992.542	0.0	0.0	36.9	0.0		0.0	628.3502127659574	0.0	677.7544565217391	0.0	205.41375		26.358		602.743
2021-11-06	1263.17	0.0	0.2	48.3	0.0		0.0	809.2576086956522	0.0	845.1420833333333	0.0	246.69375		20.717		804.486
2021-11-05	1752.12	11.0	74.7	70.4	0.0		0.5	1109.946458333333	57.6	1130.6014583333333	90.4	277.5308333333333		15.129		1102.589
2021-11-04	1624.25	0.0	11.0	0.0	5.0		4.75	1424.9414583333337	5.0	1374.095625	0.2	179.168		13.608		1399.05
2021-11-03	611.621	1.6	2.9	15.0	17.0		14.75	726.3508333333333	3.0	667.8877083333333	2.2	85.01875		11.392		709.17
2021-11-02	460.298	34.0	64.6	28.0	44.0		12.25	410.9347826086956	67.39999999999999	484.4839772727273	26.2	34.26375		9.032		525.413
2021-11-01	357.575	16.5	20.4	40.7	25.0		3.5	222.99510638297872	28.4	286.71489583333334	26.0	27.55		9.428		285.097
2020-12-01		0.0	0.0	0.0	0.0		0.0	213.36875	0.0	327.1372340425532	0.0	58.054545454545455	246.488	9.032		296.978
2020-11-30	332.089	3.4	0.4	0.0	0.0		0.0	190.94375	0.0	288.4608695652174	0.0	61.620909090909095	242.745	6.8		245.957
2020-11-29	366.847	0.4	4.3	4.5	0.0		0.0	229.10833333333332	0.4	348.40319148936175	0.0	64.8	289.206	6.625		311.45
2020-11-28	406.753	0.0	0.0	0.0	0.0		0.0	246.2375	4.6	379.4666666666667	0.0	64.56666666666668	301.343	6.625		361.35
2020-11-27	416.481	0.7	0.5	0.0	0.0		0.0	263.2833333333333	0.0	379.7352272727272	0.4	64.90833333333333	338.984	6.888		336.086
2020-11-26	434.207	0.8	4.6	0.0	0.0		0.5	273.475	0.0	414.3281690140845	0.0	66.425	343.279	7.886		403.048
2020-11-25	446.178	2.8	5.0	3.5	5.0		4.5	297.94375	8.2	434.46753246753246	0.0	55.06504373286262	382.933	8.837		424.47
2020-11-24	469.088	3.3	1.4	0.0	4.0		2.0	323.9791666666667	2.4000000000000004	463.3613333333333	0.0	74.65789473684211	415.006	9.13		468.431
2020-11-23	584.649	0.8	1.3	0.0	1.0		1.5	372.4604166666666	2.8000000000000003	538.5133333333333	0.0	55.8125	457.798	8.837		496.644
2020-11-22	550.279	0.0	0.4	23.3	0.0		0.0	428.19375	0.0	556.3929411764706	0.0	46.25416666666666	564.301	8.547		542.937
2020-11-21	537.271	1.1	6.9	0.0	0.0		0.0	379.20416666666665	0.8	533.3180555555556	0.0	41.1	502.314	8.74		531.233
2020-11-20	647.369	0.0	0.4	0.0	5.0		0.0	443.1458333333333	7.0	605.5275862068964	0.0	39.6	564.301	8.837		621.094
2020-11-19	644.592	15.0	53.5	17.0	0.0		0.75	448.3979166666666	32.0	602.0175824175824	0.0	38.02782608695652	591.005	9.229		621.094
2020-11-18	703.855	0.0	0.3	10.0	0.0		11.0	478.91041666666666	26.4	646.9436781609195	0.0	34.292857142857144	612.734	9.829		639.633
2020-11-17	931.192	0.0	3.4	0.0	0.0		0.0	633.7020833333333	0.0	833.6043956043956	0.0	33.5	791.968	10.237		787.762
2020-11-16	633.529	0.0	0.4	0.0	9.0		0.25	548.9270833333334	3.6	635.7416666666667	0.0	30.40869565217391	755.801	10.444		689.964
2020-11-15	434.207	5.5	3.6	5.1	1.0		4.5	325.00208333333336	2.8	421.46712328767126	0.0	30.9	433.81	11.072		468.431
2020-11-14	361.273	0.9	0.8	0.0	1.0		8.75	234.4	2.0	326.2462962962963	0.0	29.46666666666667	301.343	12.15		376.806
2020-11-13	314.321	0.0	0.8	5.7	0.0		3.0	193.75208333333333	0.8	289.8056179775281	0.0	35.391666666666666	250.254	11.715		311.45
2020-11-12	361.273	0.0	0.0	0.0	0.0		0.0	197.40625	0.0	301.70410958904114	0.0	40.0375	242.745	11.178		306.6
2020-11-11	410.634	0.0	0.0	0.0	0.0		0.0	216.82916666666665	0.0	329.09791666666666	0.0	45.34166666666667	269.439	10.032		331.108
2020-11-10	458.27	0.0	0.0	0.0	0.0		0.0	239.9020833333333	0.0	367.946875	0.0	52.4125	297.275	10.34		346.117
2020-11-09	509.07	0.0	0.0	0.0	0.0		0.0	286.0125	0.0	412.384375	0.0	64.78695652173913	365.088	10.756		424.47
2020-11-08	521.818	0.0	0.0	0.0	0.0		0.0	261.24791666666664	0.0	384.70208333333335	0.0	81.48333333333333	334.711	11.072		392.479
2020-11-07	542.46	0.0	0.0	0.0	0.0		0.0	305.4770833333333	0.0	445.9645833333333	0.0	99.2375	382.933	11.072		440.783
2020-11-06	598.078	0.0	0.0	0.0	0.0		0.0	347.56666666666666	0.0	512.2978260869565	0.0	116.55416666666667	433.81	11.178		508.086
2020-11-05	672.566	0.2	0.3	0.0	0.0		0.0	457.5125	0.0	637.8076086956522	0.0	111.7909090909091	585.623	12.041		614.956
2020-11-04	732.764	0.0	0.0	0.0	0.0		0.0	518.4229166666667	0.0	671.471875	0.0	92.97692307692309	674.153	11.606		658.355
2020-11-03	899.502	0.0	0.4	0.0	0.0		0.0	606.4187499999999	0.0	818.5872340425532	0.0	75.83749999999999	755.801	11.932		794.438
2020-11-02	819.069	7.3	5.8	0.0	3.0		0.75	664.7520833333334	2.4	783.8372340425532	0.2	61.44125	891.804	12.15		841.696
2020-11-01	738.599	31.3	32.9	16.5	5.0		11.0	438.0916666666667	23.8	586.4130434782609	0.2	57.6875	591.005	12.481		677.26
2020-10-31	658.523	1.8	12.7	42.5	20.0		27.75	357.125	24.8	495.45416666666665	0.0	51.09130434782608	457.798			479.649
2020-10-30	600.777	0.0	0.0	0.0	8.0		6.25	401.65	7.2	549.6739583333334	0.2	46.15291666666667	522.644			513.84
