lags,lags_label,params,mean_absolute_percentage_error,depth,iterations,l2_leaf_reg,learning_rate
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.014569679264871982,6.0,500.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.014732888895673398,6.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.014747624170560554,6.0,500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.014861385550713153,6.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1500, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.014941971530954735,6.0,1500.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1000, 'l2_leaf_reg': 5.0, 'learning_rate': 0.1}",0.014963112131075599,6.0,1000.0,5.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.015030756187432884,10.0,1000.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 1500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.015184489881690638,10.0,1500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 10, 'iterations': 500, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.015198268043311704,10.0,500.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14],"{'depth': 6, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.01527682658224115,6.0,1000.0,3.0,0.1
[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],[ 1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21],"{'depth': 6, 'iterations': 1000, 'l2_leaf_reg': 3.0, 'learning_rate': 0.1}",0.015276931244224103,6.0,1000.0,3.0,0.1
