dia	mes	ano	vazao
31	1	2023	2216.75
30	1	2023	2713.995
29	1	2023	3098.139
28	1	2023	3213.664
27	1	2023	2848.022
26	1	2023	2785.262
25	1	2023	2464.183
24	1	2023	2485.837
23	1	2023	2314.033
22	1	2023	2000.996
21	1	2023	1559.9
20	1	2023	1402.484
19	1	2023	1547.907
18	1	2023	1735.046
17	1	2023	1799.234
16	1	2023	2162.261
15	1	2023	2749.567
14	1	2023	3306.889
13	1	2023	3725.358
12	1	2023	4294.503
11	1	2023	4434.094
10	1	2023	4077.252
9	1	2023	3433.864
8	1	2023	2608.028
7	1	2023	2103.988
6	1	2023	1527.985
5	1	2023	1306.888
4	1	2023	1144.044
3	1	2023	1061.755
2	1	2023	1288.032
1	1	2023	1325.832
31	12	2022	1441.328
30	12	2022	1697.891
29	12	2022	1811.177
28	12	2022	1787.312
27	12	2022	1964.259
26	12	2022	2141.401
25	12	2022	2870.527
24	12	2022	3514.461
23	12	2022	3297.535
22	12	2022	2696.256
21	12	2022	2021.484
20	12	2022	1437.429
19	12	2022	1329.631
18	12	2022	1527.985
17	12	2022	1535.944
16	12	2022	1851.139
15	12	2022	1520.04
14	12	2022	1531.963
13	12	2022	1213.502
12	12	2022	1158.556
11	12	2022	1456.962
10	12	2022	1371.656
9	12	2022	1291.796
8	12	2022	1269.265
7	12	2022	1333.434
6	12	2022	1520.04
5	12	2022	1710.247
4	12	2022	1767.488
3	12	2022	1726.767
2	12	2022	1363.984
1	12	2022	1217.195
30	11	2022	1402.484
29	11	2022	1394.756
28	11	2022	988.378
27	11	2022	950.627
26	11	2022	860.009
25	11	2022	678.662
24	11	2022	609.519
23	11	2022	612.475
22	11	2022	889.889
21	11	2022	950.627
20	11	2022	1198.77
19	11	2022	1379.342
18	11	2022	1356.325
17	11	2022	1051.169
16	11	2022	930.237
15	11	2022	747.007
14	11	2022	750.164
13	11	2022	618.401
12	11	2022	486.902
11	11	2022	406.802
10	11	2022	446.271
9	11	2022	580.215
8	11	2022	559.982
7	11	2022	624.345
6	11	2022	554.244
5	11	2022	565.74
4	11	2022	565.74
3	11	2022	523.029
2	11	2022	371.049
1	11	2022	331.514
31	10	2022	356.055
30	10	2022	373.567
29	10	2022	396.479
28	10	2022	361.03
27	10	2022	351.101
26	10	2022	346.17
25	10	2022	279.566
24	10	2022	252.464
23	10	2022	263.648
22	10	2022	272.707
21	10	2022	281.865
20	10	2022	284.17
19	10	2022	307.547
18	10	2022	309.917
17	10	2022	331.514
16	10	2022	329.091
15	10	2022	358.54
14	10	2022	406.802
13	10	2022	448.944
12	10	2022	473.231
11	10	2022	486.902
10	10	2022	609.519
9	10	2022	606.568
8	10	2022	580.215
7	10	2022	495.165
6	10	2022	465.089
5	10	2022	386.241
4	10	2022	391.349
3	10	2022	366.029
2	10	2022	371.049
1	10	2022	333.942
30	9	2022	309.917
29	9	2022	305.182
28	9	2022	288.797
27	9	2022	268.165
26	9	2022	298.124
25	9	2022	274.987
24	9	2022	279.566
23	9	2022	268.165
22	9	2022	284.17
21	9	2022	366.029
20	9	2022	274.987
19	9	2022	284.17
18	9	2022	245.829
17	9	2022	232.733
16	9	2022	245.829
15	9	2022	254.688
14	9	2022	272.707
13	9	2022	239.252
12	9	2022	261.399
11	9	2022	252.464
10	9	2022	256.919
9	9	2022	254.688
8	9	2022	261.399
7	9	2022	268.165
6	9	2022	288.797
5	9	2022	254.688
4	9	2022	270.433
3	9	2022	254.688
2	9	2022	265.904
1	9	2022	248.034
31	8	2022	341.262
30	8	2022	295.784
29	8	2022	295.784
28	8	2022	277.274
27	8	2022	270.433
26	8	2022	270.433
25	8	2022	286.48
24	8	2022	321.857
23	8	2022	274.987
22	8	2022	298.124
21	8	2022	331.514
20	8	2022	305.182
19	8	2022	307.547
18	8	2022	279.566
17	8	2022	302.824
16	8	2022	312.294
15	8	2022	307.547
14	8	2022	259.155
13	8	2022	329.091
12	8	2022	277.274
11	8	2022	312.294
10	8	2022	291.12
9	8	2022	288.797
8	8	2022	317.064
7	8	2022	326.674
