ano	mes	dia	cota
2022	6	30	46.0
2022	6	29	46.0
2022	6	28	46.0
2022	6	27	46.0
2022	6	26	46.0
2022	6	25	46.0
2022	6	24	46.0
2022	6	23	46.0
2022	6	22	46.0
2022	6	21	46.0
2022	6	20	47.0
2022	6	19	47.0
2022	6	18	47.0
2022	6	17	47.0
2022	6	16	47.0
2022	6	15	47.0
2022	6	14	47.0
2022	6	13	48.0
2022	6	12	48.0
2022	6	11	48.0
2022	6	10	48.0
2022	6	9	48.0
2022	6	8	48.0
2022	6	7	48.0
2022	6	6	48.0
2022	6	5	49.0
2022	6	4	49.0
2022	6	3	49.0
2022	6	2	49.0
2022	6	1	49.0
2014	9	30	46.0
2014	9	29	43.0
2014	9	28	41.0
2014	9	27	38.0
2014	9	26	42.0
2014	9	25	45.0
2014	9	24	42.0
2014	9	23	38.0
2014	9	22	38.0
2014	9	21	38.0
2014	9	20	39.0
2014	9	19	39.0
2014	9	18	40.0
2014	9	17	37.0
2014	9	16	37.0
2014	9	15	37.0
2014	9	14	37.0
2014	9	13	38.0
2014	9	12	38.0
2014	9	11	38.0
2014	9	10	38.0
2014	9	9	40.0
2014	9	8	41.0
2014	9	7	42.0
2014	9	6	46.0
2014	9	5	47.0
2014	9	4	40.0
2014	9	3	39.0
2014	9	2	39.0
2014	9	1	39.0
2014	7	31	46.0
2014	7	30	47.0
2014	7	29	48.0
2014	7	28	48.0
2014	7	27	50.0
2014	7	26	52.0
2014	7	25	55.0
2014	7	24	44.0
2014	7	23	44.0
2014	7	22	44.0
2014	7	21	44.0
2014	7	20	44.0
2014	7	19	44.0
2014	7	18	45.0
2014	7	17	45.0
2014	7	16	45.0
2014	7	15	45.0
2014	7	14	45.0
2014	7	13	45.0
2014	7	12	46.0
2014	7	11	46.0
2014	7	10	46.0
2014	7	9	46.0
2014	7	8	46.0
2014	7	7	46.0
2014	7	6	46.0
2014	7	5	46.0
2014	7	4	46.0
2014	7	3	46.0
2014	7	2	46.0
2014	7	1	46.0
2014	5	31	34.0
2014	5	30	38.0
2014	5	29	40.0
2014	5	28	41.0
2014	5	27	41.0
2014	5	26	40.0
2014	5	25	37.0
2014	5	24	37.0
2014	5	23	38.0
2014	5	22	38.0
2014	5	21	38.0
2014	5	20	38.0
2014	5	19	38.0
2014	5	18	38.0
2014	5	17	38.0
2014	5	16	36.0
2014	5	15	39.0
2014	5	14	39.0
2014	5	13	40.0
2014	5	12	40.0
2014	5	11	40.0
2014	5	10	41.0
2014	5	9	41.0
2014	5	8	42.0
2014	5	7	42.0
2014	5	6	42.0
2014	5	5	42.0
2014	5	4	43.0
2014	5	3	43.0
2014	5	2	43.0
2014	5	1	44.0
2014	4	30	44.0
2014	4	29	44.0
2014	4	28	45.0
2014	4	27	45.0
2014	4	26	44.0
2014	4	25	48.0
2014	4	24	51.0
2014	4	23	56.0
2014	4	22	45.0
2014	4	21	44.0
2014	4	20	45.0
2014	4	19	46.0
2014	4	18	50.0
2014	4	17	61.0
2014	4	16	51.0
2014	4	15	49.0
2014	4	14	45.0
2014	4	13	47.0
2014	4	12	50.0
2014	4	11	42.0
2014	4	10	42.0
2014	4	9	43.0
2014	4	8	44.0
2014	4	7	44.0
2014	4	6	50.0
2014	4	5	56.0
2014	4	4	59.0
2014	4	3	78.0
2014	4	2	60.0
2014	4	1	42.0
2014	3	31	46.0
2014	3	30	41.0
2014	3	29	42.0
2014	3	28	42.0
2014	3	27	42.0
2014	3	26	42.0
2014	3	25	43.0
2014	3	24	44.0
2014	3	23	44.0
2014	3	22	45.0
2014	3	21	43.0
2014	3	20	43.0
2014	3	19	44.0
2014	3	18	44.0
2014	3	17	44.0
2014	3	16	46.0
2014	3	15	48.0
2014	3	14	48.0
2014	3	13	50.0
2014	3	12	50.0
2014	3	11	52.0
2014	3	10	54.0
2014	3	9	52.0
2014	3	8	53.0
2014	3	7	59.0
2014	3	6	42.0
2014	3	5	42.0
2014	3	4	42.0
2014	3	3	44.0
2014	3	2	44.0
2014	3	1	45.0
2014	2	28	42.0
2014	2	27	42.0
2014	2	26	45.0
2014	2	25	45.0
2014	2	24	45.0
2014	2	23	46.0
2014	2	22	46.0
2014	2	21	48.0
2014	2	20	48.0
2014	2	19	55.0
2014	2	18	82.0
2014	2	17	54.0
2014	2	16	56.0
2014	2	15	42.0
2014	2	14	40.0
2014	2	13	41.0
2014	2	12	41.0
2014	2	11	42.0
2014	2	10	44.0
2014	2	9	44.0
2014	2	8	44.0
2014	2	7	46.0
2014	2	6	45.0
2014	2	5	45.0
2014	2	4	45.0
2014	2	3	46.0
2014	2	2	44.0
2014	2	1	47.0
2014	1	31	47.0
2014	1	30	48.0
2014	1	29	48.0
2014	1	28	50.0
2014	1	27	57.0
2014	1	26	61.0
2014	1	25	65.0
2014	1	24	85.0
2014	1	23	79.0
2014	1	22	53.0
2014	1	21	61.0
2014	1	20	62.0
2014	1	19	62.0
2014	1	18	61.0
2014	1	17	46.0
2014	1	16	46.0
2014	1	15	46.0
2014	1	14	47.0
2014	1	13	48.0
2014	1	12	48.0
2014	1	11	48.0
2014	1	10	48.0
2014	1	9	48.0
2014	1	8	50.0
2014	1	7	50.0
2014	1	6	53.0
2014	1	5	54.0
2014	1	4	55.0
2014	1	3	66.0
2014	1	2	73.0
2014	1	1	77.0
2013	12	31	78.0
2013	12	30	84.0
