data	cota
2023-12-30	219.0
2023-12-29	239.0
2023-12-28	207.0
2023-12-27	148.0
2023-12-26	128.0
2023-12-25	126.0
2023-12-24	132.0
2023-12-23	143.0
2023-12-22	155.0
2023-12-21	187.0
2023-12-20	162.0
2023-12-19	124.0
2023-12-18	140.0
2023-12-17	121.0
2023-12-16	117.0
2023-12-15	138.0
2023-12-14	150.0
2023-12-13	140.0
2023-12-12	163.0
2023-12-11	166.0
2023-12-10	164.0
2023-12-09	194.0
2023-12-08	259.0
2023-12-07	164.0
2023-12-06	115.0
2023-12-05	102.0
2023-12-04	113.0
2023-12-03	96.0
2023-12-02	98.0
2023-12-01	94.0
2022-06-30	84.0
2022-06-29	84.0
2022-06-28	84.0
2022-06-27	84.0
2022-06-26	85.0
2022-06-25	85.0
2022-06-24	86.0
2022-06-23	86.0
2022-06-22	87.0
2022-06-21	87.0
2022-06-20	87.0
2022-06-19	87.0
2022-06-18	88.0
2022-06-17	88.0
2022-06-16	88.0
2022-06-15	89.0
2022-06-14	89.0
2022-06-13	89.0
2022-06-12	90.0
2022-06-11	90.0
2022-06-10	89.0
2022-06-09	89.0
2022-06-08	89.0
2022-06-07	89.0
2022-06-06	89.0
2022-06-05	89.0
2022-06-04	90.0
2022-06-03	91.0
2022-06-02	91.0
2022-06-01	91.0
2022-05-31	92.0
2022-05-30	92.0
2022-05-29	93.0
2022-05-28	93.0
2022-05-27	93.0
2022-05-26	93.0
2022-05-25	93.0
2022-05-24	94.0
2022-05-23	94.0
2022-05-22	94.0
2022-05-21	94.0
2022-05-20	96.0
2022-05-19	96.0
2022-05-18	98.0
2022-05-17	99.0
2022-05-16	98.0
2022-05-15	95.0
2022-05-14	96.0
2022-05-13	96.0
2022-05-12	96.0
2022-05-11	96.0
2022-05-10	97.0
2022-05-09	98.0
2022-05-08	98.0
2022-05-07	99.0
2022-05-06	99.0
2022-05-05	100.0
2022-05-04	100.0
2022-05-03	100.0
2022-05-02	101.0
2022-05-01	102.0
2022-04-30	102.0
2022-04-29	103.0
2022-04-28	104.0
2022-04-27	105.0
2022-04-26	105.0
2022-04-25	106.0
2022-04-24	107.0
2022-04-23	108.0
2022-04-22	109.0
2022-04-21	109.0
2022-04-20	111.0
2022-04-19	113.0
2022-04-18	115.0
2022-04-17	117.0
2022-04-16	118.0
2022-04-15	119.0
2022-04-14	122.0
2022-04-13	119.0
2022-04-12	121.0
2022-04-11	129.0
2022-04-10	151.0
2022-04-09	127.0
2022-04-08	124.0
2022-04-07	133.0
2022-04-06	149.0
2022-04-05	127.0
2022-04-04	133.0
2022-04-03	148.0
