data	vazao
2016-12-31	18.172
2016-12-30	19.739
2016-12-29	21.049
2016-12-28	25.478
2016-12-27	31.962
2016-12-26	25.773
2016-12-25	27.103
2016-12-24	30.084
2016-12-23	26.947
2016-12-22	22.554
2016-12-21	24.457
2016-12-20	26.069
2016-12-19	29.605
2016-12-18	35.215
2016-12-17	42.299
2016-12-16	47.099
2016-12-15	37.02
2016-12-14	38.875
2016-12-13	53.247
2016-12-12	44.621
2016-12-11	34.313
2016-12-10	29.895
2016-12-09	23.446
2016-12-08	23.971
2016-12-07	31.152
2016-12-06	49.509
2016-12-05	44.51
2016-12-04	31.755
2016-12-03	21.076
2016-12-02	27.889
2016-12-01	33.386
2016-11-30	46.778
2016-11-29	26.791
2016-11-28	24.443
2016-11-27	16.699
2016-11-26	17.82
2016-11-25	20.178
2016-11-24	19.965
2016-11-23	20.713
2016-11-22	21.737
2016-11-21	23.971
2016-11-20	29.924
2016-11-19	33.594
2016-11-18	34.974
2016-11-17	44.272
2016-11-16	57.986
2016-11-15	91.133
2016-11-14	53.992
2016-11-13	31.299
2016-11-12	46.393
2016-11-11	17.062
2016-11-10	15.609
2016-11-09	18.054
2016-11-08	17.69
2016-11-07	15.245
2016-11-06	17.733
2016-11-05	19.368
2016-11-04	12.263
2016-11-03	9.264
2016-11-02	9.608
2016-11-01	10.073
2016-10-31	10.798
2016-10-30	11.888
2016-10-29	13.537
2016-10-28	14.097
2016-10-27	13.385
2016-10-26	12.547
2016-10-25	13.327
2016-10-24	14.875
2016-10-23	19.276
2016-10-22	21.251
2016-10-21	20.592
2016-10-20	12.198
2016-10-19	14.712
2016-10-18	16.493
2016-10-17	20.098
2016-10-16	22.295
2016-10-15	27.046
2016-10-14	24.583
2016-10-13	9.247
2016-10-12	9.889
2016-10-11	8.788
2016-10-10	9.203
2016-10-09	10.43
2016-10-08	12.848
2016-10-07	15.478
2016-10-06	16.466
2016-10-05	16.617
2016-10-04	10.7
2016-10-03	6.76
2016-10-02	6.828
2016-10-01	7.008
2016-09-30	7.451
2016-09-29	7.908
2016-09-28	8.688
2016-09-27	7.284
2016-09-26	6.821
2016-09-25	6.733
2016-09-24	6.883
2016-09-23	6.917
2016-09-22	7.219
2016-09-21	7.392
2016-09-20	7.312
2016-09-19	7.233
2016-09-18	7.392
2016-09-17	7.495
2016-09-16	7.65
2016-09-15	7.748
2016-09-14	7.985
2016-09-13	8.156
2016-09-12	8.307
2016-09-11	8.451
2016-09-10	8.606
2016-09-09	8.863
2016-09-08	9.04
2016-09-07	9.255
2016-09-06	9.626
2016-09-05	10.157
2016-09-04	10.739
2016-09-03	11.075
2016-09-02	12.026
2016-09-01	10.926
2016-08-31	9.135
2016-08-30	9.343
2016-08-29	9.554
2016-08-28	9.806
2016-08-27	10.25
2016-08-26	10.887
2016-08-25	12.241
2016-08-24	13.549
2016-08-23	13.833
2016-08-22	13.189
2016-08-21	10.25
2016-08-20	9.889
2016-08-19	10.316
2016-08-18	10.364
2016-08-17	10.008
2016-08-16	9.501
2016-08-15	9.109
2016-08-14	9.152
2016-08-13	9.29
2016-08-12	9.308
2016-08-11	9.308
2016-08-10	9.308
2016-08-09	9.51
2016-08-08	9.519
2016-08-07	9.689
2016-08-06	9.734
2016-08-05	9.734
2016-08-04	9.843
2016-08-03	9.953
2016-08-02	10.054
2016-08-01	10.175
2016-07-31	10.175
2016-07-30	10.175
2016-07-29	10.364
2016-07-28	10.574
2016-07-27	10.739
2016-07-26	10.916
2016-07-25	11.105
2016-07-24	11.105
2016-07-23	11.105
2016-07-22	11.105
2016-07-21	11.105
2016-07-20	11.055
2016-07-19	10.867
2016-07-18	11.005
2016-07-17	11.267
2016-07-16	11.533
2016-07-15	11.678
2016-07-14	12.09
2016-07-13	12.241
2016-07-12	12.415
2016-07-11	12.614
2016-07-10	12.625
2016-07-09	12.625
2016-07-08	12.747
2016-07-07	12.916
2016-07-06	13.155
2016-07-05	13.27
2016-07-04	13.525
