ano	mes	dia	vazao
2015	7	1	
2015	6	30	
2015	6	29	48.0
2015	6	28	48.0
2015	6	27	50.0
2015	6	26	51.0
2015	6	25	47.0
2015	6	24	44.0
2015	6	23	47.0
2015	6	22	47.0
2015	6	21	48.0
2015	6	20	41.0
2015	6	19	49.0
2015	6	18	49.0
2015	6	17	49.0
2015	6	16	48.0
2015	6	15	48.0
2015	6	14	48.0
2015	6	13	51.0
2015	6	12	47.0
2015	6	11	50.0
2015	6	10	39.0
2015	6	9	37.0
2015	6	8	52.0
2015	6	7	52.0
2015	6	6	51.0
2015	6	5	47.0
2015	6	4	47.0
2015	6	3	44.0
2015	6	2	53.0
2015	6	1	47.0
2015	5	31	47.0
2015	5	30	51.0
2015	5	29	49.0
2015	5	28	49.0
2015	5	27	50.0
2015	5	26	49.0
2015	5	25	51.0
2015	5	24	50.0
2015	5	23	49.0
2015	5	22	48.0
2015	5	21	51.0
2015	5	20	50.0
2015	5	19	51.0
2015	5	18	51.0
2015	5	17	50.0
2015	5	16	49.0
2015	5	15	51.0
2015	5	14	38.0
2015	5	13	44.0
2015	5	12	44.0
2015	5	11	49.0
2015	5	10	55.0
2015	5	9	54.0
2015	5	8	54.0
2015	5	7	55.0
2015	5	6	51.0
2015	5	5	56.0
2015	5	4	52.0
2015	5	3	52.0
2015	5	2	55.0
2015	5	1	52.0
2015	4	30	58.0
2015	4	29	52.0
2015	4	28	50.0
2015	4	27	50.0
2015	4	26	48.0
2015	4	25	47.0
2015	4	24	47.0
2015	4	23	52.0
2015	4	22	55.0
2015	4	21	51.0
2015	4	20	52.0
2015	4	19	52.0
2015	4	18	56.0
2015	4	17	51.0
2015	4	16	50.0
2015	4	15	53.0
2015	4	14	86.0
2015	4	13	50.0
2015	4	12	50.0
2015	4	11	52.0
2015	4	10	54.0
2015	4	9	50.0
2015	4	8	49.0
2015	4	7	54.0
2015	4	6	55.0
2015	4	5	56.0
2015	4	4	54.0
2015	4	3	54.0
2015	4	2	54.0
2015	4	1	54.0
2015	3	31	54.0
2015	3	30	54.0
2015	3	29	52.0
2015	3	28	54.0
2015	3	27	52.0
2015	3	26	51.0
2015	3	25	46.0
2015	3	24	52.0
2015	3	23	57.0
2015	3	22	57.0
2015	3	21	55.0
2015	3	20	52.0
2015	3	19	52.0
2015	3	18	55.0
2015	3	17	57.0
