ano	mes	dia	chuva
2020	5	1	
2020	4	30	0.0
2020	4	29	0.0
2020	4	28	0.0
2020	4	27	0.0
2020	4	26	0.0
2020	4	25	0.0
2020	4	24	0.0
2020	4	23	0.0
2020	4	22	0.0
2020	4	21	0.0
2020	4	20	0.0
2020	4	19	0.0
2020	4	18	0.0
2020	4	17	0.0
2020	4	16	0.0
2020	4	15	0.0
2020	4	14	36.8
2020	4	13	0.0
2020	4	12	0.0
2020	4	11	0.0
2020	4	10	0.0
2020	4	9	0.0
2020	4	8	0.0
2020	4	7	0.0
2020	4	6	0.0
2020	4	5	0.0
2020	4	4	0.0
2020	4	3	0.0
2020	4	2	0.0
2020	4	1	0.0
2020	3	31	0.0
2020	3	30	0.0
2020	3	29	16.9
2020	3	28	0.0
2020	3	27	0.0
2020	3	26	0.0
2020	3	25	0.0
2020	3	24	0.0
2020	3	23	0.0
2020	3	22	21.3
2020	3	21	22.3
2020	3	20	0.0
2020	3	19	0.0
2020	3	18	0.0
2020	3	17	0.0
2020	3	16	0.0
2020	3	15	0.0
2020	3	14	0.0
2020	3	13	0.0
2020	3	12	0.0
2020	3	11	0.0
2020	3	10	0.0
2020	3	9	0.0
2020	3	8	0.0
2020	3	7	0.0
2020	3	6	0.0
2020	3	5	0.0
2020	3	4	0.0
2020	3	3	0.0
2020	3	2	0.0
2020	3	1	0.0
2020	2	29	0.0
2020	2	28	0.0
2020	2	27	12.5
2020	2	26	1.6
2020	2	25	1.3
2020	2	24	23.3
2020	2	23	33.2
2020	2	22	1.5
2020	2	21	1.3
2020	2	20	31.5
2020	2	19	4.0
2020	2	18	0.0
2020	2	17	0.0
2020	2	16	0.0
2020	2	15	0.0
2020	2	14	0.0
2020	2	13	0.0
2020	2	12	0.0
2020	2	11	0.0
2020	2	10	16.8
2020	2	9	0.0
2020	2	8	6.3
2020	2	7	7.3
2020	2	6	3.6
2020	2	5	1.6
2020	2	4	23.5
2020	2	3	3.6
2020	2	2	0.0
2020	2	1	0.0
2020	1	31	0.0
2020	1	30	0.0
2020	1	29	0.0
2020	1	28	0.0
2020	1	27	0.0
2020	1	26	0.0
2020	1	25	0.0
2020	1	24	0.0
2020	1	23	21.6
2020	1	22	13.7
2020	1	21	30.8
2020	1	20	0.0
2020	1	19	0.0
2020	1	18	0.0
2020	1	17	0.0
2020	1	16	0.0
2020	1	15	0.0
2020	1	14	0.0
2020	1	13	0.0
2020	1	12	0.0
2020	1	11	0.0
2020	1	10	0.0
2020	1	9	0.0
2020	1	8	0.0
2020	1	7	0.0
2020	1	6	0.0
2020	1	5	10.3
2020	1	4	0.0
2020	1	3	23.2
2020	1	2	0.0
2020	1	1	0.0
2019	12	31	0.0
2019	12	30	1.6
2019	12	29	0.0
2019	12	28	0.0
2019	12	27	10.3
2019	12	26	0.0
2019	12	25	0.0
2019	12	24	0.0
2019	12	23	0.0
2019	12	22	0.0
2019	12	21	0.0
2019	12	20	0.0
2019	12	19	0.0
2019	12	18	2.9
2019	12	17	75.4
2019	12	16	0.0
2019	12	15	0.0
2019	12	14	0.0
2019	12	13	
2019	12	12	1.8
2019	12	11	2.6
2019	12	10	10.3
2019	12	9	8.3
2019	12	8	1.8
2019	12	7	0.0
2019	12	6	0.0
2019	12	5	0.0
2019	12	4	5.6
2019	12	3	6.8
2019	12	2	1.4
2019	12	1	8.3
2019	11	30	8.3
2019	11	29	8.8
2019	11	28	42.3
2019	11	27	1.6
2019	11	26	0.0
2019	11	25	26.7
2019	11	24	0.0
2019	11	23	0.0
2019	11	22	0.0
2019	11	21	0.0
2019	11	20	8.6
2019	11	19	0.0
2019	11	18	0.0
2019	11	17	0.0
2019	11	16	10.5
2019	11	15	0.0
2019	11	14	0.0
2019	11	13	0.0
2019	11	12	0.0
2019	11	11	3.3
2019	11	10	0.0
2019	11	9	0.0
2019	11	8	0.0
2019	11	7	0.0
2019	11	6	0.0
2019	11	5	0.0
2019	11	4	0.0
2019	11	3	0.0
2019	11	2	0.0
2019	11	1	0.0
2019	10	31	0.0
2019	10	30	3.4
2019	10	29	0.0
2019	10	28	0.0
2019	10	27	0.0
2019	10	26	0.0
2019	10	25	0.0
2019	10	24	0.0
2019	10	23	0.0
2019	10	22	0.0
2019	10	21	20.6
2019	10	20	10.8
2019	10	19	8.3
2019	10	18	0.0
2019	10	17	0.0
2019	10	16	0.0
2019	10	15	0.0
2019	10	14	0.0
2019	10	13	0.0
2019	10	12	0.0
2019	10	11	0.0
2019	10	10	0.0
2019	10	9	0.0
2019	10	8	0.0
2019	10	7	0.0
2019	10	6	0.0
2019	10	5	0.0
2019	10	4	0.0
2019	10	3	0.0
2019	10	2	0.0
2019	10	1	0.0
2019	9	30	0.0
2019	9	29	0.0
2019	9	28	0.0
2019	9	27	0.0
2019	9	26	16.4
2019	9	25	7.1
2019	9	24	0.0
2019	9	23	0.0
2019	9	22	0.0
2019	9	21	10.2
2019	9	20	0.0
2019	9	19	0.0
2019	9	18	0.0
2019	9	17	0.0
2019	9	16	0.0
2019	9	15	0.0
2019	9	14	0.0
2019	9	13	0.0
2019	9	12	0.0
2019	9	11	0.0
2019	9	10	0.0
2019	9	9	0.0
2019	9	8	0.0
2019	9	7	0.0
2019	9	6	0.0
2019	9	5	0.0
2019	9	4	0.0
2019	9	3	6.4
2019	9	2	10.6
2019	9	1	1.1
2019	8	31	0.0
2019	8	30	0.0
2019	8	29	0.0
2019	8	28	0.0
2019	8	27	0.0
2019	8	26	0.0
2019	8	25	0.0
2019	8	24	0.0
2019	8	23	0.0
2019	8	22	0.0
2019	8	21	0.0
2019	8	20	0.0
2019	8	19	0.0
2019	8	18	0.0
2019	8	17	0.0
2019	8	16	0.0
2019	8	15	0.0
2019	8	14	0.0
2019	8	13	0.0
2019	8	12	0.0
2019	8	11	0.0
2019	8	10	0.0
2019	8	9	0.0
2019	8	8	0.0
2019	8	7	0.0
2019	8	6	
2019	8	5	4.4
2019	8	4	6.3
2019	8	3	0.0
2019	8	2	0.0
2019	8	1	0.0
2019	7	31	0.0
2019	7	30	0.0
2019	7	29	0.0
2019	7	28	0.0
2019	7	27	0.0
2019	7	26	0.0
2019	7	25	0.0
2019	7	24	0.0
