data	vazao
2015-07-01	
2015-06-30	
2015-06-29	812.0
2015-06-28	142.0
2015-06-27	323.0
2015-06-26	810.0
2015-06-25	821.0
2015-06-24	804.0
2015-06-23	1025.0
2015-06-22	593.0
2015-06-21	163.0
2015-06-20	235.0
2015-06-19	880.0
2015-06-18	1019.0
2015-06-17	794.0
2015-06-16	382.0
2015-06-15	779.0
2015-06-14	209.0
2015-06-13	196.0
2015-06-12	293.0
2015-06-11	817.0
2015-06-10	633.0
2015-06-09	696.0
2015-06-08	206.0
2015-06-07	121.0
2015-06-06	56.0
2015-06-05	241.0
2015-06-04	124.0
2015-06-03	542.0
2015-06-02	643.0
2015-06-01	371.0
2015-05-31	167.0
2015-05-30	247.0
2015-05-29	543.0
2015-05-28	811.0
2015-05-27	720.0
2015-05-26	1094.0
2015-05-25	967.0
2015-05-24	204.0
2015-05-23	664.0
2015-05-22	1025.0
2015-05-21	788.0
2015-05-20	937.0
2015-05-19	988.0
2015-05-18	972.0
2015-05-17	285.0
2015-05-16	191.0
2015-05-15	774.0
2015-05-14	792.0
2015-05-13	440.0
2015-05-12	954.0
2015-05-11	719.0
2015-05-10	98.0
2015-05-09	151.0
2015-05-08	771.0
2015-05-07	523.0
2015-05-06	92.0
2015-05-05	515.0
2015-05-04	212.0
2015-05-03	67.0
2015-05-02	76.0
2015-05-01	307.0
2015-04-30	257.0
2015-04-29	109.0
2015-04-28	313.0
2015-04-27	76.0
2015-04-26	103.0
2015-04-25	272.0
2015-04-24	613.0
2015-04-23	93.0
2015-04-22	479.0
2015-04-21	656.0
2015-04-20	728.0
2015-04-19	400.0
2015-04-18	827.0
2015-04-17	1302.0
2015-04-16	1277.0
2015-04-15	1176.0
2015-04-14	582.0
2015-04-13	866.0
2015-04-12	264.0
2015-04-11	590.0
2015-04-10	1014.0
2015-04-09	405.0
2015-04-08	343.0
2015-04-07	341.0
2015-04-06	340.0
2015-04-05	367.0
2015-04-04	284.0
2015-04-03	196.0
2015-04-02	595.0
2015-04-01	715.0
2015-03-31	1130.0
2015-03-30	1077.0
2015-03-29	329.0
2015-03-28	687.0
2015-03-27	684.0
2015-03-26	1031.0
2015-03-25	853.0
