ano	mes	dia	vazao
2015	7	1	
2015	6	30	
2015	6	29	812.0
2015	6	28	142.0
2015	6	27	323.0
2015	6	26	810.0
2015	6	25	821.0
2015	6	24	804.0
2015	6	23	1025.0
2015	6	22	593.0
2015	6	21	163.0
2015	6	20	235.0
2015	6	19	880.0
2015	6	18	1019.0
2015	6	17	794.0
2015	6	16	382.0
2015	6	15	779.0
2015	6	14	209.0
2015	6	13	196.0
2015	6	12	293.0
2015	6	11	817.0
2015	6	10	633.0
2015	6	9	696.0
2015	6	8	206.0
2015	6	7	121.0
2015	6	6	56.0
2015	6	5	241.0
2015	6	4	124.0
2015	6	3	542.0
2015	6	2	643.0
2015	6	1	371.0
2015	5	31	167.0
2015	5	30	247.0
2015	5	29	543.0
2015	5	28	811.0
2015	5	27	720.0
2015	5	26	1094.0
2015	5	25	967.0
2015	5	24	204.0
2015	5	23	664.0
2015	5	22	1025.0
2015	5	21	788.0
2015	5	20	937.0
2015	5	19	988.0
2015	5	18	972.0
2015	5	17	285.0
2015	5	16	191.0
2015	5	15	774.0
2015	5	14	792.0
2015	5	13	440.0
2015	5	12	954.0
2015	5	11	719.0
2015	5	10	98.0
2015	5	9	151.0
2015	5	8	771.0
2015	5	7	523.0
2015	5	6	92.0
2015	5	5	515.0
2015	5	4	212.0
2015	5	3	67.0
2015	5	2	76.0
2015	5	1	307.0
2015	4	30	257.0
2015	4	29	109.0
2015	4	28	313.0
2015	4	27	76.0
2015	4	26	103.0
2015	4	25	272.0
2015	4	24	613.0
2015	4	23	93.0
2015	4	22	479.0
2015	4	21	656.0
2015	4	20	728.0
2015	4	19	400.0
2015	4	18	827.0
2015	4	17	1302.0
2015	4	16	1277.0
2015	4	15	1176.0
2015	4	14	582.0
2015	4	13	866.0
2015	4	12	264.0
2015	4	11	590.0
2015	4	10	1014.0
2015	4	9	405.0
2015	4	8	343.0
2015	4	7	341.0
2015	4	6	340.0
2015	4	5	367.0
2015	4	4	284.0
2015	4	3	196.0
2015	4	2	595.0
2015	4	1	715.0
2015	3	31	1130.0
2015	3	30	1077.0
2015	3	29	329.0
2015	3	28	687.0
2015	3	27	684.0
2015	3	26	1031.0
2015	3	25	853.0
2015	3	24	511.0
2015	3	23	412.0
2015	3	22	256.0
2015	3	21	320.0
2015	3	20	1020.0
2015	3	19	1007.0
2015	3	18	1135.0
