data	vazao
2015-07-01	
2015-06-30	
2015-06-29	219.0
2015-06-28	220.0
2015-06-27	218.0
2015-06-26	212.0
2015-06-25	209.0
2015-06-24	235.0
2015-06-23	271.0
2015-06-22	255.0
2015-06-21	260.0
2015-06-20	258.0
2015-06-19	264.0
2015-06-18	266.0
2015-06-17	266.0
2015-06-16	272.0
2015-06-15	267.0
2015-06-14	274.0
2015-06-13	285.0
2015-06-12	285.0
2015-06-11	285.0
2015-06-10	289.0
2015-06-09	293.0
2015-06-08	328.0
2015-06-07	290.0
2015-06-06	324.0
2015-06-05	306.0
2015-06-04	312.0
2015-06-03	339.0
2015-06-02	302.0
2015-06-01	302.0
2015-05-31	278.0
2015-05-30	274.0
2015-05-29	284.0
2015-05-28	271.0
2015-05-27	289.0
2015-05-26	298.0
2015-05-25	291.0
2015-05-24	279.0
2015-05-23	277.0
2015-05-22	319.0
2015-05-21	275.0
2015-05-20	299.0
2015-05-19	300.0
2015-05-18	327.0
2015-05-17	319.0
2015-05-16	313.0
2015-05-15	416.0
2015-05-14	411.0
2015-05-13	477.0
2015-05-12	566.0
2015-05-11	570.0
2015-05-10	670.0
2015-05-09	447.0
2015-05-08	447.0
2015-05-07	336.0
2015-05-06	293.0
2015-05-05	270.0
2015-05-04	270.0
2015-05-03	296.0
2015-05-02	294.0
2015-05-01	312.0
2015-04-30	382.0
2015-04-29	373.0
2015-04-28	348.0
2015-04-27	441.0
2015-04-26	438.0
2015-04-25	382.0
2015-04-24	266.0
2015-04-23	226.0
2015-04-22	246.0
2015-04-21	277.0
2015-04-20	268.0
2015-04-19	252.0
2015-04-18	255.0
2015-04-17	291.0
2015-04-16	304.0
2015-04-15	327.0
2015-04-14	269.0
2015-04-13	276.0
2015-04-12	326.0
2015-04-11	334.0
2015-04-10	347.0
2015-04-09	315.0
2015-04-08	381.0
2015-04-07	408.0
2015-04-06	467.0
2015-04-05	434.0
2015-04-04	433.0
2015-04-03	443.0
2015-04-02	389.0
2015-04-01	341.0
2015-03-31	374.0
2015-03-30	449.0
2015-03-29	530.0
2015-03-28	608.0
2015-03-27	559.0
2015-03-26	402.0
2015-03-25	277.0
2015-03-24	277.0
