ano	mes	dia	vazao
2015	7	1	
2015	6	30	
2015	6	29	219.0
2015	6	28	220.0
2015	6	27	218.0
2015	6	26	212.0
2015	6	25	209.0
2015	6	24	235.0
2015	6	23	271.0
2015	6	22	255.0
2015	6	21	260.0
2015	6	20	258.0
2015	6	19	264.0
2015	6	18	266.0
2015	6	17	266.0
2015	6	16	272.0
2015	6	15	267.0
2015	6	14	274.0
2015	6	13	285.0
2015	6	12	285.0
2015	6	11	285.0
2015	6	10	289.0
2015	6	9	293.0
2015	6	8	328.0
2015	6	7	290.0
2015	6	6	324.0
2015	6	5	306.0
2015	6	4	312.0
2015	6	3	339.0
2015	6	2	302.0
2015	6	1	302.0
2015	5	31	278.0
2015	5	30	274.0
2015	5	29	284.0
2015	5	28	271.0
2015	5	27	289.0
2015	5	26	298.0
2015	5	25	291.0
2015	5	24	279.0
2015	5	23	277.0
2015	5	22	319.0
2015	5	21	275.0
2015	5	20	299.0
2015	5	19	300.0
2015	5	18	327.0
2015	5	17	319.0
2015	5	16	313.0
2015	5	15	416.0
2015	5	14	411.0
2015	5	13	477.0
2015	5	12	566.0
2015	5	11	570.0
2015	5	10	670.0
2015	5	9	447.0
2015	5	8	447.0
2015	5	7	336.0
2015	5	6	293.0
2015	5	5	270.0
2015	5	4	270.0
2015	5	3	296.0
2015	5	2	294.0
2015	5	1	312.0
2015	4	30	382.0
2015	4	29	373.0
2015	4	28	348.0
2015	4	27	441.0
2015	4	26	438.0
2015	4	25	382.0
2015	4	24	266.0
2015	4	23	226.0
2015	4	22	246.0
2015	4	21	277.0
2015	4	20	268.0
2015	4	19	252.0
2015	4	18	255.0
2015	4	17	291.0
2015	4	16	304.0
2015	4	15	327.0
2015	4	14	269.0
2015	4	13	276.0
2015	4	12	326.0
2015	4	11	334.0
2015	4	10	347.0
2015	4	9	315.0
2015	4	8	381.0
2015	4	7	408.0
2015	4	6	467.0
2015	4	5	434.0
2015	4	4	433.0
2015	4	3	443.0
2015	4	2	389.0
2015	4	1	341.0
2015	3	31	374.0
2015	3	30	449.0
2015	3	29	530.0
2015	3	28	608.0
2015	3	27	559.0
2015	3	26	402.0
2015	3	25	277.0
2015	3	24	277.0
2015	3	23	277.0
2015	3	22	266.0
2015	3	21	261.0
2015	3	20	268.0
2015	3	19	371.0
2015	3	18	348.0
2015	3	17	348.0
