ano	mes	dia	cota
2023	1	31	67.0
2023	1	30	76.0
2023	1	29	91.0
2023	1	28	90.0
2023	1	27	90.0
2023	1	26	82.0
2023	1	25	84.0
2023	1	24	101.0
2023	1	23	95.0
2023	1	22	80.0
2023	1	21	61.0
2023	1	20	54.0
2023	1	19	56.0
2023	1	18	61.0
2023	1	17	70.0
2023	1	16	83.0
2023	1	15	82.0
2023	1	14	84.0
2023	1	13	69.0
2023	1	12	64.0
2023	1	11	61.0
2023	1	10	73.0
2023	1	9	76.0
2023	1	8	72.0
2023	1	7	68.0
2023	1	6	66.0
2023	1	5	64.0
2023	1	4	60.0
2023	1	3	56.0
2023	1	2	58.0
2023	1	1	61.0
2022	12	31	66.0
2022	12	30	66.0
2022	12	29	74.0
2022	12	28	78.0
2022	12	27	81.0
2022	12	26	91.0
2022	12	25	100.0
2022	12	24	106.0
2022	12	23	116.0
2022	12	22	151.0
2022	12	21	171.0
2022	12	20	171.0
2022	12	19	159.0
2022	12	18	148.0
2022	12	17	124.0
2022	12	16	85.0
2022	12	15	67.0
2022	12	14	62.0
2022	12	13	67.0
2022	12	12	68.0
2022	12	11	65.0
2022	12	10	64.0
2022	12	9	62.0
2022	12	8	63.0
2022	12	7	66.0
2022	12	6	73.0
2022	12	5	79.0
2022	12	4	87.0
2022	12	3	102.0
2022	12	2	106.0
2022	12	1	99.0
2022	11	30	86.0
2022	11	29	71.0
2022	11	28	50.0
2022	11	27	60.0
2022	11	26	70.0
2022	11	25	65.0
2022	11	24	58.0
2022	11	23	55.0
2022	11	22	54.0
2022	11	21	56.0
2022	11	20	48.0
2022	11	19	48.0
2022	11	18	52.0
2022	11	17	60.0
2022	11	16	58.0
2022	11	15	46.0
2022	11	14	44.0
2022	11	13	41.0
2022	11	12	35.0
2022	11	11	34.0
2022	11	10	35.0
2022	11	9	36.0
2022	11	8	37.0
2022	11	7	37.0
2022	11	6	38.0
2022	11	5	38.0
2022	11	4	40.0
2022	11	3	46.0
2022	11	2	40.0
2022	11	1	29.0
2022	10	31	24.0
2022	10	30	24.0
2022	10	29	24.0
2022	10	28	24.0
2022	10	27	25.0
2022	10	26	25.0
2022	10	25	26.0
2022	10	24	25.0
2022	10	23	23.0
2022	10	22	22.0
2022	10	21	22.0
2022	10	20	22.0
2022	10	19	22.0
2022	10	18	22.0
2022	10	17	23.0
2022	10	16	23.0
2022	10	15	23.0
2022	10	14	23.0
2022	10	13	23.0
2022	10	12	24.0
2022	10	11	24.0
2022	10	10	24.0
2022	10	9	24.0
2022	10	8	24.0
2022	10	7	24.0
2022	10	6	25.0
2022	10	5	25.0
2022	10	4	25.0
2022	10	3	25.0
2022	10	2	25.0
2022	10	1	25.0
2022	9	30	26.0
2022	9	29	26.0
2022	9	28	26.0
2022	9	27	27.0
2022	9	26	28.0
2022	9	25	29.0
2022	9	24	28.0
2022	9	23	26.0
2022	9	22	25.0
2022	9	21	24.0
2022	9	20	24.0
2022	9	19	24.0
2022	9	18	24.0
2022	9	17	24.0
2022	9	16	24.0
2022	9	15	25.0
2022	9	14	25.0
2022	9	13	25.0
2022	9	12	25.0
2022	9	11	25.0
2022	9	10	25.0
2022	9	9	25.0
2022	9	8	25.0
2022	9	7	26.0
2022	9	6	26.0
2022	9	5	26.0
2022	9	4	26.0
2022	9	3	26.0
2022	9	2	26.0
2022	9	1	26.0
2022	8	31	26.0
2022	8	30	26.0
2022	8	29	26.0
2022	8	28	26.0
2022	8	27	26.0
2022	8	26	26.0
2022	8	25	26.0
2022	8	24	26.0
2022	8	23	26.0
2022	8	22	26.0
2022	8	21	26.0
2022	8	20	27.0
2022	8	19	27.0
2022	8	18	27.0
2022	8	17	27.0
2022	8	16	27.0
2022	8	15	27.0
2022	8	14	27.0
2022	8	13	28.0
2022	8	12	28.0
2022	8	11	28.0
2022	8	10	28.0
2022	8	9	28.0
2022	8	8	28.0
2022	8	7	29.0
2022	8	6	29.0
2022	8	5	29.0
2022	8	4	29.0
2022	8	3	29.0
2022	8	2	29.0
2022	8	1	29.0
2022	7	31	30.0
2022	7	30	30.0
2022	7	29	30.0
2022	7	28	30.0
2022	7	27	30.0
2022	7	26	30.0
2022	7	25	30.0
2022	7	24	30.0
