ano	mes	dia	chuva
2014	1	31	0.0
2014	1	30	15.4
2014	1	29	7.2
2014	1	28	9.3
2014	1	27	0.0
2014	1	26	2.2
2014	1	25	0.0
2014	1	24	5.9
2014	1	23	3.7
2014	1	22	0.0
2014	1	21	0.0
2014	1	20	0.0
2014	1	19	6.7
2014	1	18	0.0
2014	1	17	0.0
2014	1	16	2.3
2014	1	15	18.7
2014	1	14	3.3
2014	1	13	5.1
2014	1	12	0.0
2014	1	11	0.0
2014	1	10	0.0
2014	1	9	0.0
2014	1	8	0.0
2014	1	7	0.0
2014	1	6	0.0
2014	1	5	18.9
2014	1	4	0.0
2014	1	3	18.1
2014	1	2	1.7
2014	1	1	0.0
2013	12	31	0.0
2013	12	30	1.6
2013	12	29	0.0
2013	12	28	0.0
2013	12	27	1.1
2013	12	26	0.0
2013	12	25	0.0
2013	12	24	0.0
2013	12	23	0.0
2013	12	22	13.1
2013	12	21	0.0
2013	12	20	0.0
2013	12	19	5.4
2013	12	18	14.1
2013	12	17	1.2
2013	12	16	17.7
2013	12	15	0.0
2013	12	14	0.0
2013	12	13	0.0
2013	12	12	0.0
2013	12	11	12.1
2013	12	10	7.8
2013	12	9	2.5
2013	12	8	0.0
2013	12	7	0.0
2013	12	6	4.2
2013	12	5	0.0
2013	12	4	0.0
2013	12	3	0.0
2013	12	2	0.0
2013	12	1	0.0
2013	11	30	0.0
2013	11	29	0.0
2013	11	28	0.0
2013	11	27	0.0
2013	11	26	0.0
2013	11	25	5.0
2013	11	24	0.0
2013	11	23	0.0
2013	11	22	17.3
2013	11	21	0.0
2013	11	20	0.0
2013	11	19	0.0
2013	11	18	3.3
2013	11	17	0.0
2013	11	16	0.0
2013	11	15	0.0
2013	11	14	0.0
2013	11	13	1.7
2013	11	12	0.0
2013	11	11	0.0
2013	11	10	0.0
2013	11	9	0.0
2013	11	8	0.0
2013	11	7	0.0
2013	11	6	0.0
2013	11	5	0.0
2013	11	4	0.3
2013	11	3	0.0
2013	11	2	0.0
2013	11	1	0.0
