ano	mes	dia	cota
2023	1	31	533.0
2023	1	30	541.0
2023	1	29	543.0
2023	1	28	547.0
2023	1	27	549.0
2023	1	26	551.0
2023	1	25	550.0
2023	1	24	548.0
2023	1	23	550.0
2023	1	22	548.0
2023	1	21	550.0
2023	1	20	550.0
2023	1	19	545.0
2023	1	18	536.0
2023	1	17	536.0
2023	1	16	535.0
2023	1	15	537.0
2023	1	14	543.0
2023	1	13	553.0
2023	1	12	559.0
2023	1	11	557.0
2023	1	10	552.0
2023	1	9	531.0
2023	1	8	506.0
2023	1	7	481.0
2023	1	6	471.0
2023	1	5	439.0
2023	1	4	445.0
2023	1	3	452.0
2023	1	2	446.0
2023	1	1	448.0
2022	12	31	432.0
2022	12	30	410.0
2022	12	29	360.0
2022	12	28	336.0
2022	12	27	340.0
2022	12	26	345.0
2022	12	25	354.0
2022	12	24	362.0
2022	12	23	358.0
2022	12	22	332.0
2022	12	21	292.0
2022	12	20	276.0
2022	12	19	274.0
2022	12	18	280.0
2022	12	17	287.0
2022	12	16	284.0
2022	12	15	272.0
2022	12	14	264.0
2022	12	13	272.0
2022	12	12	305.0
2022	12	11	320.0
2022	12	10	316.0
2022	12	9	304.0
2022	12	8	286.0
2022	12	7	268.0
2022	12	6	260.0
2022	12	5	256.0
2022	12	4	250.0
2022	12	3	214.0
2022	12	2	196.0
2022	12	1	196.0
2022	11	30	198.0
2022	11	29	200.0
2022	11	28	201.0
2022	11	27	199.0
2022	11	26	190.0
2022	11	25	192.0
2022	11	24	196.0
2022	11	23	201.0
2022	11	22	210.0
2022	11	21	229.0
2022	11	20	243.0
2022	11	19	239.0
2022	11	18	202.0
2022	11	17	196.0
2022	11	16	196.0
2022	11	15	202.0
2022	11	14	204.0
2022	11	13	202.0
2022	11	12	203.0
2022	11	11	190.0
2022	11	10	184.0
2022	11	9	181.0
2022	11	8	196.0
2022	11	7	194.0
2022	11	6	208.0
2022	11	5	218.0
2022	11	4	205.0
2022	11	3	178.0
2022	11	2	174.0
2022	11	1	164.0
2022	10	31	163.0
2022	10	30	164.0
2022	10	29	164.0
2022	10	28	164.0
2022	10	27	162.0
2022	10	26	164.0
2022	10	25	167.0
2022	10	24	165.0
2022	10	23	164.0
2022	10	22	164.0
2022	10	21	164.0
2022	10	20	164.0
2022	10	19	166.0
2022	10	18	168.0
2022	10	17	170.0
2022	10	16	172.0
2022	10	15	176.0
2022	10	14	179.0
2022	10	13	184.0
2022	10	12	192.0
2022	10	11	192.0
2022	10	10	189.0
2022	10	9	190.0
2022	10	8	194.0
2022	10	7	193.0
2022	10	6	192.0
2022	10	5	189.0
2022	10	4	181.0
2022	10	3	182.0
2022	10	2	180.0
2022	10	1	175.0
2022	9	30	170.0
2022	9	29	170.0
2022	9	28	170.0
2022	9	27	170.0
2022	9	26	166.0
2022	9	25	165.0
2022	9	24	164.0
2022	9	23	164.0
2022	9	22	164.0
2022	9	21	161.0
2022	9	20	161.0
2022	9	19	162.0
2022	9	18	162.0
2022	9	17	162.0
2022	9	16	164.0
2022	9	15	164.0
2022	9	14	164.0
2022	9	13	164.0
2022	9	12	165.0
2022	9	11	165.0
2022	9	10	166.0
2022	9	9	166.0
2022	9	8	167.0
2022	9	7	167.0
2022	9	6	167.0
2022	9	5	168.0
2022	9	4	168.0
2022	9	3	168.0
2022	9	2	169.0
2022	9	1	169.0
2022	8	31	170.0
2022	8	30	170.0
2022	8	29	172.0
2022	8	28	172.0
2022	8	27	172.0
2022	8	26	172.0
2022	8	25	173.0
2022	8	24	173.0
2022	8	23	176.0
2022	8	22	176.0
2022	8	21	176.0
2022	8	20	178.0
2022	8	19	178.0
2022	8	18	180.0
2022	8	17	180.0
2022	8	16	180.0
2022	8	15	180.0
2022	8	14	180.0
2022	8	13	180.0
2022	8	12	180.0
2022	8	11	180.0
2022	8	10	180.0
2022	8	9	180.0
