data	cota
2023-01-31	533.0
2023-01-30	541.0
2023-01-29	543.0
2023-01-28	547.0
2023-01-27	549.0
2023-01-26	551.0
2023-01-25	550.0
2023-01-24	548.0
2023-01-23	550.0
2023-01-22	548.0
2023-01-21	550.0
2023-01-20	550.0
2023-01-19	545.0
2023-01-18	536.0
2023-01-17	536.0
2023-01-16	535.0
2023-01-15	537.0
2023-01-14	543.0
2023-01-13	553.0
2023-01-12	559.0
2023-01-11	557.0
2023-01-10	552.0
2023-01-09	531.0
2023-01-08	506.0
2023-01-07	481.0
2023-01-06	471.0
2023-01-05	439.0
2023-01-04	445.0
2023-01-03	452.0
2023-01-02	446.0
2023-01-01	448.0
2022-12-31	432.0
2022-12-30	410.0
2022-12-29	360.0
2022-12-28	336.0
2022-12-27	340.0
2022-12-26	345.0
2022-12-25	354.0
2022-12-24	362.0
2022-12-23	358.0
2022-12-22	332.0
2022-12-21	292.0
2022-12-20	276.0
2022-12-19	274.0
2022-12-18	280.0
2022-12-17	287.0
2022-12-16	284.0
2022-12-15	272.0
2022-12-14	264.0
2022-12-13	272.0
2022-12-12	305.0
2022-12-11	320.0
2022-12-10	316.0
2022-12-09	304.0
2022-12-08	286.0
2022-12-07	268.0
2022-12-06	260.0
2022-12-05	256.0
2022-12-04	250.0
2022-12-03	214.0
2022-12-02	196.0
2022-12-01	196.0
2022-11-30	198.0
2022-11-29	200.0
2022-11-28	201.0
2022-11-27	199.0
2022-11-26	190.0
2022-11-25	192.0
2022-11-24	196.0
2022-11-23	201.0
2022-11-22	210.0
2022-11-21	229.0
2022-11-20	243.0
2022-11-19	239.0
2022-11-18	202.0
2022-11-17	196.0
2022-11-16	196.0
2022-11-15	202.0
2022-11-14	204.0
2022-11-13	202.0
2022-11-12	203.0
2022-11-11	190.0
2022-11-10	184.0
2022-11-09	181.0
2022-11-08	196.0
2022-11-07	194.0
2022-11-06	208.0
2022-11-05	218.0
2022-11-04	205.0
2022-11-03	178.0
2022-11-02	174.0
2022-11-01	164.0
2022-10-31	163.0
2022-10-30	164.0
2022-10-29	164.0
2022-10-28	164.0
2022-10-27	162.0
2022-10-26	164.0
2022-10-25	167.0
2022-10-24	165.0
2022-10-23	164.0
2022-10-22	164.0
2022-10-21	164.0
2022-10-20	164.0
2022-10-19	166.0
2022-10-18	168.0
2022-10-17	170.0
2022-10-16	172.0
2022-10-15	176.0
2022-10-14	179.0
2022-10-13	184.0
2022-10-12	192.0
2022-10-11	192.0
2022-10-10	189.0
2022-10-09	190.0
2022-10-08	194.0
2022-10-07	193.0
2022-10-06	192.0
2022-10-05	189.0
2022-10-04	181.0
2022-10-03	182.0
2022-10-02	180.0
2022-10-01	175.0
