dataHora	chuva	nivel	vazao
2015-05-01	0.0	237.0	151.2
2015-05-02	0.0	235.5	148.85
2015-05-03	0.0	234.5	147.3
2015-05-04	0.0	234.0	146.5
2015-05-05	0.0	235.0	148.1
2015-05-06	0.0	236.0	149.6
2015-05-07	0.0	237.5	151.95
2015-05-08	0.0	249.0	170.5
2015-05-09	0.0	268.0	202.14999999999998
2015-05-10	0.0	272.5	210.05
2015-05-11	0.0	269.5	204.95
2015-05-12	0.0	249.5	171.15
2015-05-13	0.0	248.0	168.75
2015-05-14	0.0	259.5	187.8
2015-05-15	0.0	256.0	181.95
2015-05-16	0.0	247.0	167.1
2015-05-17	0.0	241.5	158.3
2015-05-18	0.0	237.5	152.0
2015-05-19	0.0	235.0	148.05
2015-05-20	0.0	230.5	141.15
2015-05-21	0.0	229.5	139.60000000000002
2015-05-22	0.0	228.0	137.3
2015-05-23	0.0	226.5	135.05
2015-05-24	0.0	225.0	132.8
2015-05-25	0.0	223.5	130.55
2015-05-26	0.0	222.0	128.3
2015-05-27	0.0	220.0	125.4
2015-05-28	0.0	219.5	124.65
2015-05-29	0.0	219.0	123.9
2015-05-30	0.0	219.0	123.9
2015-05-31	0.0	218.0	122.5
2015-06-01	0.0	218.0	122.5
2015-06-02	0.0	217.0	121.0
2015-06-03	0.0	217.0	121.0
2015-06-04	0.0	217.5	121.75
2015-06-05	0.0	220.5	126.10000000000001
2015-06-06	0.0	224.0	131.3
2015-06-07	0.0	227.0	135.8
2015-06-08	0.0	222.0	128.35000000000002
2015-06-09	0.0	219.0	123.9
2015-06-10	0.0	216.5	120.3
2015-06-11	0.0	213.0	115.25
2015-06-12	0.0	210.5	111.7
2015-06-13	0.0	208.5	108.9
2015-06-14	0.0	206.5	106.1
2015-06-15	0.0	205.5	104.7
2015-06-16	0.0	204.0	102.6
2015-06-17	0.0	203.0	101.3
2015-06-18	0.0	201.5	99.2
2015-06-19	0.0	200.0	97.15
2015-06-20	0.0	197.5	93.85
2015-06-21	0.0	197.0	93.2
2015-06-22	0.0	200.5	97.9
2015-06-23	0.0	204.5	103.35
2015-06-24	0.0	205.5	104.7
2015-06-25	0.0	201.0	98.55
2015-06-26	0.0	197.5	93.85
