ano	mes	dia	vazao
2023	1	31	801.871
2023	1	30	823.789
2023	1	29	829.3
2023	1	28	840.357
2023	1	27	845.904
2023	1	26	851.463
2023	1	25	848.682
2023	1	24	843.129
2023	1	23	848.682
2023	1	22	843.129
2023	1	21	848.682
2023	1	20	848.682
2023	1	19	834.822
2023	1	18	810.067
2023	1	17	810.067
2023	1	16	807.332
2023	1	15	812.806
2023	1	14	829.3
2023	1	13	857.034
2023	1	12	873.82
2023	1	11	868.213
2023	1	10	854.247
2023	1	9	796.422
2023	1	8	729.369
2023	1	7	664.31
2023	1	6	638.86
2023	1	5	559.681
2023	1	4	574.26
2023	1	3	591.426
2023	1	2	576.702
2023	1	1	581.596
2022	12	31	547.628
2022	12	30	502.632
2022	12	29	403.509
2022	12	28	334.079
2022	12	27	338.161
2022	12	26	347.407
2022	12	25	363.0
2022	12	24	382.01
2022	12	23	379.882
2022	12	22	336.118
2022	12	21	256.004
2022	12	20	219.642
2022	12	19	214.35
2022	12	18	217.873
2022	12	17	234.869
2022	12	16	232.158
2022	12	15	212.595
2022	12	14	197.023
2022	12	13	203.895
2022	12	12	245.821
2022	12	11	294.177
2022	12	10	294.177
2022	12	9	272.963
2022	12	8	239.412
2022	12	7	205.625
2022	12	6	188.543
2022	12	5	180.189
2022	12	4	176.883
2022	12	3	126.862
2022	12	2	94.494
2022	12	1	91.833
2022	11	30	95.835
2022	11	29	97.181
2022	11	28	99.213
2022	11	27	93.826
2022	11	26	84.001
2022	11	25	87.888
2022	11	24	91.833
2022	11	23	99.213
2022	11	22	116.677
2022	11	21	144.199
2022	11	20	161.46
2022	11	19	147.288
2022	11	17	91.833
2022	11	16	93.16
2022	11	15	101.258
2022	11	14	101.258
2022	11	13	101.258
2022	11	12	103.318
2022	11	11	82.719
2022	11	10	75.164
2022	11	9	73.313
2022	11	8	86.586
2022	11	7	93.16
2022	11	6	110.986
2022	11	5	122.462
2022	11	4	95.164
2022	11	3	67.854
2022	11	2	61.956
2022	11	1	52.618
2022	10	31	52.021
2022	10	30	52.618
2022	10	29	52.618
2022	10	28	51.426
2022	10	27	51.426
2022	10	26	53.818
2022	10	25	55.636
2022	10	24	53.217
2022	10	23	52.618
2022	10	22	52.618
2022	10	21	52.618
2022	10	20	52.618
2022	10	19	55.027
2022	10	18	57.368
2022	10	17	59.647
2022	10	16	63.121
2022	10	15	67.854
2022	10	14	71.478
2022	10	13	78.911
2022	10	12	86.586
2022	10	11	86.586
2022	10	10	82.719
2022	10	9	85.29
2022	10	8	89.196
2022	10	7	87.236
2022	10	6	85.29
2022	10	5	80.808
2022	10	4	73.313
2022	10	3	73.928
2022	10	2	70.263
2022	10	1	63.706
2022	9	30	59.647
2022	9	29	59.647
2022	9	28	59.647
2022	9	27	59.647
2022	9	26	55.027
2022	9	25	53.818
2022	9	24	52.618
2022	9	23	52.021
2022	9	22	52.618
2022	9	21	49.071
2022	9	20	49.071
2022	9	19	49.657
2022	9	18	50.244
2022	9	17	50.244
2022	9	16	52.618
2022	9	15	52.618
2022	9	14	52.618
2022	9	13	52.618
2022	9	12	53.217
2022	9	11	53.818
2022	9	10	55.027
2022	9	9	55.027
2022	9	8	56.239
2022	9	7	56.239
2022	9	6	56.239
2022	9	5	57.368
2022	9	4	57.368
2022	9	3	57.368
2022	9	2	58.504
2022	9	1	58.504
2022	8	31	59.647
2022	8	30	59.647
2022	8	29	61.956
2022	8	28	61.956
2022	8	27	61.956
2022	8	26	61.956
2022	8	25	63.121
2022	8	24	64.882
2022	8	23	66.66
2022	8	22	66.66
2022	8	21	66.66
2022	8	20	69.055
2022	8	19	70.263
2022	8	18	71.478
2022	8	17	71.478
2022	8	16	71.478
2022	8	15	71.478
2022	8	14	71.478
2022	8	13	71.478
2022	8	12	71.478
2022	8	11	71.478
2022	8	10	71.478
2022	8	9	71.478
2022	8	8	73.928
2022	8	7	73.928
2022	8	6	73.928
2022	8	5	73.928
2022	8	4	76.406
2022	8	3	76.406
2022	8	2	77.03
2022	8	1	77.655
2022	7	31	77.655
2022	7	30	78.911
2022	7	29	78.911
2022	7	28	80.174
2022	7	27	80.174
2022	7	26	81.443
2022	7	25	81.443
2022	7	24	81.443
2022	7	23	81.443
2022	7	22	84.001
2022	7	21	84.001
2022	7	20	84.001
2022	7	19	86.586
2022	7	18	86.586
2022	7	17	86.586
2022	7	16	86.586
2022	7	15	86.586
2022	7	14	87.888
2022	7	13	89.196
2022	7	12	89.196
2022	7	11	91.833
2022	7	10	91.833
2022	7	9	93.16
2022	7	8	94.494
2022	7	7	94.494
2022	7	6	95.164
2022	7	5	96.507
2022	7	4	97.181
2022	7	3	97.181
2022	7	2	97.181
2022	7	1	97.181
2022	6	30	97.857
2022	6	29	99.213
2022	6	28	99.893
2022	6	27	99.893
2022	6	26	102.63
2022	6	25	104.007
2022	6	24	105.391
2022	6	23	105.391
2022	6	22	105.391
2022	6	21	105.391
2022	6	20	105.391
2022	6	19	105.391
2022	6	18	105.391
2022	6	17	108.177
2022	6	16	110.282
2022	6	15	110.986
2022	6	14	112.4
2022	6	13	113.82
2022	6	12	113.82
2022	6	11	113.82
2022	6	10	110.986
2022	6	9	115.246
2022	6	8	116.677
2022	6	7	116.677
2022	6	6	119.558
2022	6	5	119.558
2022	6	4	122.462
2022	6	3	123.192
2022	6	2	125.39
2022	6	1	125.39
2022	5	31	125.39
2022	5	30	128.34
2022	5	29	128.34
2022	5	28	131.313
2022	5	27	131.313
2022	5	26	134.309
2022	5	25	134.309
2022	5	24	137.327
2022	5	23	140.367
2022	5	22	144.969
2022	5	21	154.32
2022	5	20	163.864
2022	5	19	162.26
2022	5	18	146.514
2022	5	17	140.367
2022	5	16	140.367
2022	5	15	140.367
2022	5	14	140.367
2022	5	13	142.662
2022	5	12	143.43
2022	5	11	146.514
2022	5	10	146.514
2022	5	9	149.62
2022	5	8	152.748
2022	5	7	154.32
2022	5	6	155.108
2022	5	5	155.898
2022	5	4	155.898
2022	5	3	159.068
2022	5	2	162.26
2022	5	1	162.26
2022	4	30	165.473
2022	4	29	168.707
2022	4	28	170.332
2022	4	27	171.962
2022	4	26	176.059
2022	4	25	178.533
2022	4	24	181.85
2022	4	23	186.024
2022	4	22	188.543
2022	4	21	193.616
2022	4	20	200.449
2022	4	19	207.361
2022	4	18	219.642
2022	4	17	227.661
2022	4	16	223.195
2022	4	15	216.109
2022	4	14	220.529
2022	4	13	223.195
2022	4	12	221.416
2022	4	11	215.229
2022	4	10	216.109
2022	4	9	220.529
2022	4	8	224.978
2022	4	7	232.158
2022	4	6	240.324
2022	4	5	241.237
2022	4	4	237.591
2022	4	3	239.412
2022	4	2	239.412
2022	4	1	240.324
2022	3	31	241.237
2022	3	30	255.073
2022	3	29	262.556
2022	3	28	269.163
2022	3	27	273.916
2022	3	26	277.738
2022	3	25	288.339
2022	3	24	297.111
2022	3	23	311.924
2022	3	22	328.999
2022	3	21	355.695
2022	3	20	382.01
2022	3	19	416.595
2022	3	18	440.945
2022	3	17	437.597
2022	3	16	415.499
2022	3	15	376.697
2022	3	14	364.048
2022	3	13	371.409
2022	3	12	392.711
2022	3	11	413.31
2022	3	10	440.945
