data	cota
2023-01-31	67.0
2023-01-30	76.0
2023-01-29	91.0
2023-01-28	90.0
2023-01-27	90.0
2023-01-26	82.0
2023-01-25	84.0
2023-01-24	101.0
2023-01-23	95.0
2023-01-22	80.0
2023-01-21	61.0
2023-01-20	54.0
2023-01-19	56.0
2023-01-18	61.0
2023-01-17	70.0
2023-01-16	83.0
2023-01-15	82.0
2023-01-14	84.0
2023-01-13	69.0
2023-01-12	64.0
2023-01-11	61.0
2023-01-10	73.0
2023-01-09	76.0
2023-01-08	72.0
2023-01-07	68.0
2023-01-06	66.0
2023-01-05	64.0
2023-01-04	60.0
2023-01-03	56.0
2023-01-02	58.0
2023-01-01	61.0
2022-12-31	66.0
2022-12-30	66.0
2022-12-29	74.0
2022-12-28	78.0
2022-12-27	81.0
2022-12-26	91.0
2022-12-25	100.0
2022-12-24	106.0
2022-12-23	116.0
2022-12-22	151.0
2022-12-21	171.0
2022-12-20	171.0
2022-12-19	159.0
2022-12-18	148.0
2022-12-17	124.0
2022-12-16	85.0
2022-12-15	67.0
2022-12-14	62.0
2022-12-13	67.0
2022-12-12	68.0
2022-12-11	65.0
2022-12-10	64.0
2022-12-09	62.0
2022-12-08	63.0
2022-12-07	66.0
2022-12-06	73.0
2022-12-05	79.0
2022-12-04	87.0
2022-12-03	102.0
2022-12-02	106.0
2022-12-01	99.0
2022-11-30	86.0
2022-11-29	71.0
2022-11-28	50.0
2022-11-27	60.0
2022-11-26	70.0
2022-11-25	65.0
2022-11-24	58.0
2022-11-23	55.0
2022-11-22	54.0
2022-11-21	56.0
2022-11-20	48.0
2022-11-19	48.0
2022-11-18	52.0
2022-11-17	60.0
2022-11-16	58.0
2022-11-15	46.0
2022-11-14	44.0
2022-11-13	41.0
2022-11-12	35.0
2022-11-11	34.0
2022-11-10	35.0
2022-11-09	36.0
2022-11-08	37.0
2022-11-07	37.0
2022-11-06	38.0
2022-11-05	38.0
2022-11-04	40.0
2022-11-03	46.0
2022-11-02	40.0
2022-11-01	29.0
2022-10-31	24.0
2022-10-30	24.0
2022-10-29	24.0
2022-10-28	24.0
2022-10-27	25.0
2022-10-26	25.0
2022-10-25	26.0
2022-10-24	25.0
2022-10-23	23.0
2022-10-22	22.0
2022-10-21	22.0
2022-10-20	22.0
2022-10-19	22.0
2022-10-18	22.0
2022-10-17	23.0
2022-10-16	23.0
2022-10-15	23.0
2022-10-14	23.0
2022-10-13	23.0
2022-10-12	24.0
2022-10-11	24.0
2022-10-10	24.0
2022-10-09	24.0
2022-10-08	24.0
2022-10-07	24.0
2022-10-06	25.0
2022-10-05	25.0
2022-10-04	25.0
2022-10-03	25.0
2022-10-02	25.0
2022-10-01	25.0
2022-09-30	26.0
2022-09-29	26.0
2022-09-28	26.0
2022-09-27	27.0
2022-09-26	28.0
2022-09-25	29.0
2022-09-24	28.0
2022-09-23	26.0
2022-09-22	25.0
2022-09-21	24.0
2022-09-20	24.0
2022-09-19	24.0
2022-09-18	24.0
2022-09-17	24.0
2022-09-16	24.0
2022-09-15	25.0
2022-09-14	25.0
2022-09-13	25.0
2022-09-12	25.0
2022-09-11	25.0
2022-09-10	25.0
2022-09-09	25.0
2022-09-08	25.0
2022-09-07	26.0
2022-09-06	26.0
2022-09-05	26.0
2022-09-04	26.0
2022-09-03	26.0
2022-09-02	26.0
2022-09-01	26.0
2022-08-31	26.0
2022-08-30	26.0
2022-08-29	26.0
2022-08-28	26.0
2022-08-27	26.0
2022-08-26	26.0
2022-08-25	26.0
2022-08-24	26.0
2022-08-23	26.0
2022-08-22	26.0
2022-08-21	26.0
2022-08-20	27.0
2022-08-19	27.0
2022-08-18	27.0
2022-08-17	27.0
2022-08-16	27.0
2022-08-15	27.0
2022-08-14	27.0
2022-08-13	28.0
2022-08-12	28.0
2022-08-11	28.0
2022-08-10	28.0
2022-08-09	28.0
2022-08-08	28.0
2022-08-07	29.0
2022-08-06	29.0
2022-08-05	29.0
2022-08-04	29.0
2022-08-03	29.0
2022-08-02	29.0
2022-08-01	29.0
2022-07-31	30.0
2022-07-30	30.0
2022-07-29	30.0
2022-07-28	30.0
2022-07-27	30.0
2022-07-26	30.0
2022-07-25	30.0
2022-07-24	30.0
2022-07-23	30.0
2022-07-22	30.0
2022-07-21	30.0
2022-07-20	30.0
2022-07-19	30.0
2022-07-18	30.0
2022-07-17	30.0
2022-07-16	30.0
2022-07-15	30.0
2022-07-14	30.0
2022-07-13	30.0
2022-07-12	30.0
2022-07-11	30.0
2022-07-10	30.0
2022-07-09	30.0
2022-07-08	30.0
2022-07-07	30.0
2022-07-06	31.0
2022-07-05	31.0
2022-07-04	31.0
2022-07-03	31.0
2022-07-02	31.0
2022-07-01	31.0
2022-06-30	31.0
2022-06-29	31.0
2022-06-28	31.0
2022-06-27	31.0
2022-06-26	31.0
2022-06-25	31.0
2022-06-24	31.0
2022-06-23	32.0
2022-06-22	32.0
2022-06-21	32.0
2022-06-20	32.0
2022-06-19	32.0
2022-06-18	32.0
2022-06-17	32.0
2022-06-16	32.0
2022-06-15	32.0
2022-06-14	32.0
2022-06-13	32.0
2022-06-12	32.0
2022-06-11	32.0
2022-06-10	33.0
2022-06-09	33.0
2022-06-08	33.0
2022-06-07	33.0
2022-06-06	33.0
2022-06-05	33.0
2022-06-04	33.0
2022-06-03	33.0
2022-06-02	33.0
2022-06-01	33.0
2022-05-31	33.0
2022-05-30	33.0
2022-05-29	33.0
2022-05-28	33.0
2022-05-27	33.0
2022-05-26	33.0
2022-05-25	33.0
2022-05-24	33.0
2022-05-23	34.0
2022-05-22	34.0
2022-05-21	34.0
2022-05-20	34.0
2022-05-19	34.0
2022-05-18	34.0
2022-05-17	33.0
2022-05-16	33.0
2022-05-15	33.0
2022-05-14	33.0
2022-05-13	33.0
2022-05-12	33.0
2022-05-11	33.0
2022-05-10	34.0
2022-05-09	34.0
2022-05-08	34.0
2022-05-07	34.0
2022-05-06	34.0
2022-05-05	34.0
2022-05-04	35.0
2022-05-03	35.0
2022-05-02	35.0
2022-05-01	35.0
2022-04-30	35.0
2022-04-29	36.0
2022-04-28	36.0
2022-04-27	36.0
2022-04-26	36.0
2022-04-25	39.0
2022-04-24	42.0
2022-04-23	43.0
2022-04-22	45.0
2022-04-21	45.0
2022-04-20	46.0
2022-04-19	46.0
2022-04-18	46.0
2022-04-17	50.0
2022-04-16	44.0
2022-04-15	41.0
2022-04-14	37.0
2022-04-13	36.0
2022-04-12	36.0
2022-04-11	35.0
2022-04-10	35.0
2022-04-09	35.0
2022-04-08	35.0
2022-04-07	35.0
2022-04-06	36.0
2022-04-05	36.0
2022-04-04	36.0
2022-04-03	37.0
2022-04-02	37.0
2022-04-01	38.0
2022-03-31	38.0
2022-03-30	39.0
2022-03-29	40.0
2022-03-28	40.0
2022-03-27	41.0
2022-03-26	41.0
2022-03-25	42.0
2022-03-24	42.0
2022-03-23	43.0
2022-03-22	44.0
2022-03-21	45.0
2022-03-20	48.0
2022-03-19	50.0
2022-03-18	52.0
2022-03-17	42.0
2022-03-16	43.0
2022-03-15	44.0
2022-03-14	46.0
2022-03-13	46.0
2022-03-12	47.0
2022-03-11	48.0
2022-03-10	48.0
2022-03-09	48.0
2022-03-08	49.0
2022-03-07	50.0
2022-03-06	50.0
2022-03-05	50.0
2022-03-04	50.0
2022-03-03	50.0
2022-03-02	52.0
2022-03-01	54.0
2022-02-28	58.0
2022-02-27	61.0
2022-02-26	64.0
2022-02-25	71.0
2022-02-24	81.0
2022-02-23	87.0
2022-02-22	90.0
2022-02-21	116.0
2022-02-20	115.0
2022-02-19	104.0
2022-02-18	106.0
2022-02-17	96.0
2022-02-16	101.0
2022-02-15	113.0
2022-02-14	122.0
2022-02-13	119.0
2022-02-12	107.0
2022-02-11	108.0
2022-02-10	105.0
2022-02-09	78.0
2022-02-08	72.0
2022-02-07	69.0
2022-02-06	59.0
2022-02-05	56.0
2022-02-04	54.0
2022-02-03	54.0
2022-02-02	52.0
2022-02-01	52.0
2022-01-31	52.0
2022-01-30	54.0
2022-01-29	52.0
2022-01-28	56.0
2022-01-27	58.0
2022-01-26	50.0
2022-01-25	50.0
2022-01-24	50.0
2022-01-23	51.0
2022-01-22	52.0
2022-01-21	53.0
2022-01-20	57.0
2022-01-19	61.0
2022-01-18	69.0
2022-01-17	73.0
2022-01-16	80.0
2022-01-15	90.0
2022-01-14	102.0
2022-01-13	106.0
2022-01-12	109.0
2022-01-11	135.0
2022-01-10	142.0
2022-01-09	147.0
2022-01-08	151.0
2022-01-07	149.0
2022-01-06	144.0
2022-01-05	141.0
2022-01-04	110.0
2022-01-03	90.0
2022-01-02	86.0
2022-01-01	84.0
2021-12-31	86.0
2021-12-30	90.0
2021-12-29	95.0
2021-12-28	102.0
2021-12-27	125.0
2021-12-26	140.0
2021-12-25	145.0
2021-12-24	135.0
2021-12-23	125.0
2021-12-22	115.0
2021-12-21	95.0
2021-12-20	64.0
2021-12-19	69.0
2021-12-18	73.0
2021-12-17	80.0
2021-12-16	90.0
2021-12-15	89.0
2021-12-14	79.0
2021-12-13	72.0
2021-12-12	74.0
2021-12-11	78.0
2021-12-10	86.0
2021-12-09	80.0
2021-12-08	69.0
2021-12-07	62.0
2021-12-06	60.0
2021-12-05	59.0
2021-12-04	57.0
2021-12-03	64.0
2021-12-02	61.0
2021-12-01	60.0
2021-11-30	65.0
2021-11-29	64.0
2021-11-28	59.0
2021-11-27	51.0
2021-11-26	46.0
2021-11-25	43.0
2021-11-24	46.0
2021-11-23	50.0
2021-11-22	52.0
2021-11-21	56.0
2021-11-20	57.0
2021-11-19	44.0
2021-11-18	40.0
2021-11-17	37.0
2021-11-16	38.0
2021-11-15	39.0
2021-11-14	40.0
2021-11-13	40.0
2021-11-12	38.0
2021-11-11	39.0
2021-11-10	41.0
2021-11-09	43.0
2021-11-08	46.0
2021-11-07	50.0
2021-11-06	54.0
2021-11-05	51.0
2021-11-04	43.0
2021-11-03	39.0
2021-11-02	34.0
2021-11-01	30.0
2021-10-31	31.0
2021-10-30	32.0
2021-10-29	33.0
2021-10-28	34.0
2021-10-27	36.0
2021-10-26	39.0
2021-10-25	44.0
2021-10-24	51.0
2021-10-23	39.0
2021-10-22	33.0
2021-10-21	29.0
2021-10-20	27.0
2021-10-19	27.0
2021-10-18	28.0
2021-10-17	29.0
2021-10-16	30.0
2021-10-15	32.0
2021-10-14	29.0
2021-10-13	28.0
2021-10-12	27.0
2021-10-11	24.0
2021-10-10	18.0
2021-10-09	18.0
2021-10-08	18.0
2021-10-07	18.0
2021-10-06	18.0
2021-10-05	18.0
2021-10-04	18.0
2021-10-03	18.0
2021-10-02	18.0
2021-10-01	18.0
2021-09-30	18.0
2021-09-29	18.0
2021-09-28	18.0
2021-09-27	18.0
2021-09-26	18.0
2021-09-25	18.0
2021-09-24	18.0
2021-09-23	18.0
2021-09-22	18.0
2021-09-21	18.0
2021-09-20	18.0
2021-09-19	18.0
2021-09-18	18.0
2021-09-17	19.0
2021-09-16	19.0
2021-09-15	19.0
2021-09-14	19.0
2021-09-13	19.0
2021-09-12	19.0
2021-09-11	19.0
2021-09-10	19.0
2021-09-09	19.0
2021-09-08	19.0
2021-09-07	19.0
2021-09-06	19.0
2021-09-05	20.0
2021-09-04	20.0
2021-09-03	20.0
2021-09-02	20.0
2021-09-01	20.0
2021-08-31	21.0
2021-08-30	21.0
2021-08-29	21.0
2021-08-28	21.0
2021-08-27	21.0
2021-08-26	21.0
2021-08-25	21.0
2021-08-24	21.0
2021-08-23	21.0
2021-08-22	21.0
2021-08-21	21.0
2021-08-20	21.0
2021-08-19	21.0
2021-08-18	22.0
2021-08-17	22.0
2021-08-16	22.0
2021-08-15	22.0
2021-08-14	22.0
2021-08-13	22.0
2021-08-12	22.0
2021-08-11	22.0
2021-08-10	22.0
2021-08-09	22.0
2021-08-08	22.0
2021-08-07	22.0
2021-08-06	22.0
2021-08-05	22.0
2021-08-04	22.0
2021-08-03	22.0
2021-08-02	22.0
2021-08-01	22.0
2021-07-31	22.0
2021-07-30	22.0
2021-07-29	22.0
2021-07-28	23.0
2021-07-27	23.0
2021-07-26	23.0
2021-07-25	23.0
2021-07-24	23.0
2021-07-23	23.0
2021-07-22	23.0
2021-07-21	23.0
2021-07-20	23.0
2021-07-19	23.0
