data	vazao
2023-01-31	28.583
2023-01-30	34.991
2023-01-29	44.788
2023-01-28	43.839
2023-01-27	43.839
2023-01-26	38.555
2023-01-25	40.017
2023-01-24	51.253
2023-01-23	46.062
2023-01-22	35.693
2023-01-21	23.573
2023-01-20	20.343
2023-01-19	21.497
2023-01-18	25.41
2023-01-17	31.558
2023-01-16	40.385
2023-01-15	38.555
2023-01-14	40.017
2023-01-13	28.583
2023-01-12	26.347
2023-01-11	26.033
2023-01-10	32.574
2023-01-09	34.294
2023-01-08	30.887
2023-01-07	28.908
2023-01-06	27.617
2023-01-05	26.347
2023-01-04	23.272
2023-01-03	21.497
2023-01-02	22.674
2023-01-01	24.792
2022-12-31	27.617
2022-12-30	27.617
2022-12-29	32.574
2022-12-28	35.341
2022-12-27	37.832
2022-12-26	44.471
2022-12-25	50.268
2022-12-24	53.905
2022-12-23	61.039
2022-12-22	86.473
2022-12-21	101.648
2022-12-20	102.046
2022-12-19	92.617
2022-12-18	84.2
2022-12-17	66.281
2022-12-16	40.755
2022-12-15	27.937
2022-12-14	25.1
2022-12-13	28.26
2022-12-12	28.908
2022-12-11	26.662
2022-12-10	26.347
2022-12-09	25.1
2022-12-08	25.721
2022-12-07	27.297
2022-12-06	31.895
2022-12-05	36.401
2022-12-04	41.958
2022-12-03	51.583
2022-12-02	54.239
2022-12-01	49.288
2022-11-30	40.755
2022-11-29	29.892
2022-11-28	17.026
2022-11-27	25.1
2022-11-26	30.887
2022-11-25	25.41
2022-11-24	22.674
2022-11-23	20.629
2022-11-22	20.343
2022-11-21	21.497
2022-11-20	16.495
2022-11-19	17.026
2022-11-18	19.775
2022-11-17	25.1
2022-11-16	20.917
2022-11-15	15.452
2022-11-14	14.435
2022-11-13	13.201
2022-11-12	10.41
2022-11-11	10.189
2022-11-10	10.858
2022-11-09	11.084
2022-11-08	11.543
2022-11-07	11.543
2022-11-06	12.008
2022-11-05	12.008
2022-11-04	12.959
2022-11-03	15.452
2022-11-02	11.084
2022-11-01	7.48
2022-10-31	6.155
2022-10-30	6.155
2022-10-29	6.155
2022-10-28	6.155
2022-10-27	6.523
2022-10-26	6.711
2022-10-25	6.9
2022-10-24	6.523
2022-10-23	5.794
2022-10-22	5.441
2022-10-21	5.441
2022-10-20	5.441
2022-10-19	5.441
2022-10-18	5.441
2022-10-17	5.794
2022-10-16	5.794
2022-10-15	5.794
2022-10-14	5.794
2022-10-13	5.794
2022-10-12	6.155
2022-10-11	6.155
2022-10-10	6.155
2022-10-09	6.155
2022-10-08	6.155
2022-10-07	6.155
2022-10-06	6.523
2022-10-05	6.523
2022-10-04	6.523
2022-10-03	6.523
2022-10-02	6.523
2022-10-01	6.523
2022-09-30	6.9
2022-09-29	6.9
2022-09-28	7.091
2022-09-27	7.285
2022-09-26	7.876
2022-09-25	7.876
2022-09-24	7.677
2022-09-23	6.9
2022-09-22	6.338
2022-09-21	6.155
2022-09-20	6.155
2022-09-19	6.155
2022-09-18	6.155
2022-09-17	6.155
2022-09-16	6.338
2022-09-15	6.523
2022-09-14	6.523
2022-09-13	6.523
2022-09-12	6.523
2022-09-11	6.523
2022-09-10	6.523
2022-09-09	6.523
2022-09-08	6.523
2022-09-07	6.9
2022-09-06	6.9
2022-09-05	6.9
2022-09-04	6.9
2022-09-03	6.9
2022-09-02	6.9
2022-09-01	6.9
2022-08-31	6.9
2022-08-30	6.9
2022-08-29	6.9
2022-08-28	6.9
2022-08-27	6.9
2022-08-26	6.9
2022-08-25	6.9
2022-08-24	6.9
2022-08-23	6.9
2022-08-22	6.9
2022-08-21	6.9
2022-08-20	7.285
2022-08-19	7.285
2022-08-18	7.285
2022-08-17	7.285
2022-08-16	7.285
2022-08-15	7.285
2022-08-14	7.285
2022-08-13	7.48
2022-08-12	7.677
2022-08-11	7.677
2022-08-10	7.677
2022-08-09	7.677
2022-08-08	7.677
2022-08-07	7.876
2022-08-06	8.077
2022-08-05	8.077
2022-08-04	8.077
2022-08-03	8.077
2022-08-02	8.077
2022-08-01	8.077
2022-07-31	8.485
2022-07-30	8.485
2022-07-29	8.485
2022-07-28	8.485
2022-07-27	8.485
2022-07-26	8.485
2022-07-25	8.485
2022-07-24	8.485
2022-07-23	8.485
2022-07-22	8.485
2022-07-21	8.485
2022-07-20	8.485
2022-07-19	8.485
2022-07-18	8.485
2022-07-17	8.485
2022-07-16	8.485
2022-07-15	8.485
2022-07-14	8.485
2022-07-13	8.485
2022-07-12	8.485
2022-07-11	8.485
2022-07-10	8.485
2022-07-09	8.485
2022-07-08	8.485
2022-07-07	8.485
2022-07-06	8.691
2022-07-05	8.9
2022-07-04	8.9
2022-07-03	8.9
2022-07-02	8.9
2022-07-01	8.9
2022-06-30	8.9
2022-06-29	8.9
2022-06-28	8.9
2022-06-27	8.9
2022-06-26	8.9
2022-06-25	8.9
2022-06-24	9.11
2022-06-23	9.322
2022-06-22	9.322
2022-06-21	9.322
2022-06-20	9.322
2022-06-19	9.322
2022-06-18	9.322
2022-06-17	9.322
2022-06-16	9.322
2022-06-15	9.322
2022-06-14	9.322
2022-06-13	9.322
2022-06-12	9.322
2022-06-11	9.322
2022-06-10	9.752
2022-06-09	9.752
2022-06-08	9.752
2022-06-07	9.752
2022-06-06	9.752
2022-06-05	9.752
2022-06-04	9.752
2022-06-03	9.752
2022-06-02	9.752
2022-06-01	9.752
2022-05-31	9.752
2022-05-30	9.752
2022-05-29	9.752
2022-05-28	9.752
2022-05-27	9.752
2022-05-26	9.752
2022-05-25	9.752
2022-05-24	9.97
2022-05-23	10.189
2022-05-22	10.189
2022-05-21	10.189
2022-05-20	10.189
2022-05-19	10.189
2022-05-18	10.189
2022-05-17	9.752
2022-05-16	9.752
2022-05-15	9.752
2022-05-14	9.752
2022-05-13	9.752
2022-05-12	9.752
2022-05-11	9.97
2022-05-10	10.189
2022-05-09	10.189
2022-05-08	10.189
2022-05-07	10.189
2022-05-06	10.189
2022-05-05	10.189
2022-05-04	10.633
2022-05-03	10.633
2022-05-02	10.633
2022-05-01	10.633
2022-04-30	10.858
2022-04-29	11.084
2022-04-28	11.084
2022-04-27	11.084
2022-04-26	11.774
2022-04-25	12.48
2022-04-24	13.936
2022-04-23	14.941
2022-04-22	15.452
2022-04-21	15.711
2022-04-20	15.971
2022-04-19	15.971
2022-04-18	15.971
2022-04-17	18.107
2022-04-16	14.435
2022-04-15	13.201
2022-04-14	11.543
2022-04-13	11.084
2022-04-12	10.858
2022-04-11	10.633
2022-04-10	10.633
2022-04-09	10.633
2022-04-08	10.633
2022-04-07	10.858
2022-04-06	11.084
2022-04-05	11.084
2022-04-04	11.313
2022-04-03	11.543
2022-04-02	11.774
2022-04-01	12.008
2022-03-31	12.008
2022-03-30	12.243
2022-03-29	12.718
2022-03-28	12.959
2022-03-27	13.201
2022-03-26	13.444
2022-03-25	13.936
2022-03-24	13.936
2022-03-23	14.435
2022-03-22	14.941
2022-03-21	15.452
2022-03-20	16.76
2022-03-19	17.835
2022-03-18	19.213
2022-03-17	13.936
2022-03-16	14.435
2022-03-15	14.941
