ano	mes	dia	vazao
2023	1	31	28.583
2023	1	30	34.991
2023	1	29	44.788
2023	1	28	43.839
2023	1	27	43.839
2023	1	26	38.555
2023	1	25	40.017
2023	1	24	51.253
2023	1	23	46.062
2023	1	22	35.693
2023	1	21	23.573
2023	1	20	20.343
2023	1	19	21.497
2023	1	18	25.41
2023	1	17	31.558
2023	1	16	40.385
2023	1	15	38.555
2023	1	14	40.017
2023	1	13	28.583
2023	1	12	26.347
2023	1	11	26.033
2023	1	10	32.574
2023	1	9	34.294
2023	1	8	30.887
2023	1	7	28.908
2023	1	6	27.617
2023	1	5	26.347
2023	1	4	23.272
2023	1	3	21.497
2023	1	2	22.674
2023	1	1	24.792
2022	12	31	27.617
2022	12	30	27.617
2022	12	29	32.574
2022	12	28	35.341
2022	12	27	37.832
2022	12	26	44.471
2022	12	25	50.268
2022	12	24	53.905
2022	12	23	61.039
2022	12	22	86.473
2022	12	21	101.648
2022	12	20	102.046
2022	12	19	92.617
2022	12	18	84.2
2022	12	17	66.281
2022	12	16	40.755
2022	12	15	27.937
2022	12	14	25.1
2022	12	13	28.26
2022	12	12	28.908
2022	12	11	26.662
2022	12	10	26.347
2022	12	9	25.1
2022	12	8	25.721
2022	12	7	27.297
2022	12	6	31.895
2022	12	5	36.401
2022	12	4	41.958
2022	12	3	51.583
2022	12	2	54.239
2022	12	1	49.288
2022	11	30	40.755
2022	11	29	29.892
2022	11	28	17.026
2022	11	27	25.1
2022	11	26	30.887
2022	11	25	25.41
2022	11	24	22.674
2022	11	23	20.629
2022	11	22	20.343
2022	11	21	21.497
2022	11	20	16.495
2022	11	19	17.026
2022	11	18	19.775
2022	11	17	25.1
2022	11	16	20.917
2022	11	15	15.452
2022	11	14	14.435
2022	11	13	13.201
2022	11	12	10.41
2022	11	11	10.189
2022	11	10	10.858
2022	11	9	11.084
2022	11	8	11.543
2022	11	7	11.543
2022	11	6	12.008
2022	11	5	12.008
2022	11	4	12.959
2022	11	3	15.452
2022	11	2	11.084
2022	11	1	7.48
2022	10	31	6.155
2022	10	30	6.155
2022	10	29	6.155
2022	10	28	6.155
2022	10	27	6.523
2022	10	26	6.711
2022	10	25	6.9
2022	10	24	6.523
2022	10	23	5.794
2022	10	22	5.441
2022	10	21	5.441
2022	10	20	5.441
2022	10	19	5.441
2022	10	18	5.441
2022	10	17	5.794
2022	10	16	5.794
2022	10	15	5.794
2022	10	14	5.794
2022	10	13	5.794
2022	10	12	6.155
2022	10	11	6.155
2022	10	10	6.155
2022	10	9	6.155
2022	10	8	6.155
2022	10	7	6.155
2022	10	6	6.523
2022	10	5	6.523
2022	10	4	6.523
2022	10	3	6.523
2022	10	2	6.523
2022	10	1	6.523
2022	9	30	6.9
2022	9	29	6.9
2022	9	28	7.091
2022	9	27	7.285
2022	9	26	7.876
2022	9	25	7.876
2022	9	24	7.677
2022	9	23	6.9
2022	9	22	6.338
2022	9	21	6.155
2022	9	20	6.155
2022	9	19	6.155
2022	9	18	6.155
2022	9	17	6.155
2022	9	16	6.338
2022	9	15	6.523
2022	9	14	6.523
2022	9	13	6.523
2022	9	12	6.523
2022	9	11	6.523
2022	9	10	6.523
2022	9	9	6.523
2022	9	8	6.523
2022	9	7	6.9
2022	9	6	6.9
2022	9	5	6.9
2022	9	4	6.9
2022	9	3	6.9
2022	9	2	6.9
2022	9	1	6.9
2022	8	31	6.9
2022	8	30	6.9
2022	8	29	6.9
2022	8	28	6.9
2022	8	27	6.9
2022	8	26	6.9
2022	8	25	6.9
2022	8	24	6.9
2022	8	23	6.9
2022	8	22	6.9
2022	8	21	6.9
2022	8	20	7.285
2022	8	19	7.285
2022	8	18	7.285
2022	8	17	7.285
2022	8	16	7.285
2022	8	15	7.285
2022	8	14	7.285
2022	8	13	7.48
2022	8	12	7.677
2022	8	11	7.677
2022	8	10	7.677
2022	8	9	7.677
2022	8	8	7.677
2022	8	7	7.876
2022	8	6	8.077
2022	8	5	8.077
2022	8	4	8.077
2022	8	3	8.077
2022	8	2	8.077
2022	8	1	8.077
2022	7	31	8.485
2022	7	30	8.485
2022	7	29	8.485
2022	7	28	8.485
2022	7	27	8.485
2022	7	26	8.485
2022	7	25	8.485
2022	7	24	8.485
2022	7	23	8.485
2022	7	22	8.485
2022	7	21	8.485
2022	7	20	8.485
2022	7	19	8.485
2022	7	18	8.485
2022	7	17	8.485
2022	7	16	8.485
2022	7	15	8.485
2022	7	14	8.485
2022	7	13	8.485
2022	7	12	8.485
2022	7	11	8.485
2022	7	10	8.485
2022	7	9	8.485
2022	7	8	8.485
2022	7	7	8.485
2022	7	6	8.691
2022	7	5	8.9
2022	7	4	8.9
2022	7	3	8.9
2022	7	2	8.9
2022	7	1	8.9
2022	6	30	8.9
2022	6	29	8.9
2022	6	28	8.9
2022	6	27	8.9
2022	6	26	8.9
2022	6	25	8.9
2022	6	24	9.11
2022	6	23	9.322
2022	6	22	9.322
2022	6	21	9.322
2022	6	20	9.322
2022	6	19	9.322
2022	6	18	9.322
2022	6	17	9.322
2022	6	16	9.322
2022	6	15	9.322
2022	6	14	9.322
2022	6	13	9.322
2022	6	12	9.322
2022	6	11	9.322
2022	6	10	9.752
2022	6	9	9.752
2022	6	8	9.752
2022	6	7	9.752
2022	6	6	9.752
2022	6	5	9.752
2022	6	4	9.752
2022	6	3	9.752
2022	6	2	9.752
2022	6	1	9.752
2022	5	31	9.752
2022	5	30	9.752
2022	5	29	9.752
2022	5	28	9.752
2022	5	27	9.752
2022	5	26	9.752
2022	5	25	9.752
2022	5	24	9.97
2022	5	23	10.189
2022	5	22	10.189
2022	5	21	10.189
2022	5	20	10.189
2022	5	19	10.189
2022	5	18	10.189
2022	5	17	9.752
2022	5	16	9.752
2022	5	15	9.752
2022	5	14	9.752
2022	5	13	9.752
2022	5	12	9.752
2022	5	11	9.97
2022	5	10	10.189
2022	5	9	10.189
2022	5	8	10.189
2022	5	7	10.189
