ano	mes	dia	cota
2023	1	31	714.0
2023	1	30	752.0
2023	1	29	786.0
2023	1	28	807.0
2023	1	27	753.0
2023	1	26	714.0
2023	1	25	722.0
2023	1	24	692.0
2023	1	23	637.0
2023	1	22	641.0
2023	1	21	634.0
2023	1	20	640.0
2023	1	19	673.0
2023	1	18	716.0
2023	1	17	759.0
2023	1	16	803.0
2023	1	15	809.0
2023	1	14	819.0
2023	1	13	806.0
2023	1	12	768.0
2023	1	11	746.0
2023	1	10	704.0
2023	1	9	654.0
2023	1	8	590.0
2023	1	7	456.0
2023	1	6	404.0
2023	1	5	407.0
2023	1	4	359.0
2023	1	3	359.0
2023	1	2	370.0
2023	1	1	394.0
2022	12	31	402.0
2022	12	30	427.0
2022	12	29	442.0
2022	12	28	445.0
2022	12	27	507.0
2022	12	26	593.0
2022	12	25	618.0
2022	12	24	644.0
2022	12	23	668.0
2022	12	22	649.0
2022	12	21	498.0
2022	12	20	432.0
2022	12	19	422.0
2022	12	18	473.0
2022	12	17	517.0
2022	12	16	508.0
2022	12	15	443.0
2022	12	14	414.0
2022	12	13	384.0
2022	12	12	328.0
2022	12	11	324.0
2022	12	10	351.0
2022	12	9	357.0
2022	12	8	334.0
2022	12	7	349.0
2022	12	6	348.0
2022	12	5	356.0
2022	12	4	348.0
2022	12	3	343.0
2022	12	2	347.0
2022	12	1	313.0
2022	11	30	319.0
2022	11	29	317.0
2022	11	28	302.0
2022	11	27	291.0
2022	11	26	290.0
2022	11	25	268.0
2022	11	24	244.0
2022	11	23	259.0
2022	11	22	277.0
2022	11	21	300.0
2022	11	20	322.0
2022	11	19	312.0
2022	11	18	317.0
2022	11	17	295.0
2022	11	16	261.0
2022	11	15	243.0
2022	11	14	239.0
2022	11	13	224.0
2022	11	12	208.0
2022	11	11	207.0
2022	11	10	206.0
2022	11	9	212.0
2022	11	8	217.0
2022	11	7	222.0
2022	11	6	230.0
2022	11	5	241.0
2022	11	4	239.0
2022	11	3	234.0
2022	11	2	267.0
2022	11	1	263.0
2022	10	31	257.0
2022	10	30	254.0
2022	10	29	253.0
2022	10	28	251.0
2022	10	27	250.0
2022	10	26	245.0
2022	10	25	230.0
2022	10	24	242.0
2022	10	23	241.0
2022	10	22	241.0
2022	10	21	242.0
2022	10	20	242.0
2022	10	19	242.0
2022	10	18	236.0
2022	10	17	239.0
2022	10	16	248.0
2022	10	15	252.0
2022	10	14	239.0
2022	10	13	253.0
2022	10	12	257.0
2022	10	11	266.0
2022	10	10	268.0
2022	10	9	262.0
2022	10	8	256.0
2022	10	7	250.0
2022	10	6	251.0
2022	10	5	254.0
2022	10	4	248.0
2022	10	3	247.0
2022	10	2	248.0
2022	10	1	247.0
2022	9	30	251.0
2022	9	29	251.0
2022	9	28	249.0
2022	9	27	248.0
2022	9	26	247.0
2022	9	25	247.0
2022	9	24	247.0
2022	9	23	245.0
2022	9	22	257.0
2022	9	21	258.0
2022	9	20	257.0
2022	9	19	257.0
2022	9	18	257.0
2022	9	17	258.0
2022	9	16	258.0
2022	9	15	257.0
2022	9	14	257.0
2022	9	13	257.0
2022	9	12	257.0
2022	9	11	257.0
2022	9	10	257.0
2022	9	9	256.0
2022	9	8	256.0
2022	9	7	256.0
2022	9	6	255.0
2022	9	5	253.0
2022	9	4	230.0
2022	9	3	193.0
2022	9	2	194.0
2022	9	1	194.0
2022	8	31	194.0
2022	8	30	195.0
2022	8	29	196.0
2022	8	28	199.0
2022	8	27	196.0
2022	8	26	196.0
2022	8	25	196.0
2022	8	24	196.0
2022	8	23	196.0
2022	8	22	197.0
2022	8	21	197.0
2022	8	20	197.0
2022	8	19	198.0
2022	8	18	201.0
2022	8	17	201.0
2022	8	16	201.0
2022	8	15	201.0
2022	8	14	201.0
2022	8	13	202.0
2022	8	12	202.0
2022	8	11	203.0
2022	8	10	204.0
2022	8	9	205.0
2022	8	8	205.0
2022	8	7	205.0
2022	8	6	206.0
2022	8	5	206.0
2022	8	4	206.0
2022	8	3	206.0
2022	8	2	206.0
2022	8	1	206.0
2022	7	31	206.0
2022	7	30	206.0
2022	7	29	206.0
2022	7	28	206.0
2022	7	27	206.0
2022	7	26	207.0
2022	7	25	207.0
2022	7	24	207.0
2022	7	23	208.0
2022	7	22	208.0
2022	7	21	208.0
