data	cota
2023-01-31	714.0
2023-01-30	752.0
2023-01-29	786.0
2023-01-28	807.0
2023-01-27	753.0
2023-01-26	714.0
2023-01-25	722.0
2023-01-24	692.0
2023-01-23	637.0
2023-01-22	641.0
2023-01-21	634.0
2023-01-20	640.0
2023-01-19	673.0
2023-01-18	716.0
2023-01-17	759.0
2023-01-16	803.0
2023-01-15	809.0
2023-01-14	819.0
2023-01-13	806.0
2023-01-12	768.0
2023-01-11	746.0
2023-01-10	704.0
2023-01-09	654.0
2023-01-08	590.0
2023-01-07	456.0
2023-01-06	404.0
2023-01-05	407.0
2023-01-04	359.0
2023-01-03	359.0
2023-01-02	370.0
2023-01-01	394.0
2022-12-31	402.0
2022-12-30	427.0
2022-12-29	442.0
2022-12-28	445.0
2022-12-27	507.0
2022-12-26	593.0
2022-12-25	618.0
2022-12-24	644.0
2022-12-23	668.0
2022-12-22	649.0
2022-12-21	498.0
2022-12-20	432.0
2022-12-19	422.0
2022-12-18	473.0
2022-12-17	517.0
2022-12-16	508.0
2022-12-15	443.0
2022-12-14	414.0
2022-12-13	384.0
2022-12-12	328.0
2022-12-11	324.0
2022-12-10	351.0
2022-12-09	357.0
2022-12-08	334.0
2022-12-07	349.0
2022-12-06	348.0
2022-12-05	356.0
2022-12-04	348.0
2022-12-03	343.0
2022-12-02	347.0
2022-12-01	313.0
2022-11-30	319.0
2022-11-29	317.0
2022-11-28	302.0
2022-11-27	291.0
2022-11-26	290.0
2022-11-25	268.0
2022-11-24	244.0
2022-11-23	259.0
2022-11-22	277.0
2022-11-21	300.0
2022-11-20	322.0
2022-11-19	312.0
2022-11-18	317.0
2022-11-17	295.0
2022-11-16	261.0
2022-11-15	243.0
2022-11-14	239.0
2022-11-13	224.0
2022-11-12	208.0
2022-11-11	207.0
2022-11-10	206.0
2022-11-09	212.0
2022-11-08	217.0
2022-11-07	222.0
2022-11-06	230.0
2022-11-05	241.0
2022-11-04	239.0
2022-11-03	234.0
2022-11-02	267.0
2022-11-01	263.0
2022-10-31	257.0
2022-10-30	254.0
2022-10-29	253.0
2022-10-28	251.0
2022-10-27	250.0
2022-10-26	245.0
2022-10-25	230.0
2022-10-24	242.0
2022-10-23	241.0
2022-10-22	241.0
2022-10-21	242.0
2022-10-20	242.0
2022-10-19	242.0
2022-10-18	236.0
2022-10-17	239.0
2022-10-16	248.0
2022-10-15	252.0
2022-10-14	239.0
2022-10-13	253.0
2022-10-12	257.0
2022-10-11	266.0
2022-10-10	268.0
2022-10-09	262.0
2022-10-08	256.0
2022-10-07	250.0
2022-10-06	251.0
2022-10-05	254.0
2022-10-04	248.0
2022-10-03	247.0
2022-10-02	248.0
2022-10-01	247.0
2022-09-30	251.0
2022-09-29	251.0
2022-09-28	249.0
2022-09-27	248.0
2022-09-26	247.0
2022-09-25	247.0
2022-09-24	247.0
2022-09-23	245.0
2022-09-22	257.0
2022-09-21	258.0
2022-09-20	257.0
2022-09-19	257.0
2022-09-18	257.0
2022-09-17	258.0
2022-09-16	258.0
2022-09-15	257.0
2022-09-14	257.0
2022-09-13	257.0
2022-09-12	257.0
2022-09-11	257.0
2022-09-10	257.0
2022-09-09	256.0
2022-09-08	256.0
2022-09-07	256.0
2022-09-06	255.0
2022-09-05	253.0
2022-09-04	230.0
2022-09-03	193.0
2022-09-02	194.0
2022-09-01	194.0
2022-08-31	194.0
2022-08-30	195.0
2022-08-29	196.0
2022-08-28	199.0
2022-08-27	196.0
2022-08-26	196.0
2022-08-25	196.0
2022-08-24	196.0
2022-08-23	196.0
2022-08-22	197.0
2022-08-21	197.0
2022-08-20	197.0
2022-08-19	198.0
2022-08-18	201.0
2022-08-17	201.0
2022-08-16	201.0
2022-08-15	201.0
2022-08-14	201.0
2022-08-13	202.0
2022-08-12	202.0
2022-08-11	203.0
2022-08-10	204.0
2022-08-09	205.0
2022-08-08	205.0
2022-08-07	205.0
2022-08-06	206.0
2022-08-05	206.0
2022-08-04	206.0
2022-08-03	206.0
2022-08-02	206.0
2022-08-01	206.0
2022-07-31	206.0
2022-07-30	206.0
2022-07-29	206.0
2022-07-28	206.0
2022-07-27	206.0
2022-07-26	207.0
2022-07-25	207.0
2022-07-24	207.0
2022-07-23	208.0
2022-07-22	208.0
2022-07-21	208.0
2022-07-20	209.0
2022-07-19	209.0
2022-07-18	208.0
2022-07-17	208.0
2022-07-16	208.0
2022-07-15	208.0
2022-07-14	209.0
2022-07-13	209.0
2022-07-12	209.0
2022-07-11	209.0
2022-07-10	210.0
2022-07-09	211.0
2022-07-08	211.0
2022-07-07	211.0
2022-07-06	212.0
2022-07-05	212.0
2022-07-04	212.0
2022-07-03	212.0
2022-07-02	213.0
2022-07-01	213.0
2022-06-30	214.0
2022-06-29	214.0
2022-06-28	214.0
2022-06-27	214.0
2022-06-26	215.0
2022-06-25	216.0
2022-06-24	217.0
2022-06-23	219.0
2022-06-22	229.0
2022-06-21	239.0
2022-06-20	239.0
2022-06-19	240.0
2022-06-18	241.0
2022-06-17	241.0
2022-06-16	241.0
2022-06-15	241.0
2022-06-14	241.0
2022-06-13	242.0
2022-06-12	242.0
2022-06-11	243.0
2022-06-10	243.0
2022-06-09	244.0
2022-06-08	250.0
2022-06-07	257.0
2022-06-06	258.0
2022-06-05	259.0
2022-06-04	260.0
2022-06-03	253.0
2022-06-02	248.0
2022-06-01	248.0
2022-05-31	249.0
2022-05-30	249.0
2022-05-29	258.0
2022-05-28	276.0
2022-05-27	277.0
2022-05-26	279.0
2022-05-25	294.0
2022-05-24	295.0
2022-05-23	296.0
2022-05-22	297.0
2022-05-21	298.0
2022-05-20	299.0
2022-05-19	298.0
2022-05-18	298.0
2022-05-17	298.0
2022-05-16	297.0
2022-05-15	297.0
2022-05-14	303.0
2022-05-13	312.0
2022-05-12	318.0
2022-05-11	326.0
2022-05-10	317.0
2022-05-09	307.0
2022-05-08	308.0
2022-05-07	310.0
2022-05-06	312.0
2022-05-05	319.0
2022-05-04	323.0
2022-05-03	329.0
2022-05-02	329.0
2022-05-01	330.0
2022-04-30	330.0
2022-04-29	331.0
2022-04-28	332.0
2022-04-27	332.0
2022-04-26	334.0
2022-04-25	335.0
2022-04-24	336.0
2022-04-23	337.0
2022-04-22	330.0
2022-04-21	324.0
2022-04-20	334.0
2022-04-19	339.0
2022-04-18	343.0
2022-04-17	347.0
2022-04-16	353.0
2022-04-15	349.0
2022-04-14	354.0
2022-04-13	350.0
2022-04-12	345.0
2022-04-11	347.0
2022-04-10	347.0
2022-04-09	353.0
2022-04-08	352.0
2022-04-07	303.0
2022-04-06	300.0
2022-04-05	302.0
2022-04-04	303.0
2022-04-03	299.0
2022-04-02	294.0
2022-04-01	307.0
2022-03-31	313.0
2022-03-30	316.0
2022-03-29	319.0
2022-03-28	321.0
2022-03-27	324.0
2022-03-26	324.0
2022-03-25	329.0
2022-03-24	333.0
2022-03-23	338.0
2022-03-22	349.0
2022-03-21	355.0
2022-03-20	372.0
2022-03-19	397.0
2022-03-18	400.0
2022-03-17	401.0
2022-03-16	405.0
2022-03-15	406.0
2022-03-14	406.0
2022-03-13	409.0
2022-03-12	414.0
2022-03-11	421.0
2022-03-10	436.0
2022-03-09	472.0
2022-03-08	507.0
2022-03-07	533.0
2022-03-06	599.0
2022-03-05	670.0
2022-03-04	693.0
2022-03-03	713.0
2022-03-02	741.0
2022-03-01	781.0
2022-02-28	853.0
2022-02-27	905.0
2022-02-26	956.0
2022-02-25	986.0
2022-02-24	1005.0
2022-02-23	1004.0
2022-02-22	992.0
2022-02-21	978.0
2022-02-20	957.0
2022-02-19	934.0
2022-02-18	934.0
2022-02-17	941.0
2022-02-16	932.0
2022-02-15	915.0
2022-02-14	898.0
2022-02-13	891.0
2022-02-12	867.0
2022-02-11	832.0
2022-02-10	825.0
2022-02-09	831.0
2022-02-08	851.0
2022-02-07	801.0
2022-02-06	725.0
2022-02-05	723.0
2022-02-04	707.0
2022-02-03	710.0
2022-02-02	743.0
2022-02-01	764.0
2022-01-31	770.0
2022-01-30	778.0
2022-01-29	793.0
2022-01-28	808.0
2022-01-27	830.0
2022-01-26	855.0
2022-01-25	879.0
2022-01-24	903.0
2022-01-23	922.0
2022-01-22	940.0
2022-01-21	962.0
2022-01-20	996.0
2022-01-19	1010.0
2022-01-18	997.0
2022-01-17	977.0
2022-01-16	962.0
2022-01-15	968.0
2022-01-14	995.0
