data	vazao
2023-01-31	3063.583
2023-01-30	3342.077
2023-01-29	3598.221
2023-01-28	3673.297
2023-01-27	3197.907
2023-01-26	3019.301
2023-01-25	3037.722
2023-01-24	2769.504
2023-01-23	2452.857
2023-01-22	2480.101
2023-01-21	2429.112
2023-01-20	2517.75
2023-01-19	2762.388
2023-01-18	3059.884
2023-01-17	3445.987
2023-01-16	3697.128
2023-01-15	3764.97
2023-01-14	3797.059
2023-01-13	3645.568
2023-01-12	3372.738
2023-01-11	3209.2
2023-01-10	2848.251
2023-01-09	2459.657
2023-01-08	2067.756
2023-01-07	1321.272
2023-01-06	1216.092
2023-01-05	1189.364
2023-01-04	1028.368
2023-01-03	1051.86
2023-01-02	1095.755
2023-01-01	1181.769
2022-12-31	1216.092
2022-12-30	1313.368
2022-12-29	1359.059
2022-12-28	1399.27
2022-12-27	1755.955
2022-12-26	2209.621
2022-12-25	2368.463
2022-12-24	2538.378
2022-12-23	2705.706
2022-12-22	2311.724
2022-12-21	1528.805
2022-12-20	1270.218
2022-12-19	1319.294
2022-12-18	1518.367
2022-12-17	1723.184
2022-12-16	1562.39
2022-12-15	1343.1
2022-12-14	1219.928
2022-12-13	1092.071
2022-12-12	915.669
2022-12-11	931.218
2022-12-10	1035.575
2022-12-09	999.731
2022-12-08	964.366
2022-12-07	1008.647
2022-12-06	1003.294
2022-12-05	1030.168
2022-12-04	994.396
2022-12-03	992.62
2022-12-02	978.454
2022-12-01	873.001
2022-11-30	898.51
2022-11-29	886.571
2022-11-28	839.424
2022-11-27	798.156
2022-11-26	796.521
2022-11-25	722.723
2022-11-24	663.827
2022-11-23	714.866
2022-11-22	777.009
2022-11-21	856.15
2022-11-20	903.645
2022-11-19	881.473
2022-11-18	881.473
2022-11-17	786.742
2022-11-16	702.362
2022-11-15	653.185
2022-11-14	633.595
2022-11-13	586.34
2022-11-12	551.816
2022-11-11	547.556
2022-11-10	550.394
2022-11-09	567.541
2022-11-08	580.531
2022-11-07	595.095
2022-11-06	621.652
2022-11-05	654.701
2022-11-04	626.12
2022-11-03	650.156
2022-11-02	722.723
2022-11-01	713.298
2022-10-31	688.394
2022-10-30	682.221
2022-10-29	679.142
2022-10-28	673.0
2022-10-27	669.937
2022-10-26	647.133
2022-10-25	618.679
2022-10-24	645.624
2022-10-23	641.103
2022-10-22	644.115
2022-10-21	647.133
2022-10-20	647.133
2022-10-19	644.115
2022-10-18	627.612
2022-10-17	641.103
2022-10-16	666.879
2022-10-15	674.534
2022-10-14	644.115
2022-10-13	680.681
2022-10-12	705.48
2022-10-11	729.032
2022-10-10	727.453
2022-10-09	711.732
2022-10-08	689.941
2022-10-07	676.068
2022-10-06	680.681
2022-10-05	686.849
2022-10-04	668.408
2022-10-03	668.408
2022-10-02	669.937
2022-10-01	666.879
2022-09-30	676.068
2022-09-29	682.221
2022-09-28	673.0
2022-09-27	671.468
2022-09-26	666.879
2022-09-25	668.408
2022-09-24	666.879
2022-09-23	659.258
2022-09-22	688.394
2022-09-21	702.362
2022-09-20	699.249
2022-09-19	697.694
2022-09-18	697.694
2022-09-17	699.249
2022-09-16	700.805
2022-09-15	699.249
2022-09-14	697.694
2022-09-13	697.694
2022-09-12	697.694
2022-09-11	697.694
