ano	mes	dia	vazao
2023	1	31	3063.583
2023	1	30	3342.077
2023	1	29	3598.221
2023	1	28	3673.297
2023	1	27	3197.907
2023	1	26	3019.301
2023	1	25	3037.722
2023	1	24	2769.504
2023	1	23	2452.857
2023	1	22	2480.101
2023	1	21	2429.112
2023	1	20	2517.75
2023	1	19	2762.388
2023	1	18	3059.884
2023	1	17	3445.987
2023	1	16	3697.128
2023	1	15	3764.97
2023	1	14	3797.059
2023	1	13	3645.568
2023	1	12	3372.738
2023	1	11	3209.2
2023	1	10	2848.251
2023	1	9	2459.657
2023	1	8	2067.756
2023	1	7	1321.272
2023	1	6	1216.092
2023	1	5	1189.364
2023	1	4	1028.368
2023	1	3	1051.86
2023	1	2	1095.755
2023	1	1	1181.769
2022	12	31	1216.092
2022	12	30	1313.368
2022	12	29	1359.059
2022	12	28	1399.27
2022	12	27	1755.955
2022	12	26	2209.621
2022	12	25	2368.463
2022	12	24	2538.378
2022	12	23	2705.706
2022	12	22	2311.724
2022	12	21	1528.805
2022	12	20	1270.218
2022	12	19	1319.294
2022	12	18	1518.367
2022	12	17	1723.184
2022	12	16	1562.39
2022	12	15	1343.1
2022	12	14	1219.928
2022	12	13	1092.071
2022	12	12	915.669
2022	12	11	931.218
2022	12	10	1035.575
2022	12	9	999.731
2022	12	8	964.366
2022	12	7	1008.647
2022	12	6	1003.294
2022	12	5	1030.168
2022	12	4	994.396
2022	12	3	992.62
2022	12	2	978.454
2022	12	1	873.001
2022	11	30	898.51
2022	11	29	886.571
2022	11	28	839.424
2022	11	27	798.156
2022	11	26	796.521
2022	11	25	722.723
2022	11	24	663.827
2022	11	23	714.866
2022	11	22	777.009
2022	11	21	856.15
2022	11	20	903.645
2022	11	19	881.473
2022	11	18	881.473
2022	11	17	786.742
2022	11	16	702.362
2022	11	15	653.185
2022	11	14	633.595
2022	11	13	586.34
2022	11	12	551.816
2022	11	11	547.556
2022	11	10	550.394
2022	11	9	567.541
2022	11	8	580.531
2022	11	7	595.095
2022	11	6	621.652
2022	11	5	654.701
2022	11	4	626.12
2022	11	3	650.156
2022	11	2	722.723
2022	11	1	713.298
2022	10	31	688.394
2022	10	30	682.221
2022	10	29	679.142
2022	10	28	673.0
2022	10	27	669.937
2022	10	26	647.133
2022	10	25	618.679
2022	10	24	645.624
2022	10	23	641.103
2022	10	22	644.115
2022	10	21	647.133
2022	10	20	647.133
2022	10	19	644.115
2022	10	18	627.612
2022	10	17	641.103
2022	10	16	666.879
2022	10	15	674.534
2022	10	14	644.115
2022	10	13	680.681
2022	10	12	705.48
2022	10	11	729.032
2022	10	10	727.453
2022	10	9	711.732
2022	10	8	689.941
2022	10	7	676.068
2022	10	6	680.681
2022	10	5	686.849
2022	10	4	668.408
2022	10	3	668.408
2022	10	2	669.937
2022	10	1	666.879
2022	9	30	676.068
2022	9	29	682.221
2022	9	28	673.0
2022	9	27	671.468
2022	9	26	666.879
2022	9	25	668.408
2022	9	24	666.879
2022	9	23	659.258
2022	9	22	688.394
2022	9	21	702.362
2022	9	20	699.249
2022	9	19	697.694
2022	9	18	697.694
2022	9	17	699.249
2022	9	16	700.805
2022	9	15	699.249
2022	9	14	697.694
2022	9	13	697.694
2022	9	12	697.694
2022	9	11	697.694
2022	9	10	697.694
2022	9	9	696.141
2022	9	8	694.589
2022	9	7	694.589
2022	9	6	693.038
2022	9	5	688.394
2022	9	4	639.599
2022	9	3	515.315
2022	9	2	511.164
2022	9	1	512.546
2022	8	31	513.93
2022	8	30	515.315
2022	8	29	519.478
2022	8	28	522.261
2022	8	27	518.089
2022	8	26	518.089
2022	8	25	518.089
2022	8	24	518.089
2022	8	23	518.089
2022	8	22	520.869
2022	8	21	520.869
2022	8	20	522.261
2022	8	19	526.445
2022	8	18	532.044
2022	8	17	532.044
2022	8	16	532.044
2022	8	15	532.044
2022	8	14	532.044
2022	8	13	534.852
2022	8	12	536.258
2022	8	11	537.665
2022	8	10	541.896
2022	8	9	543.309
2022	8	8	543.309
2022	8	7	544.723
2022	8	6	546.139
2022	8	5	546.139
2022	8	4	546.139
2022	8	3	546.139
2022	8	2	546.139
2022	8	1	546.139
2022	7	31	546.139
2022	7	30	546.139
2022	7	29	546.139
2022	7	28	546.139
2022	7	27	547.556
2022	7	26	548.974
2022	7	25	548.974
2022	7	24	548.974
2022	7	23	551.816
2022	7	22	553.238
2022	7	21	551.816
2022	7	20	554.662
2022	7	19	554.662
2022	7	18	551.816
2022	7	17	551.816
2022	7	16	551.816
2022	7	15	553.238
2022	7	14	554.662
2022	7	13	554.662
2022	7	12	554.662
2022	7	11	554.662
2022	7	10	557.515
2022	7	9	560.372
2022	7	8	560.372
2022	7	7	561.804
2022	7	6	563.236
2022	7	5	561.804
2022	7	4	563.236
2022	7	3	564.67
2022	7	2	566.105
2022	7	1	566.105
2022	6	30	568.979
2022	6	29	568.979
2022	6	28	567.541
2022	6	27	568.979
2022	6	26	571.859
2022	6	25	574.744
2022	6	24	576.189
2022	6	23	581.982
2022	6	22	611.272
2022	6	21	642.608
2022	6	20	642.608
2022	6	19	645.624
2022	6	18	647.133
2022	6	17	648.644
2022	6	16	648.644
2022	6	15	648.644
2022	6	14	648.644
2022	6	13	651.67
2022	6	12	651.67
2022	6	11	653.185
2022	6	10	654.701
2022	6	9	656.219
2022	6	8	676.068
2022	6	7	696.141
2022	6	6	700.805
2022	6	5	702.362
2022	6	4	705.48
2022	6	3	685.305
2022	6	2	669.937
2022	6	1	669.937
2022	5	31	673.0
2022	5	30	676.068
2022	5	29	716.435
2022	5	28	759.283
2022	5	27	760.888
2022	5	26	780.248
2022	5	25	817.866
2022	5	24	821.169
2022	5	23	824.477
2022	5	22	826.132
2022	5	21	829.448
2022	5	20	832.768
2022	5	19	829.448
2022	5	18	831.107
2022	5	17	829.448
2022	5	16	827.789
2022	5	15	829.448
2022	5	14	854.472
2022	5	13	879.776
2022	5	12	903.645
2022	5	11	924.295
2022	5	10	878.081
2022	5	9	859.51
2022	5	8	864.56
2022	5	7	869.621
2022	5	6	881.473
2022	5	5	901.932
2022	5	4	920.841
2022	5	3	934.687
2022	5	2	936.423
2022	5	1	938.16
2022	4	30	939.899
2022	4	29	943.38
2022	4	28	945.122
2022	4	27	945.122
2022	4	26	952.103
2022	4	25	955.601
2022	4	24	959.103
2022	4	23	959.103
2022	4	22	927.754
2022	4	21	924.295
2022	4	20	957.351
2022	4	19	973.162
2022	4	18	987.299
2022	4	17	1001.512
2022	4	16	1019.386
2022	4	15	1008.647
2022	4	14	1021.18
2022	4	13	1005.077
2022	4	12	992.62
2022	4	11	996.173
2022	4	10	999.731
