dia	mes	ano	vazao
31	1	2023	3063.583
30	1	2023	3342.077
29	1	2023	3598.221
28	1	2023	3673.297
27	1	2023	3197.907
26	1	2023	3019.301
25	1	2023	3037.722
24	1	2023	2769.504
23	1	2023	2452.857
22	1	2023	2480.101
21	1	2023	2429.112
20	1	2023	2517.75
19	1	2023	2762.388
18	1	2023	3059.884
17	1	2023	3445.987
16	1	2023	3697.128
15	1	2023	3764.97
14	1	2023	3797.059
13	1	2023	3645.568
12	1	2023	3372.738
11	1	2023	3209.2
10	1	2023	2848.251
9	1	2023	2459.657
8	1	2023	2067.756
7	1	2023	1321.272
6	1	2023	1216.092
5	1	2023	1189.364
4	1	2023	1028.368
3	1	2023	1051.86
2	1	2023	1095.755
1	1	2023	1181.769
31	12	2022	1216.092
30	12	2022	1313.368
29	12	2022	1359.059
28	12	2022	1399.27
27	12	2022	1755.955
26	12	2022	2209.621
25	12	2022	2368.463
24	12	2022	2538.378
23	12	2022	2705.706
22	12	2022	2311.724
21	12	2022	1528.805
20	12	2022	1270.218
19	12	2022	1319.294
18	12	2022	1518.367
17	12	2022	1723.184
16	12	2022	1562.39
15	12	2022	1343.1
14	12	2022	1219.928
13	12	2022	1092.071
12	12	2022	915.669
11	12	2022	931.218
10	12	2022	1035.575
9	12	2022	999.731
8	12	2022	964.366
7	12	2022	1008.647
6	12	2022	1003.294
5	12	2022	1030.168
4	12	2022	994.396
3	12	2022	992.62
2	12	2022	978.454
1	12	2022	873.001
30	11	2022	898.51
29	11	2022	886.571
28	11	2022	839.424
27	11	2022	798.156
26	11	2022	796.521
25	11	2022	722.723
24	11	2022	663.827
23	11	2022	714.866
22	11	2022	777.009
21	11	2022	856.15
20	11	2022	903.645
19	11	2022	881.473
18	11	2022	881.473
17	11	2022	786.742
16	11	2022	702.362
15	11	2022	653.185
14	11	2022	633.595
13	11	2022	586.34
12	11	2022	551.816
11	11	2022	547.556
10	11	2022	550.394
9	11	2022	567.541
8	11	2022	580.531
7	11	2022	595.095
6	11	2022	621.652
5	11	2022	654.701
4	11	2022	626.12
3	11	2022	650.156
2	11	2022	722.723
1	11	2022	713.298
31	10	2022	688.394
30	10	2022	682.221
29	10	2022	679.142
28	10	2022	673.0
27	10	2022	669.937
26	10	2022	647.133
25	10	2022	618.679
24	10	2022	645.624
23	10	2022	641.103
22	10	2022	644.115
21	10	2022	647.133
20	10	2022	647.133
19	10	2022	644.115
18	10	2022	627.612
17	10	2022	641.103
16	10	2022	666.879
15	10	2022	674.534
14	10	2022	644.115
13	10	2022	680.681
12	10	2022	705.48
11	10	2022	729.032
10	10	2022	727.453
9	10	2022	711.732
8	10	2022	689.941
7	10	2022	676.068
6	10	2022	680.681
5	10	2022	686.849
4	10	2022	668.408
3	10	2022	668.408
2	10	2022	669.937
1	10	2022	666.879
30	9	2022	676.068
29	9	2022	682.221
28	9	2022	673.0
27	9	2022	671.468
26	9	2022	666.879
25	9	2022	668.408
24	9	2022	666.879
23	9	2022	659.258
22	9	2022	688.394
21	9	2022	702.362
20	9	2022	699.249
19	9	2022	697.694
18	9	2022	697.694
17	9	2022	699.249
16	9	2022	700.805
15	9	2022	699.249
14	9	2022	697.694
13	9	2022	697.694
12	9	2022	697.694
11	9	2022	697.694
10	9	2022	697.694
9	9	2022	696.141
8	9	2022	694.589
7	9	2022	694.589
6	9	2022	693.038
5	9	2022	688.394
4	9	2022	639.599
3	9	2022	515.315
2	9	2022	511.164
1	9	2022	512.546
31	8	2022	513.93
30	8	2022	515.315
29	8	2022	519.478
28	8	2022	522.261
27	8	2022	518.089
26	8	2022	518.089
25	8	2022	518.089
24	8	2022	518.089
23	8	2022	518.089
22	8	2022	520.869
21	8	2022	520.869
20	8	2022	522.261
19	8	2022	526.445
18	8	2022	532.044
17	8	2022	532.044
16	8	2022	532.044
15	8	2022	532.044
14	8	2022	532.044
13	8	2022	534.852
12	8	2022	536.258
11	8	2022	537.665
10	8	2022	541.896
9	8	2022	543.309
8	8	2022	543.309
7	8	2022	544.723
6	8	2022	546.139
5	8	2022	546.139
4	8	2022	546.139
3	8	2022	546.139
2	8	2022	546.139
1	8	2022	546.139
31	7	2022	546.139
30	7	2022	546.139
29	7	2022	546.139
28	7	2022	546.139
27	7	2022	547.556
26	7	2022	548.974
