ano	mes	dia	cota
2023	1	31	282.0
2023	1	30	306.0
2023	1	29	336.0
2023	1	28	370.0
2023	1	27	438.0
2023	1	26	498.0
2023	1	25	410.0
2023	1	24	316.0
2023	1	23	348.0
2023	1	22	315.0
2023	1	21	328.0
2023	1	20	330.0
2023	1	19	298.0
2023	1	18	266.0
2023	1	17	272.0
2023	1	16	288.0
2023	1	15	328.0
2023	1	14	392.0
2023	1	13	438.0
2023	1	12	530.0
2023	1	11	588.0
2023	1	10	598.0
2023	1	9	624.0
2023	1	8	640.0
2023	1	7	538.0
2023	1	6	372.0
2023	1	5	315.0
2023	1	4	384.0
2023	1	3	350.0
2023	1	2	250.0
2023	1	1	248.0
2022	12	31	240.0
2022	12	30	259.0
2022	12	29	274.0
2022	12	28	259.0
2022	12	27	290.0
2022	12	26	245.0
2022	12	25	325.0
2022	12	24	368.0
2022	12	23	417.0
2022	12	22	458.0
2022	12	21	332.0
2022	12	20	193.0
2022	12	19	191.0
2022	12	18	188.0
2022	12	17	197.0
2022	12	16	214.0
2022	12	15	227.0
2022	12	14	253.0
2022	12	13	268.0
2022	12	12	204.0
2022	12	11	235.0
2022	12	10	257.0
2022	12	9	250.0
2022	12	8	251.0
2022	12	7	186.0
2022	12	6	196.0
2022	12	5	208.0
2022	12	4	212.0
2022	12	3	255.0
2022	12	2	262.0
2022	12	1	270.0
2022	10	31	163.0
2022	10	30	156.0
2022	10	29	166.0
2022	10	28	179.0
2022	10	27	199.0
2022	10	26	225.0
2022	10	25	212.0
2022	10	24	164.0
2022	10	23	145.0
2022	10	22	138.0
2022	10	21	135.0
2022	10	20	132.0
2022	10	19	131.0
2022	10	18	131.0
2022	10	17	133.0
2022	10	16	134.0
2022	10	15	136.0
2022	10	14	138.0
2022	10	13	139.0
2022	10	12	141.0
2022	10	11	148.0
2022	10	10	158.0
2022	10	9	188.0
2022	10	8	207.0
2022	10	7	220.0
2022	10	6	240.0
2022	10	5	217.0
2022	10	4	169.0
2022	10	3	158.0
2022	10	2	157.0
2022	10	1	157.0
2022	9	30	143.0
2022	9	29	141.0
2022	9	28	138.0
2022	9	27	145.0
2022	9	26	139.0
2022	9	25	133.0
2022	9	24	128.0
2022	9	23	132.0
2022	9	22	130.0
2022	9	21	126.0
2022	9	20	125.0
2022	9	19	125.0
2022	9	18	135.0
2022	9	17	129.0
2022	9	16	127.0
2022	9	15	126.0
2022	9	14	125.0
2022	9	13	126.0
2022	9	12	126.0
2022	9	11	124.0
2022	9	10	126.0
2022	9	9	126.0
2022	9	8	126.0
2022	9	7	126.0
2022	9	6	126.0
2022	9	5	127.0
2022	9	4	128.0
2022	9	3	128.0
2022	9	2	129.0
2022	9	1	129.0
2022	8	31	129.0
2022	8	30	130.0
2022	8	29	131.0
2022	8	28	135.0
2022	8	27	146.0
2022	8	26	144.0
2022	8	25	133.0
2022	8	24	129.0
2022	8	23	128.0
2022	8	22	129.0
2022	8	21	130.0
2022	8	20	131.0
2022	8	19	132.0
2022	8	18	133.0
2022	8	17	133.0
2022	8	16	135.0
2022	8	15	135.0
2022	8	14	136.0
2022	8	13	137.0
2022	8	12	137.0
2022	8	11	138.0
2022	8	10	139.0
2022	8	9	141.0
2022	8	8	140.0
2022	8	7	140.0
2022	8	6	141.0
2022	8	5	141.0
2022	8	4	141.0
2022	8	3	142.0
2022	8	2	142.0
2022	8	1	142.0
2022	7	31	143.0
2022	7	30	144.0
2022	7	29	144.0
2022	7	28	144.0
2022	7	27	144.0
2022	7	26	144.0
2022	7	25	145.0
2022	7	24	146.0
2022	7	23	146.0
2022	7	22	145.0
2022	7	21	145.0
2022	7	20	146.0
2022	7	19	147.0
2022	7	18	146.0
2022	7	17	147.0
2022	7	16	147.0
2022	7	15	148.0
2022	7	14	148.0
2022	7	13	149.0
2022	7	12	150.0
2022	7	11	152.0
2022	7	10	151.0
2022	7	9	151.0
2022	7	8	151.0
2022	7	7	152.0
2022	7	6	150.0
2022	7	5	150.0
2022	7	4	151.0
2022	7	3	147.0
2022	7	2	145.0
2022	7	1	145.0
2022	6	30	142.0
2022	6	29	144.0
2022	6	28	144.0
2022	6	27	146.0
2022	6	26	146.0
2022	6	25	148.0
2022	6	24	150.0
2022	6	23	148.0
2022	6	22	152.0
2022	6	21	150.0
2022	6	20	152.0
2022	6	19	150.0
2022	6	18	154.0
2022	6	17	154.0
2022	6	16	155.0
2022	6	15	155.0
2022	6	14	156.0
2022	6	13	158.0
2022	6	12	158.0
2022	6	11	160.0
2022	6	10	160.0
2022	6	9	164.0
2022	6	8	162.0
2022	6	7	166.0
2022	6	6	168.0
2022	6	5	166.0
2022	6	4	170.0
2022	6	3	174.0
2022	6	2	170.0
2022	6	1	170.0
2022	5	31	171.0
2022	5	30	170.0
2022	5	29	171.0
2022	5	28	171.0
2022	5	27	173.0
2022	5	26	175.0
2022	5	25	173.0
2022	5	24	175.0
2022	5	23	173.0
2022	5	22	172.0
2022	5	21	176.0
2022	5	20	182.0
2022	5	19	189.0
2022	5	18	190.0
