data	vazao
2022-03-03	
2022-03-02	
2022-03-01	
2022-02-28	165.185
2022-02-27	203.561
2022-02-26	212.212
2022-02-25	198.424
2022-02-24	224.506
2022-02-23	273.863
2022-02-22	364.542
2022-02-21	447.375
2022-02-20	411.696
2022-02-19	281.427
2022-02-18	231.626
2022-02-17	348.207
2022-02-16	494.079
2022-02-15	318.208
2022-02-14	231.626
2022-02-13	342.141
2022-02-12	350.236
2022-02-11	387.374
2022-02-10	320.182
2022-02-09	242.434
2022-02-08	242.434
2022-02-07	246.07
2022-02-06	262.636
2022-02-05	191.33
2022-02-04	193.328
2022-02-03	187.598
2022-02-02	155.819
2022-02-01	135.645
2022-01-31	131.795
2022-01-30	125.017
2022-01-29	114.158
2022-01-28	119.882
2022-01-27	121.337
2022-01-26	125.761
2022-01-25	122.802
2022-01-24	118.436
2022-01-23	134.87
2022-01-22	159.19
2022-01-21	159.19
2022-01-20	169.542
2022-01-19	193.328
2022-01-18	198.424
2022-01-17	213.955
2022-01-16	240.622
2022-01-15	279.53
2022-01-14	374.867
2022-01-13	632.63
2022-01-12	745.11
2022-01-11	849.711
2022-01-10	670.733
2022-01-09	512.243
2022-01-08	352.269
2022-01-07	198.424
2022-01-06	212.212
2022-01-05	247.894
2022-01-04	273.863
2022-01-03	268.232
2022-01-02	279.53
2022-01-01	247.894
2021-12-31	266.362
2021-12-30	275.748
2021-12-29	123.538
2021-12-28	87.829
2021-12-27	87.829
2021-12-26	95.33
2021-12-25	107.219
2021-12-24	99.208
2021-12-23	95.33
2021-12-22	112.751
2021-12-21	126.506
2021-12-20	150.836
2021-12-19	195.023
2021-12-18	160.89
2021-12-17	189.459
2021-12-16	207.008
2021-12-15	210.473
2021-12-14	241.527
2021-12-13	95.33
2021-12-12	113.453
2021-12-11	131.032
2021-12-10	169.542
2021-12-09	101.84
2021-12-08	107.902
2021-12-07	103.171
2021-12-06	111.354
2021-12-05	162.6
2021-12-04	134.87
2021-12-03	134.87
2021-12-02	114.158
2021-12-01	99.208
2021-11-30	117.001
2021-11-29	137.985
