ano	mes	dia	vazao
2022	3	3	
2022	3	2	
2022	3	1	
2022	2	28	165.185
2022	2	27	203.561
2022	2	26	212.212
2022	2	25	198.424
2022	2	24	224.506
2022	2	23	273.863
2022	2	22	364.542
2022	2	21	447.375
2022	2	20	411.696
2022	2	19	281.427
2022	2	18	231.626
2022	2	17	348.207
2022	2	16	494.079
2022	2	15	318.208
2022	2	14	231.626
2022	2	13	342.141
2022	2	12	350.236
2022	2	11	387.374
2022	2	10	320.182
2022	2	9	242.434
2022	2	8	242.434
2022	2	7	246.07
2022	2	6	262.636
2022	2	5	191.33
2022	2	4	193.328
2022	2	3	187.598
2022	2	2	155.819
2022	2	1	135.645
2022	1	31	131.795
2022	1	30	125.017
2022	1	29	114.158
2022	1	28	119.882
2022	1	27	121.337
2022	1	26	125.761
2022	1	25	122.802
2022	1	24	118.436
2022	1	23	134.87
2022	1	22	159.19
2022	1	21	159.19
2022	1	20	169.542
2022	1	19	193.328
2022	1	18	198.424
2022	1	17	213.955
2022	1	16	240.622
2022	1	15	279.53
2022	1	14	374.867
2022	1	13	632.63
2022	1	12	745.11
2022	1	11	849.711
2022	1	10	670.733
2022	1	9	512.243
2022	1	8	352.269
2022	1	7	198.424
2022	1	6	212.212
2022	1	5	247.894
2022	1	4	273.863
2022	1	3	268.232
2022	1	2	279.53
2022	1	1	247.894
2021	12	31	266.362
2021	12	30	275.748
2021	12	29	123.538
2021	12	28	87.829
2021	12	27	87.829
2021	12	26	95.33
2021	12	25	107.219
2021	12	24	99.208
2021	12	23	95.33
2021	12	22	112.751
2021	12	21	126.506
2021	12	20	150.836
2021	12	19	195.023
2021	12	18	160.89
2021	12	17	189.459
2021	12	16	207.008
2021	12	15	210.473
2021	12	14	241.527
2021	12	13	95.33
2021	12	12	113.453
2021	12	11	131.032
2021	12	10	169.542
2021	12	9	101.84
2021	12	8	107.902
2021	12	7	103.171
2021	12	6	111.354
2021	12	5	162.6
2021	12	4	134.87
2021	12	3	134.87
2021	12	2	114.158
2021	12	1	99.208
2021	11	30	117.001
2021	11	29	137.985
2021	11	28	193.328
2021	11	27	73.837
2021	11	26	60.172
2021	11	25	65.245
2021	11	24	74.393
2021	11	23	97.906
2021	11	22	117.717
2021	11	21	90.292
2021	11	20	67.338
2021	11	19	65.245
2021	11	18	71.634
2021	11	17	76.076
2021	11	16	87.22
2021	11	15	113.453
2021	11	14	128.005
2021	11	13	139.557
2021	11	12	147.564
2021	11	11	145.943
2021	11	10	112.751
2021	11	9	66.287
2021	11	8	74.393
2021	11	7	69.468
2021	11	6	87.829
2021	11	5	114.158
2021	11	4	195.023
2021	11	3	233.417
2021	11	2	159.19
2021	11	1	71.634
2021	10	31	63.189
2021	10	30	79.505
2021	10	29	81.837
2021	10	28	66.812
2021	10	27	69.468
2021	10	26	67.338
2021	10	25	73.837
2021	10	24	85.404
2021	10	23	103.171
2021	10	22	103.171
2021	10	21	109.966
2021	10	20	116.286
2021	10	19	84.804
2021	10	18	67.867
2021	10	17	77.78
2021	10	16	89.056
2021	10	15	117.001
2021	10	14	176.644
2021	10	13	259.852
2021	10	12	200.132
2021	10	11	83.017
2021	10	10	63.189
2021	10	9	59.184
2021	10	8	59.184
2021	10	7	84.206
2021	10	6	104.51
2021	10	5	91.537
2021	10	4	96.613
2021	10	3	36.994
2021	10	2	27.846
2021	10	1	25.009
2021	9	30	27.522
2021	9	29	26.249
2021	9	28	24.401
2021	9	27	20.377
2021	9	26	19.3
2021	9	25	19.3
2021	9	24	19.834
2021	9	23	21.768
2021	9	22	23.802
2021	9	21	20.927
2021	9	20	22.628
2021	9	19	27.522
2021	9	18	23.802
2021	9	17	27.522
2021	9	16	22.053
2021	9	15	30.169
2021	9	14	29.494
2021	9	13	25.009
2021	9	12	25.009
2021	9	11	25.009
2021	9	10	25.009
2021	9	9	26.881
2021	9	8	26.881
2021	9	7	27.522
2021	9	6	27.522
2021	9	5	28.499
2021	9	4	28.829
2021	9	3	26.881
2021	9	2	26.881
2021	9	1	29.494
2021	8	31	26.881
2021	8	30	27.522
2021	8	29	26.881
2021	8	28	25.625
2021	8	27	28.829
2021	8	26	34.39
2021	8	25	28.171
2021	8	24	26.249
2021	8	23	31.542
2021	8	22	35.866
2021	8	21	37.375
2021	8	20	40.497
2021	8	19	38.529
2021	8	18	33.666
2021	8	17	30.169
2021	8	16	30.169
2021	8	15	31.195
2021	8	14	27.522
2021	8	13	29.494
2021	8	12	27.846
2021	8	11	28.171
2021	8	10	28.829
2021	8	9	30.169
2021	8	8	28.829
2021	8	7	29.494
2021	8	6	29.83
2021	8	5	29.494
2021	8	4	29.494
2021	8	3	28.829
2021	8	2	28.829
2021	8	1	27.522
2021	7	31	29.494
2021	7	30	28.829
