ano	mes	dia	cota
2020	8	31	83.0
2020	8	30	86.5
2020	8	29	83.0
2020	8	28	83.0
2020	8	27	81.5
2020	8	26	80.5
2020	8	25	88.5
2020	8	24	79.5
2020	8	23	82.0
2020	8	22	84.0
2020	8	21	85.5
2020	8	20	85.0
2020	8	19	90.0
2020	8	18	91.0
2020	8	17	87.5
2020	8	16	91.0
2020	8	15	90.0
2020	8	14	91.0
2020	8	13	91.0
2020	8	12	90.0
2020	8	11	91.5
2020	8	10	90.0
2020	8	9	91.5
2020	8	8	91.5
2020	8	7	94.0
2020	8	6	88.5
2020	8	5	97.5
2020	8	4	94.5
2020	8	3	88.0
2020	8	2	97.5
2020	8	1	95.5
2020	7	31	98.0
2020	7	30	93.5
2020	7	29	94.0
2020	7	28	97.0
2020	7	27	97.5
2020	7	26	96.0
2020	7	25	94.5
2020	7	24	98.5
2020	7	23	97.0
2020	7	22	94.5
2020	7	21	95.5
2020	7	20	93.0
2020	7	19	90.5
2020	7	18	93.0
2020	7	17	94.0
2020	7	16	97.0
2020	7	15	97.0
2020	7	14	95.0
2020	7	13	96.0
2020	7	12	97.0
2020	7	11	100.5
2020	7	10	100.5
2020	7	9	105.0
2020	7	8	108.0
2020	7	7	108.5
2020	7	6	98.0
2020	7	5	97.0
2020	7	4	99.0
2020	7	3	102.0
2020	7	2	98.0
2020	7	1	99.0
2020	6	30	97.0
2020	6	29	98.5
2020	6	28	96.0
2020	6	27	99.0
2020	6	26	98.5
2020	6	25	98.5
2020	6	24	102.0
2020	6	23	100.5
2020	6	22	98.0
2020	6	21	104.0
2020	6	20	103.0
2020	6	19	102.0
2020	6	18	103.0
2020	6	17	102.5
2020	6	16	102.0
2020	6	15	103.0
2020	6	14	104.0
2020	6	13	106.0
2020	6	12	103.5
2020	6	11	104.0
2020	6	10	103.5
2020	6	9	105.0
2020	6	8	105.5
2020	6	7	105.5
2020	6	6	105.0
2020	6	5	105.0
2020	6	4	105.5
2020	6	3	106.5
