data	cota
2023-04-30	118.0
2023-04-29	90.0
2023-04-28	88.0
2023-04-27	84.0
2023-04-26	84.0
2023-04-25	84.0
2023-04-24	84.0
2023-04-23	86.0
2023-04-22	86.0
2023-04-21	88.0
2023-04-20	88.0
2023-04-19	88.0
2023-04-18	90.0
2023-04-17	96.0
2023-04-16	92.0
2023-04-15	82.0
2023-04-14	80.0
2023-04-13	80.0
2023-04-12	80.0
2023-04-11	82.0
2023-04-10	84.0
2023-04-09	88.0
2023-04-08	84.0
2023-04-07	82.0
2023-04-06	82.0
2023-04-05	82.0
2023-04-04	82.0
2023-04-03	84.0
2023-04-02	86.0
2023-04-01	84.0
2023-03-31	84.0
2023-03-30	82.0
2023-03-29	84.0
2023-03-28	84.0
2023-03-27	90.0
2023-03-26	90.0
2023-03-25	90.0
2023-03-24	92.0
2023-03-23	92.0
2023-03-22	94.0
2023-03-21	98.0
2023-03-20	100.0
2023-03-19	104.0
2023-03-18	104.0
2023-03-17	102.0
2023-03-16	100.0
2023-03-15	92.0
2023-03-14	92.0
2023-03-13	92.0
2023-03-12	92.0
2023-03-11	92.0
2023-03-10	94.0
2023-03-09	96.0
2023-03-08	96.0
2023-03-07	98.0
2023-03-06	98.0
2023-03-05	100.0
2023-03-04	112.0
2023-03-03	114.0
2023-03-02	116.0
2023-03-01	118.0
2023-01-31	170.0
2023-01-30	184.0
2023-01-29	220.0
2023-01-28	340.0
2023-01-27	350.0
2023-01-26	290.0
2023-01-25	255.0
2023-01-24	230.0
2023-01-23	258.0
2023-01-22	230.0
2023-01-21	190.0
2023-01-20	170.0
2023-01-19	156.0
2023-01-18	150.0
2023-01-17	158.0
2023-01-16	172.0
2023-01-15	182.0
2023-01-14	220.0
2023-01-13	254.0
2023-01-12	280.0
2023-01-11	260.0
2023-01-10	300.0
2023-01-09	430.0
2023-01-08	320.0
2023-01-07	230.0
2023-01-06	140.0
2023-01-05	112.0
2023-01-04	116.0
2023-01-03	117.0
2023-01-02	120.0
2023-01-01	122.0
2022-12-31	129.0
2022-12-30	136.0
2022-12-29	149.0
2022-12-28	162.0
2022-12-27	182.0
2022-12-26	195.0
2022-12-25	164.0
2022-12-24	185.0
2022-12-23	213.0
2022-12-22	165.0
2022-12-21	136.0
2022-12-20	127.0
2022-12-19	120.0
2022-12-18	121.0
2022-12-17	133.0
2022-12-16	154.0
2022-12-15	155.0
2022-12-14	141.0
2022-12-13	140.0
2022-12-12	137.0
2022-12-11	143.0
2022-12-10	162.0
2022-12-09	155.0
2022-12-08	128.0
2022-12-07	128.0
2022-12-06	135.0
2022-12-05	149.0
2022-12-04	162.0
2022-12-03	133.0
2022-12-02	145.0
2022-12-01	139.0
2022-11-30	120.0
2022-11-29	126.0
2022-11-28	138.0
2022-11-27	147.0
2022-11-26	140.0
2022-11-25	115.0
2022-11-24	100.0
2022-11-23	106.0
2022-11-22	102.0
2022-11-21	106.0
2022-11-20	122.0
2022-11-19	147.0
2022-11-18	185.0
2022-11-17	194.0
2022-11-16	131.0
2022-11-15	104.0
2022-11-14	101.0
2022-11-13	88.0
2022-11-12	90.0
2022-11-11	74.0
2022-11-10	66.0
2022-11-09	66.0
2022-11-08	70.0
2022-11-07	78.0
2022-11-06	80.0
2022-11-05	80.0
2022-11-04	90.0
2022-11-03	86.0
2022-11-02	80.0
2022-11-01	66.0
2022-10-31	70.0
2022-10-30	72.0
2022-10-29	74.0
2022-10-28	73.0
2022-10-27	79.0
2022-10-26	82.0
2022-10-25	68.0
2022-10-24	66.0
2022-10-23	68.0
