ano	mes	dia	vazao
2023	1	31	2216.75
2023	1	30	2713.995
2023	1	29	3098.139
2023	1	28	3213.664
2023	1	27	2848.022
2023	1	26	2785.262
2023	1	25	2464.183
2023	1	24	2485.837
2023	1	23	2314.033
2023	1	22	2000.996
2023	1	21	1559.9
2023	1	20	1402.484
2023	1	19	1547.907
2023	1	18	1735.046
2023	1	17	1799.234
2023	1	16	2162.261
2023	1	15	2749.567
2023	1	14	3306.889
2023	1	13	3725.358
2023	1	12	4294.503
2023	1	11	4434.094
2023	1	10	4077.252
2023	1	9	3433.864
2023	1	8	2608.028
2023	1	7	2103.988
2023	1	6	1527.985
2023	1	5	1306.888
2023	1	4	1144.044
2023	1	3	1061.755
2023	1	2	1288.032
2023	1	1	1325.832
2022	12	31	1441.328
2022	12	30	1697.891
2022	12	29	1811.177
2022	12	28	1787.312
2022	12	27	1964.259
2022	12	26	2141.401
2022	12	25	2870.527
2022	12	24	3514.461
2022	12	23	3297.535
2022	12	22	2696.256
2022	12	21	2021.484
2022	12	20	1437.429
2022	12	19	1329.631
2022	12	18	1527.985
2022	12	17	1535.944
2022	12	16	1851.139
2022	12	15	1520.04
2022	12	14	1531.963
2022	12	13	1213.502
2022	12	12	1158.556
2022	12	11	1456.962
2022	12	10	1371.656
2022	12	9	1291.796
2022	12	8	1269.265
2022	12	7	1333.434
2022	12	6	1520.04
2022	12	5	1710.247
2022	12	4	1767.488
2022	12	3	1726.767
2022	12	2	1363.984
2022	12	1	1217.195
2022	11	30	1402.484
2022	11	29	1394.756
2022	11	28	988.378
2022	11	27	950.627
2022	11	26	860.009
2022	11	25	678.662
2022	11	24	609.519
2022	11	23	612.475
2022	11	22	889.889
2022	11	21	950.627
2022	11	20	1198.77
2022	11	19	1379.342
2022	11	18	1356.325
2022	11	17	1051.169
2022	11	16	930.237
2022	11	15	747.007
2022	11	14	750.164
2022	11	13	618.401
2022	11	12	486.902
2022	11	11	406.802
2022	11	10	446.271
2022	11	9	580.215
2022	11	8	559.982
2022	11	7	624.345
2022	11	6	554.244
2022	11	5	565.74
2022	11	4	565.74
2022	11	3	523.029
2022	11	2	371.049
2022	11	1	331.514
2022	10	31	356.055
2022	10	30	373.567
2022	10	29	396.479
2022	10	28	361.03
2022	10	27	351.101
2022	10	26	346.17
2022	10	25	279.566
2022	10	24	252.464
2022	10	23	263.648
2022	10	22	272.707
2022	10	21	281.865
2022	10	20	284.17
2022	10	19	307.547
2022	10	18	309.917
2022	10	17	331.514
2022	10	16	329.091
2022	10	15	358.54
2022	10	14	406.802
2022	10	13	448.944
2022	10	12	473.231
2022	10	11	486.902
2022	10	10	609.519
2022	10	9	606.568
2022	10	8	580.215
2022	10	7	495.165
2022	10	6	465.089
2022	10	5	386.241
2022	10	4	391.349
2022	10	3	366.029
2022	10	2	371.049
2022	10	1	333.942
2022	9	30	309.917
2022	9	29	305.182
2022	9	28	288.797
2022	9	27	268.165
2022	9	26	298.124
2022	9	25	274.987
2022	9	24	279.566
2022	9	23	268.165
2022	9	22	284.17
2022	9	21	366.029
2022	9	20	274.987
2022	9	19	284.17
2022	9	18	245.829
2022	9	17	232.733
2022	9	16	245.829
2022	9	15	254.688
2022	9	14	272.707
2022	9	13	239.252
2022	9	12	261.399
2022	9	11	252.464
2022	9	10	256.919
2022	9	9	254.688
2022	9	8	261.399
2022	9	7	268.165
2022	9	6	288.797
2022	9	5	254.688
2022	9	4	270.433
2022	9	3	254.688
2022	9	2	265.904
2022	9	1	248.034
2022	8	31	341.262
2022	8	30	295.784
2022	8	29	295.784
2022	8	28	277.274
2022	8	27	270.433
2022	8	26	270.433
2022	8	25	286.48
2022	8	24	321.857
2022	8	23	274.987
2022	8	22	298.124
2022	8	21	331.514
2022	8	20	305.182
2022	8	19	307.547
2022	8	18	279.566
2022	8	17	302.824
2022	8	16	312.294
2022	8	15	307.547
2022	8	14	259.155
2022	8	13	329.091
2022	8	12	277.274
2022	8	11	312.294
2022	8	10	291.12
2022	8	9	288.797
2022	8	8	317.064
2022	8	7	326.674
2022	8	6	336.376
2022	8	5	329.091
2022	8	4	321.857
2022	8	3	346.17
2022	8	2	338.816
2022	8	1	356.055
2022	7	31	309.917
2022	7	30	366.029
2022	7	29	361.03
2022	7	28	353.575
2022	7	27	346.17
2022	7	26	358.54
2022	7	25	401.63
2022	7	24	356.055
2022	7	23	348.633
2022	7	22	366.029
2022	7	21	368.536
2022	7	20	368.536
2022	7	19	386.241
2022	7	18	388.793
2022	7	17	401.63
2022	7	16	353.575
2022	7	15	406.802
2022	7	14	376.091
2022	7	13	366.029
2022	7	12	391.349
2022	7	11	391.349
2022	7	10	391.349
2022	7	9	393.911
2022	7	8	391.349
2022	7	7	391.349
2022	7	6	406.802
2022	7	5	443.603
2022	7	4	411.996
2022	7	3	411.996
2022	7	2	406.802
2022	7	1	396.479
2022	6	30	401.63
2022	6	29	404.213
2022	6	28	419.827
2022	6	27	411.996
2022	6	26	422.448
2022	6	25	465.089
2022	6	24	432.983
2022	6	23	446.271
2022	6	22	406.802
2022	6	21	417.211
2022	6	20	427.705
2022	6	19	448.944
2022	6	18	451.622
2022	6	17	438.283
2022	6	16	435.63
2022	6	15	470.512
2022	6	14	425.074
2022	6	13	438.283
2022	6	12	425.074
2022	6	11	435.63
2022	6	10	438.283
2022	6	9	438.283
2022	6	8	446.271
2022	6	7	467.798
2022	6	6	467.798
2022	6	5	500.698
2022	6	4	478.684
2022	6	3	503.472
2022	6	2	481.419
2022	6	1	509.035
2022	5	31	481.419
2022	5	30	525.843
2022	5	29	459.687
2022	5	28	495.165
2022	5	27	478.684
2022	5	26	478.684
2022	5	25	481.419
2022	5	24	500.698
2022	5	23	481.419
2022	5	22	509.035
2022	5	21	446.271
2022	5	20	520.221
2022	5	19	517.417
2022	5	18	531.484
2022	5	17	523.029
2022	5	16	542.826
2022	5	15	539.983
2022	5	14	523.029
2022	5	13	531.484
2022	5	12	557.111
2022	5	11	603.621
2022	5	10	618.401
2022	5	9	594.809
2022	5	8	548.525
2022	5	7	506.251
2022	5	6	542.826
2022	5	5	537.145
2022	5	4	551.383
2022	5	3	571.516
2022	5	2	577.311
2022	5	1	571.516
2022	4	30	551.383
2022	4	29	557.111
2022	4	28	606.568
2022	4	27	627.324
2022	4	26	627.324
2022	4	25	630.308
2022	4	24	672.555
2022	4	23	636.289
2022	4	22	657.365
2022	4	21	694.008
2022	4	20	700.178
2022	4	19	772.381
2022	4	18	820.688
2022	4	17	801.251
2022	4	16	785.17
2022	4	15	681.723
2022	4	14	684.787
2022	4	13	703.269
2022	4	12	697.091
2022	4	11	718.792
2022	4	10	700.178
2022	4	9	712.57
2022	4	8	725.032
2022	4	7	734.424
2022	4	6	642.288
2022	4	5	709.465
2022	4	4	675.607
2022	4	3	678.662
2022	4	2	725.032
2022	4	1	728.158
2022	3	31	675.607
2022	3	30	743.855
2022	3	29	728.158
2022	3	28	728.158
2022	3	27	778.767
2022	3	26	830.462
2022	3	25	759.66
2022	3	24	753.325
2022	3	23	873.248
2022	3	22	721.91
2022	3	21	804.48
2022	3	20	791.59
2022	3	19	883.22
2022	3	18	853.414
2022	3	17	923.472
2022	3	16	913.355
2022	3	15	947.219
2022	3	14	950.627
2022	3	13	954.04
2022	3	12	1040.617
2022	3	11	1065.291
2022	3	10	1086.589
2022	3	9	1040.617
2022	3	8	1165.835
2022	3	7	1162.194
2022	3	6	1220.891
2022	3	5	1280.515
2022	3	4	1394.756
2022	3	3	1383.19
2022	3	2	1516.072
2022	3	1	1632.483
2022	2	28	1685.563
2022	2	27	1923.654
2022	2	26	2170.621
2022	2	25	2477.169
2022	2	24	2643.225
2022	2	23	2970.105
2022	2	22	3600.341
2022	2	21	4038.033
2022	2	20	3856.38
2022	2	19	3448.051
2022	2	18	2803.155
2022	2	17	2902.112
2022	2	16	3144.213
2022	2	15	3144.213
2022	2	14	3701.228
2022	2	13	4126.398
2022	2	12	4151.022
2022	2	11	2906.632
2022	2	10	2572.956
2022	2	9	2128.91
2022	2	8	1795.257
2022	2	7	1710.247
