ano	mes	dia	cota
2020	11	30	107.0
2020	11	29	123.0
2020	11	28	127.0
2020	11	27	139.0
2020	11	26	136.0
2020	11	25	138.0
2020	11	24	147.0
2020	11	23	157.0
2020	11	22	164.0
2020	11	21	162.0
2020	11	20	182.0
2020	11	19	180.0
2020	11	18	195.0
2020	11	17	230.0
2020	11	16	199.0
2020	11	15	142.0
2020	11	14	121.0
2020	11	13	107.0
2020	11	12	120.0
2020	11	11	130.0
2020	11	10	145.0
2020	11	9	156.0
2020	11	8	159.0
2020	11	7	160.0
2020	11	6	168.0
2020	11	5	184.0
2020	11	4	195.0
2020	11	3	228.0
2020	11	2	214.0
2020	11	1	207.0
2020	10	31	185.0
2020	10	30	174.0
2020	10	29	170.0
2020	10	28	164.0
2020	10	27	160.0
2020	10	26	157.0
2020	10	25	141.0
2020	10	24	119.0
2020	10	23	98.0
2020	10	22	81.0
2020	10	21	83.0
2020	10	20	74.0
2020	10	19	69.0
2020	10	18	70.0
2020	10	17	70.0
2020	10	16	68.0
2020	10	15	65.0
2020	10	14	60.0
2020	10	13	54.0
2020	10	12	50.0
2020	10	11	44.0
2020	10	10	40.0
2020	10	9	40.0
2020	10	8	38.0
2020	10	7	37.0
2020	10	6	36.0
2020	10	5	35.0
2020	10	4	31.0
2020	10	3	32.0
2020	10	2	33.0
2020	10	1	36.0
2020	9	30	42.0
2020	9	29	36.0
2020	9	28	30.0
2020	9	27	28.0
2020	9	26	36.0
2020	9	25	38.0
2020	9	24	40.0
2020	9	23	33.0
2020	9	22	30.0
2020	9	21	28.0
2020	9	20	22.0
2020	9	19	27.0
2020	9	18	30.0
2020	9	17	39.0
2020	9	16	40.0
2020	9	15	33.0
2020	9	14	28.0
2020	9	13	38.0
2020	9	12	39.0
2020	9	11	40.0
2020	9	10	42.0
2020	9	9	47.0
2020	9	8	49.0
2020	9	7	47.0
2020	9	6	61.0
2020	9	5	58.0
2020	9	4	55.0
2020	9	3	59.0
2020	9	2	60.0
2020	9	1	64.0
2020	8	31	36.0
2020	8	30	34.0
2020	8	29	33.0
2020	8	28	40.0
2020	8	27	41.0
2020	8	26	36.0
2020	8	25	37.0
2020	8	24	32.0
2020	8	23	32.0
2020	8	22	30.0
2020	8	21	29.0
2020	8	20	24.0
2020	8	19	22.0
2020	8	18	23.0
2020	8	17	26.0
2020	8	16	29.0
2020	8	15	31.0
2020	8	14	33.0
2020	8	13	37.0
2020	8	12	38.0
2020	8	11	36.0
2020	8	10	38.0
2020	8	9	42.0
2020	8	8	46.0
2020	8	7	48.0
2020	8	6	51.0
2020	8	5	54.0
2020	8	4	54.0
2020	8	3	56.0
2020	8	2	60.0
2020	8	1	64.0
2020	7	31	66.0
2020	7	30	68.0
2020	7	29	70.0
2020	7	28	72.0
2020	7	27	77.0
2020	7	26	82.0
2020	7	25	80.0
2020	7	24	82.0
2020	7	23	86.0
2020	7	22	90.0
2020	7	21	90.0
2020	7	20	92.0
2020	7	19	93.0
2020	7	18	95.0
2020	7	17	98.0
2020	7	16	100.0
2020	7	15	104.0
2020	7	14	102.0
2020	7	13	101.0
2020	7	12	99.0
2020	7	11	98.0
2020	7	10	95.0
2020	7	9	93.0
2020	7	8	93.0
2020	7	7	92.0
2020	7	6	96.0
2020	7	5	99.0
2020	7	4	100.0
2020	7	3	108.0
2020	7	2	110.0
2020	7	1	110.0
2020	6	30	112.0
2020	6	29	110.0
2020	6	28	100.0
2020	6	27	98.0
2020	6	26	102.0
2020	6	25	103.0
2020	6	24	100.0
2020	6	23	96.0
2020	6	22	93.0
2020	6	21	90.0
2020	6	20	97.0
2020	6	19	100.0
2020	6	18	106.0
2020	6	17	108.0
2020	6	16	112.0
2020	6	15	118.0
2020	6	14	119.0
2020	6	13	120.0
2020	6	12	126.0
2020	6	11	134.0
2020	6	10	128.0
2020	6	9	130.0
2020	6	8	132.0
2020	6	7	133.0
2020	6	6	132.0
2020	6	5	130.0
2020	6	4	129.0
2020	6	3	128.0
2020	6	2	121.0
2020	6	1	117.0
2020	5	31	114.0
2020	5	30	110.0
2020	5	29	114.0
2020	5	28	112.0
2020	5	27	110.0
2020	5	26	115.0
2020	5	25	116.0
2020	5	24	115.0
2020	5	23	107.0
2020	5	22	100.0
2020	5	21	98.0
2020	5	20	94.0
2020	5	19	95.0
2020	5	18	98.0
2020	5	17	105.0
2020	5	16	101.0
2020	5	15	100.0
2020	5	14	98.0
2020	5	13	98.0
2020	5	12	100.0
2020	5	11	112.0
2020	5	10	114.0
2020	5	9	120.0
2020	5	8	127.0
2020	5	7	132.0
2020	5	6	133.0
2020	5	5	136.0
2020	5	4	140.0
2020	5	3	156.0
2020	5	2	158.0
2020	5	1	159.0
2020	4	30	163.0
2020	4	29	170.0
2020	4	28	177.0
2020	4	27	184.0
2020	4	26	188.0
2020	4	25	203.0
2020	4	24	210.0
2020	4	23	218.0
2020	4	22	228.0
2020	4	21	238.0
2020	4	20	236.0
2020	4	19	242.0
2020	4	18	259.0
2020	4	17	263.0
2020	4	16	254.0
2020	4	15	250.0
2020	4	14	245.0
2020	4	13	243.0
2020	4	12	240.0
2020	4	11	236.0
2020	4	10	210.0
2020	4	9	215.0
2020	4	8	187.0
2020	4	7	176.0
2020	4	6	180.0
2020	4	5	208.0
2020	4	4	190.0
2020	4	3	182.0
2020	4	2	180.0
2020	4	1	190.0
2020	3	31	203.0
2020	3	30	209.0
2020	3	29	219.0
2020	3	28	258.0
2020	3	27	289.0
2020	3	26	323.0
2020	3	25	344.0
