data	cota
2020-12-31	470.0
2020-12-30	494.0
2020-12-29	525.0
2020-12-28	562.0
2020-12-27	593.0
2020-12-26	602.0
2020-12-25	588.0
2020-12-24	566.0
2020-12-23	510.0
2020-12-22	485.0
2020-12-21	442.0
2020-12-20	419.0
2020-12-19	433.0
2020-12-18	442.0
2020-12-17	455.0
2020-12-16	475.0
2020-12-15	512.0
2020-12-14	540.0
2020-12-13	563.0
2020-12-12	589.0
2020-12-11	515.0
2020-12-10	497.0
2020-12-09	491.0
2020-12-08	495.0
2020-12-07	481.0
2020-12-06	462.0
2020-12-05	420.0
2020-12-04	410.0
2020-12-03	408.0
2020-12-02	403.0
2020-12-01	412.0
2020-11-30	411.0
2020-11-29	423.0
2020-11-28	426.0
2020-11-27	435.0
2020-11-26	436.0
2020-11-25	445.0
2020-11-24	452.0
2020-11-23	461.0
2020-11-22	482.0
2020-11-21	470.0
2020-11-20	482.0
2020-11-19	487.0
2020-11-18	491.0
2020-11-17	522.0
2020-11-16	516.0
2020-11-15	456.0
2020-11-14	426.0
2020-11-13	413.0
2020-11-12	411.0
2020-11-11	418.0
2020-11-10	425.0
2020-11-09	441.0
2020-11-08	434.0
2020-11-07	445.0
2020-11-06	456.0
2020-11-05	486.0
2020-11-04	502.0
2020-11-03	516.0
2020-11-02	538.0
2020-11-01	487.0
2020-10-31	461.0
2020-10-30	474.0
2020-10-29	485.0
2020-10-28	514.0
2020-10-27	483.0
2020-10-26	476.0
2020-10-25	437.0
2020-10-24	409.0
2020-10-23	395.0
2020-10-22	390.0
2020-10-21	389.0
2020-10-20	392.0
2020-10-19	394.0
2020-10-18	389.0
2020-10-17	386.0
2020-10-16	382.0
2020-10-15	373.0
2020-10-14	365.0
2020-10-13	370.0
2020-10-12	370.0
2020-10-11	368.0
2020-10-10	368.0
2020-10-09	364.0
2020-10-08	367.0
2020-10-07	377.0
2020-10-06	383.0
2020-10-05	381.0
2020-10-04	378.0
2020-10-03	379.0
2020-10-02	385.0
2020-10-01	380.0
2020-09-30	388.0
2020-09-29	400.0
2020-09-28	385.0
2020-09-27	387.0
2020-09-26	391.0
2020-09-25	378.0
2020-09-24	381.0
2020-09-23	379.0
2020-09-22	388.0
2020-09-21	388.0
2020-09-20	388.0
2020-09-19	385.0
2020-09-18	386.0
2020-09-17	389.0
2020-09-16	390.0
2020-09-15	385.0
2020-09-14	388.0
2020-09-13	390.0
2020-09-12	390.0
2020-09-11	392.0
2020-09-10	391.0
2020-09-09	381.0
2020-09-08	380.0
2020-09-07	383.0
2020-09-06	385.0
2020-09-05	395.0
2020-09-04	406.0
2020-09-03	396.0
2020-09-02	396.0
2020-09-01	402.0
2020-08-31	400.0
2020-08-30	405.0
2020-08-29	405.0
2020-08-28	413.0
2020-08-27	408.0
2020-08-26	406.0
2020-08-25	409.0
2020-08-24	404.0
2020-08-23	397.0
2020-08-22	399.0
2020-08-21	389.0
2020-08-20	396.0
2020-08-19	394.0
2020-08-18	387.0
2020-08-17	392.0
2020-08-16	402.0
2020-08-15	403.0
2020-08-14	408.0
2020-08-13	410.0
2020-08-12	404.0
2020-08-11	405.0
2020-08-10	408.0
2020-08-09	407.0
2020-08-08	403.0
2020-08-07	409.0
2020-08-06	405.0
2020-08-05	407.0
2020-08-04	407.0
2020-08-03	407.0
2020-08-02	408.0
2020-08-01	411.0
2020-07-31	407.0
2020-07-30	410.0
2020-07-29	408.0
2020-07-28	407.0
2020-07-27	403.0
2020-07-26	408.0
2020-07-25	408.0
2020-07-24	411.0
2020-07-23	415.0
2020-07-22	415.0
2020-07-21	415.0
2020-07-20	404.0
2020-07-19	413.0
2020-07-18	410.0
2020-07-17	407.0
2020-07-16	411.0
2020-07-15	410.0
2020-07-14	412.0
2020-07-13	410.0
2020-07-12	413.0
2020-07-11	412.0
2020-07-10	412.0
2020-07-09	412.0
2020-07-08	420.0
2020-07-07	422.0
2020-07-06	421.0
2020-07-05	420.0
2020-07-04	414.0
2020-07-03	417.0
2020-07-02	423.0
2020-07-01	420.0
2020-06-30	419.0
2020-06-29	422.0
2020-06-28	428.0
2020-06-27	420.0
2020-06-26	419.0
2020-06-25	421.0
2020-06-24	420.0
2020-06-23	420.0
2020-06-22	424.0
2020-06-21	424.0
2020-06-20	421.0
2020-06-19	425.0
2020-06-18	422.0
2020-06-17	421.0
2020-06-16	423.0
2020-06-15	423.0
2020-06-14	423.0
2020-06-13	423.0
2020-06-12	428.0
2020-06-11	426.0
2020-06-10	424.0
2020-06-09	424.0
2020-06-08	431.0
2020-06-07	425.0
2020-06-06	431.0
2020-06-05	424.0
2020-06-04	431.0
2020-06-03	430.0
2020-06-02	433.0
2020-06-01	436.0
2020-05-31	438.0
2020-05-30	442.0
2020-05-29	446.0
2020-05-28	451.0
2020-05-27	460.0
2020-05-26	457.0
2020-05-25	450.0
2020-05-24	442.0
2020-05-23	439.0
2020-05-22	448.0
2020-05-21	454.0
2020-05-20	461.0
2020-05-19	476.0
2020-05-18	485.0
2020-05-17	460.0
2020-05-16	442.0
2020-05-15	437.0
2020-05-14	435.0
2020-05-13	436.0
2020-05-12	436.0
2020-05-11	436.0
2020-05-10	436.0
2020-05-09	441.0
2020-05-08	437.0
2020-05-07	439.0
2020-05-06	441.0
2020-05-05	446.0
2020-05-04	441.0
2020-05-03	439.0
2020-05-02	444.0
2020-05-01	443.0
2020-04-30	445.0
2020-04-29	449.0
2020-04-28	452.0
2020-04-27	455.0
2020-04-26	457.0
2020-04-25	460.0
2020-04-24	447.0
2020-04-23	449.0
2020-04-22	449.0
2020-04-21	450.0
2020-04-20	454.0
2020-04-19	463.0
2020-04-18	475.0
2020-04-17	467.0
