ano	mes	dia	vazao
2021	12	31	871.337
2021	12	30	794.898
2021	12	29	908.965
2021	12	28	953.622
2021	12	27	1192.34
2021	12	26	1435.66
2021	12	25	1295.55
2021	12	24	1361.24
2021	12	23	1241.76
2021	12	22	1588.95
2021	12	21	1896.13
2021	12	20	1299.17
2021	12	19	1018.82
2021	12	18	1154.04
2021	12	17	1266.75
2021	12	16	1025.42
2021	12	15	788.898
2021	12	14	800.915
2021	12	13	963.297
2021	12	12	1126.48
2021	12	11	1259.59
2021	12	10	1227.56
2021	12	9	1042.02
2021	12	8	973.009
2021	12	7	1035.37
2021	12	6	1038.69
2021	12	5	800.915
2021	12	4	825.154
2021	12	3	886.942
2021	12	2	831.257
2021	12	1	
2021	11	30	837.376
2021	11	29	547.668
2021	11	28	547.668
2021	11	27	630.775
2021	11	26	803.93
2021	11	25	1005.65
2021	11	24	1188.83
2021	11	23	1133.35
2021	11	22	1099.18
2021	11	21	600.777
2021	11	20	617.071
2021	11	19	628.025
2021	11	18	735.68
2021	11	17	915.295
2021	11	16	1099.18
2021	11	15	1342.87
2021	11	14	1496.27
2021	11	13	1446.95
2021	11	12	1224.02
2021	11	11	979.503
2021	11	10	587.326
2021	11	9	603.481
2021	11	8	678.215
2021	11	7	992.542
2021	11	6	1263.17
2021	11	5	1752.12
2021	11	4	1624.25
2021	11	3	611.621
2021	11	2	460.298
2021	11	1	357.575
2020	12	1	
2020	11	30	332.089
2020	11	29	366.847
2020	11	28	406.753
2020	11	27	416.481
2020	11	26	434.207
2020	11	25	446.178
2020	11	24	469.088
2020	11	23	584.649
2020	11	22	550.279
2020	11	21	537.271
2020	11	20	647.369
2020	11	19	644.592
2020	11	18	703.855
2020	11	17	931.192
2020	11	16	633.529
2020	11	15	434.207
2020	11	14	361.273
2020	11	13	314.321
2020	11	12	361.273
2020	11	11	410.634
2020	11	10	458.27
2020	11	9	509.07
2020	11	8	521.818
2020	11	7	542.46
2020	11	6	598.078
2020	11	5	672.566
2020	11	4	732.764
2020	11	3	899.502
2020	11	2	819.069
2020	11	1	738.599
2020	10	31	658.523
2020	10	30	600.777
2020	10	29	576.648
2020	10	28	547.668
2020	10	27	526.95
2020	10	26	511.61
2020	10	25	438.184
2020	10	24	353.891
2020	10	23	279.897
2020	10	22	224.889
2020	10	21	231.125
2020	10	20	203.572
2020	10	19	188.838
2020	10	18	190.293
2020	10	17	191.752
2020	10	16	185.941
2020	10	15	177.352
2020	10	14	163.378
2020	10	13	149.315
2020	10	12	141.855
2020	10	11	129.262
2020	10	10	121.007
2020	10	9	119.984
2020	10	8	116.924
2020	10	7	114.894
2020	10	6	111.863
2020	10	5	109.851
2020	10	4	102.874
2020	10	3	104.857
2020	10	2	106.849
2020	10	1	111.863
2020	9	30	125.12
2020	9	29	116.924
2020	9	28	107.848
2020	9	27	95.021
2020	9	26	108.849
2020	9	25	117.942
2020	9	24	121.007
2020	9	23	107.848
2020	9	22	102.874
2020	9	21	98.931
2020	9	20	89.221
2020	9	19	88.262
2020	9	18	97.951
2020	9	17	112.871
2020	9	16	124.089
2020	9	15	108.849
2020	9	14	96.972
2020	9	13	108.849
2020	9	12	117.942
2020	9	11	123.06
2020	9	10	123.06
2020	9	9	135.528
2020	9	8	139.739
2020	9	7	138.684
2020	9	6	161.197
2020	9	5	161.197
2020	9	4	155.772
2020	9	3	156.854
2020	9	2	162.287
2020	9	1	174.523
2020	8	31	111.863
2020	8	30	107.848
2020	8	29	106.849
2020	8	28	121.007
2020	8	27	122.033
2020	8	26	112.871
2020	8	25	113.881
2020	8	24	103.865
2020	8	23	103.865
2020	8	22	100.898
2020	8	21	97.951
2020	8	20	89.221
2020	8	19	84.447
2020	8	18	86.35
2020	8	17	93.079
2020	8	16	98.931
2020	8	15	102.874
2020	8	14	105.852
2020	8	13	114.894
2020	8	12	116.924
2020	8	11	112.871
2020	8	10	116.924
2020	8	9	125.12
2020	8	8	132.387
2020	8	7	137.63
2020	8	6	142.916
2020	8	5	150.387
2020	8	4	150.387
2020	8	3	154.692
2020	8	2	163.378
2020	8	1	173.115
2020	7	31	183.061
2020	7	30	187.387
2020	7	29	194.682
2020	7	28	205.068
2020	7	27	214.131
2020	7	26	227.999
2020	7	25	221.796
2020	7	24	234.267
2020	7	23	242.191
2020	7	22	255.074
2020	7	21	253.45
2020	7	20	259.969
2020	7	19	266.551
2020	7	18	274.864
2020	7	17	276.538
2020	7	16	286.662
2020	7	15	300.372
2020	7	14	293.487
2020	7	13	288.363
2020	7	12	283.272
2020	7	11	278.216
2020	7	10	268.206
2020	7	9	263.252
2020	7	8	261.609
2020	7	7	261.609
2020	7	6	273.193
2020	7	5	284.965
2020	7	4	290.067
2020	7	3	314.321
2020	7	2	321.384
2020	7	1	324.938
2020	6	30	326.72
2020	6	29	314.321
2020	6	28	284.965
2020	6	27	283.272
2020	6	26	300.372
2020	6	25	291.775
2020	6	24	279.897
2020	6	23	269.864
2020	6	22	258.334
2020	6	21	264.9
2020	6	20	279.897
2020	6	19	296.922
2020	6	18	310.812
2020	6	17	317.845
2020	6	16	328.506
2020	6	15	346.566
2020	6	14	353.891
2020	6	13	363.127
2020	6	12	387.558
2020	6	11	410.634
2020	6	10	391.369
2020	6	9	399.033
2020	6	8	404.818
2020	6	7	404.818
2020	6	6	400.958
2020	6	5	395.194
2020	6	4	389.461
2020	6	3	383.76
2020	6	2	359.422
2020	6	1	344.744
2020	5	31	330.296
2020	5	30	321.384
2020	5	29	335.687
2020	5	28	328.506
2020	5	27	321.384
2020	5	26	339.299
